timestamp (ticks/UTC),temperature (C),humidity (%RH)
1739685386.777,26.78,60.04
1739685446.765,27.02,59.91
1739685506.757,27.23,59.83
1739685566.746,27.41,59.70
1739685626.734,27.53,59.40
1739685686.722,27.61,59.16
1739685746.714,27.68,58.97
1739685806.703,27.74,58.81
1739685866.691,27.81,58.67
1739685926.679,27.87,58.52
1739685986.671,27.94,58.39
1739686046.660,27.98,58.31
1739686106.648,28.02,58.24
1739686166.636,28.06,58.22
1739686226.628,28.14,58.31
1739686286.617,28.25,58.41
1739686346.605,28.37,58.36
1739686406.593,28.44,58.11
1739686466.585,28.47,57.90
1739686526.574,28.48,57.74
1739686586.562,28.50,57.63
1739686646.550,28.51,57.54
1739686706.542,28.52,57.46
1739686766.531,28.54,57.39
1739686826.519,28.55,57.33
1739686886.507,28.56,57.28
1739686946.500,28.58,57.27
1739687006.488,28.65,57.46
1739687066.476,28.79,57.80
1739687126.464,29.00,58.03
1739687186.457,29.14,57.61
1739687246.445,29.17,57.20
1739687306.433,29.16,56.93
1739687366.421,29.15,56.75
1739687426.417,29.13,56.63
1739687486.402,29.12,56.53
1739687546.394,29.11,56.46
1739687606.378,29.10,56.40
1739687666.375,29.09,56.37
1739687726.359,29.09,56.36
1739687786.351,29.13,56.53
1739687846.335,29.17,56.43
1739687906.332,29.18,56.31
1739687966.316,29.17,56.23
1739688026.308,29.17,56.17
1739688086.292,29.16,56.13
1739688146.289,29.16,56.10
1739688206.273,29.15,56.07
1739688266.265,29.15,56.05
1739688326.250,29.15,56.01
1739688386.238,29.15,55.99
1739688446.230,29.15,55.97
1739688506.218,29.14,55.95
1739688566.207,29.15,55.93
1739688626.195,29.14,55.92
1739688686.187,29.15,55.89
1739688746.175,29.15,55.88
1739688806.164,29.15,55.86
