timestamp(ticks/UTC),solar(V),batt(V),bus(V),solar(I),batt(I),bus(I),batt_temp(C),chg_stat,chg_fault
1739685348.089,1.13,4.01,3.97,0.000,-0.311,0.314,0.0,0,0
1739685376.812,1.06,4.02,3.98,0.000,-0.261,0.264,0.0,0,0
1739685405.539,1.00,4.01,3.98,0.000,-0.283,0.286,0.0,0,0
1739685434.265,0.95,4.02,3.98,0.000,-0.265,0.269,0.0,0,0
1739685462.988,0.89,4.02,3.98,0.000,-0.270,0.272,0.0,0,0
1739685491.765,0.84,4.01,3.98,0.000,-0.282,0.285,0.0,0,0
1739685520.437,0.78,4.02,3.98,0.000,-0.265,0.268,0.0,0,0
1739685549.164,0.73,4.02,4.00,0.000,-0.207,0.210,0.0,0,0
1739685577.886,0.65,4.02,4.00,0.000,-0.200,0.203,0.0,0,0
1739685606.613,0.58,4.02,4.00,0.000,-0.211,0.214,0.0,0,0
1739685635.339,0.53,4.02,4.00,0.000,-0.201,0.204,0.0,0,0
1739685664.062,0.50,4.02,3.99,0.000,-0.211,0.215,0.0,0,0
1739685692.789,0.46,4.02,4.00,0.000,-0.200,0.202,0.0,0,0
1739685721.511,0.43,4.02,3.99,0.000,-0.213,0.216,0.0,0,0
1739685750.238,0.39,4.02,3.99,0.000,-0.203,0.206,0.0,0,0
1739685778.960,0.35,4.02,3.99,0.000,-0.214,0.217,0.0,0,0
1739685807.707,0.32,4.02,3.99,0.000,-0.203,0.206,0.0,0,0
1739685836.410,0.29,4.02,3.99,0.000,-0.215,0.218,0.0,0,0
1739685865.136,0.26,4.02,3.99,0.000,-0.215,0.217,0.0,0,0
1739685893.863,0.24,4.01,3.97,0.000,-0.294,0.297,0.0,0,0
1739685922.585,0.22,4.01,3.97,0.000,-0.314,0.316,0.0,0,0
1739685951.312,0.21,4.01,3.96,0.000,-0.334,0.336,0.0,0,0
1739685980.035,0.20,4.01,3.98,0.000,-0.249,0.252,0.0,0,0
1739686008.761,0.19,4.02,3.99,0.000,-0.232,0.235,0.0,0,0
1739686037.484,0.18,4.02,3.99,0.000,-0.228,0.231,0.0,0,0
1739686066.210,0.17,4.02,3.99,0.000,-0.234,0.237,0.0,0,0
1739686094.933,0.16,4.02,3.99,0.000,-0.230,0.232,0.0,0,0
1739686123.660,0.15,4.02,3.99,0.000,-0.235,0.238,0.0,0,0
1739686152.386,0.15,4.01,3.97,0.000,-0.313,0.316,0.0,0,0
1739686181.109,0.14,4.01,3.97,0.000,-0.287,0.290,0.0,0,0
1739686209.835,0.14,4.01,3.97,0.000,-0.301,0.304,0.0,0,0
1739686238.558,0.14,4.00,3.97,0.000,-0.312,0.314,0.0,0,0
1739686267.285,0.14,4.01,3.97,0.000,-0.320,0.323,0.0,0,0
1739686296.007,0.14,4.01,3.97,0.000,-0.293,0.296,0.0,0,0
1739686324.734,0.14,4.01,3.98,0.000,-0.255,0.260,0.0,0,0
1739686353.460,0.14,4.02,3.99,0.000,-0.219,0.222,0.0,0,0
1739686382.183,0.14,4.01,3.99,0.000,-0.230,0.233,0.0,0,0
1739686410.910,0.14,4.02,3.99,0.000,-0.221,0.224,0.0,0,0
1739686439.632,0.14,4.01,3.98,0.000,-0.232,0.234,0.0,0,0
1739686468.359,0.14,4.02,3.99,0.000,-0.220,0.222,0.0,0,0
1739686497.082,0.14,4.01,3.99,0.000,-0.227,0.229,0.0,0,0
1739686525.808,0.14,4.02,3.99,0.000,-0.221,0.224,0.0,0,0
1739686554.574,0.14,4.02,3.99,0.000,-0.224,0.227,0.0,0,0
1739686583.257,0.14,4.02,3.99,0.000,-0.214,0.217,0.0,0,0
1739686611.984,0.14,4.01,3.99,0.000,-0.221,0.224,0.0,0,0
1739686640.707,0.14,4.02,3.99,0.000,-0.212,0.214,0.0,0,0
1739686669.433,0.14,4.01,3.98,0.000,-0.224,0.226,0.0,0,0
1739686698.156,0.14,4.02,3.99,0.000,-0.214,0.217,0.0,0,0
1739686726.882,0.14,4.02,3.99,0.000,-0.216,0.218,0.0,0,0
1739686755.605,0.14,4.02,3.99,0.000,-0.213,0.216,0.0,0,0
1739686784.332,0.14,4.02,3.99,0.000,-0.209,0.212,0.0,0,0
1739686813.058,0.14,4.01,3.98,0.000,-0.222,0.225,0.0,0,0
1739686841.781,0.14,4.01,3.99,0.000,-0.216,0.218,0.0,0,0
1739686870.515,0.14,4.01,3.98,0.000,-0.218,0.220,0.0,0,0
1739686899.230,0.14,4.02,3.99,0.000,-0.200,0.203,0.0,0,0
1739686927.957,0.14,4.01,3.97,0.000,-0.275,0.278,0.0,0,0
1739686956.679,0.14,4.00,3.97,0.000,-0.294,0.298,0.0,0,0
1739686985.406,0.14,4.00,3.96,0.000,-0.315,0.317,0.0,0,0
1739687014.128,0.14,4.00,3.95,0.000,-0.358,0.361,0.0,0,0
1739687042.855,0.14,3.99,3.94,0.000,-0.415,0.418,0.0,0,0
1739687071.582,0.14,3.99,3.94,0.000,-0.400,0.402,0.0,0,0
1739687100.304,0.14,4.00,3.95,0.000,-0.348,0.351,0.0,0,0
1739687129.031,0.14,4.01,3.98,0.000,-0.210,0.213,0.0,0,0
1739687157.753,0.14,4.01,3.98,0.000,-0.210,0.213,0.0,0,0
1739687186.480,0.14,4.01,3.99,0.000,-0.205,0.208,0.0,0,0
1739687215.203,0.14,4.01,3.98,0.000,-0.209,0.212,0.0,0,0
1739687243.929,0.14,4.01,3.99,0.000,-0.200,0.203,0.0,0,0
1739687272.656,0.14,4.01,3.98,0.000,-0.205,0.208,0.0,0,0
1739687301.441,0.14,4.01,3.98,0.000,-0.207,0.210,0.0,0,0
1739687330.105,0.14,4.01,3.98,0.000,-0.207,0.210,0.0,0,0
1739687358.828,0.14,4.01,3.99,0.000,-0.197,0.200,0.0,0,0
1739687387.554,0.14,4.01,3.99,0.000,-0.203,0.206,0.0,0,0
1739687416.277,0.14,4.01,3.99,0.000,-0.190,0.193,0.0,0,0
1739687445.003,0.14,4.01,3.99,0.000,-0.196,0.198,0.0,0,0
1739687473.726,0.14,4.01,3.99,0.000,-0.200,0.203,0.0,0,0
1739687502.453,0.14,4.01,3.99,0.000,-0.195,0.199,0.0,0,0
1739687531.179,0.14,4.01,3.98,0.000,-0.219,0.222,0.0,0,0
1739687559.902,0.14,4.01,3.98,0.000,-0.210,0.213,0.0,0,0
1739687588.628,0.14,4.01,3.98,0.000,-0.203,0.206,0.0,0,0
1739687617.382,0.14,4.01,3.98,0.000,-0.200,0.203,0.0,0,0
1739687646.078,0.14,4.01,3.98,0.000,-0.209,0.212,0.0,0,0
1739687674.800,0.14,4.01,3.98,0.000,-0.210,0.213,0.0,0,0
1739687703.527,0.14,4.00,3.97,0.000,-0.261,0.264,0.0,0,0
1739687732.253,0.14,4.00,3.97,0.000,-0.285,0.288,0.0,0,0
1739687760.976,0.14,4.00,3.96,0.000,-0.292,0.293,0.0,0,0
1739687789.703,0.14,4.01,3.98,0.000,-0.202,0.205,0.0,0,0
1739687818.425,0.14,4.01,3.98,0.000,-0.213,0.216,0.0,0,0
1739687847.152,0.14,4.01,3.98,0.000,-0.208,0.211,0.0,0,0
1739687875.875,0.14,4.01,3.98,0.000,-0.203,0.206,0.0,0,0
