millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
73784,1739683801.00,0.00,0.00,0.00,I
74030,1739683801.40,0.00,-49.15,8.04,I
74435,1739683801.80,-31.28,-384.16,4.48,I
74831,1739683802.20,-55.65,-511.78,-5.64,I
75231,1739683802.60,-138.24,-601.92,-9.18,I
75631,1739683803.00,-136.87,-593.08,-14.50,I
76028,1739683803.40,-148.43,-554.17,-23.80,I
76428,1739683803.80,-153.81,-458.02,-28.91,I
76828,1739683804.20,-106.49,-300.25,-28.72,I
77228,1739683804.60,-49.92,-145.86,-28.71,I
77628,1739683805.00,-2.21,19.01,-27.01,I
78028,1739683805.40,53.52,140.68,-16.80,I
78427,1739683805.80,98.37,257.29,-3.52,I
78828,1739683806.20,149.55,351.09,4.80,I
79230,1739683806.60,188.44,424.28,3.61,I
79628,1739683807.00,200.33,462.84,3.75,I
80028,1739683807.40,254.40,636.72,7.65,I
80428,1739683807.80,308.62,749.29,21.62,I
80831,1739683808.20,345.28,810.21,37.10,I
81229,1739683808.60,366.57,892.55,40.89,I
81629,1739683809.00,390.63,906.84,46.81,I
82030,1739683809.40,383.61,881.89,47.08,I
82430,1739683809.80,383.36,807.68,48.13,I
82831,1739683810.20,371.84,711.23,44.34,I
83233,1739683810.60,318.71,580.83,40.25,I
83654,1739683811.00,281.01,474.09,33.27,I
84029,1739683811.40,223.77,388.54,28.54,
84429,1739683811.80,167.68,253.97,22.08,
84829,1739683812.20,113.29,165.39,8.07,
85230,1739683812.60,61.07,65.90,-0.10,
85629,1739683813.00,27.51,-8.47,1.94,
86030,1739683813.40,-22.76,-110.57,-4.88,
86430,1739683813.80,-133.81,-232.00,-9.73,
86830,1739683814.20,-146.44,-268.92,-22.72,
87228,1739683814.60,-160.32,-335.53,-27.64,
87629,1739683815.00,-174.84,-374.27,-42.95,
88029,1739683815.40,-237.74,-423.56,-57.27,
88429,1739683815.80,-305.78,-479.00,-67.74,
88828,1739683816.20,-344.02,-537.77,-66.76,
89229,1739683816.60,-389.39,-565.22,-61.01,
89629,1739683817.00,-406.92,-582.45,-58.61,
90031,1739683817.40,-417.35,-606.53,-58.86,
90430,1739683817.80,-324.84,-586.60,-53.09,
90829,1739683818.20,-328.31,-595.42,-38.97,
91231,1739683818.60,-343.89,-594.15,-24.62,
91629,1739683819.00,-352.31,-567.94,-13.04,
92029,1739683819.40,-370.42,-553.66,-16.39,
92430,1739683819.80,-395.38,-532.36,-11.05,
92831,1739683820.20,-423.84,-521.18,-11.33,
93230,1739683820.60,-438.67,-517.54,1.79,
93633,1739683821.00,-410.30,-470.95,16.45,
94029,1739683821.40,-409.78,-438.37,25.79,
94430,1739683821.80,-127.06,-335.63,34.22,
94831,1739683822.20,-8.93,-276.47,37.23,
95231,1739683822.60,-41.21,-268.13,41.17,
95630,1739683823.00,-32.38,-235.81,31.41,
96030,1739683823.40,-54.93,-200.49,17.11,
96431,1739683823.80,-53.71,-179.09,14.64,
96831,1739683824.20,-127.96,-136.66,6.51,
97230,1739683824.60,-214.38,-126.99,13.67,
97631,1739683825.00,-260.02,-93.31,18.62,
98033,1739683825.40,-319.72,-90.77,16.33,
98431,1739683825.80,-388.82,-96.77,14.51,
98832,1739683826.20,-463.26,-75.15,25.61,
99231,1739683826.60,-475.20,-65.41,36.97,
99632,1739683827.00,-435.86,-15.00,43.77,
100034,1739683827.40,-419.72,18.09,46.73,
100432,1739683827.80,-405.57,52.94,53.62,
100832,1739683828.20,-312.00,104.75,54.50,
101232,1739683828.60,-268.59,137.01,54.03,
101632,1739683829.00,-217.34,152.09,53.31,
102034,1739683829.40,-144.16,187.10,47.84,
102435,1739683829.80,-86.54,220.35,47.54,
102837,1739683830.20,6.12,251.42,48.63,
103233,1739683830.60,93.10,296.06,34.62,
103658,1739683831.00,157.84,318.27,21.27,
104031,1739683831.40,235.70,353.97,13.12,
104431,1739683831.80,322.45,383.33,2.14,
104832,1739683832.20,414.38,423.61,-14.48,
105236,1739683832.60,476.10,437.41,-24.56,
105636,1739683833.00,560.19,463.15,-35.41,
106034,1739683833.40,611.68,480.43,-43.06,
106434,1739683833.80,635.33,489.96,-47.94,
106834,1739683834.20,667.67,475.50,-51.32,
107233,1739683834.60,673.39,475.44,-53.40,
107632,1739683835.00,672.95,469.32,-39.11,
108034,1739683835.40,698.93,457.80,-33.41,
108433,1739683835.80,696.42,441.55,-20.39,
108833,1739683836.20,686.30,437.27,-15.15,
109233,1739683836.60,653.27,409.84,-15.34,
109633,1739683837.00,617.75,362.87,-17.21,
110035,1739683837.40,580.09,350.66,-11.41,
110434,1739683837.80,556.73,316.83,-4.94,
110834,1739683838.20,544.45,297.96,2.83,
111233,1739683838.60,508.29,258.76,1.64,
111633,1739683839.00,485.06,235.72,1.32,
112033,1739683839.40,471.86,209.53,0.81,
112433,1739683839.80,433.94,180.90,0.16,
112835,1739683840.20,408.38,150.46,-7.75,
113235,1739683840.60,391.57,134.89,-13.26,
113635,1739683841.00,366.14,115.07,-15.83,
114034,1739683841.40,348.76,91.88,-13.27,
114434,1739683841.80,307.03,50.04,-12.90,
114833,1739683842.20,276.31,9.92,-11.60,
115234,1739683842.60,239.18,-12.14,-10.45,
115634,1739683843.00,181.83,-51.64,-17.49,
116036,1739683843.40,124.08,-88.37,-13.03,
116436,1739683843.80,51.51,-138.29,-1.22,
116837,1739683844.20,-16.65,-181.68,5.52,
117235,1739683844.60,-80.15,-202.80,-4.48,
117634,1739683845.00,-154.93,-237.71,-9.80,
118035,1739683845.40,-221.20,-266.72,-22.86,
118435,1739683845.80,-263.21,-290.22,-16.79,
118834,1739683846.20,-333.10,-308.56,-14.25,
119235,1739683846.60,-375.47,-306.02,-17.26,
119636,1739683847.00,-379.46,-302.61,-9.42,
120035,1739683847.40,-368.44,-298.29,-9.12,
120436,1739683847.80,-390.95,-293.02,-17.54,
120837,1739683848.20,-473.54,-319.88,-25.58,
121235,1739683848.60,-521.70,-338.51,-11.66,
121635,1739683849.00,-588.98,-349.76,-13.48,
122035,1739683849.40,-637.36,-337.43,-11.74,
122435,1739683849.80,-636.65,-323.03,-12.54,
122835,1739683850.20,-660.18,-323.82,-1.92,
123236,1739683850.60,-685.74,-319.35,7.81,
123661,1739683851.00,-695.41,-310.33,5.02,
124037,1739683851.40,-691.19,-297.38,10.11,
124437,1739683851.80,-548.05,-231.97,17.84,
124836,1739683852.20,-406.57,-174.66,34.66,
125234,1739683852.60,-188.35,-75.61,56.58,
125636,1739683853.00,-9.41,21.92,41.84,
126036,1739683853.40,150.42,84.02,48.90,
126435,1739683853.80,259.24,132.43,33.91,
126836,1739683854.20,228.04,119.55,14.01,
127236,1739683854.60,245.80,122.91,22.75,
127636,1739683855.00,205.63,123.01,28.32,
128038,1739683855.40,216.11,136.45,22.25,
128438,1739683855.80,170.18,127.96,14.08,
128836,1739683856.20,176.27,134.08,-6.33,
129237,1739683856.60,159.36,135.54,-15.58,
129637,1739683857.00,156.30,116.96,-34.44,
130038,1739683857.40,132.01,98.63,-40.89,
130436,1739683857.80,90.99,80.76,-30.94,
130836,1739683858.20,69.45,63.51,-21.43,
131237,1739683858.60,47.76,47.03,-11.53,
131638,1739683859.00,10.23,31.43,-8.67,
132036,1739683859.40,-23.19,32.92,-9.71,
132437,1739683859.80,-52.59,-0.26,-19.21,
132842,1739683860.20,-94.21,-12.29,-23.63,
133240,1739683860.60,-128.56,-23.19,-29.21,
133638,1739683861.00,-156.19,-16.83,-18.59,
134037,1739683861.40,-177.66,-28.95,-14.82,
134437,1739683861.80,-208.70,-39.51,-9.44,
134838,1739683862.20,-231.25,-48.55,-5.56,
135238,1739683862.60,-246.21,-72.20,-7.40,
135637,1739683863.00,-269.58,-90.89,-10.21,
136038,1739683863.40,-268.42,-88.99,-12.80,
136437,1739683863.80,-277.57,-102.67,-11.58,
136837,1739683864.20,-279.15,-112.31,-16.22,
137238,1739683864.60,-258.99,-102.26,-17.40,
137639,1739683865.00,-251.75,-108.63,-5.90,
138039,1739683865.40,-224.19,-95.70,-7.70,
138439,1739683865.80,-195.69,-99.57,-11.16,
138838,1739683866.20,-166.65,-84.49,0.23,
139239,1739683866.60,-152.61,-86.54,17.05,
139638,1739683867.00,-151.45,-102.13,28.03,
140038,1739683867.40,-97.73,-79.80,27.81,
140438,1739683867.80,-64.37,-59.53,39.13,
140838,1739683868.20,-32.61,-57.31,51.40,
141239,1739683868.60,-2.59,-53.37,59.62,
141640,1739683869.00,10.36,-48.01,64.34,
142038,1739683869.40,8.60,-57.58,59.82,
142438,1739683869.80,-4.76,-46.59,53.26,
142839,1739683870.20,51.66,-35.31,48.70,
143239,1739683870.60,116.47,8.26,38.61,
143665,1739683871.00,170.53,28.61,26.03,
144039,1739683871.40,198.66,46.01,26.87,
144440,1739683871.80,126.63,12.44,14.27,
144839,1739683872.20,102.66,3.10,-2.62,
145239,1739683872.60,53.37,-51.79,-8.30,
145644,1739683873.00,-15.11,-59.69,-5.77,
146042,1739683873.40,-49.14,-79.62,-4.74,
146443,1739683873.80,-38.54,-74.63,-2.28,
146840,1739683874.20,-24.36,-66.57,4.85,
147240,1739683874.60,8.64,-39.94,5.72,
147640,1739683875.00,23.98,-14.94,9.59,
148040,1739683875.40,41.02,-7.74,5.91,
148440,1739683875.80,59.14,17.29,-1.97,
148842,1739683876.20,77.80,40.08,7.48,
149240,1739683876.60,128.67,60.63,17.22,
149641,1739683877.00,139.90,95.02,20.67,
150041,1739683877.40,199.46,123.65,26.12,
150441,1739683877.80,248.08,163.05,24.97,
150842,1739683878.20,270.57,177.92,3.29,
151240,1739683878.60,303.51,188.72,-5.81,
151641,1739683879.00,327.70,195.80,-7.32,
152042,1739683879.40,327.87,183.44,-5.40,
152442,1739683879.80,308.36,171.62,-24.01,
152841,1739683880.20,289.16,160.27,-34.56,
153241,1739683880.60,254.15,133.25,-36.59,
153641,1739683881.00,255.10,126.24,-37.08,
154042,1739683881.40,236.24,119.15,-35.38,
154442,1739683881.80,217.62,112.00,-33.71,
154842,1739683882.20,183.16,104.79,-28.49,
155242,1739683882.60,184.70,97.52,-15.15,
155642,1739683883.00,150.40,90.21,-20.57,
156043,1739683883.40,120.00,66.79,-25.71,
156442,1739683883.80,77.04,46.92,-26.02,
156842,1739683884.20,56.91,46.31,-20.63,
157242,1739683884.60,7.10,28.89,-16.12,
157642,1739683885.00,-17.29,30.47,-9.70,
158044,1739683885.40,-20.83,14.99,-0.09,
158442,1739683885.80,-23.71,2.21,3.83,
158844,1739683886.20,-26.06,7.90,-0.48,
159242,1739683886.60,-11.87,-3.93,3.01,
159643,1739683887.00,-16.96,2.59,9.99,
160043,1739683887.40,-5.28,7.55,13.35,
160443,1739683887.80,50.81,43.29,20.87,
160842,1739683888.20,78.62,70.69,28.85,
161242,1739683888.60,128.56,90.68,28.94,
161642,1739683889.00,164.53,120.23,28.92,
162043,1739683889.40,188.21,124.43,9.10,
162442,1739683889.80,217.27,140.15,-19.94,
162847,1739683890.20,170.97,116.27,-39.66,
163243,1739683890.60,79.14,43.94,-34.45,
163669,1739683891.00,32.96,16.36,-22.73,
164046,1739683891.40,-24.09,-74.04,-6.89,
164446,1739683891.80,-72.65,-96.69,-24.73,
164845,1739683892.20,-97.33,-98.43,5.92,
165244,1739683892.60,-102.32,-83.29,-10.11,
165644,1739683893.00,-91.40,-54.87,-10.50,
166044,1739683893.40,-100.11,-32.48,-3.68,
166444,1739683893.80,-92.18,-31.48,3.42,
166844,1739683894.20,-103.23,-15.50,-2.82,
167245,1739683894.60,-113.14,-20.04,-3.53,
167644,1739683895.00,-121.86,-24.87,-9.61,
168044,1739683895.40,-129.37,-29.86,-3.78,
168444,1739683895.80,-135.67,-34.88,-6.38,
168844,1739683896.20,-124.66,-39.80,-11.22,
169244,1739683896.60,-132.08,-44.54,-11.46,
169644,1739683897.00,-121.84,-49.01,-21.41,
170048,1739683897.40,-129.72,-53.14,-22.80,
170447,1739683897.80,-135.76,-72.97,-17.28,
170845,1739683898.20,-156.15,-72.72,-16.12,
171244,1739683898.60,-155.25,-88.49,-11.32,
171644,1739683899.00,-153.23,-84.50,-13.49,
172043,1739683899.40,-166.25,-80.75,-15.84,
172445,1739683899.80,-158.67,-93.26,-23.59,
172845,1739683900.20,-150.62,-86.25,-12.25,
173247,1739683900.60,-158.24,-95.81,-7.25,
173646,1739683901.00,-178.06,-102.25,-0.27,
174046,1739683901.40,-174.80,-121.99,5.47,
174445,1739683901.80,-168.94,-103.55,1.17,
174847,1739683902.20,-176.94,-102.99,-8.40,
175246,1739683902.60,-147.36,-84.45,-12.15,
175645,1739683903.00,-120.18,-83.93,-17.37,
176047,1739683903.40,-127.47,-81.64,-16.49,
176446,1739683903.80,-113.76,-77.84,-10.68,
176846,1739683904.20,-115.45,-88.87,-17.11,
177245,1739683904.60,-113.14,-95.30,-21.56,
177646,1739683905.00,-107.46,-114.72,-24.28,
178046,1739683905.40,-98.95,-93.90,-14.78,
178447,1739683905.80,-55.98,-74.15,-13.53,
178847,1739683906.20,-34.37,-71.59,-14.41,
179246,1739683906.60,-14.14,-50.55,-10.67,
179646,1739683907.00,4.68,-47.18,-7.76,
180046,1739683907.40,22.05,-41.83,-11.79,
180446,1739683907.80,37.94,-34.89,-1.61,
180848,1739683908.20,68.43,-10.63,10.84,
181246,1739683908.60,93.88,-5.07,15.03,
181646,1739683909.00,82.54,1.53,17.86,
182049,1739683909.40,90.15,8.89,20.42,
182447,1739683909.80,80.57,16.75,34.34,
182847,1739683910.20,89.54,24.91,49.87,
183247,1739683910.60,97.05,33.15,48.46,
183672,1739683911.00,103.15,41.30,41.46,
184046,1739683911.40,107.91,49.22,28.31,
184446,1739683911.80,127.47,56.78,36.38,
184848,1739683912.20,126.20,63.87,40.70,
185248,1739683912.60,92.01,53.41,30.26,
185647,1739683913.00,64.24,46.07,17.10,
186048,1739683913.40,74.32,41.37,4.70,
186447,1739683913.80,114.45,71.95,2.99,
186847,1739683914.20,145.53,80.96,0.06,
187247,1739683914.60,183.69,104.59,-3.77,
187646,1739683915.00,196.11,107.16,-7.36,
188050,1739683915.40,89.92,42.63,-3.51,
188450,1739683915.80,51.61,7.85,-7.17,
188850,1739683916.20,20.20,-34.49,-10.51,
189248,1739683916.60,-21.14,-49.75,-9.04,
189648,1739683917.00,-5.20,-41.97,-10.86,
190048,1739683917.40,24.15,-16.69,-11.71,
190449,1739683917.80,47.50,6.07,5.26,
190849,1739683918.20,65.48,10.26,18.28,
191249,1739683918.60,46.48,15.60,25.15,
191650,1739683919.00,30.33,4.76,42.10,
192050,1739683919.40,32.82,15.18,49.75,
192452,1739683919.80,34.05,41.54,50.60,
192853,1739683920.20,34.18,47.93,51.27,
193249,1739683920.60,33.35,70.31,42.76,
193649,1739683921.00,31.70,88.89,31.48,
194049,1739683921.40,45.43,103.92,25.31,
194452,1739683921.80,55.03,115.66,17.07,
194852,1739683922.20,61.00,141.36,7.31,
195249,1739683922.60,47.73,160.54,-3.50,
195650,1739683923.00,51.38,156.88,-8.65,
196049,1739683923.40,68.41,184.80,-15.43,
196450,1739683923.80,47.40,171.06,-18.88,
196850,1739683924.20,12.31,173.98,-16.89,
197250,1739683924.60,-17.30,155.98,-16.83,
197650,1739683925.00,6.34,171.35,-17.41,
198049,1739683925.40,-8.32,163.74,-12.22,
198452,1739683925.80,-37.32,153.65,-16.79,
198850,1739683926.20,-45.03,141.52,-13.00,
199251,1739683926.60,-35.49,110.76,-7.93,
199650,1739683927.00,-44.48,99.44,4.32,
200049,1739683927.40,-52.05,86.74,4.18,
200450,1739683927.80,-10.91,105.18,3.04,
200850,1739683928.20,21.03,115.79,-6.04,
201252,1739683928.60,44.85,103.54,-17.73,
201651,1739683929.00,76.73,105.15,-22.29,
202049,1739683929.40,83.88,85.42,-36.22,
202450,1739683929.80,101.26,80.93,-35.85,
202851,1739683930.20,95.89,72.44,-36.51,
203249,1739683930.60,87.41,60.71,-23.61,
203676,1739683931.00,91.61,46.40,-15.28,
204050,1739683931.40,75.31,14.06,0.85,
204449,1739683931.80,73.13,-0.03,12.18,
204851,1739683932.20,51.75,-15.41,9.57,
205251,1739683932.60,61.76,-31.60,6.56,
205651,1739683933.00,49.18,-48.19,15.78,
206054,1739683933.40,34.70,-64.80,24.78,
206450,1739683933.80,34.94,-65.04,28.90,
206851,1739683934.20,30.77,-84.34,28.98,
207251,1739683934.60,23.01,-86.35,18.63,
207650,1739683935.00,12.42,-106.61,17.08,
208051,1739683935.40,-16.42,-124.97,15.44,
208451,1739683935.80,-58.45,-157.43,11.96,
208851,1739683936.20,-47.63,-168.21,9.73,
209251,1739683936.60,-74.22,-177.33,11.21,
209651,1739683937.00,-98.05,-200.85,8.46,
210052,1739683937.40,-134.31,-219.12,14.87,
210451,1739683937.80,-117.09,-216.48,19.53,
210852,1739683938.20,-104.63,-212.96,22.64,
211253,1739683938.60,-96.17,-208.56,20.84,
211652,1739683939.00,-107.12,-219.37,6.16,
212051,1739683939.40,-117.20,-225.79,-2.48,
212451,1739683939.80,-126.28,-228.26,-11.46,
212851,1739683940.20,-134.23,-227.18,-12.47,
213253,1739683940.60,-140.95,-239.05,-11.54,
213651,1739683941.00,-146.39,-212.44,-16.20,
214052,1739683941.40,-134.41,-203.47,-20.78,
214451,1739683941.80,-124.65,-176.33,-19.81,
214852,1739683942.20,-148.88,-167.09,-15.28,
215252,1739683942.60,-151.40,-139.93,-31.22,
215653,1739683943.00,-152.33,-130.88,-28.34,
216053,1739683943.40,-183.02,-153.28,-29.16,
216454,1739683943.80,-205.38,-150.08,-33.80,
216854,1739683944.20,-220.27,-143.11,-32.40,
217252,1739683944.60,-243.71,-166.03,-14.55,
217652,1739683945.00,-274.03,-162.96,-7.97,
218054,1739683945.40,-261.39,-137.87,1.95,
218453,1739683945.80,-214.16,-96.25,14.33,
218852,1739683946.20,-202.36,-58.09,22.15,
219254,1739683946.60,-172.36,-23.29,19.86,
219655,1739683947.00,-173.65,-7.85,14.86,
220053,1739683947.40,-154.06,24.04,5.96,
220452,1739683947.80,-101.73,68.57,14.69,
220852,1739683948.20,-71.34,106.21,23.03,
221253,1739683948.60,-26.79,137.52,14.76,
221653,1739683949.00,-3.83,163.02,14.79,
222053,1739683949.40,17.56,183.20,10.70,
222454,1739683949.80,37.36,198.55,11.43,
222856,1739683950.20,71.62,225.58,11.52,
223258,1739683950.60,100.70,245.11,7.49,
223681,1739683951.00,157.17,274.03,3.81,
224055,1739683951.40,202.14,293.45,-2.22,
224456,1739683951.80,236.78,304.49,-4.64,
224858,1739683952.20,262.16,308.19,-15.74,
225255,1739683952.60,295.40,305.50,-25.50,
225657,1739683953.00,301.74,281.25,-28.59,
226055,1739683953.40,286.01,255.90,-41.42,
226455,1739683953.80,268.66,245.92,-40.29,
226857,1739683954.20,250.03,215.92,-34.19,
227256,1739683954.60,214.37,186.25,-24.18,
227660,1739683955.00,197.70,173.23,-13.90,
228061,1739683955.40,164.16,141.37,-9.85,
228456,1739683955.80,133.65,110.90,-17.12,
228855,1739683956.20,154.29,81.94,-19.88,
229256,1739683956.60,118.75,54.62,-12.67,
229657,1739683957.00,55.70,29.03,-13.69,
230058,1739683957.40,18.30,21.32,-24.83,
230457,1739683957.80,-12.99,-4.18,-25.05,
230857,1739683958.20,-22.65,5.67,-32.54,
231257,1739683958.60,-30.85,-6.49,-32.24,
231657,1739683959.00,-5.50,-2.16,-33.70,
232057,1739683959.40,-34.25,-18.76,-46.29,
232458,1739683959.80,-72.68,-50.95,-54.07,
232859,1739683960.20,-87.60,-78.89,-57.73,
233261,1739683960.60,-82.35,-102.82,-49.86,
233657,1739683961.00,-93.12,-106.86,-22.99,
234058,1739683961.40,-115.48,-126.99,8.77,
234457,1739683961.80,-131.33,-143.39,31.29,
234871,1739683962.20,-141.43,-172.41,47.68,
235270,1739683962.60,-146.52,-194.66,65.93,
235672,1739683963.00,-132.05,-194.70,57.49,
236072,1739683963.40,-117.22,-208.89,44.76,
236473,1739683963.80,-117.39,-217.76,37.74,
236874,1739683964.20,-99.02,-221.90,27.37,
237272,1739683964.60,-96.38,-221.86,27.90,
237672,1739683965.00,-106.24,-218.16,26.42,
238076,1739683965.40,-95.32,-227.37,17.07,
238473,1739683965.80,-98.18,-214.23,28.40,
238873,1739683966.20,-66.26,-215.29,43.53,
239274,1739683966.60,-37.35,-179.11,55.07,
239673,1739683967.00,-26.55,-177.87,60.75,
240073,1739683967.40,-0.01,-156.11,57.93,
240473,1739683967.80,23.46,-134.16,60.79,
240874,1739683968.20,44.00,-128.34,59.12,
241272,1739683968.60,61.77,-103.14,53.76,
241676,1739683969.00,61.71,-78.79,57.08,
242072,1739683969.40,77.73,-39.35,55.59,
242471,1739683969.80,91.04,-36.74,39.45,
242874,1739683970.20,86.64,-15.32,29.70,
243275,1739683970.60,98.43,-11.32,23.43,
243698,1739683971.00,92.49,-5.17,25.40,
244072,1739683971.40,102.74,2.68,24.93,
244472,1739683971.80,110.46,11.84,22.45,
244870,1739683972.20,148.03,38.01,11.22,
245274,1739683972.60,160.31,61.24,-10.41,
245673,1739683973.00,184.00,81.64,-14.92,
246074,1739683973.40,137.45,83.22,-17.23,
246474,1739683973.80,160.49,69.66,-14.15,
246874,1739683974.20,192.13,60.32,-32.73,
247272,1739683974.60,197.55,54.57,-42.35,
247673,1739683975.00,197.61,51.82,-52.60,
248074,1739683975.40,193.07,51.56,-50.55,
248474,1739683975.80,152.43,53.29,-45.80,
248874,1739683976.20,100.44,72.68,-42.50,
249275,1739683976.60,70.62,89.70,-18.94,
249676,1739683977.00,43.85,120.50,-25.19,
250073,1739683977.40,4.78,210.74,-23.92,
250474,1739683977.80,-28.21,281.27,-20.19,
250874,1739683978.20,-40.46,367.21,-21.69,
251274,1739683978.60,-66.22,381.00,-12.15,
251672,1739683979.00,-55.77,385.27,-9.14,
252074,1739683979.40,-79.04,348.21,-15.89,
252476,1739683979.80,-97.52,295.27,-32.98,
252879,1739683980.20,-126.90,262.43,-47.25,
253275,1739683980.60,-149.05,229.90,-46.37,
253677,1739683981.00,-134.41,214.00,-29.72,
254073,1739683981.40,-135.98,179.24,-21.30,
254474,1739683981.80,-166.46,129.76,-17.83,
254873,1739683982.20,-141.50,101.40,-17.48,
255272,1739683982.60,-165.39,107.34,-17.83,
255675,1739683983.00,-165.15,58.17,-13.33,
256074,1739683983.40,-177.51,30.92,-3.24,
256473,1739683983.80,-167.29,-10.53,4.89,
256875,1739683984.20,-139.82,-30.39,3.22,
257276,1739683984.60,-129.27,-64.76,7.14,
257674,1739683985.00,-133.18,-93.98,6.52,
258078,1739683985.40,-148.38,-134.51,-11.14,
258479,1739683985.80,-139.90,-150.98,-25.09,
258873,1739683986.20,-112.36,-163.78,-5.34,
259274,1739683986.60,-70.79,-189.32,7.07,
259676,1739683987.00,-49.09,-192.17,16.90,
260075,1739683987.40,-13.25,-192.65,19.08,
260471,1739683987.80,33.26,-191.00,4.33,
260873,1739683988.20,41.77,-203.57,-4.91,
261275,1739683988.60,65.22,-210.93,-8.64,
261675,1739683989.00,100.12,-197.61,-15.00,
262076,1739683989.40,97.81,-199.91,-16.16,
262474,1739683989.80,126.40,-198.33,-13.09,
262876,1739683990.20,133.46,-193.40,-20.07,
263276,1739683990.60,138.15,-185.61,-30.47,
263703,1739683991.00,140.68,-175.42,-26.35,
264075,1739683991.40,156.45,-147.17,-16.88,
264476,1739683991.80,151.94,-153.04,-12.23,
264876,1739683992.20,146.24,-121.56,-11.50,
265275,1739683992.60,139.51,-108.84,-14.81,
265673,1739683993.00,116.73,-95.13,-8.72,
266077,1739683993.40,126.95,-80.74,2.10,
266477,1739683993.80,148.94,-49.85,4.00,
266877,1739683994.20,147.51,-38.40,5.87,
267278,1739683994.60,159.26,-26.60,21.97,
267677,1739683995.00,148.91,1.44,31.25,
268080,1739683995.40,152.98,25.89,32.16,
268480,1739683995.80,152.19,46.97,30.78,
268877,1739683996.20,147.24,64.90,27.55,
269279,1739683996.60,122.71,79.91,15.72,
269678,1739683997.00,98.85,92.21,6.19,
270078,1739683997.40,91.90,85.91,4.04,
270477,1739683997.80,82.37,96.95,-4.64,
270877,1739683998.20,54.69,89.39,-17.47,
271278,1739683998.60,13.76,83.09,-24.39,
271677,1739683999.00,-21.84,110.02,-22.80,
272076,1739683999.40,-21.18,114.66,-12.60,
272476,1739683999.80,-38.89,133.38,-6.40,
272879,1739684000.20,-22.74,130.64,0.05,
273279,1739684000.60,-11.99,126.69,0.33,
273680,1739684001.00,-21.96,121.69,4.59,
274079,1739684001.40,-32.29,99.69,6.61,
274478,1739684001.80,-42.75,96.58,15.72,
274878,1739684002.20,-53.09,92.44,17.80,
275281,1739684002.60,-79.23,87.44,24.91,
275678,1739684003.00,-116.54,49.54,22.47,
276076,1739684003.40,-115.47,34.24,14.19,
276479,1739684003.80,-130.91,21.24,16.58,
276880,1739684004.20,-143.06,26.39,14.95,
277279,1739684004.60,-136.08,13.76,17.26,
277680,1739684005.00,-145.94,3.18,16.41,
278079,1739684005.40,-120.67,-5.55,21.96,
278481,1739684005.80,-115.90,-12.62,18.20,
278879,1739684006.20,-111.45,-34.31,16.86,
279280,1739684006.60,-107.21,-35.06,18.36,
