timestamp(ticks/UTC),solar(V),batt(V),bus(V),solar(I),batt(I),bus(I),batt_temp(C),chg_stat,chg_fault
1739683809.414,3.99,4.00,3.94,0.002,-0.463,0.466,-273.1,0,0
1739683838.136,4.20,4.00,3.95,0.001,-0.448,0.449,-273.1,0,0
1739683866.863,4.06,4.02,3.98,0.001,-0.299,0.302,-273.1,0,0
1739683895.585,4.01,4.01,3.97,0.001,-0.323,0.326,-273.1,0,0
1739683924.312,3.99,4.02,3.99,0.001,-0.253,0.257,-273.1,0,0
1739683953.085,3.87,4.02,4.00,0.001,-0.222,0.224,-273.1,0,0
1739683981.761,3.81,4.02,4.00,0.001,-0.231,0.234,-273.1,0,0
1739684010.488,3.75,4.00,3.95,0.001,-0.447,0.450,-273.1,0,0
1739684039.210,3.30,3.99,3.93,0.001,-0.505,0.507,-273.1,0,0
1739684067.937,2.14,3.99,3.93,0.001,-0.510,0.513,-273.1,0,0
1739684096.660,1.15,4.01,3.97,0.000,-0.319,0.321,-273.1,0,0
1739684
