epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0,0,BSYS,5,INFO,ssds,5
0,0,BSYS,5,INFO,ssis,60
0,0,BSYS,5,INFO,sds,1200
0,0,BSYS,6,INFO,sis,1200
0,0,BSYS,6,INFO,spm,6
0,0,BSYS,6,INFO,utc,0
0,0,BSYS,6,INFO,sse,1
0,0,BSYS,6,INFO,ste,1
0,0,BSYS,6,INFO,dme,1
0,0,BSYS,7,INFO,kba,0
0,0,BSYS,7,INFO,cs,1
0,0,BSYS,7,INFO,ssdms,5000
0,0,BSYS,7,INFO,sdms,1200000
0,0,BSYS,7,INFO,mtms,7220000
0.00,1,DATA,SOFT2,521,2886
0.00,3,DATA,SOFT2,554,2655
0.00,2,DATA,SOFT2,622,2875
0.00,1,DATA,SOFT2,1021,2886
0.00,3,DATA,SOFT2,1054,2656
0.00,2,DATA,SOFT2,1122,2877
0.00,1,DATA,SOFT2,1521,2886
0.00,3,DATA,SOFT2,1554,2656
0.00,2,DATA,SOFT2,1622,2876
0.00,1,DATA,SOFT2,2021,2886
0.00,3,DATA,SOFT2,2054,2656
0.00,2,DATA,SOFT2,2122,2876
0.00,1,DATA,SOFT2,2521,2886
0.00,3,DATA,SOFT2,2554,2656
0.00,2,DATA,SOFT2,2623,2875
0.00,3,DATA,SOFT2,2554,2656
0.00,1,DATA,SOFT2,3021,2886
0.00,3,DATA,SOFT2,3054,2656
0.00,2,DATA,SOFT2,3122,2876
0.00,1,DATA,SOFT2,3521,2886
0.00,3,DATA,SOFT2,3554,2656
0.00,2,DATA,SOFT2,3622,2875
0.00,1,DATA,SOFT2,4021,2886
0.00,3,DATA,SOFT2,4054,2656
0.00,2,DATA,SOFT2,4122,2876
0.00,1,DATA,SOFT2,4521,2886
0.00,3,DATA,SOFT2,4554,2656
0.00,2,DATA,SOFT2,4622,2875
0.00,1,DATA,SOFT2,5021,2886
0.00,3,DATA,SOFT2,5054,2656
0.00,2,DATA,SOFT2,5122,2876
0.00,1,DATA,SOFT2,5521,2886
0.00,0,BSYS,7621,INFO,etmark 0
0.00,3,DATA,SOFT2,5554,2656
0.00,2,DATA,SOFT2,5622,2875
0.00,1,DATA,SOFT2,6021,2886
0.00,3,DATA,SOFT2,6054,2656
0.00,2,DATA,SOFT2,6122,2876
0.00,1,DATA,SOFT2,6521,2886
0.00,3,DATA,SOFT2,6554,2656
0.00,2,DATA,SOFT2,6622,2876
0.00,1,DATA,SOFT2,7021,2886
0.00,3,DATA,SOFT2,7054,2656
0.00,2,DATA,SOFT2,7122,2876
0.00,1,DATA,SOFT2,7521,2886
0.00,3,DATA,SOFT2,7554,2656
0.00,2,DATA,SOFT2,7622,2876
0.00,1,DATA,SOFT2,8021,2886
0.00,3,DATA,SOFT2,8054,2656
0.00,2,DATA,SOFT2,8122,2876
0.00,1,DATA,SOFT2,8521,2886
0.00,3,DATA,SOFT2,8554,2656
0.00,2,DATA,SOFT2,8622,2875
0.00,1,DATA,SOFT2,9021,2886
0.00,3,DATA,SOFT2,9054,2657
0.00,3,DATA,SOFT2,9054,2657
0.00,2,DATA,SOFT2,9122,2876
0.00,1,DATA,SOFT2,9521,2886
0.00,3,DATA,SOFT2,9554,2656
0.00,2,DATA,SOFT2,9622,2876
0.00,1,DATA,SOFT2,10021,2886
0.00,3,DATA,SOFT2,10054,2657
0.00,2,DATA,SOFT2,10122,2876
0.00,1,DATA,SOFT2,10521,2886
0.00,3,DATA,SOFT2,10554,2657
0.00,2,DATA,SOFT2,10622,2875
0.00,1,DATA,SOFT2,11021,2886
0.00,3,DATA,SOFT2,11054,2657
0.00,2,DATA,SOFT2,11122,2876
0.00,1,DATA,SOFT2,11521,2886
0.00,3,DATA,SOFT2,11554,2657
0.00,2,DATA,SOFT2,11622,2876
0.00,1,DATA,SOFT2,12021,2886
0.00,3,DATA,SOFT2,12054,2657
0.00,2,DATA,SOFT2,12122,2876
0.00,1,DATA,SOFT2,12521,2886
0.00,3,DATA,SOFT2,12554,2657
0.00,2,DATA,SOFT2,12622,2876
0.00,1,DATA,SOFT2,13021,2886
0.00,3,DATA,SOFT2,13054,2657
0.00,2,DATA,SOFT2,13122,2875
0.00,1,DATA,SOFT2,13521,2886
0.00,3,DATA,SOFT2,13554,2657
0.00,2,DATA,SOFT2,13622,2876
0.00,1,DATA,SOFT2,14021,2886
0.00,3,DATA,SOFT2,14054,2657
0.00,2,DATA,SOFT2,14122,2875
0.00,1,DATA,SOFT2,14521,2886
0.00,3,DATA,SOFT2,14554,2657
0.00,2,DATA,SOFT2,14622,2876
0.00,1,DATA,SOFT2,15021,2886
0.00,3,DATA,SOFT2,15054,2657
0.00,2,DATA,SOFT2,15122,2875
0.00,1,DATA,SOFT2,15521,2886
0.00,0,BSYS,17621,INFO,etmark 0
0.00,3,DATA,SOFT2,15554,2657
0.00,2,DATA,SOFT2,15622,2875
0.00,1,DATA,SOFT2,16021,2886
0.00,3,DATA,SOFT2,16054,2657
0.00,2,DATA,SOFT2,16122,2876
0.00,1,DATA,SOFT2,16521,2886
0.00,3,DATA,SOFT2,16554,2658
0.00,2,DATA,SOFT2,16622,2875
0.00,1,DATA,SOFT2,17021,2886
0.00,3,DATA,SOFT2,17054,2657
0.00,2,DATA,SOFT2,17122,2875
0.00,1,DATA,SOFT2,17521,2886
0.00,3,DATA,SOFT2,17554,2657
0.00,2,DATA,SOFT2,17622,2875
0.00,1,DATA,SOFT2,18021,2886
0.00,3,DATA,SOFT2,18054,2657
0.00,2,DATA,SOFT2,18122,2875
0.00,1,DATA,SOFT2,18521,2886
0.00,3,DATA,SOFT2,18554,2657
0.00,2,DATA,SOFT2,18622,2875
0.00,1,DATA,SOFT2,19021,2886
0.00,3,DATA,SOFT2,19054,2657
0.00,2,DATA,SOFT2,19122,2875
0.00,1,DATA,SOFT2,19521,2886
0.00,3,DATA,SOFT2,19554,2658
0.00,2,DATA,SOFT2,19622,2875
0.00,1,DATA,SOFT2,20021,2886
0.00,3,DATA,SOFT2,20054,2658
0.00,2,DATA,SOFT2,20122,2876
0.00,1,DATA,SOFT2,20521,2886
0.00,3,DATA,SOFT2,20554,2658
0.00,2,DATA,SOFT2,20622,2875
0.00,1,DATA,SOFT2,21021,2886
0.00,3,DATA,SOFT2,21054,2658
0.00,2,DATA,SOFT2,21122,2875
0.00,1,DATA,SOFT2,21521,2886
0.00,3,DATA,SOFT2,21554,2658
0.00,2,DATA,SOFT2,21622,2875
0.00,1,DATA,SOFT2,22021,2886
0.00,3,DATA,SOFT2,22054,2658
0.00,2,DATA,SOFT2,22122,2875
0.00,1,DATA,SOFT2,22521,2886
0.00,3,DATA,SOFT2,22554,2658
0.00,2,DATA,SOFT2,22622,2875
0.00,1,DATA,SOFT2,23021,2886
0.00,3,DATA,SOFT2,23054,2658
0.00,2,DATA,SOFT2,23122,2875
0.00,1,DATA,SOFT2,23521,2886
0.00,3,DATA,SOFT2,23554,2658
0.00,2,DATA,SOFT2,23622,2875
0.00,1,DATA,SOFT2,24021,2885
0.00,3,DATA,SOFT2,24054,2659
0.00,2,DATA,SOFT2,24122,2875
0.00,1,DATA,SOFT2,24521,2885
0.00,3,DATA,SOFT2,24554,2658
0.00,2,DATA,SOFT2,24622,2875
0.00,1,DATA,SOFT2,25021,2886
0.00,3,DATA,SOFT2,25054,2658
0.00,2,DATA,SOFT2,25122,2875
0.00,1,DATA,SOFT2,25521,2885
0.00,0,BSYS,27621,INFO,etmark 0
0.00,3,DATA,SOFT2,25554,2658
0.00,2,DATA,SOFT2,25622,2875
0.00,1,DATA,SOFT2,26021,2885
0.00,3,DATA,SOFT2,26054,2658
0.00,2,DATA,SOFT2,26122,2875
0.00,1,DATA,SOFT2,26521,2885
0.00,3,DATA,SOFT2,26554,2658
0.00,2,DATA,SOFT2,26622,2875
0.00,1,DATA,SOFT2,27021,2885
0.00,3,DATA,SOFT2,27054,2659
0.00,2,DATA,SOFT2,27122,2875
0.00,1,DATA,SOFT2,27521,2886
0.00,3,DATA,SOFT2,27554,2659
0.00,2,DATA,SOFT2,27622,2875
0.00,1,DATA,SOFT2,28021,2885
0.00,3,DATA,SOFT2,28054,2659
0.00,2,DATA,SOFT2,28122,2875
0.00,1,DATA,SOFT2,28521,2885
0.00,3,DATA,SOFT2,28554,2658
0.00,2,DATA,SOFT2,28622,2875
0.00,1,DATA,SOFT2,29021,2885
0.00,3,DATA,SOFT2,29054,2659
0.00,2,DATA,SOFT2,29122,2875
0.00,1,DATA,SOFT2,29521,2886
0.00,3,DATA,SOFT2,29554,2659
0.00,2,DATA,SOFT2,29622,2875
0.00,1,DATA,SOFT2,30021,2885
0.00,3,DATA,SOFT2,30054,2659
0.00,2,DATA,SOFT2,30122,2875
0.00,1,DATA,SOFT2,30521,2885
