timestamp (ticks/UTC),temperature (C),humidity (%RH)
1739688927.855,29.17,55.84
1739688987.847,29.23,55.93
1739689047.835,29.27,55.83
1739689107.824,29.27,55.75
1739689167.812,29.27,55.69
1739689227.804,29.27,55.65
1739689287.792,29.26,55.62
1739689347.781,29.26,55.60
1739689407.769,29.26,55.58
1739689467.761,29.26,55.55
1739689527.750,29.26,55.54
1739689587.738,29.26,55.52
1739689647.726,29.26,55.49
1739689707.718,29.26,55.48
1739689767.707,29.26,55.45
1739689827.695,29.27,55.41
1739689887.683,29.26,55.41
1739689947.675,29.26,55.40
1739690007.664,29.27,55.37
1739690067.652,29.27,55.35
1739690127.640,29.27,55.33
1739690187.632,29.27,55.30
1739690247.621,29.28,55.28
1739690307.609,29.28,55.26
1739690367.597,29.29,55.23
1739690427.589,29.29,55.22
1739690487.578,29.29,55.19
1739690547.566,29.29,55.17
1739690607.554,29.30,55.15
1739690667.546,29.30,55.13
1739690727.535,29.30,55.11
1739690787.523,29.30,55.09
1739690847.511,29.31,55.05
1739690907.503,29.31,55.05
1739690967.492,29.31,55.03
1739691027.480,29.31,55.02
1739691087.468,29.32,54.99
1739691147.460,29.32,54.98
1739691207.449,29.32,54.97
1739691267.441,29.33,54.94
1739691327.425,29.33,54.93
1739691387.421,29.34,54.91
1739691447.406,29.34,54.88
1739691507.398,29.35,54.86
1739691567.386,29.35,54.85
1739691627.378,29.36,54.83
1739691687.363,29.36,54.80
1739691747.355,29.37,54.78
1739691807.339,29.38,54.76
1739691867.335,29.39,54.71
1739691927.320,29.39,54.70
1739691987.316,29.39,54.69
1739692047.296,29.40,54.67
1739692107.289,29.40,54.64
1739692167.277,29.41,54.60
1739692227.265,29.41,54.57
1739692287.253,29.42,54.54
1739692347.246,29.42,54.51
1739692407.234,29.42,54.49
1739692467.222,29.42,54.46
1739692527.210,29.42,54.45
1739692587.199,29.45,54.56
1739692647.191,29.52,54.65
1739692707.179,29.59,54.66
1739692767.167,29.64,54.48
1739692827.156,29.64,54.30
1739692887.148,29.62,54.18
1739692947.136,29.61,54.09
1739693007.125,29.59,54.01
1739693067.113,29.57,53.98
1739693127.105,29.55,53.94
1739693187.093,29.53,53.90
1739693247.082,29.52,53.88
1739693307.070,29.51,53.85
1739693367.062,29.52,53.99
1739693427.050,29.58,54.14
1739693487.039,29.65,54.15
1739693547.027,29.68,53.93
1739693607.019,29.67,53.77
1739693667.007,29.66,53.65
1739693726.996,29.63,53.61
1739693786.984,29.60,53.57
1739693846.976,29.58,53.54
1739693906.964,29.56,53.51
1739693966.953,29.55,53.49
1739694026.941,29.53,53.47
1739694086.933,29.51,53.45
1739694146.921,29.50,53.43
1739694206.910,29.49,53.42
1739694266.898,29.48,53.39
1739694326.890,29.47,53.39
1739694386.878,29.46,53.37
1739694446.867,29.46,53.32
