GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1739688901,-14,-2066937,-170,-4414376
1739688961,-14,-2066812,-170,-4414222
1739689021,-14,-2066753,-170,-4414204
1739689081,-14,-2066963,-170,-4414310
1739689141,-14,-2067065,-170,-4414297
1739689201,-14,-2067354,-170,-4414384
1739689261,-14,-2067239,-170,-4414378
1739689321,-14,-2066997,-170,-4414383
1739689381,-14,-2067710,-170,-4414618
1739689441,-14,-2067525,-170,-4414535
1739689501,-14,-2067207,-170,-4414446
1739689561,-14,-2067087,-170,-4414373
1739689621,-14,-2067093,-170,-4414347
1739689681,-14,-2067091,-170,-4414370
1739689741,-14,-2067351,-170,-4414335
1739689801,-14,-2067757,-170,-4414418
1739689861,-14,-2067226,-170,-4414282
1739689921,-14,-2067028,-170,-4414304
1739689981,-14,-2066903,-170,-4414298
1739690041,-14,-2067672,-170,-4414539
1739690101,-14,-2067735,-170,-4414526
1739690161,-14,-2067644,-170,-4414376
1739690221,-14,-2067496,-170,-4414313
1739690281,-14,-2067833,-170,-4414509
1739690341,-14,-2067573,-170,-4414488
1739690401,-14,-2067911,-170,-4414583
1739690461,-14,-2068171,-170,-4414619
1739690521,-14,-2068341,-170,-4414544
1739690581,-14,-2067745,-170,-4414412
1739690641,-14,-2067245,-170,-4414358
1739690701,-14,-2067271,-170,-4414312
1739690761,-14,-2067202,-170,-4414214
1739690821,-14,-2067169,-170,-4414371
1739690881,-14,-2067323,-170,-4414369
1739690941,-14,-2067245,-170,-4414310
1739691001,-14,-2067143,-170,-4414274
1739691061,-14,-2067229,-170,-4414211
1739691121,-14,-2067135,-170,-4414107
1739691181,-14,-2067276,-170,-4414241
1739691241,-14,-2067355,-170,-4414373
1739691301,-14,-2067125,-170,-4414359
1739691361,-14,-2067281,-170,-4414306
1739691421,-14,-2067013,-170,-4414323
1739691481,-14,-2067022,-170,-4414352
1739691541,-14,-2067084,-170,-4414360
1739691601,-14,-2067062,-170,-4414416
1739691661,-14,-2067068,-170,-4414427
1739691721,-14,-2066985,-170,-4414444
1739691781,-14,-2067185,-170,-4414297
1739691841,-14,-2067247,-170,-4414273
1739691901,-14,-2067180,-170,-4414290
1739691961,-14,-2067073,-170,-4414214
1739692021,-14,-2066886,-170,-4414209
1739692081,-14,-2066873,-170,-4414317
1739692141,-14,-2067015,-170,-4414342
1739692201,-14,-2067053,-170,-4414324
1739692261,-14,-2067018,-170,-4414230
1739692321,-14,-2066922,-170,-4414245
1739692381,-14,-2067038,-170,-4414188
1739692441,-14,-2066988,-170,-4414282
