epoch,sensor,link,log type,data,SST
1739683873.58,1,DATA,SOFT2,611,2950
1739683873.61,2,DATA,SOFT2,594,2936
1739683873.66,3,DATA,SOFT2,646,2565
1739683874.08,1,DATA,SOFT2,1111,2950
1739683874.11,2,DATA,SOFT2,1094,2936
1739683874.16,3,DATA,SOFT2,1146,2565
1739683874.57,1,DATA,SOFT2,1611,2950
1739683874.61,2,DATA,SOFT2,1594,2936
1739683874.66,3,DATA,SOFT2,1646,2565
1739683875.07,1,DATA,SOFT2,2111,2950
1739683875.11,2,DATA,SOFT2,2094,2936
1739683875.16,3,DATA,SOFT2,2146,2565
1739683875.57,1,DATA,SOFT2,2611,2950
1739683875.60,2,DATA,SOFT2,2594,2936
1739683875.66,3,DATA,SOFT2,2646,2565
1739683933.49,1,DATA,SOFT2,527,2949
1739683933.63,2,DATA,SOFT2,625,2934
1739683933.66,3,DATA,SOFT2,637,2570
1739683933.99,1,DATA,SOFT2,1027,2949
1739683934.13,2,DATA,SOFT2,1125,2934
1739683934.16,3,DATA,SOFT2,1137,2570
1739683934.49,1,DATA,SOFT2,1527,2949
1739683934.62,2,DATA,SOFT2,1625,2934
1739683934.66,3,DATA,SOFT2,1637,2570
1739683934.99,1,DATA,SOFT2,2027,2949
1739683935.12,2,DATA,SOFT2,2125,2934
1739683935.16,3,DATA,SOFT2,2137,2570
1739683935.49,1,DATA,SOFT2,2527,2949
1739683935.62,2,DATA,SOFT2,2625,2934
1739683935.65,3,DATA,SOFT2,2637,2570
1739683993.60,1,DATA,SOFT2,625,2947
1739683993.64,2,DATA,SOFT2,639,2932
1739683993.68,3,DATA,SOFT2,631,2575
1739683994.09,1,DATA,SOFT2,1125,2947
1739683994.14,2,DATA,SOFT2,1139,2932
1739683994.18,3,DATA,SOFT2,1131,2575
1739683994.59,1,DATA,SOFT2,1625,2947
1739683994.64,2,DATA,SOFT2,1639,2932
1739683994.67,3,DATA,SOFT2,1631,2575
1739683995.09,1,DATA,SOFT2,2125,2947
1739683995.14,2,DATA,SOFT2,2139,2932
1739683995.17,3,DATA,SOFT2,2131,2575
1739683995.59,1,DATA,SOFT2,2625,2947
1739683995.64,2,DATA,SOFT2,2639,2932
1739683995.67,3,DATA,SOFT2,2631,2575
1739684053.57,1,DATA,SOFT2,545,2945
1739684053.60,2,DATA,SOFT2,523,2930
1739684053.68,3,DATA,SOFT2,603,2580
1739684054.07,1,DATA,SOFT2,1045,2945
1739684054.10,2,DATA,SOFT2,1023,2930
1739684054.18,3,DATA,SOFT2,1103,2581
1739684054.57,1,DATA,SOFT2,1545,2945
1739684054.60,2,DATA,SOFT2,1523,2930
1739684054.68,3,DATA,SOFT2,1603,2581
1739684055.07,1,DATA,SOFT2,2045,2945
1739684055.10,2,DATA,SOFT2,2023,2930
1739684055.18,3,DATA,SOFT2,2103,2580
1739684055.57,1,DATA,SOFT2,2545,2945
1739684055.60,2,DATA,SOFT2,2523,2930
1739684055.68,3,DATA,SOFT2,2603,2580
1739684113.58,3,DATA,SOFT2,515,2584
1739684113.63,1,DATA,SOFT2,616,2943
1739684113.74,2,DATA,SOFT2,592,2927
1739684114.08,3,DATA,SOFT2,1015,2584
1739684114.13,1,DATA,SOFT2,1116,2943
1739684114.24,2,DATA,SOFT2,1092,2927
1739684114.58,3,DATA,SOFT2,1515,2585
1739684114.63,1,DATA,SOFT2,1616,2943
1739684114.68,2,DATA,SOFT2,1592,2927
1739684114.70,1,DATA,SOFT2,1616,2943
1739684115.08,3,DATA,SOFT2,2015,2584
1739684115.13,1,DATA,SOFT2,2116,2943
1739684115.24,2,DATA,SOFT2,2092,2927
1739684115.58,3,DATA,SOFT2,2515,2585
1739684115.63,1,DATA,SOFT2,2616,2943
1739684115.74,2,DATA,SOFT2,2592,2927
1739685403.59,2,DATA,SOFT2,538,2874
1739685403.61,1,DATA,SOFT2,582,2882
1739685403.65,3,DATA,SOFT2,595,2668
1739685404.09,2,DATA,SOFT2,1038,2874
1739685404.11,1,DATA,SOFT2,1082,2883
1739685404.15,3,DATA,SOFT2,1095,2668
1739685404.59,2,DATA,SOFT2,1538,2874
1739685404.61,1,DATA,SOFT2,1582,2882
1739685404.65,3,DATA,SOFT2,1595,2667
1739685405.08,2,DATA,SOFT2,2038,2873
1739685405.10,1,DATA,SOFT2,2082,2882
1739685405.15,3,DATA,SOFT2,2095,2668
1739685405.58,2,DATA,SOFT2,2538,2873
1739685405.60,1,DATA,SOFT2,2582,2882
1739685405.65,3,DATA,SOFT2,2595,2668
1739685463.65,1,DATA,SOFT2,638,2878
1739685463.69,2,DATA,SOFT2,632,2871
1739685463.77,3,DATA,SOFT2,594,2672
1739685464.15,1,DATA,SOFT2,1138,2877
1739685464.19,2,DATA,SOFT2,1132,2871
1739685464.27,3,DATA,SOFT2,1094,2671
1739685464.65,1,DATA,SOFT2,1638,2878
