GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1649862898.40,-14,-2198634,-170,-4586300
1649862958.80,-14,-2198585,-170,-4586271
1649863019.20,-14,-2198556,-170,-4586278
1649863079.60,-14,-2198523,-170,-4586297
1649863140.00,-14,-2198538,-170,-4586334
1649863200.40,-14,-2198460,-170,-4586307
1649863260.80,-14,-2198480,-170,-4586342
1649863321.20,-14,-2198497,-170,-4586382
1649863381.60,-14,-2198532,-170,-4586396
1649863442.00,-14,-2198547,-170,-4586408
1649863502.40,-14,-2198385,-170,-4586408
1649863562.80,-14,-2198437,-170,-4586357
1649863623.20,-14,-2198347,-170,-4586358
1649863683.60,-14,-2198341,-170,-4586376
1649863744.00,-14,-2198275,-170,-4586401
1649863804.40,-14,-2198212,-170,-4586420
1649863864.80,-14,-2198117,-170,-4586435
1649863925.20,-14,-2198072,-170,-4586477
1649863985.60,-14,-2198085,-170,-4586453
1649864046.00,-14,-2198006,-170,-4586566
1649864106.40,-14,-2197997,-170,-4586590
1649864166.80,-14,-2197932,-170,-4586633
1649864227.20,-14,-2197882,-170,-4586658
1649864287.60,-14,-2197855,-170,-4586631
1649864348.00,-14,-2197803,-170,-4586638
1649864408.40,-14,-2197832,-170,-4586630
1649864468.80,-14,-2197855,-170,-4586565
1649864529.20,-14,-2197768,-170,-4586551
1649864589.60,-14,-2197867,-170,-4586575
1649864650.00,-14,-2197863,-170,-4586596
1649864710.40,-14,-2197800,-170,-4586574
1649864770.80,-14,-2197878,-170,-4586576
1649864831.20,-14,-2197911,-170,-4586560
1649864891.60,-14,-2197996,-170,-4586533
1649864952.00,-14,-2198080,-170,-4586490
1649865012.40,-14,-2198207,-170,-4586503
1649865072.80,-14,-2198316,-170,-4586430
1649865133.20,-14,-2198306,-170,-4586401
1649865193.60,-14,-2198475,-170,-4586351
1649865254.00,-14,-2198598,-170,-4586381
1649865314.40,-14,-2198667,-170,-4586402
1649865374.80,-14,-2198596,-170,-4586364
1649865435.20,-14,-2198598,-170,-4586379
1649865495.60,-14,-2198588,-170,-4586355
1649865556.00,-14,-2198578,-170,-4586345
1649865616.40,-14,-2198642,-170,-4586355
1649865676.00,-14,-2198589,-170,-4586323
1649865736.80,-14,-2198575,-170,-4586319
1649865797.20,-14,-2198669,-170,-4586312
1649865857.60,-14,-2198592,-170,-4586314
1649865918.00,-14,-2198626,-170,-4586300
1649865978.40,-14,-2198664,-170,-4586276
1649866038.80,-14,-2198650,-170,-4586216
1649866099.20,-14,-2198663,-170,-4586284
1649866159.60,-14,-2198604,-170,-4586250
1649866220.00,-14,-2198645,-170,-4586236
1649866280.40,-14,-2198641,-170,-4586276
1649866340.80,-14,-2198641,-170,-4586247
1649866400.80,-14,-2198653,-170,-4586304
1649866461.60,-14,-2198711,-170,-4586261
1649866522.00,-14,-2198690,-170,-4586248
1649866582.40,-14,-2198672,-170,-4586252
1649866642.80,-14,-2198682,-170,-4586232
1649866703.20,-14,-2198668,-170,-4586252
1649866763.60,-14,-2198677,-170,-4586256
1649866824.00,-14,-2198605,-170,-4586246
1649866884.40,-14,-2198554,-170,-4586243
1649866944.80,-14,-2198570,-170,-4586201
1649867005.20,-14,-2198623,-170,-4586228
1649867065.60,-14,-2198608,-170,-4586214
1649867126.00,-14,-2198548,-170,-4586212
1649867186.40,-14,-2198553,-170,-4586194
1649867246.80,-14,-2198527,-170,-4586194
1649867307.20,-14,-2198552,-170,-4586153
1649867367.60,-14,-2198550,-170,-4586206
1649867428.00,-14,-2198456,-170,-4586178
1649867488.40,-14,-2198442,-170,-4586185
1649867548.80,-14,-2198466,-170,-4586159
1649867609.20,-14,-2198425,-170,-4586115
1649867669.60,-14,-2198508,-170,-4586099
1649867730.00,-14,-2198505,-170,-4586090
1649867790.40,-14,-2198515,-170,-4586039
1649867850.80,-14,-2198477,-170,-4585985
1649867911.20,-14,-2198483,-170,-4585975
1649867971.60,-14,-2198496,-170,-4585989
1649868032.00,-14,-2198475,-170,-4586041
1649868092.40,-14,-2198395,-170,-4586036
1649868152.80,-14,-2198453,-170,-4585982
1649868213.20,-14,-2198453,-170,-4585929
1649868273.60,-14,-2198478,-170,-4585982
1649868334.00,-14,-2198480,-170,-4585952
1649868394.40,-14,-2198533,-170,-4586012
1649868454.80,-14,-2198575,-170,-4586064
1649868515.20,-14,-2198515,-170,-4586062
1649868575.60,-14,-2198506,-170,-4585979
1649868636.00,-14,-2198523,-170,-4585991
1649868696.40,-14,-2198568,-170,-4585973
1649868756.80,-14,-2198623,-170,-4585986
1649868817.20,-14,-2198571,-170,-4586017
1649868877.60,-14,-2198554,-170,-4586032
1649868938.00,-14,-2198423,-170,-4586070
1649868998.40,-14,-2198432,-170,-4585985
1649869058.80,-14,-2198409,-170,-4585998
1649869119.20,-14,-2198467,-170,-4586053
1649869179.60,-14,-2198451,-170,-4586026
1649869240.00,-14,-2198414,-170,-4585946
1649869300.40,-14,-2198426,-170,-4585898
1649869360.80,-14,-2198449,-170,-4585882
1649869421.20,-14,-2198447,-170,-4585861
1649869480.80,-14,-2198538,-170,-4585854
1649869541.60,-14,-2198527,-170,-4585861
1649869602.00,-14,-2198512,-170,-4585908
1649869662.40,-14,-2198555,-170,-4585907
1649869722.80,-14,-2198601,-170,-4585978
1649869783.20,-14,-2198572,-170,-4586024
1649869843.60,-14,-2198626,-170,-4586051
1649869904.00,-14,-2198661,-170,-4586127
1649869964.40,-14,-2198666,-170,-4586156
1649870024.80,-14,-2198644,-170,-4586188
1649870085.20,-14,-2198648,-170,-4586219
1649870145.60,-14,-2198715,-170,-4586266
1649870205.60,-14,-2198691,-170,-4586277
1649870266.40,-14,-2198685,-170,-4586330
1649870326.80,-14,-2198701,-170,-4586333
1649870387.20,-14,-2198712,-170,-4586377
1649870447.60,-14,-2198645,-170,-4586365
1649870508.00,-14,-2198623,-170,-4586289
1649870568.40,-14,-2198650,-170,-4586380
1649870628.80,-14,-2198729,-170,-4586319
1649870689.20,-14,-2198639,-170,-4586310
1649870749.60,-14,-2198613,-170,-4586373
1649870810.00,-14,-2198619,-170,-4586348
1649870870.40,-14,-2198633,-170,-4586340
1649870930.80,-14,-2198647,-170,-4586330
1649870991.20,-14,-2198639,-170,-4586301
1649871051.60,-14,-2198581,-170,-4586290
1649871112.00,-14,-2198649,-170,-4586341
1649871172.40,-14,-2198656,-170,-4586330
1649871232.80,-14,-2198673,-170,-4586400
1649871293.20,-14,-2198644,-170,-4586382
1649871353.60,-14,-2198671,-170,-4586429
1649871414.00,-14,-2198665,-170,-4586411
1649871474.40,-14,-2198645,-170,-4586410
1649871534.40,-14,-2198624,-170,-4586448
1649871594.80,-14,-2198633,-170,-4586508
1649871655.20,-14,-2198605,-170,-4586514
1649871715.60,-14,-2198617,-170,-4586542
1649871776.00,-14,-2198602,-170,-4586558
1649871836.40,-14,-2198646,-170,-4586584
1649871896.80,-14,-2198610,-170,-4586605
1649871957.20,-14,-2198600,-170,-4586611
1649872017.60,-14,-2198580,-170,-4586616
1649872078.00,-14,-2198567,-170,-4586640
1649872138.40,-14,-2198598,-170,-4586635
1649872198.80,-14,-2198606,-170,-4586668
1649872259.20,-14,-2198614,-170,-4586671
1649872319.60,-14,-2198537,-170,-4586658
1649872380.00,-14,-2198547,-170,-4586685
1649872440.40,-14,-2198601,-170,-4586696
1649872500.80,-14,-2198553,-170,-4586701
1649872561.20,-14,-2198574,-170,-4586680
1649872621.60,-14,-2198579,-170,-4586655
1649872682.00,-14,-2198563,-170,-4586675
1649872742.40,-14,-2198583,-170,-4586702
1649872802.80,-14,-2198565,-170,-4586729
1649872863.20,-14,-2198605,-170,-4586740
1649872923.60,-14,-2198557,-170,-4586718
1649872984.00,-14,-2198538,-170,-4586734
1649873044.40,-14,-2198619,-170,-4586700
1649873104.80,-14,-2198606,-170,-4586708
1649873165.20,-14,-2198560,-170,-4586687
1649873225.60,-14,-2198606,-170,-4586668
1649873286.00,-14,-2198635,-170,-4586688
1649873346.40,-14,-2198669,-170,-4586714
1649873406.80,-14,-2198626,-170,-4586708
1649873467.20,-14,-2198608,-170,-4586682
1649873527.60,-14,-2198683,-170,-4586641
1649873588.00,-14,-2198688,-170,-4586646
1649873648.40,-14,-2198684,-170,-4586656
1649873708.80,-14,-2198686,-170,-4586662
1649873769.20,-14,-2198682,-170,-4586650
1649873829.60,-14,-2198711,-170,-4586632
1649873890.00,-14,-2198716,-170,-4586595
1649873950.40,-14,-2198727,-170,-4586543
1649874010.40,-14,-2198743,-170,-4586498
1649874071.20,-14,-2198695,-170,-4586497
1649874131.60,-14,-2198716,-170,-4586488
1649874192.00,-14,-2198755,-170,-4586493
1649874252.40,-14,-2198741,-170,-4586524
1649874312.80,-14,-2198721,-170,-4586516
1649874373.20,-14,-2198690,-170,-4586531
1649874433.60,-14,-2198741,-170,-4586500
1649874494.00,-14,-2198666,-170,-4586525
1649874554.40,-14,-2198669,-170,-4586566
1649874614.80,-14,-2198698,-170,-4586520
1649874675.20,-14,-2198655,-170,-4586543
1649874735.60,-14,-2198619,-170,-4586570
1649874796.00,-14,-2198608,-170,-4586622
1649874856.40,-14,-2198547,-170,-4586632
1649874916.80,-14,-2198602,-170,-4586669
1649874977.20,-14,-2198560,-170,-4586657
1649875037.60,-14,-2198555,-170,-4586671
1649875098.00,-14,-2198496,-170,-4586696
1649875158.40,-14,-2198519,-170,-4586705
1649875218.80,-14,-2198424,-170,-4586682
1649875279.20,-14,-2198493,-170,-4586711
1649875339.60,-14,-2198502,-170,-4586712
1649875400.00,-14,-2198441,-170,-4586718
1649875460.40,-14,-2198447,-170,-4586737
1649875520.80,-14,-2198479,-170,-4586698
1649875581.20,-14,-2198540,-170,-4586723
1649875641.60,-14,-2198564,-170,-4586735
1649875702.00,-14,-2198536,-170,-4586687
1649875762.40,-14,-2198576,-170,-4586731
1649875822.80,-14,-2198544,-170,-4586700
1649875883.20,-14,-2198550,-170,-4586704
1649875943.60,-14,-2198588,-170,-4586699
1649876004.00,-14,-2198572,-170,-4586724
1649876064.40,-14,-2198620,-170,-4586701
1649876124.80,-14,-2198616,-170,-4586648
1649876185.20,-14,-2198601,-170,-4586678
1649876245.60,-14,-2198559,-170,-4586640
1649876306.00,-14,-2198591,-170,-4586639
1649876366.40,-14,-2198597,-170,-4586650
1649876426.80,-14,-2198590,-170,-4586661
1649876487.20,-14,-2198596,-170,-4586701
1649876547.60,-14,-2198601,-170,-4586731
1649876608.00,-14,-2198518,-170,-4586745
1649876668.40,-14,-2198491,-170,-4586788
1649876728.80,-14,-2198506,-170,-4586770
1649876789.20,-14,-2198442,-170,-4586803
1649876849.60,-14,-2198456,-170,-4586825
1649876910.00,-14,-2198345,-170,-4586844
1649876970.40,-14,-2198387,-170,-4586830
1649877030.80,-14,-2198335,-170,-4586855
1649877091.20,-14,-2198222,-170,-4586842
1649877151.60,-14,-2198192,-170,-4586819
1649877212.00,-14,-2198102,-170,-4586853
1649877272.40,-14,-2198088,-170,-4586879
1649877332.80,-14,-2197999,-170,-4586835
1649877393.20,-14,-2197999,-170,-4586826
1649877453.60,-14,-2197915,-170,-4586817
1649877514.00,-14,-2197879,-170,-4586766
1649877574.40,-14,-2197794,-170,-4586738
1649877634.80,-14,-2197818,-170,-4586689
1649877695.20,-14,-2197771,-170,-4586728
1649877755.60,-14,-2197594,-170,-4586699
1649877815.20,-14,-2197623,-170,-4586680
1649877876.00,-14,-2197597,-170,-4586624
1649877936.40,-14,-2197668,-170,-4586615
1649877996.80,-14,-2197664,-170,-4586649
1649878057.20,-14,-2197653,-170,-4586676
1649878117.60,-14,-2197683,-170,-4586673
1649878178.00,-14,-2197739,-170,-4586669
1649878238.40,-14,-2197813,-170,-4586689
1649878298.80,-14,-2197729,-170,-4586695
1649878359.20,-14,-2197727,-170,-4586673
1649878419.60,-14,-2197748,-170,-4586707
1649878479.60,-14,-2197766,-170,-4586687
1649878540.00,-14,-2197791,-170,-4586712
1649878600.40,-14,-2197826,-170,-4586705
1649878660.80,-14,-2197852,-170,-4586720
1649878721.20,-14,-2197845,-170,-4586716
1649878781.60,-14,-2197873,-170,-4586712
1649878842.00,-14,-2197891,-170,-4586742
1649878902.40,-14,-2197941,-170,-4586723
1649878962.80,-14,-2197896,-170,-4586755
1649879023.20,-14,-2197956,-170,-4586761
1649879083.60,-14,-2197946,-170,-4586749
1649879144.00,-14,-2197941,-170,-4586733
1649879204.40,-14,-2197871,-170,-4586764
1649879264.80,-14,-2197845,-170,-4586754
1649879325.20,-14,-2197860,-170,-4586756
1649879385.60,-14,-2197878,-170,-4586753
1649879446.00,-14,-2197880,-170,-4586735
1649879506.40,-14,-2197855,-170,-4586725
1649879566.80,-14,-2197870,-170,-4586783
1649879627.20,-14,-2197830,-170,-4586697
1649879687.60,-14,-2197804,-170,-4586709
1649879748.00,-14,-2197888,-170,-4586669
1649879808.40,-14,-2197811,-170,-4586688
1649879868.80,-14,-2197744,-170,-4586684
1649879929.20,-14,-2197784,-170,-4586661
1649879989.60,-14,-2197785,-170,-4586649
1649880050.00,-14,-2197697,-170,-4586702
1649880110.40,-14,-2197746,-170,-4586668
1649880170.80,-14,-2197766,-170,-4586659
