millis,type,message
3908700674,INFO,0091_SYS.csv created
3908701020,WARN,Disabling IridiumMessageSender transmissions
3908702255,INFO,Completed analysis m: 1086 t: 1 e: 21
3908702279,INFO,Enabling IridiumMessageSender transmissions
3908751671,INFO,Starting analysis m: 1086 t: 1 e: 22
3908751953,WARN,Disabling IridiumMessageSender transmissions
3908753264,INFO,Completed analysis m: 1086 t: 1 e: 22
3908753289,INFO,Enabling IridiumMessageSender transmissions
3908802826,INFO,Starting analysis m: 1086 t: 1 e: 23
3908803110,WARN,Disabling IridiumMessageSender transmissions
3908804413,INFO,Completed analysis m: 1086 t: 1 e: 23
3908804438,INFO,Enabling IridiumMessageSender transmissions
3908853964,INFO,Starting analysis m: 1086 t: 1 e: 24
3908854255,WARN,Disabling IridiumMessageSender transmissions
3908855506,INFO,Completed analysis m: 1086 t: 1 e: 24
3908855531,INFO,Enabling IridiumMessageSender transmissions
3908887433,INFO,powerData | solV: 0.00
3908887457,INFO,powerData | solI: 0.00
3908887482,INFO,powerData | battV: 4.11
3908887506,INFO,powerData | battI: -0.17
3908887527,INFO,powerData | busV: 4.09
3908887547,INFO,powerData | busI: 0.18
3908887568,INFO,powerData | BQ status reg: 0
3908887588,INFO,powerData | Fault reg: 0
3908887611,INFO,powerData | Charge status: 0
3908887631,INFO,powerData | DPM status: 0
3908905123,INFO,Starting analysis m: 1086 t: 1 e: 25
3908905404,WARN,Disabling IridiumMessageSender transmissions
3908906774,INFO,Completed analysis m: 1086 t: 1 e: 25
3908906799,INFO,Enabling IridiumMessageSender transmissions
3908956260,INFO,Starting analysis m: 1086 t: 1 e: 26
3908956592,WARN,Disabling IridiumMessageSender transmissions
3908957890,INFO,Completed analysis m: 1086 t: 1 e: 26
3908957913,INFO,Enabling IridiumMessageSender transmissions
3909007405,INFO,Starting analysis m: 1086 t: 1 e: 27
3909007687,WARN,Disabling IridiumMessageSender transmissions
3909008957,INFO,Completed analysis m: 1086 t: 1 e: 27
3909008982,INFO,Enabling IridiumMessageSender transmissions
3909058562,INFO,Starting analysis m: 1086 t: 1 e: 28
3909058844,WARN,Disabling IridiumMessageSender transmissions
3909060149,INFO,Completed analysis m: 1086 t: 1 e: 28
3909060173,INFO,Enabling IridiumMessageSender transmissions
3909109708,INFO,Starting analysis m: 1086 t: 1 e: 29
3909110001,WARN,Disabling IridiumMessageSender transmissions
3909111291,INFO,Completed analysis m: 1086 t: 1 e: 29
3909111316,INFO,Enabling IridiumMessageSender transmissions
3909160857,INFO,Starting analysis m: 1086 t: 1 e: 30
3909161142,WARN,Disabling IridiumMessageSender transmissions
3909162457,INFO,Completed analysis m: 1086 t: 1 e: 30
3909162481,INFO,Enabling IridiumMessageSender transmissions
3909187434,INFO,powerData | solV: 0.00
3909187457,INFO,powerData | solI: 0.00
3909187477,INFO,powerData | battV: 4.10
3909187500,INFO,powerData | battI: -0.18
3909187522,INFO,powerData | busV: 4.09
3909187545,INFO,powerData | busI: 0.20
3909187569,INFO,powerData | BQ status reg: 0
3909187590,INFO,powerData | Fault reg: 0
3909187616,INFO,powerData | Charge status: 0
3909187637,INFO,powerData | DPM status: 0
3909211998,INFO,Starting analysis m: 1086 t: 1 e: 31
3909212289,WARN,Disabling IridiumMessageSender transmissions
3909213589,INFO,Completed analysis m: 1086 t: 1 e: 31
3909213614,INFO,Enabling IridiumMessageSender transmissions
3909263151,INFO,Starting analysis m: 1086 t: 1 e: 32
3909263433,WARN,Disabling IridiumMessageSender transmissions
3909264736,INFO,Completed analysis m: 1086 t: 1 e: 32
3909264760,INFO,Processing stats m: 1086 t: 1 e: 33
3909271066,INFO,Finished collection for m: 1086 in 1748
3909271093,INFO,Submitting 48 byte / 378 bit message: 
3909271150,DEBUG,m 125 sub to Q at i 0 count: 125
3909271173,DEBUG,1 msgs in Q
3909271220,INFO,Enabling IridiumMessageSender transmissions
3909271257,DEBUG,Sending Q index: 0 id: 125
3909282052,INFO,Send complete: Q index: 0 count_id 125
3909322627,INFO,Starting collection m: 1087 t: 0 at 1651559791.20
3909341474,INFO,Submitting 19 byte / 150 bit SMC message: 
3909341519,DEBUG,m 126 sub to Q at i 0 count: 126
3909341544,DEBUG,1 msgs in Q
3909341700,DEBUG,Sending Q index: 0 id: 126
3909351075,INFO,Send complete: Q index: 0 count_id 126
3909424582,INFO,Starting analysis m: 1087 t: 0 e: 0
3909424871,WARN,Disabling IridiumMessageSender transmissions
3909425922,INFO,Completed analysis m: 1087 t: 0 e: 0
3909425946,INFO,Enabling IridiumMessageSender transmissions
3909475723,INFO,Starting analysis m: 1087 t: 0 e: 1
3909476003,WARN,Disabling IridiumMessageSender transmissions
3909477361,INFO,Completed analysis m: 1087 t: 0 e: 1
3909477386,INFO,Enabling IridiumMessageSender transmissions
3909487437,INFO,powerData | solV: 0.00
3909487462,INFO,powerData | solI: 0.00
3909487482,INFO,powerData | battV: 4.11
3909487505,INFO,powerData | battI: -0.20
3909487525,INFO,powerData | busV: 4.08
3909487546,INFO,powerData | busI: 0.21
3909487568,INFO,powerData | BQ status reg: 0
3909487589,INFO,powerData | Fault reg: 0
3909487611,INFO,powerData | Charge status: 0
3909487642,INFO,powerData | DPM status: 0
3909526878,INFO,Starting analysis m: 1087 t: 0 e: 2
3909527169,WARN,Disabling IridiumMessageSender transmissions
3909528516,INFO,Completed analysis m: 1087 t: 0 e: 2
3909528541,INFO,Enabling IridiumMessageSender transmissions
3909578035,INFO,Starting analysis m: 1087 t: 0 e: 3
3909578326,WARN,Disabling IridiumMessageSender transmissions
3909579626,INFO,Completed analysis m: 1087 t: 0 e: 3
3909579653,INFO,Enabling IridiumMessageSender transmissions
3909629171,INFO,Starting analysis m: 1087 t: 0 e: 4
3909629466,WARN,Disabling IridiumMessageSender transmissions
3909630756,INFO,Completed analysis m: 1087 t: 0 e: 4
3909630781,INFO,Enabling IridiumMessageSender transmissions
3909680306,INFO,Starting analysis m: 1087 t: 0 e: 5
3909680588,WARN,Disabling IridiumMessageSender transmissions
3909681848,INFO,Completed analysis m: 1087 t: 0 e: 5
3909681872,INFO,Enabling IridiumMessageSender transmissions
3909731454,INFO,Starting analysis m: 1087 t: 0 e: 6
3909731735,WARN,Disabling IridiumMessageSender transmissions
3909733056,INFO,Completed analysis m: 1087 t: 0 e: 6
3909733081,INFO,Enabling IridiumMessageSender transmissions
3909782607,INFO,Starting analysis m: 1087 t: 0 e: 7
3909782898,WARN,Disabling IridiumMessageSender transmissions
3909784152,INFO,Completed analysis m: 1087 t: 0 e: 7
3909784176,INFO,Enabling IridiumMessageSender transmissions
3909787445,INFO,powerData | solV: 0.00
3909787469,INFO,powerData | solI: 0.00
3909787490,INFO,powerData | battV: 4.10
3909787514,INFO,powerData | battI: -0.21
3909787537,INFO,powerData | busV: 4.08
3909787557,INFO,powerData | busI: 0.20
3909787578,INFO,powerData | BQ status reg: 0
3909787600,INFO,powerData | Fault reg: 0
3909787621,INFO,powerData | Charge status: 0
3909787643,INFO,powerData | DPM status: 0
3909833760,INFO,Starting analysis m: 1087 t: 0 e: 8
3909834041,WARN,Disabling IridiumMessageSender transmissions
3909835341,INFO,Completed analysis m: 1087 t: 0 e: 8
3909835366,INFO,Enabling IridiumMessageSender transmissions
3909884901,INFO,Starting analysis m: 1087 t: 0 e: 9
3909885190,WARN,Disabling IridiumMessageSender transmissions
3909886730,INFO,Completed analysis m: 1087 t: 0 e: 9
3909886754,INFO,Enabling IridiumMessageSender transmissions
3909936046,INFO,Starting analysis m: 1087 t: 0 e: 10
3909936328,WARN,Disabling IridiumMessageSender transmissions
3909937635,INFO,Completed analysis m: 1087 t: 0 e: 10
3909937659,INFO,Enabling IridiumMessageSender transmissions
3909986158,INFO,Max CNO changed from 46 to 49
3909987203,INFO,Starting analysis m: 1087 t: 0 e: 11
3909987493,WARN,Disabling IridiumMessageSender transmissions
3909988847,INFO,Completed analysis m: 1087 t: 0 e: 11
3909988872,INFO,Enabling IridiumMessageSender transmissions
3910038347,INFO,Starting analysis m: 1087 t: 0 e: 12
3910038667,WARN,Disabling IridiumMessageSender transmissions
3910039977,INFO,Completed analysis m: 1087 t: 0 e: 12
3910040002,INFO,Enabling IridiumMessageSender transmissions
3910086053,INFO,Max CNO changed from 49 to 46
3910087477,INFO,powerData | solV: 0.00
3910087499,INFO,powerData | solI: 0.00
3910087520,INFO,powerData | battV: 4.10
3910087542,INFO,powerData | battI: -0.24
3910087563,INFO,powerData | busV: 4.08
3910087583,INFO,powerData | busI: 0.19
3910087606,INFO,powerData | BQ status reg: 0
3910087626,INFO,powerData | Fault reg: 0
3910087647,INFO,powerData | Charge status: 0
3910087667,INFO,powerData | DPM status: 0
3910089486,INFO,Starting analysis m: 1087 t: 0 e: 13
3910089777,WARN,Disabling IridiumMessageSender transmissions
3910091036,INFO,Completed analysis m: 1087 t: 0 e: 13
3910091063,INFO,Enabling IridiumMessageSender transmissions
3910140653,INFO,Starting analysis m: 1087 t: 0 e: 14
3910140940,WARN,Disabling IridiumMessageSender transmissions
3910142236,INFO,Completed analysis m: 1087 t: 0 e: 14
3910142261,INFO,Enabling IridiumMessageSender transmissions
3910191790,INFO,Starting analysis m: 1087 t: 0 e: 15
3910192070,WARN,Disabling IridiumMessageSender transmissions
3910193375,INFO,Completed analysis m: 1087 t: 0 e: 15
3910193393,INFO,Enabling IridiumMessageSender transmissions
3910242930,INFO,Starting analysis m: 1087 t: 0 e: 16
3910243213,WARN,Disabling IridiumMessageSender transmissions
3910244530,INFO,Completed analysis m: 1087 t: 0 e: 16
3910244554,INFO,Enabling IridiumMessageSender transmissions
3910294075,INFO,Starting analysis m: 1087 t: 0 e: 17
3910294358,WARN,Disabling IridiumMessageSender transmissions
3910295681,INFO,Completed analysis m: 1087 t: 0 e: 17
3910295709,INFO,Enabling IridiumMessageSender transmissions
3910345234,INFO,Starting analysis m: 1087 t: 0 e: 18
3910345525,WARN,Disabling IridiumMessageSender transmissions
3910346719,INFO,Completed analysis m: 1087 t: 0 e: 18
3910346745,INFO,Enabling IridiumMessageSender transmissions
3910387478,INFO,powerData | solV: 0.00
3910387505,INFO,powerData | solI: 0.00
3910387529,INFO,powerData | battV: 4.10
3910387550,INFO,powerData | battI: -0.21
3910387570,INFO,powerData | busV: 4.08
3910387593,INFO,powerData | busI: 0.21
3910387617,INFO,powerData | BQ status reg: 0
3910387638,INFO,powerData | Fault reg: 0
3910387660,INFO,powerData | Charge status: 0
3910387681,INFO,powerData | DPM status: 0
3910396368,INFO,Starting analysis m: 1087 t: 0 e: 19
3910396653,WARN,Disabling IridiumMessageSender transmissions
3910397960,INFO,Completed analysis m: 1087 t: 0 e: 19
3910397984,INFO,Enabling IridiumMessageSender transmissions
3910447529,INFO,Starting analysis m: 1087 t: 0 e: 20
3910447810,WARN,Disabling IridiumMessageSender transmissions
3910449166,INFO,Completed analysis m: 1087 t: 0 e: 20
3910449190,INFO,Enabling IridiumMessageSender transmissions
3910498672,INFO,Starting analysis m: 1087 t: 0 e: 21
3910498963,WARN,Disabling IridiumMessageSender transmissions
3910500323,INFO,Completed analysis m: 1087 t: 0 e: 21
3910500347,INFO,Enabling IridiumMessageSender transmissions
3910549843,INFO,Starting analysis m: 1087 t: 0 e: 22
3910550145,WARN,Disabling IridiumMessageSender transmissions
3910551433,INFO,Completed analysis m: 1087 t: 0 e: 22
3910551461,INFO,Enabling IridiumMessageSender transmissions
3910565558,INFO,Max CNO changed from 46 to 49
3910600968,INFO,Starting analysis m: 1087 t: 0 e: 23
3910601259,WARN,Disabling IridiumMessageSender transmissions
3910602553,INFO,Completed analysis m: 1087 t: 0 e: 23
3910602577,INFO,Enabling IridiumMessageSender transmissions
3910645479,INFO,Max CNO changed from 49 to 46
3910652116,INFO,Starting analysis m: 1087 t: 0 e: 24
3910652401,WARN,Disabling IridiumMessageSender transmissions
3910653704,INFO,Completed analysis m: 1087 t: 0 e: 24
3910653728,INFO,Enabling IridiumMessageSender transmissions
3910687479,INFO,powerData | solV: 0.00
3910687502,INFO,powerData | solI: 0.00
3910687522,INFO,powerData | battV: 4.10
3910687543,INFO,powerData | battI: -0.19
3910687563,INFO,powerData | busV: 4.09
3910687588,INFO,powerData | busI: 0.18
3910687610,INFO,powerData | BQ status reg: 0
3910687631,INFO,powerData | Fault reg: 0
3910687653,INFO,powerData | Charge status: 0
3910687676,INFO,powerData | DPM status: 0
3910703261,INFO,Starting analysis m: 1087 t: 0 e: 25
3910703542,WARN,Disabling IridiumMessageSender transmissions
3910704844,INFO,Completed analysis m: 1087 t: 0 e: 25
3910704869,INFO,Enabling IridiumMessageSender transmissions
3910754410,INFO,Starting analysis m: 1087 t: 0 e: 26
3910754691,WARN,Disabling IridiumMessageSender transmissions
3910756016,INFO,Completed analysis m: 1087 t: 0 e: 26
3910756040,INFO,Enabling IridiumMessageSender transmissions
3910805551,INFO,Starting analysis m: 1087 t: 0 e: 27
3910805829,WARN,Disabling IridiumMessageSender transmissions
3910807140,INFO,Completed analysis m: 1087 t: 0 e: 27
3910807164,INFO,Enabling IridiumMessageSender transmissions
3910856699,INFO,Starting analysis m: 1087 t: 0 e: 28
3910856992,WARN,Disabling IridiumMessageSender transmissions
3910858291,INFO,Completed analysis m: 1087 t: 0 e: 28
3910858317,INFO,Enabling IridiumMessageSender transmissions
3910907842,INFO,Starting analysis m: 1087 t: 0 e: 29
3910908129,WARN,Disabling IridiumMessageSender transmissions
3910909435,INFO,Completed analysis m: 1087 t: 0 e: 29
3910909460,INFO,Enabling IridiumMessageSender transmissions
3910958991,INFO,Starting analysis m: 1087 t: 0 e: 30
3910959372,WARN,Disabling IridiumMessageSender transmissions
3910960715,INFO,Completed analysis m: 1087 t: 0 e: 30
3910960740,INFO,Enabling IridiumMessageSender transmissions
3910987481,INFO,powerData | solV: 0.00
3910987503,INFO,powerData | solI: 0.00
3910987528,INFO,powerData | battV: 4.11
3910987548,INFO,powerData | battI: -0.13
3910987569,INFO,powerData | busV: 4.10
3910987589,INFO,powerData | busI: 0.12
3910987610,INFO,powerData | BQ status reg: 0
3910987632,INFO,powerData | Fault reg: 0
3910987653,INFO,powerData | Charge status: 0
3910987675,INFO,powerData | DPM status: 0
3911010146,INFO,Starting analysis m: 1087 t: 0 e: 31
3911010463,WARN,Disabling IridiumMessageSender transmissions
3911011788,INFO,Completed analysis m: 1087 t: 0 e: 31
3911011817,INFO,Enabling IridiumMessageSender transmissions
3911061288,INFO,Starting analysis m: 1087 t: 0 e: 32
3911061569,WARN,Disabling IridiumMessageSender transmissions
3911062876,INFO,Completed analysis m: 1087 t: 0 e: 32
3911062900,INFO,Processing stats m: 1087 t: 0 e: 33
3911069218,INFO,Enabling IridiumMessageSender transmissions
3911120777,INFO,Starting collection m: 1087 t: 1 at 1651561591.20
3911222712,INFO,Starting analysis m: 1087 t: 1 e: 0
3911222994,WARN,Disabling IridiumMessageSender transmissions
3911224055,INFO,Completed analysis m: 1087 t: 1 e: 0
