millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
44548,1668627841.00,0.00,0.00,0.00,I
44746,1668627841.40,47.37,32.17,-116.18,I
44797,1668627841.80,36.91,25.07,-222.80,I
45264,1668627842.20,-19.74,2.68,-258.42,I
45291,1668627842.60,-64.85,-15.42,-286.89,I
45660,1668627843.00,-196.17,-13.60,-276.43,I
46047,1668627843.40,-216.62,-44.07,-191.65,I
46458,1668627843.80,-149.21,-35.39,-68.38,I
46845,1668627844.20,-75.10,-59.80,7.33,I
47243,1668627844.60,-29.21,-29.70,92.52,I
47654,1668627845.00,-21.16,61.38,180.77,I
48044,1668627845.40,-29.25,116.26,181.83,I
48445,1668627845.80,28.59,92.52,93.98,I
48855,1668627846.20,59.45,120.49,15.25,I
49244,1668627846.60,53.65,140.01,12.56,I
49653,1668627847.00,32.84,70.81,61.08,I
50044,1668627847.40,-15.67,-19.93,26.27,I
50454,1668627847.80,-53.15,-59.89,-3.12,I
50853,1668627848.20,-48.71,-141.34,35.94,I
51245,1668627848.60,3.65,-220.18,120.12,I
51652,1668627849.00,16.50,-229.73,216.22,I
52049,1668627849.40,-20.48,-232.34,252.54,I
52445,1668627849.80,78.60,-228.99,312.22,I
52852,1668627850.20,157.69,-171.44,449.69,I
53250,1668627850.60,155.45,-55.28,629.91,I
53649,1668627851.00,182.57,90.36,681.49,I
54046,1668627851.40,233.30,173.34,467.82,I
54444,1668627851.80,174.67,204.12,189.12, 
54849,1668627852.20,140.14,258.27,65.75, 
55248,1668627852.60,204.10,246.55,55.03, 
55638,1668627853.00,298.91,150.64,-39.61, 
56037,1668627853.40,287.30,103.43,-257.71, 
56446,1668627853.80,191.93,79.12,-343.84, 
56840,1668627854.20,77.56,122.72,-271.03, 
57247,1668627854.60,14.54,171.39,-267.73, 
57645,1668627855.00,-70.41,172.79,-327.99, 
58036,1668627855.40,-106.78,152.06,-334.78, 
58441,1668627855.80,-40.78,66.40,-279.37, 
58845,1668627856.20,-67.47,-5.30,-198.14, 
59234,1668627856.60,-89.25,-64.36,-154.85, 
59633,1668627857.00,-76.18,-95.89,-197.24, 
60733,1668627857.40,-128.33,-136.77,-215.99, 
60821,1668627857.80,-233.33,-151.97,-115.90, 
60872,1668627858.20,-233.43,-162.15,-125.33, 
61243,1668627858.60,-166.98,-183.98,-58.64, 
61644,1668627859.00,-142.21,-231.44,26.66, 
62031,1668627859.40,-88.63,-232.00,41.07, 
62443,1668627859.80,-12.08,-211.60,-13.34, 
62832,1668627860.20,97.37,-190.59,35.55, 
63240,1668627860.60,102.06,-218.41,22.32, 
63629,1668627861.00,102.91,-202.24,-52.07, 
64040,1668627861.40,132.69,-86.46,25.44, 
64430,1668627861.80,104.38,-23.57,58.67, 
64831,1668627862.20,110.37,-3.45,167.32, 
65230,1668627862.60,143.52,46.37,183.81, 
65630,1668627863.00,101.02,70.66,74.83, 
66037,1668627863.40,-47.93,106.10,20.28, 
66426,1668627863.80,-103.89,101.36,-69.96, 
66836,1668627864.20,-180.52,80.49,-166.24, 
67239,1668627864.60,-239.72,13.99,-188.26, 
67629,1668627865.00,-204.73,-5.47,-87.43, 
68026,1668627865.40,-141.17,44.53,133.16, 
68427,1668627865.80,-55.85,84.79,167.89, 
68837,1668627866.20,13.02,100.21,-3.68, 
69224,1668627866.60,35.05,95.28,-140.41, 
69636,1668627867.00,51.17,57.93,-227.36, 
70035,1668627867.40,-0.43,-38.64,-143.53, 
70434,1668627867.80,-139.20,-0.07,-103.03, 
70823,1668627868.20,-167.80,31.67,-3.23, 
71223,1668627868.60,-141.17,106.40,120.59, 
71632,1668627869.00,-211.81,181.71,124.19, 
72024,1668627869.40,-184.37,172.54,126.79, 
72429,1668627869.80,-126.84,80.37,107.81, 
72837,1668627870.20,-172.20,53.96,-96.22, 
73220,1668627870.60,-125.43,47.70,-190.36, 
73631,1668627871.00,-52.03,25.46,-121.72, 
74029,1668627871.40,-117.77,72.15,-99.86, 
74430,1668627871.80,-166.57,123.87,-38.96, 
74821,1668627872.20,-152.19,113.08,23.47, 
75223,1668627872.60,-151.52,117.46,8.05, 
75624,1668627873.00,-113.29,53.27,-45.32, 
76025,1668627873.40,-15.13,-17.28,-71.57, 
76417,1668627873.80,34.39,-57.51,-97.75, 
76822,1668627874.20,-2.56,-89.50,-93.62, 
77228,1668627874.60,49.32,-164.16,-49.02, 
77623,1668627875.00,62.32,-237.31,-21.05, 
78024,1668627875.40,-54.43,-127.74,77.09, 
78417,1668627875.80,-47.39,-53.45,203.44, 
78821,1668627876.20,57.13,-107.24,320.02, 
79214,1668627876.60,110.73,-66.74,346.34, 
79613,1668627877.00,124.08,-16.62,253.69, 
80017,1668627877.40,119.08,-24.18,188.79, 
80414,1668627877.80,131.55,-45.61,228.57, 
80822,1668627878.20,284.56,-13.30,393.12, 
81221,1668627878.60,468.04,-2.89,458.82, 
81616,1668627879.00,542.78,-76.38,343.99, 
82020,1668627879.40,495.83,-34.95,358.84, 
82421,1668627879.80,385.55,32.57,268.54, 
82823,1668627880.20,272.74,53.42,104.31, 
83210,1668627880.60,175.93,53.33,-43.62, 
83609,1668627881.00,77.63,52.46,-130.71, 
84011,1668627881.40,44.38,133.15,-212.68, 
84416,1668627881.80,15.62,228.19,-225.16, 
84826,1668627882.20,-57.29,299.34,-261.88, 
85223,1668627882.60,-37.13,250.18,-367.01, 
85616,1668627883.00,-5.33,220.51,-363.47, 
86020,1668627883.40,-12.30,109.31,-367.13, 
86419,1668627883.80,60.57,-65.99,-354.56, 
86824,1668627884.20,51.88,-124.52,-276.93, 
87214,1668627884.60,58.28,-71.96,-252.06, 
87617,1668627885.00,76.50,-13.59,-226.74, 
88016,1668627885.40,8.89,-33.16,-323.71, 
88418,1668627885.80,-160.16,-98.70,-358.90, 
88823,1668627886.20,-229.86,-232.70,-291.42, 
89208,1668627886.60,-282.51,-336.24,-188.14, 
89610,1668627887.00,-400.47,-330.49,-15.99, 
90003,1668627887.40,-358.65,-302.01,205.17, 
90411,1668627887.80,-255.23,-355.56,303.46, 
90824,1668627888.20,-118.56,-323.98,288.28, 
91213,1668627888.60,-22.28,-176.05,370.66, 
91613,1668627889.00,39.62,-52.03,371.75, 
92014,1668627889.40,185.20,67.30,353.62, 
92411,1668627889.80,233.69,163.34,250.26, 
92811,1668627890.20,172.58,221.53,106.30, 
93210,1668627890.60,198.00,281.83,-46.77, 
93599,1668627891.00,197.25,292.16,-175.28, 
94009,1668627891.40,64.39,245.71,-174.79, 
94400,1668627891.80,3.45,171.38,-84.04, 
94810,1668627892.20,-111.19,140.36,95.17, 
95201,1668627892.60,-201.99,161.52,243.07, 
95598,1668627893.00,-191.08,157.68,314.14, 
96010,1668627893.40,-68.20,167.61,221.55, 
96399,1668627893.80,15.03,253.34,105.68, 
96808,1668627894.20,96.85,282.36,69.93, 
97210,1668627894.60,159.58,183.53,-94.00, 
97597,1668627895.00,109.79,82.25,-266.01, 
98009,1668627895.40,18.92,-2.95,-280.54, 
98416,1668627895.80,-39.59,-139.65,-278.95, 
98797,1668627896.20,-86.97,-248.50,-248.90, 
99192,1668627896.60,-93.05,-266.30,-142.67, 
99604,1668627897.00,-49.69,-276.51,-30.14, 
99995,1668627897.40,-14.93,-280.07,-124.89, 
100405,1668627897.80,-82.52,-261.78,-220.99, 
100794,1668627898.20,-168.10,-258.15,-315.82, 
101206,1668627898.60,-185.64,-168.58,-159.59, 
101605,1668627899.00,-212.34,-26.95,-69.59, 
102000,1668627899.40,-197.26,4.26,-37.14, 
102404,1668627899.80,-134.40,-51.94,-34.43, 
102805,1668627900.20,-80.82,-78.65,-16.19, 
103196,1668627900.60,-66.95,-114.96,18.67, 
103602,1668627901.00,-85.09,-107.97,78.67, 
103991,1668627901.40,-80.99,-67.12,159.31, 
104392,1668627901.80,-59.89,-64.19,206.35, 
104790,1668627902.20,-25.46,-43.34,371.79, 
105201,1668627902.60,-26.58,73.76,452.13, 
105601,1668627903.00,-41.79,134.14,326.97, 
105990,1668627903.40,10.77,131.51,307.31, 
106391,1668627903.80,102.30,143.52,146.12, 
106799,1668627904.20,174.79,134.65,-44.96, 
107190,1668627904.60,214.19,59.92,-66.47, 
107587,1668627905.00,225.96,32.18,-34.60, 
107986,1668627905.40,215.03,9.62,-76.76, 
108414,1668627905.80,170.65,-24.40,-34.33, 
108797,1668627906.20,84.06,-50.76,8.05, 
109199,1668627906.60,-35.56,-22.07,-18.48, 
109596,1668627907.00,-130.83,-14.15,-97.90, 
109996,1668627907.40,-188.29,-39.10,-73.15, 
110385,1668627907.80,-165.69,6.72,-28.78, 
110784,1668627908.20,-128.27,-4.28,9.88, 
111187,1668627908.60,-31.31,3.75,203.96, 
111591,1668627909.00,112.32,76.06,276.98, 
111982,1668627909.40,145.42,83.88,159.80, 
112384,1668627909.80,153.35,88.89,192.61, 
112793,1668627910.20,140.73,107.50,77.46, 
113190,1668627910.60,127.80,137.37,-85.25, 
113580,1668627911.00,84.31,109.33,-218.24, 
113989,1668627911.40,-81.18,133.57,-423.53, 
114386,1668627911.80,-260.46,149.88,-489.75, 
114790,1668627912.20,-285.79,94.02,-386.98, 
115191,1668627912.60,-219.78,-2.61,-245.94, 
115591,1668627913.00,-129.85,-113.82,-70.58, 
115992,1668627913.40,26.73,-201.17,24.17, 
116385,1668627913.80,104.74,-267.27,109.48, 
116781,1668627914.20,150.18,-347.64,161.15, 
117180,1668627914.60,184.43,-338.05,202.43, 
117587,1668627915.00,240.92,-224.77,206.54, 
117979,1668627915.40,233.29,-127.78,206.39, 
118378,1668627915.80,159.79,-12.62,121.21, 
118777,1668627916.20,65.17,98.66,89.22, 
119177,1668627916.60,19.85,89.10,-26.48, 
119584,1668627917.00,-49.36,31.92,-83.52, 
119984,1668627917.40,-136.22,19.97,-87.74, 
120375,1668627917.80,-170.87,43.67,-39.58, 
120817,1668627918.20,-178.77,145.48,-47.80, 
121204,1668627918.60,-196.98,208.39,-37.53, 
121604,1668627919.00,-111.97,255.51,-23.35, 
122001,1668627919.40,-56.63,272.53,22.31, 
122390,1668627919.80,54.29,215.53,15.36, 
122800,1668627920.20,126.95,197.49,58.38, 
123193,1668627920.60,104.67,194.67,163.71, 
123588,1668627921.00,85.24,187.74,214.67, 
123994,1668627921.40,130.96,145.20,131.26, 
124391,1668627921.80,165.22,74.73,-87.84, 
124798,1668627922.20,110.69,-1.59,-150.06, 
125196,1668627922.60,16.33,-14.90,-101.96, 
125593,1668627923.00,-124.10,-10.52,-142.35, 
125984,1668627923.40,-137.46,-24.25,-132.00, 
126388,1668627923.80,-112.81,-36.14,-35.44, 
126787,1668627924.20,-59.83,-46.30,70.18, 
127193,1668627924.60,16.62,-87.02,96.71, 
127590,1668627925.00,110.26,-103.05,152.97, 
127987,1668627925.40,88.66,-147.99,45.76, 
128389,1668627925.80,100.08,-116.69,-51.83, 
128794,1668627926.20,187.66,-56.95,-21.61, 
129189,1668627926.60,253.74,-41.75,-87.04, 
129591,1668627927.00,268.63,-61.65,-261.62, 
129984,1668627927.40,225.67,-77.05,-287.34, 
130387,1668627927.80,106.48,-104.50,-324.09, 
130791,1668627928.20,-73.31,-124.82,-254.04, 
131190,1668627928.60,-217.41,-57.49,-210.27, 
131592,1668627929.00,-216.99,-100.87,-193.51, 
131989,1668627929.40,-150.47,-133.65,-100.13, 
132388,1668627929.80,-62.56,-123.98,-19.46, 
132784,1668627930.20,24.61,-146.42,7.39, 
133191,1668627930.60,28.86,-95.60,90.67, 
133586,1668627931.00,-31.75,-52.20,217.38, 
133984,1668627931.40,-64.42,-96.89,202.62, 
134387,1668627931.80,-73.94,-80.62,193.36, 
134787,1668627932.20,-128.95,-48.74,227.80, 
135186,1668627932.60,-122.59,-37.07,253.36, 
135577,1668627933.00,-20.53,-9.60,317.40, 
135987,1668627933.40,45.32,79.19,348.84, 
136384,1668627933.80,128.93,166.92,293.99, 
136775,1668627934.20,208.74,234.78,158.17, 
137185,1668627934.60,155.70,234.92,-56.95, 
137586,1668627935.00,29.18,214.41,-163.95, 
137986,1668627935.40,-58.02,95.25,-264.01, 
138381,1668627935.80,-95.73,-18.41,-335.50, 
138784,1668627936.20,-108.93,21.34,-264.12, 
139173,1668627936.60,-102.97,69.71,-150.83, 
139577,1668627937.00,-128.11,73.84,-48.10, 
139986,1668627937.40,-226.65,108.42,69.10, 
140376,1668627937.80,-158.22,166.52,62.19, 
140781,1668627938.20,-19.70,110.62,-3.05, 
141182,1668627938.60,-35.18,46.53,-88.65, 
141570,1668627939.00,-79.06,9.30,-80.49, 
141973,1668627939.40,-80.29,-70.89,-9.69, 
142381,1668627939.80,-127.61,-151.58,39.28, 
142776,1668627940.20,-178.52,-99.43,182.27, 
143175,1668627940.60,-87.96,43.08,348.24, 
143570,1668627941.00,67.82,106.59,282.89, 
143976,1668627941.40,143.85,40.01,136.69, 
144371,1668627941.80,107.67,-15.18,5.40, 
144773,1668627942.20,123.37,-77.05,-46.85, 
145168,1668627942.60,181.97,-108.92,-13.12, 
145569,1668627943.00,193.05,-116.84,36.11, 
145967,1668627943.40,135.14,-89.13,-48.12, 
146368,1668627943.80,131.98,-130.76,-40.93, 
146780,1668627944.20,63.56,-128.61,-7.92, 
147175,1668627944.60,6.71,-124.29,43.31, 
147574,1668627945.00,6.78,-102.06,71.34, 
147963,1668627945.40,-9.20,-65.78,101.50, 
148363,1668627945.80,-37.70,-34.98,83.41, 
148762,1668627946.20,-30.05,6.93,-45.53, 
149174,1668627946.60,-70.38,40.78,-173.90, 
149561,1668627947.00,-39.23,35.25,-168.40, 
149966,1668627947.40,2.16,-18.77,-139.48, 
150376,1668627947.80,66.96,-44.34,-117.22, 
150763,1668627948.20,37.34,-47.37,-102.40, 
151162,1668627948.60,-83.51,-32.19,-111.60, 
151560,1668627949.00,-98.81,-50.91,-121.82, 
151975,1668627949.40,-79.05,-81.13,-160.17, 
152358,1668627949.80,-108.36,-135.88,-144.95, 
152760,1668627950.20,-98.48,-175.86,37.34, 
153161,1668627950.60,-41.16,-185.87,213.89, 
153552,1668627951.00,-137.31,-172.24,237.04, 
153966,1668627951.40,-115.65,-41.32,295.46, 
154357,1668627951.80,80.61,33.53,296.50, 
154746,1668627952.20,188.33,13.60,147.40, 
155158,1668627952.60,190.36,64.70,-98.60, 
155545,1668627953.00,125.20,139.47,-175.71, 
155967,1668627953.40,-74.85,198.43,-145.92, 
156956,1668627953.80,-266.13,243.25,-134.51, 
157009,1668627954.20,-349.44,308.53,-176.34, 
157147,1668627954.60,-359.99,338.40,-167.67, 
157548,1668627955.00,-327.52,241.36,-181.91, 
157954,1668627955.40,-198.16,142.56,-131.72, 
158343,1668627955.80,-120.42,141.66,64.01, 
158748,1668627956.20,-53.30,219.94,244.44, 
159154,1668627956.60,20.14,294.48,300.33, 
159553,1668627957.00,81.04,330.04,226.16, 
159952,1668627957.40,243.17,267.83,179.42, 
160354,1668627957.80,434.52,178.14,200.98, 
160743,1668627958.20,516.00,17.93,87.08, 
161148,1668627958.60,490.89,-146.40,-117.10, 
161538,1668627959.00,428.41,-178.16,-183.68, 
161943,1668627959.40,274.12,-153.73,-141.86, 
162351,1668627959.80,127.70,-83.72,-13.81, 
162756,1668627960.20,-73.87,-10.75,25.18, 
163141,1668627960.60,-90.15,-20.12,-17.96, 
163549,1668627961.00,-39.62,-13.12,-85.82, 
163948,1668627961.40,16.94,-57.54,-87.04, 
164339,1668627961.80,-2.44,-93.97,-80.28, 
164737,1668627962.20,-18.89,-74.89,-123.45, 
165148,1668627962.60,-1.38,-59.90,-266.35, 
165541,1668627963.00,-4.40,-112.82,-322.26, 
165945,1668627963.40,24.40,-90.28,-249.56, 
166346,1668627963.80,94.13,-38.90,-263.47, 
166739,1668627964.20,-12.30,-79.84,-405.97, 
167145,1668627964.60,-227.37,-128.65,-479.93, 
167546,1668627965.00,-412.13,-183.46,-389.38, 
167946,1668627965.40,-552.03,-240.81,-158.32, 
168343,1668627965.80,-555.71,-315.63,70.03, 
168738,1668627966.20,-497.54,-238.90,355.75, 
169134,1668627966.60,-327.69,-188.48,585.44, 
169541,1668627967.00,-69.56,-192.11,671.67, 
169945,1668627967.40,221.90,-207.42,657.14, 
170342,1668627967.80,405.00,-149.22,661.33, 
170733,1668627968.20,400.33,-16.07,706.33, 
171139,1668627968.60,310.82,92.23,644.46, 
171532,1668627969.00,233.39,145.17,313.13, 
171929,1668627969.40,166.99,120.27,-12.40, 
172339,1668627969.80,141.89,66.42,26.52, 
172730,1668627970.20,118.95,38.71,20.71, 
173137,1668627970.60,145.43,48.60,86.26, 
173533,1668627971.00,147.31,138.45,146.66, 
173934,1668627971.40,129.20,257.29,99.46, 
174333,1668627971.80,143.49,298.22,-98.51, 
174735,1668627972.20,118.88,291.48,-212.09, 
175130,1668627972.60,65.19,246.24,-352.81, 
175538,1668627973.00,49.94,220.78,-514.62, 
175941,1668627973.40,51.43,129.16,-611.50, 
176338,1668627973.80,-12.46,35.35,-527.45, 
176728,1668627974.20,-129.25,22.11,-449.53, 
177131,1668627974.60,-189.32,-38.92,-291.73, 
177526,1668627975.00,-139.87,-104.80,-128.21, 
177936,1668627975.40,-82.12,-173.97,-47.34, 
178325,1668627975.80,-34.94,-309.34,-100.49, 
178735,1668627976.20,67.14,-428.39,-141.83, 
179132,1668627976.60,66.19,-482.98,-106.45, 
179525,1668627977.00,62.95,-499.24,-27.98, 
179933,1668627977.40,57.83,-467.59,126.38, 
180322,1668627977.80,51.19,-365.30,222.04, 
180725,1668627978.20,-3.11,-174.88,235.26, 
181149,1668627978.60,-176.73,17.29,109.42, 
181532,1668627979.00,-281.28,26.36,-57.48, 
181932,1668627979.40,-311.78,2.85,-175.90, 
182321,1668627979.80,-313.99,3.87,-84.67, 
182726,1668627980.20,-309.13,-75.46,-7.62, 
183134,1668627980.60,-187.43,-51.12,162.83, 
183599,1668627981.00,-69.04,87.30,242.62, 
183928,1668627981.40,28.23,133.72,279.00, 
184324,1668627981.80,74.34,204.50,229.37, 
184729,1668627982.20,94.48,276.14,78.44, 
185131,1668627982.60,125.43,265.33,-0.50, 
185522,1668627983.00,53.44,221.39,-22.74, 
185921,1668627983.40,11.18,248.09,31.38, 
