utc_timestamp,sensor_position,value
2023-02-01T13:49:28.000Z,1,29.08
2023-02-01T13:49:28.000Z,2,29.1
2023-02-01T13:49:28.000Z,3,28.66
2023-02-01T13:39:28.000Z,1,29.08
2023-02-01T13:39:28.000Z,2,29.08
2023-02-01T13:39:28.000Z,3,28.56
2023-02-01T13:29:28.000Z,1,29.06
2023-02-01T13:29:28.000Z,2,29.08
2023-02-01T13:29:28.000Z,3,28.54
2023-02-01T13:19:28.000Z,1,29.06
2023-02-01T13:19:28.000Z,2,29.08
2023-02-01T13:19:28.000Z,3,28.48
2023-02-01T13:09:28.000Z,1,29.06
2023-02-01T13:09:28.000Z,2,29.06
2023-02-01T13:09:28.000Z,3,28.5
2023-02-01T12:59:28.000Z,1,29.06
2023-02-01T12:59:28.000Z,2,29.06
2023-02-01T12:59:28.000Z,3,28.58
2023-02-01T12:49:28.000Z,1,29.06
2023-02-01T12:49:28.000Z,2,29.08
2023-02-01T12:49:28.000Z,3,28.6
2023-02-01T12:39:28.000Z,1,29.06
2023-02-01T12:39:28.000Z,2,29.08
2023-02-01T12:39:28.000Z,3,28.6
2023-02-01T12:29:28.000Z,1,29.06
2023-02-01T12:29:28.000Z,2,29.08
2023-02-01T12:29:28.000Z,3,28.66
2023-02-01T12:19:28.000Z,1,29.06
2023-02-01T12:19:28.000Z,2,29.08
2023-02-01T12:19:28.000Z,3,28.74
2023-02-01T12:09:28.000Z,1,29.08
2023-02-01T12:09:28.000Z,2,29.08
2023-02-01T12:09:28.000Z,3,28.88
2023-02-01T11:59:28.000Z,1,29.08
2023-02-01T11:59:28.000Z,2,29.08
2023-02-01T11:59:28.000Z,3,28.92
2023-02-01T11:49:28.000Z,1,29.06
2023-02-01T11:49:28.000Z,2,29.08
2023-02-01T11:49:28.000Z,3,29.14
2023-02-01T11:39:28.000Z,1,29.08
2023-02-01T11:39:28.000Z,2,29.1
2023-02-01T11:39:28.000Z,3,29.14
2023-02-01T11:29:28.000Z,1,29.1
2023-02-01T11:29:28.000Z,2,29.1
2023-02-01T11:29:28.000Z,3,29.14
2023-02-01T11:19:28.000Z,1,29.1
2023-02-01T11:19:28.000Z,2,29.1
2023-02-01T11:19:28.000Z,3,29.14
2023-02-01T11:09:28.000Z,1,29.08
2023-02-01T11:09:28.000Z,2,29.1
2023-02-01T11:09:28.000Z,3,29.14
2023-02-01T10:59:28.000Z,1,29.08
2023-02-01T10:59:28.000Z,2,29.1
2023-02-01T10:59:28.000Z,3,29.16
2023-02-01T10:49:28.000Z,1,29.08
2023-02-01T10:49:28.000Z,2,29.1
2023-02-01T10:49:28.000Z,3,29.12
2023-02-01T10:39:28.000Z,1,29.08
2023-02-01T10:39:28.000Z,2,29.1
2023-02-01T10:39:28.000Z,3,29.1
2023-02-01T10:29:28.000Z,1,29.08
2023-02-01T10:29:28.000Z,2,29.1
2023-02-01T10:29:28.000Z,3,29.12
2023-02-01T10:19:28.000Z,1,29.08
2023-02-01T10:19:28.000Z,2,29.12
2023-02-01T10:19:28.000Z,3,29.12
2023-02-01T10:09:28.000Z,1,29.08
2023-02-01T10:09:28.000Z,2,29.12
2023-02-01T10:09:28.000Z,3,29.14
2023-02-01T09:59:28.000Z,1,29.08
2023-02-01T09:59:28.000Z,2,29.1
2023-02-01T09:59:28.000Z,3,29.1
2023-02-01T09:49:28.000Z,1,29.08
2023-02-01T09:49:28.000Z,2,29.1
2023-02-01T09:49:28.000Z,3,29.08
2023-02-01T09:39:28.000Z,1,29.08
2023-02-01T09:39:28.000Z,2,29.1
2023-02-01T09:39:28.000Z,3,29.06
2023-02-01T09:29:28.000Z,1,29.08
2023-02-01T09:29:28.000Z,2,29.1
2023-02-01T09:29:28.000Z,3,29.06
2023-02-01T09:19:28.000Z,1,29.08
2023-02-01T09:19:28.000Z,2,29.12
2023-02-01T09:19:28.000Z,3,29.08
2023-02-01T09:09:28.000Z,1,29.1
2023-02-01T09:09:28.000Z,2,29.12
2023-02-01T09:09:28.000Z,3,29.08
2023-02-01T08:59:28.000Z,1,29.1
2023-02-01T08:59:28.000Z,2,29.12
2023-02-01T08:59:28.000Z,3,29.08
2023-02-01T08:49:28.000Z,1,29.1
2023-02-01T08:49:28.000Z,2,29.12
2023-02-01T08:49:28.000Z,3,29.1
2023-02-01T08:39:28.000Z,1,29.1
2023-02-01T08:39:28.000Z,2,29.12
2023-02-01T08:39:28.000Z,3,29.1
2023-02-01T08:29:28.000Z,1,29.1
2023-02-01T08:29:28.000Z,2,29.12
2023-02-01T08:29:28.000Z,3,29.1
2023-02-01T08:19:28.000Z,1,29.12
2023-02-01T08:19:28.000Z,2,29.12
2023-02-01T08:19:28.000Z,3,29.12
2023-02-01T08:09:28.000Z,1,29.1
2023-02-01T08:09:28.000Z,2,29.12
2023-02-01T08:09:28.000Z,3,29.14
2023-02-01T07:59:28.000Z,1,29.1
2023-02-01T07:59:28.000Z,2,29.12
2023-02-01T07:59:28.000Z,3,29.16
2023-02-01T07:49:28.000Z,1,29.12
2023-02-01T07:49:28.000Z,2,29.14
2023-02-01T07:49:28.000Z,3,29.16
2023-02-01T07:39:28.000Z,1,29.12
2023-02-01T07:39:28.000Z,2,29.14
2023-02-01T07:39:28.000Z,3,29.16
2023-02-01T07:29:28.000Z,1,29.12
2023-02-01T07:29:28.000Z,2,29.14
2023-02-01T07:29:28.000Z,3,29.16
2023-02-01T07:19:28.000Z,1,29.1
2023-02-01T07:19:28.000Z,2,29.12
2023-02-01T07:19:28.000Z,3,29.16
2023-02-01T07:09:28.000Z,1,29.12
2023-02-01T07:09:28.000Z,2,29.14
2023-02-01T07:09:28.000Z,3,29.14
2023-02-01T06:59:28.000Z,1,29.12
2023-02-01T06:59:28.000Z,2,29.14
2023-02-01T06:59:28.000Z,3,29.12
2023-02-01T06:49:28.000Z,1,29.12
2023-02-01T06:49:28.000Z,2,29.14
2023-02-01T06:49:28.000Z,3,29.14
