Chamber	Time	Logtime_min	OxyPercent_airsat	Phase	Amp	TempC	per_air-sat	per_oxygen	pO2_hPa	pO2_Torr	cO2_mg_L	cO2_umol_L	Salinity	chlorinity	SalCorcO2_mg_L	SalCorcO2_umol_L
4	7:12:46	0.00	81.130	28.330	14987.000	29.000	82.836953	17.3543416	168.830004	126.633267	6.36007256	198.752268	36	19.8171745	5.12511458	160.159831
4	7:12:47	0.02	81.810	28.240	14963.000	29.000	83.531042	17.4997532	170.244627	127.694324	6.41336348	200.417609	36	19.8171745	5.16805781	161.501807
4	7:13:02	0.27	81.740	28.250	14989.000	29.000	83.453573	17.4835235	170.086737	127.575897	6.40741554	200.231736	36	19.8171745	5.16326480	161.352025
4	7:13:17	0.52	81.390	28.290	14994.000	29.000	83.144568	17.4187870	169.456955	127.103520	6.38369073	199.490335	36	19.8171745	5.14414672	160.754585
4	7:13:32	0.77	81.650	28.260	15044.000	29.000	83.376191	17.4673120	169.929026	127.457603	6.40147431	200.046072	36	19.8171745	5.15847720	161.202412
4	7:13:47	1.02	81.640	28.260	15028.000	29.000	83.376191	17.4673120	169.929026	127.457603	6.40147431	200.046072	36	19.8171745	5.15847720	161.202412
4	7:14:02	1.27	81.250	28.310	15029.000	29.000	82.990587	17.3865280	169.143127	126.868129	6.37186836	199.120886	36	19.8171745	5.13461994	160.456873
4	7:14:17	1.52	81.860	28.230	15047.000	29.000	83.608598	17.5160013	170.402695	127.812886	6.41931813	200.603692	36	19.8171745	5.17285623	161.651757
4	7:14:32	1.77	81.260	28.310	15043.000	29.000	82.990587	17.3865280	169.143127	126.868129	6.37186836	199.120886	36	19.8171745	5.13461994	160.456873
4	7:14:47	2.02	80.910	28.360	15050.000	29.000	82.607147	17.3061974	168.361638	126.281963	6.34242854	198.200892	36	19.8171745	5.11089656	159.715517
4	7:15:02	2.27	80.530	28.410	15093.000	29.000	82.225855	17.2263167	167.584527	125.699079	6.31315361	197.286050	36	19.8171745	5.08730605	158.978314
4	7:15:17	2.52	81.150	28.330	15087.000	29.000	82.836953	17.3543416	168.830004	126.633267	6.36007256	198.752268	36	19.8171745	5.12511458	160.159831
4	7:15:32	2.77	81.110	28.330	15093.000	29.000	82.836953	17.3543416	168.830004	126.633267	6.36007256	198.752268	36	19.8171745	5.12511458	160.159831
4	7:15:47	3.02	80.670	28.390	15079.000	29.000	82.378115	17.2582152	167.894848	125.931840	6.32484387	197.651371	36	19.8171745	5.09672637	159.272699
4	7:16:02	3.27	81.410	28.290	15102.000	29.000	83.144568	17.4187870	169.456955	127.103520	6.38369073	199.490335	36	19.8171745	5.14414672	160.754585
4	7:16:17	3.52	80.150	28.460	15122.000	29.000	81.846695	17.1468826	166.811760	125.119455	6.28404235	196.376323	36	19.8171745	5.06384742	158.245232
4	7:16:32	3.77	80.640	28.390	15090.000	29.000	82.378115	17.2582152	167.894848	125.931840	6.32484387	197.651371	36	19.8171745	5.09672637	159.272699
4	7:16:47	4.02	80.670	28.390	15101.000	29.000	82.378115	17.2582152	167.894848	125.931840	6.32484387	197.651371	36	19.8171745	5.09672637	159.272699
4	7:17:02	4.27	80.730	28.380	15125.000	29.000	82.454374	17.2741913	168.050270	126.048417	6.33069885	197.834339	36	19.8171745	5.10144446	159.420139
4	7:17:17	4.52	80.880	28.360	15128.000	29.000	82.607147	17.3061974	168.361638	126.281963	6.34242854	198.200892	36	19.8171745	5.11089656	159.715517
4	7:17:32	4.77	80.540	28.410	15135.000	29.000	82.225855	17.2263167	167.584527	125.699079	6.31315361	197.286050	36	19.8171745	5.08730605	158.978314
4	7:17:47	5.02	80.280	28.440	15128.000	29.000	81.998104	17.1786028	167.120347	125.350915	6.29566729	196.739603	36	19.8171745	5.07321511	158.537972
4	7:18:02	5.27	79.720	28.520	15157.000	29.000	81.394494	17.0521464	165.890129	124.428173	6.24932316	195.291349	36	19.8171745	5.03586978	157.370931
4	7:18:17	5.52	80.630	28.400	15150.000	29.000	82.301943	17.2422570	167.739600	125.815395	6.31899546	197.468608	36	19.8171745	5.09201356	159.125424
4	7:18:32	5.77	80.250	28.450	15145.000	29.000	81.922357	17.1627338	166.965967	125.235120	6.28985156	196.557861	36	19.8171745	5.06852864	158.391520
4	7:18:47	6.02	80.070	28.470	15167.000	29.000	81.771117	17.1310490	166.657725	125.003919	6.27823963	196.194988	36	19.8171745	5.05917144	158.099107
4	7:19:02	6.27	79.890	28.500	15162.000	29.000	81.544891	17.0836546	166.196652	124.658085	6.26087036	195.652199	36	19.8171745	5.04517482	157.661713
4	7:19:17	6.52	79.440	28.560	15162.000	29.000	81.094706	16.9893408	165.279130	123.969885	6.22630597	194.572062	36	19.8171745	5.01732192	156.791310
4	7:19:32	6.77	79.950	28.490	15175.000	29.000	81.620215	17.0994351	166.350171	124.773234	6.26665364	195.832926	36	19.8171745	5.04983514	157.807348
4	7:19:47	7.02	79.830	28.500	15185.000	29.000	81.544891	17.0836546	166.196652	124.658085	6.26087036	195.652199	36	19.8171745	5.04517482	157.661713
4	7:20:02	7.27	79.310	28.570	15194.000	29.000	81.019967	16.9736832	165.126806	123.855633	6.22056770	194.392741	36	19.8171745	5.01269787	156.646809
4	7:20:17	7.52	80.100	28.470	15173.000	29.000	81.771117	17.1310490	166.657725	125.003919	6.27823963	196.194988	36	19.8171745	5.05917144	158.099107
4	7:20:32	7.77	79.630	28.530	15190.000	29.000	81.319421	17.0364187	165.737123	124.313409	6.24355923	195.111226	36	19.8171745	5.03122505	157.225783
