4/3/2023/7:12 AM SW ver:OXY10v3_33
Header Ch-6
Description: 
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 98466
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 038800
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016500
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;7:12:48 AM;0.00;80.840;28.550;17559.000;29.000
4/3/2023;7:12:55 AM;0.13;81.980;28.400;17554.000;29.000
4/3/2023;7:13:10 AM;0.38;81.850;28.410;17580.000;29.000
4/3/2023;7:13:25 AM;0.63;82.530;28.320;17623.000;29.000
4/3/2023;7:13:40 AM;0.88;80.710;28.560;17618.000;29.000
4/3/2023;7:13:55 AM;1.13;81.810;28.420;17631.000;29.000
4/3/2023;7:14:10 AM;1.38;80.800;28.550;17640.000;29.000
4/3/2023;7:14:25 AM;1.63;81.560;28.450;17630.000;29.000
4/3/2023;7:14:40 AM;1.88;80.740;28.560;17660.000;29.000
4/3/2023;7:14:55 AM;2.13;81.040;28.520;17676.000;29.000
4/3/2023;7:15:10 AM;2.38;80.490;28.590;17669.000;29.000
4/3/2023;7:15:25 AM;2.63;81.720;28.430;17659.000;29.000
4/3/2023;7:15:40 AM;2.88;80.700;28.570;17705.000;29.000
4/3/2023;7:15:55 AM;3.13;80.270;28.620;17682.000;29.000
4/3/2023;7:16:10 AM;3.38;80.180;28.640;17675.000;29.000
4/3/2023;7:16:25 AM;3.63;80.510;28.590;17713.000;29.000
4/3/2023;7:16:41 AM;3.88;80.070;28.650;17696.000;29.000
4/3/2023;7:16:55 AM;4.13;78.460;28.870;17728.000;29.000
4/3/2023;7:17:10 AM;4.38;79.300;28.760;17778.000;29.000
