4/3/2023/8:05 AM SW ver:OXY10v3_33
Header Ch-7
Description: Deep_01_50
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 89785
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 040900
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;8:05:31 AM;0.00;55.960;32.670;17079.000;29.000
4/3/2023;8:05:40 AM;0.15;56.370;32.580;17065.000;29.000
4/3/2023;8:05:55 AM;0.40;56.010;32.660;17050.000;29.000
4/3/2023;8:06:10 AM;0.65;56.230;32.610;17054.000;29.000
4/3/2023;8:06:25 AM;0.90;56.560;32.550;17039.000;29.000
4/3/2023;8:06:40 AM;1.15;56.070;32.650;17068.000;29.000
4/3/2023;8:06:55 AM;1.40;56.640;32.530;17054.000;29.000
4/3/2023;8:07:10 AM;1.65;56.650;32.530;17022.000;29.000
4/3/2023;8:07:25 AM;1.90;56.220;32.610;17047.000;29.000
4/3/2023;8:07:40 AM;2.15;56.690;32.520;17041.000;29.000
4/3/2023;8:07:55 AM;2.40;56.580;32.540;17048.000;29.000
4/3/2023;8:08:10 AM;2.65;55.970;32.670;17052.000;29.000
4/3/2023;8:08:25 AM;2.90;56.960;32.460;17047.000;29.000
4/3/2023;8:08:40 AM;3.15;56.860;32.480;17049.000;29.000
4/3/2023;8:08:55 AM;3.40;56.370;32.580;17067.000;29.000
4/3/2023;8:09:10 AM;3.65;56.830;32.490;17025.000;29.000
4/3/2023;8:09:25 AM;3.90;57.130;32.430;17054.000;29.000
4/3/2023;8:09:40 AM;4.15;57.460;32.360;17035.000;29.000
4/3/2023;8:09:55 AM;4.40;56.580;32.540;17010.000;29.000
4/3/2023;8:10:10 AM;4.65;57.030;32.450;17055.000;29.000
4/3/2023;8:10:25 AM;4.90;57.370;32.380;17042.000;29.000
