Genotype	Time	Logtime	Oxy_air_sat	Phase	Amp	TempC	air_sat	percent_oxygen	pO2	pO2_Torr	cO2	cO2_umol	Salinity	chlorinity	SalCorcO2	SalCorcO2_umol
Header Ch-6
Description: Deep_01_500
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 97953
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 038800
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016500
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;12:09:08 PM;0.00;83.140;28.240;16723.000;29.000
4/3/2023;12:09:23 PM;0.25;84.050;28.130;16752.000;29.000
4/3/2023;12:09:38 PM;0.50;84.510;28.070;16709.000;29.000
4/3/2023;12:09:53 PM;0.75;84.800;28.030;16773.000;29.000
4/3/2023;12:10:08 PM;1.00;84.190;28.110;16738.000;29.000
4/3/2023;12:10:23 PM;1.25;85.380;27.960;16726.000;29.000
4/3/2023;12:10:38 PM;1.50;84.550;28.060;16702.000;29.000
4/3/2023;12:10:53 PM;1.75;84.500;28.070;16666.000;29.000
4/3/2023;12:11:08 PM;2.00;86.290;27.840;16705.000;29.000
4/3/2023;12:11:23 PM;2.25;86.490;27.820;16604.000;29.000
4/3/2023;12:11:38 PM;2.50;86.100;27.870;16602.000;29.000
4/3/2023;12:11:53 PM;2.75;86.870;27.770;16624.000;29.000
4/3/2023;12:12:08 PM;3.00;86.560;27.810;16560.000;29.000
4/3/2023;12:12:23 PM;3.25;87.020;27.750;16623.000;29.000
4/3/2023;12:12:38 PM;3.50;86.130;27.860;16592.000;29.000
4/3/2023;12:12:53 PM;3.75;84.640;28.050;16474.000;29.000
4/3/2023;12:13:08 PM;4.00;87.440;27.700;16488.000;29.000
4/3/2023;12:13:23 PM;4.25;86.720;27.790;16576.000;29.000
4/3/2023;12:13:38 PM;4.50;87.710;27.670;16552.000;29.000
4/3/2023;12:13:53 PM;4.75;85.770;27.910;16507.000;29.000
4/3/2023;12:14:08 PM;5.00;87.760;27.660;16535.000;29.000
4/3/2023;12:14:23 PM;5.25;87.700;27.670;16521.000;29.000
4/3/2023;12:14:38 PM;5.50;84.730;28.040;16475.000;29.000
4/3/2023;12:14:53 PM;5.75;86.670;27.800;16401.000;29.000
4/3/2023;12:15:08 PM;6.00;87.020;27.750;16390.000;29.000
4/3/2023;12:15:23 PM;6.25;86.200;27.860;16444.000;29.000
4/3/2023;12:15:38 PM;6.50;88.800;27.540;16470.000;29.000
4/3/2023;12:15:53 PM;6.75;87.320;27.720;16439.000;29.000
4/3/2023;12:16:08 PM;7.00;88.900;27.530;16400.000;29.000
4/3/2023;12:16:23 PM;7.25;87.840;27.650;16347.000;29.000
4/3/2023;12:16:38 PM;7.50;88.500;27.570;16364.000;29.000
4/3/2023;12:16:53 PM;7.75;89.460;27.460;16359.000;29.000
4/3/2023;12:17:08 PM;8.00;88.030;27.630;16297.000;29.000
4/3/2023;12:17:23 PM;8.25;89.420;27.470;16386.000;29.000
4/3/2023;12:17:38 PM;8.50;88.950;27.520;16245.000;29.000
4/3/2023;12:17:53 PM;8.75;90.220;27.370;16297.000;29.000
4/3/2023;12:18:08 PM;9.00;87.890;27.650;16254.000;29.000
4/3/2023;12:18:23 PM;9.25;90.290;27.360;16248.000;29.000
4/3/2023;12:18:38 PM;9.50;87.740;27.670;16323.000;29.000
4/3/2023;12:18:53 PM;9.75;91.570;27.210;16210.000;29.000
4/3/2023;12:19:08 PM;10.00;88.810;27.540;16189.000;29.000
4/3/2023;12:19:23 PM;10.25;92.130;27.150;16175.000;29.000
4/3/2023;12:19:38 PM;10.50;89.990;27.400;16173.000;29.000
4/3/2023;12:19:53 PM;10.75;88.760;27.540;16199.000;29.000
4/3/2023;12:20:08 PM;11.00;88.750;27.550;16233.000;29.000
4/3/2023;12:20:23 PM;11.25;90.080;27.390;16203.000;29.000
4/3/2023;12:20:38 PM;11.50;89.290;27.480;16111.000;29.000
4/3/2023;12:20:53 PM;11.75;90.800;27.300;16114.000;29.000
4/3/2023;12:21:08 PM;12.00;90.270;27.370;16135.000;29.000
4/3/2023;12:21:23 PM;12.25;90.600;27.330;16159.000;29.000
4/3/2023;12:21:38 PM;12.50;90.110;27.380;16115.000;29.000
4/3/2023;12:21:53 PM;12.75;88.750;27.550;16087.000;29.000
4/3/2023;12:22:08 PM;13.00;91.010;27.280;16042.000;29.000
4/3/2023;12:22:23 PM;13.25;91.900;27.180;16099.000;29.000
4/3/2023;12:22:38 PM;13.50;91.840;27.180;16077.000;29.000
4/3/2023;12:22:53 PM;13.75;92.190;27.140;16080.000;29.000
4/3/2023;12:23:08 PM;14.00;91.830;27.180;16044.000;29.000
4/3/2023;12:23:23 PM;14.25;93.330;27.010;16035.000;29.000
4/3/2023;12:23:38 PM;14.50;91.430;27.230;15979.000;29.000
4/3/2023;12:23:53 PM;14.75;93.400;27.010;16048.000;29.000
4/3/2023;12:24:08 PM;15.00;94.820;26.850;16018.000;29.000
4/3/2023;12:24:23 PM;15.25;93.370;27.010;15997.000;29.000
4/3/2023;12:24:38 PM;15.50;92.670;27.090;16011.000;29.000
4/3/2023;12:24:53 PM;15.75;94.140;26.920;15968.000;29.000
4/3/2023;12:25:08 PM;16.00;94.820;26.850;15900.000;29.000
4/3/2023;12:25:23 PM;16.25;91.350;27.240;16008.000;29.000
4/3/2023;12:25:38 PM;16.50;93.060;27.040;15932.000;29.000
4/3/2023;12:25:53 PM;16.75;95.260;26.800;15960.000;29.000
4/3/2023;12:26:08 PM;17.00;93.150;27.030;15948.000;29.000
4/3/2023;12:26:23 PM;17.25;90.960;27.280;15970.000;29.000
4/3/2023;12:26:38 PM;17.50;93.150;27.030;15902.000;29.000
4/3/2023;12:26:53 PM;17.75;93.630;26.980;15876.000;29.000
4/3/2023;12:27:08 PM;18.00;93.380;27.010;15837.000;29.000
4/3/2023;12:27:23 PM;18.25;93.070;27.040;15882.000;29.000
4/3/2023;12:27:38 PM;18.50;94.240;26.910;15819.000;29.000
4/3/2023;12:27:53 PM;18.75;93.900;26.950;15785.000;29.000
4/3/2023;12:28:08 PM;19.00;93.480;27.000;15811.000;29.000
4/3/2023;12:28:23 PM;19.25;93.310;27.020;15748.000;29.000
4/3/2023;12:28:38 PM;19.50;95.800;26.740;15766.000;29.000
4/3/2023;12:28:53 PM;19.75;94.140;26.920;15797.000;29.000
4/3/2023;12:29:08 PM;20.00;95.830;26.740;15740.000;29.000
4/3/2023;12:29:23 PM;20.25;94.020;26.940;15759.000;29.000
4/3/2023;12:29:38 PM;20.50;96.550;26.660;15757.000;29.000
4/3/2023;12:29:53 PM;20.75;96.270;26.690;15770.000;29.000
4/3/2023;12:30:08 PM;21.00;97.230;26.590;15752.000;29.000
4/3/2023;12:30:23 PM;21.25;94.360;26.900;15770.000;29.000
4/3/2023;12:30:38 PM;21.50;95.470;26.780;15798.000;29.000
4/3/2023;12:30:53 PM;21.75;92.790;27.070;15834.000;29.000
4/3/2023;12:31:08 PM;22.00;92.990;27.050;15757.000;29.000
4/3/2023;12:31:23 PM;22.25;94.970;26.830;15836.000;29.000
4/3/2023;12:31:38 PM;22.50;94.100;26.930;15818.000;29.000
4/3/2023;12:31:53 PM;22.75;94.580;26.870;15799.000;29.000
4/3/2023;12:32:08 PM;23.00;92.850;27.070;15854.000;29.000
4/3/2023;12:32:23 PM;23.25;92.990;27.050;15824.000;29.000
4/3/2023;12:32:38 PM;23.50;93.460;27.000;15837.000;29.000
4/3/2023;12:32:53 PM;23.75;93.360;27.010;15841.000;29.000
4/3/2023;12:33:08 PM;24.00;93.300;27.020;15852.000;29.000
4/3/2023;12:33:23 PM;24.25;93.530;26.990;15856.000;29.000
4/3/2023;12:33:38 PM;24.50;93.720;26.970;15864.000;29.000
4/3/2023;12:33:53 PM;24.75;92.700;27.080;15920.000;29.000
