4/3/2023/12:56 PM SW ver:OXY10v3_33
Header Ch-8
Description: Deep_01_600
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 96041
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.34 at 029.0°C amp 014300
100.00%a.s.phase 2: 26.09 at 029.0°C amp 006400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;12:56:39 PM;0.00;87.450;27.480;7952.000;29.000
4/3/2023;12:56:46 PM;0.12;89.020;27.300;7929.000;29.000
4/3/2023;12:57:01 PM;0.37;88.510;27.360;7921.000;29.000
4/3/2023;12:57:16 PM;0.62;86.920;27.550;7938.000;29.000
4/3/2023;12:57:31 PM;0.87;88.570;27.350;7946.000;29.000
4/3/2023;12:57:46 PM;1.12;87.250;27.510;7938.000;29.000
4/3/2023;12:58:01 PM;1.37;90.360;27.140;7929.000;29.000
4/3/2023;12:58:16 PM;1.62;88.760;27.330;7950.000;29.000
4/3/2023;12:58:31 PM;1.87;88.850;27.320;7913.000;29.000
4/3/2023;12:58:46 PM;2.12;87.200;27.520;7941.000;29.000
4/3/2023;12:59:01 PM;2.37;88.600;27.350;7934.000;29.000
4/3/2023;12:59:16 PM;2.62;87.440;27.490;7920.000;29.000
4/3/2023;12:59:31 PM;2.87;87.660;27.460;7924.000;29.000
4/3/2023;12:59:46 PM;3.12;89.710;27.210;7909.000;29.000
