4/3/2023/7:12 AM SW ver:OXY10v3_33
Header Ch-5
Description: 
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 99588
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.44 at 029.0°C amp 029900
100.00%a.s.phase 2: 26.14 at 029.0°C amp 012300
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/3/2023;7:12:47 AM;0.00;86.250;27.680;12941.000;29.000
4/3/2023;7:12:52 AM;0.09;86.090;27.700;12940.000;29.000
4/3/2023;7:13:07 AM;0.34;85.790;27.740;12948.000;29.000
4/3/2023;7:13:22 AM;0.59;85.950;27.720;12930.000;29.000
4/3/2023;7:13:37 AM;0.84;86.240;27.680;12917.000;29.000
4/3/2023;7:13:52 AM;1.09;86.460;27.660;12945.000;29.000
4/3/2023;7:14:07 AM;1.34;85.850;27.730;12931.000;29.000
4/3/2023;7:14:22 AM;1.59;86.040;27.710;12931.000;29.000
4/3/2023;7:14:37 AM;1.84;85.530;27.770;12950.000;29.000
4/3/2023;7:14:52 AM;2.09;86.010;27.710;12958.000;29.000
4/3/2023;7:15:07 AM;2.34;85.780;27.740;12972.000;29.000
4/3/2023;7:15:22 AM;2.59;86.870;27.610;12962.000;29.000
4/3/2023;7:15:37 AM;2.84;85.390;27.790;12973.000;29.000
4/3/2023;7:15:52 AM;3.09;86.050;27.710;12995.000;29.000
4/3/2023;7:16:07 AM;3.34;85.660;27.760;13004.000;29.000
4/3/2023;7:16:22 AM;3.59;85.950;27.720;13009.000;29.000
4/3/2023;7:16:37 AM;3.84;85.920;27.720;13029.000;29.000
4/3/2023;7:16:52 AM;4.09;86.030;27.710;13019.000;29.000
4/3/2023;7:17:07 AM;4.34;85.220;27.810;13042.000;29.000
4/3/2023;7:17:22 AM;4.59;85.820;27.740;13035.000;29.000
4/3/2023;7:17:37 AM;4.84;85.310;27.800;13030.000;29.000
4/3/2023;7:17:52 AM;5.09;85.490;27.780;13055.000;29.000
4/3/2023;7:18:07 AM;5.34;85.780;27.740;13049.000;29.000
4/3/2023;7:18:22 AM;5.59;84.720;27.870;13055.000;29.000
4/3/2023;7:18:37 AM;5.84;85.000;27.840;13075.000;29.000
4/3/2023;7:18:52 AM;6.09;85.030;27.840;13083.000;29.000
4/3/2023;7:19:07 AM;6.34;85.360;27.790;13099.000;29.000
4/3/2023;7:19:22 AM;6.59;85.550;27.770;13112.000;29.000
4/3/2023;7:19:37 AM;6.84;84.860;27.860;13111.000;29.000
4/3/2023;7:19:52 AM;7.09;85.270;27.810;13135.000;29.000
4/3/2023;7:20:07 AM;7.34;85.030;27.840;13140.000;29.000
4/3/2023;7:20:22 AM;7.59;85.020;27.840;13133.000;29.000
4/3/2023;7:20:37 AM;7.84;84.520;27.900;13139.000;29.000
4/3/2023;7:20:52 AM;8.09;84.620;27.890;13142.000;29.000
4/3/2023;7:21:07 AM;8.34;84.870;27.860;13171.000;29.000
4/3/2023;7:21:22 AM;8.59;85.050;27.830;13180.000;29.000
4/3/2023;7:21:37 AM;8.84;84.520;27.900;13185.000;29.000
4/3/2023;7:21:52 AM;9.09;84.590;27.890;13204.000;29.000
4/3/2023;7:22:07 AM;9.34;84.500;27.900;13218.000;29.000
4/3/2023;7:22:22 AM;9.59;85.000;27.840;13221.000;29.000
4/3/2023;7:22:37 AM;9.84;85.020;27.840;13226.000;29.000
4/3/2023;7:22:52 AM;10.09;84.080;27.960;13244.000;29.000
4/3/2023;7:23:07 AM;10.34;84.790;27.870;13246.000;29.000
