4/4/2023/7:11 AM SW ver:OXY10v3_33
Header Ch-1
Description: Midd_01_Respiration
IDENTIFICATION
PHIboard number   : v1231473
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 101675
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.45 at 029.0°C amp 030300
100.00%a.s.phase 2: 26.34 at 029.0°C amp 015300
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/4/2023;7:11:57 AM;0.00;76.990;29.120;12499.000;29.000
4/4/2023;7:11:58 AM;0.02;77.490;29.050;12515.000;29.000
4/4/2023;7:12:12 AM;0.26;77.450;29.060;12515.000;29.000
4/4/2023;7:12:27 AM;0.51;77.410;29.060;12530.000;29.000
4/4/2023;7:12:43 AM;0.76;77.000;29.120;12536.000;29.000
4/4/2023;7:12:57 AM;1.01;76.990;29.120;12547.000;29.000
4/4/2023;7:13:12 AM;1.26;77.260;29.080;12550.000;29.000
4/4/2023;7:13:27 AM;1.51;76.690;29.160;12580.000;29.000
4/4/2023;7:13:43 AM;1.76;76.380;29.210;12584.000;29.000
4/4/2023;7:13:57 AM;2.01;76.500;29.190;12598.000;29.000
4/4/2023;7:14:12 AM;2.26;76.290;29.220;12601.000;29.000
4/4/2023;7:14:27 AM;2.51;76.320;29.220;12614.000;29.000
4/4/2023;7:14:42 AM;2.76;76.110;29.250;12628.000;29.000
4/4/2023;7:14:57 AM;3.01;75.600;29.320;12627.000;29.000
4/4/2023;7:15:12 AM;3.26;75.440;29.340;12637.000;29.000
4/4/2023;7:15:27 AM;3.51;75.690;29.310;12648.000;29.000
4/4/2023;7:15:42 AM;3.76;75.190;29.380;12663.000;29.000
4/4/2023;7:15:57 AM;4.01;75.120;29.390;12665.000;29.000
4/4/2023;7:16:12 AM;4.26;75.710;29.300;12669.000;29.000
4/4/2023;7:16:27 AM;4.51;74.930;29.420;12684.000;29.000
4/4/2023;7:16:42 AM;4.76;74.410;29.500;12693.000;29.000
4/4/2023;7:16:57 AM;5.01;74.700;29.450;12706.000;29.000
4/4/2023;7:17:12 AM;5.26;74.510;29.480;12728.000;29.000
4/4/2023;7:17:27 AM;5.51;74.620;29.470;12731.000;29.000
4/4/2023;7:17:42 AM;5.76;74.300;29.510;12767.000;29.000
4/4/2023;7:17:57 AM;6.01;74.410;29.500;12766.000;29.000
4/4/2023;7:18:12 AM;6.26;73.750;29.590;12772.000;29.000
4/4/2023;7:18:27 AM;6.51;73.940;29.570;12798.000;29.000
4/4/2023;7:18:42 AM;6.76;74.200;29.530;12787.000;29.000
4/4/2023;7:18:57 AM;7.01;74.230;29.520;12806.000;29.000
4/4/2023;7:19:12 AM;7.26;73.630;29.610;12815.000;29.000
4/4/2023;7:19:27 AM;7.51;72.980;29.710;12833.000;29.000
4/4/2023;7:19:42 AM;7.76;73.570;29.620;12850.000;29.000
4/4/2023;7:19:57 AM;8.01;73.370;29.650;12856.000;29.000
4/4/2023;7:20:12 AM;8.26;73.020;29.700;12877.000;29.000
4/4/2023;7:20:27 AM;8.51;72.350;29.810;12884.000;29.000
4/4/2023;7:20:42 AM;8.76;72.770;29.740;12879.000;29.000
4/4/2023;7:20:57 AM;9.01;72.990;29.710;12886.000;29.000
4/4/2023;7:21:12 AM;9.26;72.720;29.750;12908.000;29.000
4/4/2023;7:21:27 AM;9.51;72.410;29.800;12920.000;29.000
4/4/2023;7:21:42 AM;9.76;72.660;29.760;12943.000;29.000
4/4/2023;7:21:57 AM;10.01;72.880;29.730;12936.000;29.000
4/4/2023;7:22:12 AM;10.26;72.190;29.830;12969.000;29.000
4/4/2023;7:22:27 AM;10.51;72.010;29.860;12966.000;29.000
4/4/2023;7:22:42 AM;10.76;72.210;29.830;12979.000;29.000
4/4/2023;7:22:57 AM;11.01;71.780;29.890;12978.000;29.000
4/4/2023;7:23:12 AM;11.26;71.710;29.910;13020.000;29.000
4/4/2023;7:23:27 AM;11.51;71.440;29.950;13002.000;29.000
4/4/2023;7:23:42 AM;11.76;71.440;29.950;13037.000;29.000
4/4/2023;7:23:57 AM;12.01;71.390;29.950;13032.000;29.000
4/4/2023;7:24:12 AM;12.26;70.640;30.070;13047.000;29.000
4/4/2023;7:24:27 AM;12.51;70.940;30.030;13067.000;29.000
