4/4/2023/9:59 AM SW ver:OXY10v3_33
Header Ch-4
Description: Midd_04_300
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 88307
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.25 at 029.0°C amp 024900
100.00%a.s.phase 2: 26.13 at 029.0°C amp 011100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/4/2023;9:59:31 AM;0.00;87.690;27.500;5892.000;29.000
4/4/2023;9:59:34 AM;0.05;84.560;27.880;5877.000;29.000
4/4/2023;9:59:49 AM;0.30;85.090;27.820;5916.000;29.000
4/4/2023;10:00:04 AM;0.54;85.340;27.790;5856.000;29.000
4/4/2023;10:00:19 AM;0.79;83.420;28.030;5900.000;29.000
4/4/2023;10:00:34 AM;1.05;85.070;27.820;5886.000;29.000
4/4/2023;10:00:49 AM;1.30;86.510;27.640;5906.000;29.000
4/4/2023;10:01:04 AM;1.55;86.640;27.620;5892.000;29.000
4/4/2023;10:01:19 AM;1.80;86.150;27.680;5902.000;29.000
4/4/2023;10:01:34 AM;2.05;84.790;27.850;5887.000;29.000
4/4/2023;10:01:49 AM;2.29;85.290;27.790;5907.000;29.000
4/4/2023;10:02:04 AM;2.54;87.570;27.510;5871.000;29.000
4/4/2023;10:02:19 AM;2.79;86.360;27.660;5884.000;29.000
4/4/2023;10:02:34 AM;3.05;85.610;27.750;5863.000;29.000
4/4/2023;10:02:49 AM;3.30;89.380;27.290;5877.000;29.000
4/4/2023;10:03:04 AM;3.55;89.470;27.280;5867.000;29.000
4/4/2023;10:03:19 AM;3.80;87.820;27.480;5828.000;29.000
4/4/2023;10:03:34 AM;4.04;88.400;27.410;5846.000;29.000
4/4/2023;10:03:49 AM;4.30;90.470;27.170;5843.000;29.000
4/4/2023;10:04:04 AM;4.55;88.740;27.370;5825.000;29.000
4/4/2023;10:04:19 AM;4.80;87.050;27.570;5804.000;29.000
4/4/2023;10:04:34 AM;5.05;86.690;27.620;5837.000;29.000
4/4/2023;10:04:49 AM;5.30;91.270;27.070;5797.000;29.000
4/4/2023;10:05:04 AM;5.55;89.470;27.280;5796.000;29.000
4/4/2023;10:05:19 AM;5.80;90.120;27.210;5804.000;29.000
4/4/2023;10:05:34 AM;6.05;89.130;27.320;5776.000;29.000
4/4/2023;10:05:49 AM;6.30;90.260;27.190;5802.000;29.000
4/4/2023;10:06:04 AM;6.54;90.460;27.170;5757.000;29.000
4/4/2023;10:06:19 AM;6.80;87.670;27.500;5760.000;29.000
4/4/2023;10:06:34 AM;7.05;90.130;27.210;5750.000;29.000
4/4/2023;10:06:49 AM;7.30;91.170;27.090;5737.000;29.000
4/4/2023;10:07:04 AM;7.54;92.430;26.940;5737.000;29.000
4/4/2023;10:07:19 AM;7.80;91.620;27.030;5747.000;29.000
4/4/2023;10:07:34 AM;8.04;92.950;26.880;5713.000;29.000
