Chamber	Time	Logtime_min	OxyPercent_airsat	Phase	Amp	TempC	per_air-sat	per_oxygen	pO2_hPa	pO2_Torr	cO2_mg_L	cO2_umol_L	Salinity	chlorinity	SalCorcO2_mg_L	SalCorcO2_umol_L
5	7:57:14	0.00	76.410	28.990	13775.000	29.000	77.954644	16.3314979	158.879370	119.169657	5.98521766	187.038052	36	19.8171745	4.82304659	150.720206
5	7:57:17	0.06	77.080	28.900	13766.000	29.000	78.599583	16.4666127	160.193821	120.155579	6.03473496	188.585468	36	19.8171745	4.86294894	151.967154
5	7:57:32	0.31	76.210	29.020	13786.000	29.000	77.741077	16.2867555	158.444098	118.843176	5.96882035	186.525636	36	19.8171745	4.80983320	150.307288
5	7:57:47	0.56	75.560	29.110	13788.000	29.000	77.104569	16.1534072	157.146832	117.870143	5.91995043	184.998451	36	19.8171745	4.77045253	149.076642
5	7:58:02	0.81	76.540	28.970	13807.000	29.000	78.097413	16.3614080	159.170348	119.387909	5.99617923	187.380601	36	19.8171745	4.83187971	150.996241
5	7:58:17	1.06	75.890	29.070	13792.000	29.000	77.386688	16.2125110	157.721818	118.301419	5.94161099	185.675344	36	19.8171745	4.78790719	149.622100
5	7:58:32	1.31	76.170	29.030	13827.000	29.000	77.670043	16.2718741	158.299326	118.734587	5.96336655	186.355205	36	19.8171745	4.80543839	150.169950
5	7:58:47	1.56	77.010	28.910	13801.000	29.000	78.527608	16.4515338	160.047128	120.045550	6.02920881	188.412775	36	19.8171745	4.85849582	151.827994
5	7:59:02	1.81	76.120	29.030	13794.000	29.000	77.670043	16.2718741	158.299326	118.734587	5.96336655	186.355205	36	19.8171745	4.80543839	150.169950
5	7:59:17	2.06	76.060	29.040	13818.000	29.000	77.599088	16.2570090	158.154712	118.626117	5.95791872	186.184960	36	19.8171745	4.80104839	150.032762
5	7:59:32	2.31	77.010	28.910	13804.000	29.000	78.527608	16.4515338	160.047128	120.045550	6.02920881	188.412775	36	19.8171745	4.85849582	151.827994
5	7:59:47	2.56	77.150	28.890	13810.000	29.000	78.671638	16.4817082	160.340676	120.265730	6.04026720	188.758350	36	19.8171745	4.86740697	152.106468
5	8:00:02	2.81	76.540	28.970	13822.000	29.000	78.097413	16.3614080	159.170348	119.387909	5.99617923	187.380601	36	19.8171745	4.83187971	150.996241
5	8:00:17	3.06	76.240	29.020	13814.000	29.000	77.741077	16.2867555	158.444098	118.843176	5.96882035	186.525636	36	19.8171745	4.80983320	150.307288
5	8:00:32	3.31	75.920	29.060	13465.000	29.000	77.457410	16.2273274	157.865958	118.409533	5.94704096	185.845030	36	19.8171745	4.79228279	149.758837
5	8:00:47	3.56	75.920	3.540	93.000	29.000	3036.860932	636.2223653	6189.426669	4642.464612	233.16473250	7286.397891	36	19.8171745	187.89030440	5871.572012
5	8:01:02	3.81	75.920	10.210	81.000	29.000	728.066471	152.5299258	1483.872372	1112.998884	55.89963710	1746.863660	36	19.8171745	45.04540510	1407.668909
5	8:01:17	4.06	75.920	3.100	73.000	29.000	3543.002641	742.2590533	7220.994153	5416.205992	272.02538458	8500.793268	36	19.8171745	219.20524500	6850.163906
5	8:01:32	4.31	89.310	27.310	12614.000	29.000	91.136238	19.0930420	185.744780	139.320427	6.99727684	218.664901	36	19.8171745	5.63859063	176.205957
5	8:01:48	4.56	89.250	27.320	12871.000	29.000	91.050044	19.0749843	185.569107	139.188662	6.99065901	218.458094	36	19.8171745	5.63325780	176.039306
5	8:02:02	4.81	89.120	27.340	12891.000	29.000	90.877958	19.0389321	185.218377	138.925592	6.97744649	218.045203	36	19.8171745	5.62261081	175.706588
5	8:02:18	5.06	88.590	27.400	12902.000	29.000	90.364097	18.9312784	184.171078	138.140051	6.93799321	216.812288	36	19.8171745	5.59081832	174.713072
5	8:02:32	5.31	88.330	27.430	12867.000	29.000	90.108510	18.8777327	183.650165	137.749333	6.91836965	216.199052	36	19.8171745	5.57500513	174.218910
5	8:02:47	5.56	88.630	27.390	12882.000	29.000	90.449491	18.9491685	184.345120	138.270593	6.94454963	217.017176	36	19.8171745	5.59610165	174.878177
