4/4/2023/7:57 AM SW ver:OXY10v3_33
Header Ch-6
Description: Midd_06_50
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 101155
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 038800
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016500
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/4/2023;7:57:14 AM;0.00;62.880;31.340;21285.000;29.000
4/4/2023;7:57:24 AM;0.15;62.140;31.470;21277.000;29.000
4/4/2023;7:57:39 AM;0.40;62.750;31.360;21104.000;29.000
4/4/2023;7:57:54 AM;0.65;63.400;31.240;21131.000;29.000
4/4/2023;7:58:09 AM;0.90;62.910;31.330;21249.000;29.000
4/4/2023;7:58:24 AM;1.15;62.520;31.400;21288.000;29.000
4/4/2023;7:58:39 AM;1.40;62.800;31.350;21366.000;29.000
4/4/2023;7:58:54 AM;1.65;62.580;31.390;21250.000;29.000
4/4/2023;7:59:09 AM;1.91;62.670;31.370;21231.000;29.000
4/4/2023;7:59:24 AM;2.16;62.160;31.470;21309.000;29.000
4/4/2023;7:59:39 AM;2.40;61.820;31.530;21325.000;29.000
4/4/2023;7:59:54 AM;2.65;62.350;31.430;21268.000;29.000
4/4/2023;8:00:09 AM;2.90;61.780;31.540;21263.000;29.000
4/4/2023;8:00:24 AM;3.15;61.250;31.630;21332.000;29.000
4/4/2023;8:00:39 AM;3.40;61.830;31.530;21310.000;29.000
4/4/2023;8:00:54 AM;3.65;61.480;31.590;21358.000;29.000
4/4/2023;8:01:09 AM;3.90;61.370;31.610;21464.000;29.000
4/4/2023;8:01:24 AM;4.15;61.460;31.600;21325.000;29.000
4/4/2023;8:01:39 AM;4.40;61.460;13.500;39.000;29.000
4/4/2023;8:01:54 AM;4.65;61.460;31.240;113.000;29.000
