4/4/2023/12:48 PM SW ver:OXY10v3_33
Header Ch-6
Description: Midd_06_800
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 101155
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 038800
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016500
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/4/2023;12:48:42 PM;0.00;82.030;28.390;17765.000;29.000
4/4/2023;12:48:43 PM;0.03;82.300;28.350;17802.000;29.000
4/4/2023;12:48:54 PM;0.20;82.620;28.310;17786.000;29.000
4/4/2023;12:49:09 PM;0.45;83.360;28.220;17786.000;29.000
4/4/2023;12:49:24 PM;0.70;83.230;28.230;17737.000;29.000
4/4/2023;12:49:39 PM;0.95;82.940;28.270;17784.000;29.000
4/4/2023;12:49:54 PM;1.20;81.230;28.490;17898.000;29.000
4/4/2023;12:50:09 PM;1.45;82.540;28.320;17918.000;29.000
4/4/2023;12:50:24 PM;1.70;80.730;28.560;17865.000;29.000
4/4/2023;12:50:39 PM;1.95;83.230;28.230;17919.000;29.000
4/4/2023;12:50:54 PM;2.20;80.820;28.550;17889.000;29.000
4/4/2023;12:51:09 PM;2.45;81.050;28.520;17853.000;29.000
4/4/2023;12:51:24 PM;2.70;80.230;28.630;17869.000;29.000
4/4/2023;12:51:39 PM;2.96;80.820;28.550;17866.000;29.000
4/4/2023;12:51:54 PM;3.21;81.020;28.520;18025.000;29.000
4/4/2023;12:52:09 PM;3.45;80.960;28.530;17991.000;29.000
4/4/2023;12:52:24 PM;3.71;82.410;28.340;17901.000;29.000
4/4/2023;12:52:39 PM;3.96;79.150;28.780;17886.000;29.000
4/4/2023;12:52:54 PM;4.20;82.190;28.370;17937.000;29.000
4/4/2023;12:53:09 PM;4.45;81.660;28.440;17894.000;29.000
4/4/2023;12:53:24 PM;4.70;81.200;28.500;17955.000;29.000
4/4/2023;12:53:39 PM;4.95;80.640;28.570;17814.000;29.000
4/4/2023;12:53:54 PM;5.20;80.130;28.640;17859.000;29.000
4/4/2023;12:54:09 PM;5.46;81.900;28.410;17909.000;29.000
4/4/2023;12:54:24 PM;5.71;82.370;28.340;17956.000;29.000
4/4/2023;12:54:39 PM;5.96;80.310;28.620;17915.000;29.000
4/4/2023;12:54:54 PM;6.21;80.900;28.540;17850.000;29.000
4/4/2023;12:55:09 PM;6.46;81.410;28.470;17945.000;29.000
4/4/2023;12:55:24 PM;6.70;79.850;28.680;17932.000;29.000
4/4/2023;12:55:39 PM;6.95;81.850;28.410;17904.000;29.000
4/4/2023;12:55:54 PM;7.21;80.530;28.590;17921.000;29.000
4/4/2023;12:56:09 PM;7.45;81.360;28.480;17957.000;29.000
4/4/2023;12:56:24 PM;7.70;81.900;28.410;17900.000;29.000
4/4/2023;12:56:39 PM;7.96;80.660;28.570;17897.000;29.000
