4/4/2023/7:12 AM SW ver:OXY10v3_33
Header Ch-6
Description: Midd_06_Respiration
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 101155
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 038800
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016500
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/4/2023;7:12:01 AM;0.00;81.540;28.450;19069.000;29.000
4/4/2023;7:12:02 AM;0.02;80.850;28.550;19079.000;29.000
4/4/2023;7:12:09 AM;0.13;80.250;28.630;19089.000;29.000
4/4/2023;7:12:24 AM;0.38;81.020;28.520;19102.000;29.000
4/4/2023;7:12:39 AM;0.63;81.010;28.520;19110.000;29.000
4/4/2023;7:12:54 AM;0.88;81.380;28.480;19156.000;29.000
4/4/2023;7:13:09 AM;1.13;81.860;28.410;19138.000;29.000
4/4/2023;7:13:24 AM;1.38;80.580;28.580;19141.000;29.000
4/4/2023;7:13:39 AM;1.63;80.270;28.620;19162.000;29.000
4/4/2023;7:13:54 AM;1.88;80.730;28.560;19197.000;29.000
4/4/2023;7:14:09 AM;2.13;79.900;28.670;19177.000;29.000
4/4/2023;7:14:24 AM;2.38;80.730;28.560;19203.000;29.000
4/4/2023;7:14:39 AM;2.63;80.680;28.570;19251.000;29.000
4/4/2023;7:14:54 AM;2.88;80.150;28.640;19204.000;29.000
