Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/26/2019	00:52:12	0	3.5905	4.0462	4.0049	4.1156
1/26/2019	00:52:27	15	3.5972	4.048	3.9984	4.1137
1/26/2019	00:52:42	30	3.5907	4.0401	3.9988	4.1132
1/26/2019	00:52:57	45	3.5933	4.046	3.9932	4.117
1/26/2019	00:53:12	60	3.589	4.0507	3.9952	4.1194
1/26/2019	00:53:27	75	3.5807	4.0532	3.9928	4.1222
1/26/2019	00:53:42	90	3.5588	4.0522	3.988	4.1167
1/26/2019	00:53:57	105	3.5551	4.0451	3.9881	4.1209
1/26/2019	00:54:12	120	3.5443	4.0468	3.9834	4.1236
1/26/2019	00:54:27	135	3.523	4.045	3.984	4.1237
1/26/2019	00:54:42	150	3.5036	4.0428	3.9786	4.1228
1/26/2019	00:54:57	165	3.4977	4.0491	3.9806	4.1247
1/26/2019	00:55:12	180	3.4907	4.0404	3.9751	4.1299
1/26/2019	00:55:27	195	3.4887	4.0536	3.9734	4.1271
1/26/2019	00:55:42	210	3.4793	4.0371	3.9708	4.1303
1/26/2019	00:55:57	225	3.4652	4.0365	3.9705	4.13
1/26/2019	00:56:12	240	3.4422	4.034	3.9622	4.131
1/26/2019	00:56:27	255	3.4464	4.0316	3.9601	4.1327
1/26/2019	00:56:42	270	3.4386	4.0356	3.9592	4.1311
1/26/2019	00:56:57	285	3.437	4.0426	3.9577	4.132
1/26/2019	00:57:12	300	3.4346	4.037	3.956	4.1393
1/26/2019	00:57:27	315	3.4275	4.042	3.957	4.1352
1/26/2019	00:57:42	330	3.4198	4.0437	3.9568	4.138
1/26/2019	00:57:57	345	3.4082	4.0334	3.9529	4.134
1/26/2019	00:58:12	360	3.3991	4.0314	3.9484	4.1339
1/26/2019	00:58:27	375	3.3883	4.0235	3.9425	4.1367
1/26/2019	00:58:42	390	3.3787	4.0383	3.9424	4.132
1/26/2019	00:58:57	405	3.3787	4.0183	3.9379	4.1363
1/26/2019	00:59:12	420	3.371	4.0184	3.9401	4.1377
1/26/2019	00:59:27	435	3.3618	4.0246	3.9314	4.1362
1/26/2019	00:59:42	450	3.3519	4.0214	3.9302	4.1385
1/26/2019	00:59:57	465	3.3414	4.0317	3.9332	4.1409
1/26/2019	01:00:12	480	3.3356	4.0297	3.9352	4.1463
1/26/2019	01:00:27	495	3.3286	4.0262	3.9306	4.1485
1/26/2019	01:00:42	510	3.3212	4.0317	3.937	4.1453
1/26/2019	01:00:57	525	3.3123	4.0283	3.9281	4.1518
1/26/2019	01:01:12	540	3.3005	4.0218	3.9336	4.1529
1/26/2019	01:01:27	555	3.2839	4.0217	3.9318	4.1579
1/26/2019	01:01:42	570	3.272	4.0277	3.9296	4.1626
1/26/2019	01:01:57	585	3.2641	4.0219	3.9319	4.1619
1/26/2019	01:02:12	600	3.2533	4.0274	3.9366	4.1654
1/26/2019	01:02:27	615	3.2473	4.0262	3.9415	4.1711
1/26/2019	01:02:42	630	3.2376	4.0287	3.9331	4.1724
1/26/2019	01:02:57	645	3.2328	4.0231	3.9375	4.1761
1/26/2019	01:03:12	660	3.2141	4.0257	3.9321	4.1767
1/26/2019	01:03:27	675	3.2227	4.0274	3.9342	4.182
1/26/2019	01:03:42	690	3.2166	4.024	3.9319	4.1833
1/26/2019	01:03:57	705	3.2118	4.0316	3.934	4.1859
1/26/2019	01:04:12	720	3.203	4.0228	3.9309	4.1925
1/26/2019	01:04:27	735	3.1929	4.0219	3.9252	4.1887
1/26/2019	01:04:42	750	3.1878	4.0191	3.9253	4.2017
1/26/2019	01:04:57	765	3.181	4.0187	3.9243	4.1954
1/26/2019	01:05:12	780	3.1718	4.0305	3.9227	4.195
1/26/2019	01:05:27	795	3.1705	4.0323	3.9205	4.1994
1/26/2019	01:05:42	810	3.16	4.0279	3.9219	4.2036
1/26/2019	01:05:57	825	3.1558	4.0389	3.9182	4.2039
1/26/2019	01:06:12	840	3.1481	4.036	3.919	4.2009
1/26/2019	01:06:27	855	3.1349	4.0258	3.9155	4.2083
1/26/2019	01:06:42	870	3.1182	4.0269	3.9242	4.2008
1/26/2019	01:06:57	885	3.1054	4.0276	3.9159	4.2054
1/26/2019	01:07:12	900	3.1038	4.0219	3.9122	4.2109
1/26/2019	01:07:27	915	3.095	4.0259	3.9064	4.2066
1/26/2019	01:07:42	930	3.0798	4.0298	3.9085	4.2085
1/26/2019	01:07:57	945	3.0662	4.0266	3.9097	4.2145
1/26/2019	01:08:12	960	3.0643	4.032	3.9061	4.2102
1/26/2019	01:08:27	975	3.0633	4.0252	3.9057	4.2019
1/26/2019	01:08:42	990	3.0716	4.0164	3.9038	4.2084
1/26/2019	01:08:57	1005	3.0504	4.01	3.8947	4.2102
1/26/2019	01:09:12	1020	3.033	4.0208	3.8991	4.2028
1/26/2019	01:09:27	1035	3.0249	4.0122	3.8904	4.1953
1/26/2019	01:09:42	1050	3.0093	4.0257	3.8928	4.1987
1/26/2019	01:09:57	1065	3.0008	4.0259	3.8865	4.196
1/26/2019	01:10:12	1080	2.9912	4.0273	3.882	4.1984
1/26/2019	01:10:27	1095	2.9791	4.0161	3.8816	4.2017
1/26/2019	01:10:42	1110	2.9699	4.0272	3.8854	4.2018
1/26/2019	01:10:57	1125	2.9644	4.0229	3.8789	4.2033
1/26/2019	01:11:12	1140	2.9539	4.0127	3.8851	4.203
1/26/2019	01:11:27	1155	2.9482	4.0192	3.8798	4.1892
1/26/2019	01:11:42	1170	2.9406	4.0089	3.8734	4.1883
1/26/2019	01:11:57	1185	2.9345	4.0068	3.8716	4.1857
1/26/2019	01:12:12	1200	2.9243	4.0047	3.8715	4.1883
1/26/2019	01:12:27	1215	2.9154	3.9933	3.8719	4.1931
1/26/2019	01:12:42	1230	2.9072	3.9911	3.8664	4.1871
1/26/2019	01:12:57	1245	2.8953	3.9968	3.865	4.1972
1/26/2019	01:13:12	1260	2.8828	3.9915	3.8605	4.1981
1/26/2019	01:13:27	1275	2.8735	3.9845	3.8606	4.2012
1/26/2019	01:13:42	1290	2.8633	3.9713	3.8576	4.1968
1/26/2019	01:13:57	1305	2.8556	3.971	3.8545	4.185
1/26/2019	01:14:12	1320	2.851	3.9701	3.8558	4.1887
1/26/2019	01:14:27	1335	2.8392	3.9671	3.8501	4.1822
1/26/2019	01:14:42	1350	2.8293	3.9633	3.8514	4.1933
1/26/2019	01:14:57	1365	2.8167	3.9586	3.8507	4.192
1/26/2019	01:15:12	1380	2.8064	3.9604	3.8505	4.1871
1/26/2019	01:15:27	1395	2.8004	3.9548	3.8454	4.1764
1/26/2019	01:15:42	1410	2.7891	3.954	3.8434	4.1715
1/26/2019	01:15:57	1425	2.7845	3.9515	3.8382	4.1671
1/26/2019	01:16:12	1440	2.7723	3.9524	3.8379	4.1699
1/26/2019	01:16:27	1455	2.7646	3.9449	3.8352	4.1773
1/26/2019	01:16:42	1470	2.7576	3.9388	3.8355	4.1727
