Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/27/2019	13:10:53	0	4.4917	4.4179	4.4586	4.5215
1/27/2019	13:10:56	3.47	4.4936	4.4193	4.4573	4.523
1/27/2019	13:10:58	4.94	4.4914	4.4181	4.4574	4.5208
1/27/2019	13:10:59	6.19	4.492	4.418	4.4561	4.5236
1/27/2019	13:11:01	7.61	4.4887	4.4151	4.4591	4.5223
1/27/2019	13:11:02	9.3	4.4885	4.4144	4.4584	4.5214
1/27/2019	13:11:04	10.7	4.4872	4.4135	4.4574	4.5209
1/27/2019	13:11:05	12.16	4.4887	4.4137	4.4541	4.5214
1/27/2019	13:11:07	13.61	4.4903	4.4147	4.4529	4.5221
1/27/2019	13:11:08	14.94	4.49	4.414	4.4529	4.5187
1/27/2019	13:11:09	16.33	4.4874	4.4149	4.453	4.5186
1/27/2019	13:11:11	17.83	4.4879	4.4154	4.4527	4.5195
1/27/2019	13:11:13	19.62	4.4893	4.415	4.4547	4.5208
1/27/2019	13:11:14	21.3	4.492	4.4134	4.4552	4.5196
1/27/2019	13:11:16	22.66	4.4909	4.4127	4.4549	4.5177
1/27/2019	13:11:18	24.52	4.4892	4.4142	4.453	4.5171
1/27/2019	13:11:19	26.06	4.4885	4.4142	4.4511	4.516
1/27/2019	13:11:20	27.42	4.4877	4.4124	4.4502	4.5155
1/27/2019	13:11:22	28.73	4.4882	4.4116	4.4515	4.5137
1/27/2019	13:11:23	30.05	4.4866	4.4104	4.4515	4.5136
1/27/2019	13:11:24	31.41	4.4864	4.411	4.4524	4.5151
1/27/2019	13:11:26	32.8	4.4873	4.4112	4.4493	4.5155
1/27/2019	13:11:27	34.3	4.4869	4.412	4.4481	4.5151
1/27/2019	13:11:29	36.06	4.4877	4.4099	4.4484	4.5132
1/27/2019	13:11:31	37.61	4.4863	4.4084	4.4487	4.516
1/27/2019	13:11:33	39.59	4.4877	4.4078	4.4502	4.5169
1/27/2019	13:11:34	41	4.4881	4.4095	4.4497	4.5166
1/27/2019	13:11:35	42.39	4.4882	4.4095	4.4496	4.5127
1/27/2019	13:11:37	44.02	4.4861	4.4095	4.4487	4.5125
1/27/2019	13:11:39	45.69	4.4831	4.4078	4.4479	4.5127
1/27/2019	13:11:40	47.16	4.4829	4.4066	4.4475	4.5129
1/27/2019	13:11:42	48.56	4.4836	4.405	4.4467	4.5116
1/27/2019	13:11:43	49.84	4.4858	4.4034	4.4455	4.5125
1/27/2019	13:11:44	51.27	4.4865	4.402	4.4453	4.5145
1/27/2019	13:11:46	52.64	4.4871	4.4013	4.445	4.5144
1/27/2019	13:11:47	53.97	4.4869	4.4022	4.4459	4.5114
1/27/2019	13:11:48	55.22	4.486	4.4018	4.4462	4.5095
1/27/2019	13:11:50	56.5	4.4834	4.4016	4.4466	4.51
1/27/2019	13:11:51	57.77	4.4849	4.4001	4.4437	4.5129
1/27/2019	13:11:52	59.05	4.4841	4.3989	4.4428	4.5126
1/27/2019	13:11:53	60.31	4.4842	4.3993	4.4429	4.5119
1/27/2019	13:11:55	61.97	4.4799	4.4009	4.4438	4.5098
1/27/2019	13:11:56	63.47	4.4789	4.4026	4.4443	4.5103
1/27/2019	13:11:58	64.84	4.4798	4.401	4.4428	4.512
1/27/2019	13:11:59	66.22	4.4821	4.3995	4.4431	4.5112
1/27/2019	13:12:01	67.55	4.4817	4.3971	4.4405	4.5104
1/27/2019	13:12:02	68.78	4.4828	4.3959	4.4389	4.5092
1/27/2019	13:12:03	70.08	4.4818	4.3944	4.4384	4.5091
1/27/2019	13:12:04	71.33	4.4822	4.3939	4.4386	4.5069
1/27/2019	13:12:06	72.95	4.4798	4.3936	4.4398	4.5053
1/27/2019	13:12:07	74.45	4.4794	4.3927	4.4402	4.5048
1/27/2019	13:12:09	75.7	4.4788	4.3923	4.4407	4.5059
1/27/2019	13:12:10	77.25	4.4775	4.3924	4.4402	4.5063
1/27/2019	13:12:12	78.62	4.4772	4.391	4.438	4.5066
1/27/2019	13:12:13	80.08	4.4778	4.3893	4.438	4.5054
1/27/2019	13:12:14	81.47	4.4798	4.3871	4.4377	4.5038
1/27/2019	13:12:17	83.64	4.4795	4.3858	4.4384	4.5043
1/27/2019	13:12:18	85.17	4.4795	4.3861	4.439	4.506
1/27/2019	13:12:20	86.64	4.4799	4.3848	4.4392	4.5053
1/27/2019	13:12:21	88.05	4.482	4.3848	4.4389	4.5046
1/27/2019	13:12:23	89.62	4.4828	4.3821	4.4375	4.5027
1/27/2019	13:12:24	91.09	4.4823	4.3808	4.4362	4.5022
1/27/2019	13:12:26	92.62	4.4801	4.3799	4.4359	4.5012
1/27/2019	13:12:27	94.17	4.4775	4.3813	4.4354	4.4996
1/27/2019	13:12:29	96.39	4.4763	4.3819	4.4343	4.5018
1/27/2019	13:12:31	97.87	4.4759	4.3817	4.4341	4.5
1/27/2019	13:12:32	99.3	4.4767	4.3799	4.4325	4.4999
1/27/2019	13:12:34	100.72	4.4771	4.3791	4.4338	4.4983
1/27/2019	13:12:35	102.02	4.478	4.378	4.4342	4.4993
1/27/2019	13:12:36	103.25	4.4769	4.3778	4.4335	4.5018
1/27/2019	13:12:38	104.53	4.4753	4.3769	4.4317	4.5013
1/27/2019	13:12:39	105.84	4.4745	4.3761	4.4312	4.5006
1/27/2019	13:12:40	107.09	4.4753	4.3748	4.4314	4.4999
1/27/2019	13:12:41	108.42	4.4752	4.3749	4.4314	4.5014
1/27/2019	13:12:43	109.69	4.4752	4.3742	4.4291	4.5025
1/27/2019	13:12:44	110.98	4.4761	4.3742	4.4285	4.5024
1/27/2019	13:12:45	112.47	4.4777	4.3728	4.4288	4.5015
