Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/27/2019	23:13:24	0	4.0411	4.2526	4.1115	4.0623
1/27/2019	23:13:28	3.11	4.0372	4.2521	4.1097	4.0645
1/27/2019	23:13:29	4.77	4.0362	4.2512	4.1101	4.0657
1/27/2019	23:13:31	6.33	4.0352	4.2512	4.1107	4.0662
1/27/2019	23:13:32	7.69	4.0346	4.2523	4.1122	4.0654
1/27/2019	23:13:34	9.09	4.032	4.2533	4.1111	4.0647
1/27/2019	23:13:36	11.55	4.0323	4.254	4.108	4.0638
1/27/2019	23:13:38	13.62	4.0308	4.2529	4.1051	4.0646
1/27/2019	23:13:40	15.75	4.0303	4.2517	4.1044	4.067
1/27/2019	23:13:41	17.06	4.029	4.2528	4.1062	4.0706
1/27/2019	23:13:44	19.14	4.0276	4.2524	4.1059	4.0734
1/27/2019	23:13:46	21.3	4.027	4.2531	4.104	4.0739
1/27/2019	23:13:48	23.3	4.024	4.2502	4.1006	4.0742
1/27/2019	23:13:49	25.03	4.0217	4.2508	4.0977	4.0746
1/27/2019	23:13:51	26.47	4.0199	4.2499	4.0961	4.076
1/27/2019	23:13:52	27.97	4.019	4.2489	4.095	4.0755
1/27/2019	23:13:54	29.87	4.0199	4.2467	4.0945	4.074
1/27/2019	23:13:56	31.89	4.0186	4.246	4.0915	4.0724
1/27/2019	23:13:58	33.69	4.0183	4.2476	4.0897	4.0735
1/27/2019	23:14:00	35.81	4.0176	4.2488	4.0866	4.076
1/27/2019	23:14:03	38.23	4.0147	4.2497	4.0837	4.0779
1/27/2019	23:14:05	40.44	4.0124	4.2498	4.0805	4.0801
1/27/2019	23:14:07	42.48	4.0126	4.249	4.0776	4.0809
1/27/2019	23:14:09	44.23	4.0136	4.2473	4.0767	4.0829
1/27/2019	23:14:12	47.28	4.013	4.2458	4.0746	4.0823
1/27/2019	23:14:14	49.45	4.0106	4.2454	4.0731	4.0841
1/27/2019	23:14:16	51.41	4.0099	4.2454	4.0724	4.0836
1/27/2019	23:14:18	53.36	4.008	4.2466	4.0719	4.0851
1/27/2019	23:14:19	55.06	4.0068	4.2468	4.0723	4.0843
1/27/2019	23:14:21	56.73	4.0051	4.247	4.0706	4.0867
1/27/2019	23:14:23	58.64	4.0047	4.2453	4.0693	4.0868
1/27/2019	23:14:25	60.44	4.0036	4.2448	4.0672	4.0893
1/27/2019	23:14:27	62.11	4.0021	4.2444	4.0656	4.0898
1/27/2019	23:14:28	63.67	4.0023	4.2429	4.0644	4.0892
1/27/2019	23:14:30	65.11	4.0003	4.2428	4.062	4.0883
1/27/2019	23:14:31	66.36	3.9973	4.2432	4.0611	4.0876
1/27/2019	23:14:32	67.61	3.9956	4.2436	4.0622	4.0893
1/27/2019	23:14:34	69.97	3.9934	4.2423	4.0622	4.0899
1/27/2019	23:14:36	72.03	3.995	4.2412	4.0597	4.0908
1/27/2019	23:14:38	73.64	3.9953	4.2414	4.0562	4.0883
1/27/2019	23:14:40	75.59	3.9933	4.241	4.0551	4.0873
1/27/2019	23:14:41	77	3.9913	4.2407	4.0533	4.0864
1/27/2019	23:14:44	79.3	3.9907	4.2407	4.0501	4.0884
1/27/2019	23:14:46	81.66	3.9922	4.2398	4.0453	4.0897
1/27/2019	23:14:48	83.7	3.991	4.2401	4.0425	4.0932
1/27/2019	23:14:49	85.05	3.9863	4.239	4.042	4.0955
1/27/2019	23:14:51	86.55	3.9865	4.2398	4.041	4.0979
1/27/2019	23:14:53	88.7	3.9855	4.2381	4.0406	4.0984
1/27/2019	23:14:55	90.2	3.9848	4.2367	4.0397	4.0996
1/27/2019	23:14:57	92.86	3.9812	4.2358	4.0381	4.101
1/27/2019	23:14:59	94.22	3.9836	4.2353	4.0376	4.1023
1/27/2019	23:15:00	96.03	3.9829	4.2355	4.036	4.1043
1/27/2019	23:15:02	97.86	3.9824	4.2346	4.0364	4.1043
1/27/2019	23:15:04	99.64	3.9784	4.234	4.0346	4.1051
1/27/2019	23:15:06	101.36	3.977	4.2327	4.0336	4.1057
1/27/2019	23:15:09	104.09	3.9784	4.2315	4.0327	4.107
1/27/2019	23:15:10	106.02	3.977	4.2309	4.0334	4.107
