Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4																						 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)
1/27/2019	22:06:59	0	4.0627	4.0649	4.1412	4.1619																						
1/27/2019	22:07:02	2.89	4.0611	4.0649	4.1405	4.159																						
1/27/2019	22:07:03	4.03	4.062	4.0668	4.1375	4.1573																						
1/27/2019	22:07:05	5.33	4.0607	4.0667	4.1364	4.1573																						
1/27/2019	22:07:06	6.69	4.0591	4.0647	4.1359	4.1577																						
1/27/2019	22:07:07	8	4.0579	4.0627	4.1371	4.1595																						
1/27/2019	22:07:09	9.72	4.0577	4.0614	4.1369	4.1586																						
1/27/2019	22:07:10	10.97	4.059	4.0633	4.1368	4.1593																						
1/27/2019	22:07:12	12.25	4.0571	4.0649	4.1362	4.1583																						
1/27/2019	22:07:13	13.48	4.0575	4.0658	4.1364	4.1586																						
1/27/2019	22:07:14	14.75	4.0561	4.0638	4.1367	4.1564																						
1/27/2019	22:07:15	16.02	4.0578	4.0617	4.1344	4.1554																						
1/27/2019	22:07:17	17.45	4.0546	4.0597	4.133	4.155																						
1/27/2019	22:07:18	18.84	4.0549	4.0605	4.1294	4.1561																						
1/27/2019	22:07:20	20.17	4.0545	4.0593	4.1311	4.1564																						
1/27/2019	22:07:21	21.36	4.0574	4.0589	4.1312	4.1559																						
1/27/2019	22:07:22	22.62	4.0555	4.0589	4.1337	4.1575																						
1/27/2019	22:07:23	23.91	4.0554	4.0608	4.1334	4.1572																						
1/27/2019	22:07:25	25.17	4.053	4.0614	4.1321	4.1568																						
1/27/2019	22:07:26	26.61	4.0545	4.0609	4.1316	4.1545																						
1/27/2019	22:07:27	28.05	4.0545	4.0609	4.1308	4.1539																						
1/27/2019	22:07:29	29.34	4.0549	4.0597	4.1317	4.1537																						
1/27/2019	22:07:30	30.86	4.0527	4.0589	4.1306	4.1538																						
1/27/2019	22:07:32	32.34	4.0526	4.0582	4.1307	4.1533																						
1/27/2019	22:07:33	33.56	4.05	4.0597	4.1304	4.1531																						
1/27/2019	22:07:34	34.84	4.0485	4.061	4.1303	4.1515																						
1/27/2019	22:07:36	36.64	4.0471	4.0614	4.1293	4.1523																						
1/27/2019	22:07:37	37.91	4.0494	4.0615	4.1277	4.1516																						
1/27/2019	22:07:39	39.12	4.0507	4.0595	4.1256	4.1516																						
1/27/2019	22:07:40	40.36	4.0507	4.0599	4.1263	4.1493																						
1/27/2019	22:07:41	41.67	4.0494	4.0592	4.1254	4.1483																						
1/27/2019	22:07:42	42.98	4.0485	4.0606	4.1249	4.1478																						
1/27/2019	22:07:44	44.36	4.048	4.0596	4.1224	4.1493																						
1/27/2019	22:07:45	45.98	4.0469	4.0583	4.1237	4.15																						
1/27/2019	22:07:47	47.31	4.0469	4.0579	4.124	4.149																						
1/27/2019	22:07:48	48.59	4.0456	4.0579	4.124	4.1479																						
1/27/2019	22:07:49	49.83	4.0448	4.0587	4.1239	4.1435																						
1/27/2019	22:07:50	51.08	4.044	4.0592	4.1249	4.143																						
1/27/2019	22:07:52	52.47	4.0435	4.0572	4.1253	4.1407																						
1/27/2019	22:07:53	53.94	4.0446	4.0574	4.1239	4.1422																						
1/27/2019	22:07:55	55.19	4.0426	4.0536	4.1233	4.142																						
1/27/2019	22:07:56	56.39	4.0427	4.0532	4.1223	4.1407																						
1/27/2019	22:07:57	57.7	4.0401	4.0512	4.1229	4.142																						
1/27/2019	22:07:58	59	4.0404	4.0521	4.1216	4.1431																						
1/27/2019	22:08:00	60.28	4.0394	4.0528	4.1202	4.1452																						
1/27/2019	22:08:01	61.78	4.039	4.0531	4.1192	4.1431																						
1/27/2019	22:08:03	63.37	4.039	4.0531	4.1176	4.143																						
1/27/2019	22:08:04	64.69	4.0371	4.0513	4.1169	4.1429																						
1/27/2019	22:08:05	66.02	4.0369	4.0502	4.1166	4.1427																						
1/27/2019	22:08:07	67.44	4.0352	4.0483	4.1181	4.1419																						
1/27/2019	22:08:08	68.84	4.0355	4.0488	4.1185	4.1412																						
1/27/2019	22:08:10	70.27	4.0351	4.0471	4.1152	4.1406																						
1/27/2019	22:08:11	72.05	4.0362	4.0476	4.1134	4.1401																						
1/27/2019	22:08:13	73.5	4.0365	4.0476	4.113	4.1393																						
1/27/2019	22:08:14	75.06	4.036	4.0471	4.1148	4.1392																						
1/27/2019	22:08:16	76.58	4.0342	4.0457	4.1155	4.1382																						
1/27/2019	22:08:17	77.75	4.0329	4.0435	4.1148	4.1371																						
1/27/2019	22:08:18	79	4.0341	4.0445	4.1145	4.1377																						
1/27/2019	22:08:20	80.22	4.0344	4.0445	4.1147	4.1373																						
1/27/2019	22:08:21	81.77	4.0341	4.0444	4.116	4.1358																						
1/27/2019	22:08:23	83.14	4.0326	4.0442	4.1153	4.1359																						
1/27/2019	22:08:24	84.41	4.0323	4.0432	4.1154	4.1355																						
1/27/2019	22:08:25	85.95	4.0303	4.0432	4.114	4.1355																						
1/27/2019	22:08:27	87.3	4.0299	4.041	4.1138	4.1336																						
1/27/2019	22:08:28	88.48	4.0284	4.0411	4.1113	4.1339																						
1/27/2019	22:08:30	90.27	4.0299	4.0407	4.1111	4.1347																						
1/27/2019	22:08:31	91.58	4.0296	4.0415	4.1114	4.1333																						
1/27/2019	22:08:32	92.84	4.0305	4.0416	4.1119	4.1318																						
1/27/2019	22:08:33	94.03	4.0306	4.0403	4.1124	4.1305																						
1/27/2019	22:08:35	95.53	4.0312	4.0391	4.1104	4.1307																						
1/27/2019	22:08:36	96.78	4.0293	4.038	4.1113	4.1314																						
1/27/2019	22:08:38	98.19	4.0274	4.0395	4.1104	4.1317																						
1/27/2019	22:08:39	99.83	4.0263	4.0393	4.1127	4.1326																						
1/27/2019	22:08:41	101.37	4.0271	4.0391	4.1126	4.132																						
1/27/2019	22:08:42	102.89	4.0284	4.0379	4.1109	4.1325																						
1/27/2019	22:08:44	104.16	4.0279	4.0377	4.1086	4.1313																						
1/27/2019	22:08:45	105.94	4.0261	4.036	4.1075	4.1291																						
1/27/2019	22:08:47	107.47	4.025	4.0339	4.1083	4.1275																						
1/27/2019	22:08:48	108.86	4.0241	4.0333	4.1079	4.1268																						
1/27/2019	22:08:50	110.39	4.0249	4.0331	4.1065	4.1268																						
1/27/2019	22:08:51	111.78	4.0249	4.0338	4.1037	4.1255																						
1/27/2019	22:08:52	113.08	4.0227	4.0339	4.102	4.1261																						
1/27/2019	22:08:54	114.84	4.0222	4.0336	4.0997	4.1254																						
1/27/2019	22:08:56	116.22	4.0208	4.0322	4.0991	4.1264																						
1/27/2019	22:08:57	117.39	4.0221	4.0321	4.1003	4.1241																						
1/27/2019	22:08:58	118.77	4.0211	4.0332	4.1014	4.125																						
1/27/2019	22:09:00	120.39	4.0194	4.0338	4.1027	4.1231																						
1/27/2019	22:09:01	121.83	4.0183	4.0332	4.103	4.1242																						
1/27/2019	22:09:03	123.56	4.0181	4.0324	4.1018	4.1245																						
1/27/2019	22:09:04	125.03	4.0186	4.0313	4.1014	4.1264																						
1/27/2019	22:09:06	126.33	4.0172	4.0306	4.1015	4.1264																						
1/27/2019	22:09:07	127.78	4.0172	4.0286	4.102	4.1248																						
1/27/2019	22:09:09	129.53	4.0163	4.0284	4.1013	4.123																						
1/27/2019	22:09:11	131.62	4.0172	4.0274	4.0997	4.1227																						
1/27/2019	22:09:12	132.87	4.0165	4.028	4.1016	4.1215																						
1/27/2019	22:09:14	134.14	4.0163	4.0277	4.1033	4.1207																						
1/27/2019	22:09:15	135.37	4.0159	4.0279	4.1034	4.1205																						
1/27/2019	22:09:16	136.64	4.0165	4.027	4.1018	4.1218																						
1/27/2019	22:09:17	137.87	4.0158	4.0282	4.1013	4.1248																						
1/27/2019	22:09:19	139.19	4.0136	4.0268	4.1003	4.123																						
1/27/2019	22:09:20	140.45	4.0097	4.0273	4.0997	4.1227																						
1/27/2019	22:09:21	141.89	4.009	4.0254	4.0992	4.1204																						
1/27/2019	22:09:23	143.56	4.011	4.0262	4.0975	4.1207																						
1/27/2019	22:09:24	144.75	4.0116	4.025	4.0959	4.12																						
1/27/2019	22:09:25	145.94	4.0117	4.0269	4.0951	4.1184																						
1/27/2019	22:09:27	147.12	4.0107	4.0264	4.0949	4.1159																						
1/27/2019	22:09:28	148.8	4.0113	4.027	4.0939	4.115																						
1/27/2019	22:09:30	150.34	4.01	4.0237	4.0949	4.1142																						
1/27/2019	22:09:31	151.89	4.0074	4.0236	4.0959	4.1174																						
1/27/2019	22:09:33	153.16	4.0061	4.0232	4.0979	4.1166																						
1/27/2019	22:09:34	154.42	4.0067	4.0236	4.0959	4.1153																						
1/27/2019	22:09:35	155.66	4.0083	4.0232	4.0951	4.1123																						
1/27/2019	22:09:36	156.84	4.0074	4.0232	4.0944	4.111																						
1/27/2019	22:09:37	157.95	4.0069	4.0223	4.0951	4.1116																						
1/27/2019	22:09:39	159.23	4.0053	4.0216	4.0959	4.1102																						
1/27/2019	22:09:40	160.72	4.003	4.0206	4.0961	4.1094																						
1/27/2019	22:09:41	162.09	4.0044	4.0211	4.0962	4.1108																						
1/27/2019	22:09:43	163.31	4.0043	4.0213	4.0941	4.112																						
1/27/2019	22:09:44	164.47	4.0062	4.0218	4.0958	4.113																						
1/27/2019	22:09:45	165.73	4.0026	4.0223	4.0944	4.1113																						
1/27/2019	22:09:46	166.94	4.0001	4.0224	4.0965	4.11																						
1/27/2019	22:09:48	168.55	3.9998	4.0205	4.0938	4.1111																						
