Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/27/2019	20:55:35	0	4.0256	4.0428	4.01	4.0766
1/27/2019	20:55:38	3.22	4.024	4.0434	4.0089	4.0765
1/27/2019	20:55:39	4.69	4.0252	4.0442	4.0067	4.0775
1/27/2019	20:55:41	6.12	4.0225	4.0428	4.0062	4.0793
1/27/2019	20:55:42	7.47	4.0238	4.0442	4.0059	4.0806
1/27/2019	20:55:44	8.97	4.0234	4.0429	4.0056	4.0825
1/27/2019	20:55:45	10.5	4.0245	4.0452	4.0075	4.0815
1/27/2019	20:55:47	12.03	4.0213	4.0446	4.008	4.0821
1/27/2019	20:55:48	13.3	4.0213	4.0438	4.0099	4.0796
1/27/2019	20:55:49	14.72	4.0196	4.0421	4.0103	4.0789
1/27/2019	20:55:51	16.05	4.0216	4.0413	4.0105	4.0767
1/27/2019	20:55:54	19.12	4.0197	4.0442	4.01	4.0773
1/27/2019	20:55:56	21.03	4.0219	4.0454	4.008	4.0772
1/27/2019	20:55:57	22.55	4.0207	4.0458	4.0081	4.0791
1/27/2019	20:55:58	23.94	4.0229	4.0432	4.0091	4.0796
1/27/2019	20:56:00	25.23	4.0191	4.0413	4.0093	4.081
1/27/2019	20:56:01	26.58	4.0219	4.0407	4.0081	4.0792
1/27/2019	20:56:03	28.12	4.0209	4.0402	4.0062	4.0806
1/27/2019	20:56:04	29.5	4.0231	4.0395	4.0063	4.081
1/27/2019	20:56:05	30.91	4.0196	4.0407	4.0079	4.0803
1/27/2019	20:56:07	32.23	4.0191	4.0407	4.007	4.0779
1/27/2019	20:56:08	33.55	4.0187	4.0404	4.004	4.078
1/27/2019	20:56:10	35.16	4.0228	4.0394	4.0028	4.0776
1/27/2019	20:56:11	36.5	4.022	4.0393	4.0036	4.0778
1/27/2019	20:56:12	37.72	4.0247	4.0394	4.005	4.0762
1/27/2019	20:56:14	39.09	4.0235	4.0385	4.0048	4.0768
1/27/2019	20:56:15	40.39	4.021	4.0384	4.0024	4.0768
1/27/2019	20:56:16	41.67	4.0176	4.0379	4.0034	4.0775
1/27/2019	20:56:18	43	4.0171	4.037	4.0017	4.0802
1/27/2019	20:56:19	44.59	4.0175	4.038	4.0035	4.0802
1/27/2019	20:56:20	45.75	4.0139	4.038	4.0037	4.0821
1/27/2019	20:56:21	46.87	4.0088	4.0397	4.0063	4.0796
1/27/2019	20:56:23	48.48	4.011	4.0388	4.0086	4.0798
1/27/2019	20:56:24	49.69	4.013	4.0386	4.0089	4.0805
1/27/2019	20:56:26	51.12	4.0136	4.0389	4.0075	4.083
1/27/2019	20:56:27	52.91	4.0076	4.0385	4.0072	4.0863
1/27/2019	20:56:29	54.23	4.0061	4.0376	4.0058	4.0847
1/27/2019	20:56:30	55.83	4.0079	4.0366	4.0057	4.0852
1/27/2019	20:56:32	57.17	4.0143	4.0376	4.0031	4.0846
1/27/2019	20:56:33	58.67	4.0135	4.0394	4.0037	4.0832
1/27/2019	20:56:35	60.09	4.0121	4.0408	4.0057	4.0795
1/27/2019	20:56:36	61.36	4.0121	4.0408	4.0063	4.0773
1/27/2019	20:56:37	62.91	4.0145	4.0406	4.0049	4.0779
1/27/2019	20:56:39	64.3	4.0141	4.039	4.0056	4.0783
1/27/2019	20:56:40	65.7	4.011	4.0397	4.0052	4.0785
1/27/2019	20:56:42	67.06	4.0118	4.0404	4.0082	4.0784
1/27/2019	20:56:43	68.48	4.0146	4.0408	4.0057	4.0802
1/27/2019	20:56:44	69.7	4.0154	4.0406	4.0065	4.0806
1/27/2019	20:56:46	71.05	4.0138	4.0408	4.0054	4.0815
1/27/2019	20:56:47	72.37	4.0126	4.0422	4.006	4.0798
1/27/2019	20:56:48	73.62	4.0109	4.0413	4.0065	4.0798
1/27/2019	20:56:50	75.02	4.0091	4.042	4.0057	4.0798
1/27/2019	20:56:51	76.22	4.0072	4.0415	4.0065	4.0785
1/27/2019	20:56:52	77.64	4.0091	4.0433	4.0066	4.0795
1/27/2019	20:56:54	79	4.0108	4.0432	4.006	4.0784
1/27/2019	20:56:55	80.47	4.0104	4.0442	4.0061	4.0795
1/27/2019	20:56:56	81.69	4.008	4.0439	4.006	4.0781
1/27/2019	20:56:58	83.03	4.0072	4.0446	4.0065	4.0794
1/27/2019	20:56:59	84.37	4.0079	4.0443	4.006	4.0799
1/27/2019	20:57:00	85.66	4.0087	4.0439	4.0061	4.0794
1/27/2019	20:57:02	87.05	4.009	4.0422	4.0069	4.079
1/27/2019	20:57:03	88.53	4.0086	4.042	4.006	4.0796
1/27/2019	20:57:05	90.02	4.0101	4.0432	4.0047	4.0791
1/27/2019	20:57:06	91.56	4.0112	4.0446	4.0034	4.0778
1/27/2019	20:57:08	92.95	4.0107	4.0448	4.0049	4.079
1/27/2019	20:57:09	94.22	4.0104	4.0419	4.0056	4.0794
1/27/2019	20:57:10	95.91	4.01	4.0417	4.0073	4.0798
1/27/2019	20:57:12	97.14	4.0121	4.0401	4.0048	4.0786
1/27/2019	20:57:13	98.47	4.0108	4.0397	4.0056	4.0796
1/27/2019	20:57:14	99.77	4.0096	4.0388	4.0037	4.0826
1/27/2019	20:57:16	101.05	4.0091	4.038	4.0041	4.0845
1/27/2019	20:57:17	102.2	4.0079	4.0394	4.0019	4.0843
1/27/2019	20:57:18	103.55	4.0079	4.0395	4.0027	4.0825
1/27/2019	20:57:20	105.48	4.0055	4.0398	4.0031	4.0821
1/27/2019	20:57:21	106.89	4.0061	4.0399	4.0045	4.0826
1/27/2019	20:57:23	108.56	4.0081	4.0416	4.0044	4.0812
1/27/2019	20:57:25	110.03	4.0097	4.0451	4.0047	4.0795
1/27/2019	20:57:26	111.53	4.0108	4.0451	4.0052	4.0776
1/27/2019	20:57:27	112.75	4.0081	4.0438	4.0065	4.0781
1/27/2019	20:57:29	113.97	4.0084	4.0416	4.0074	4.0775
1/27/2019	20:57:30	115.34	4.0095	4.0417	4.0054	4.0779
1/27/2019	20:57:31	116.66	4.0129	4.042	4.0041	4.0775
1/27/2019	20:57:33	118.17	4.0147	4.0424	4.0019	4.0784
1/27/2019	20:57:34	119.81	4.0143	4.0421	4.0026	4.078
1/27/2019	20:57:36	121.22	4.0134	4.0408	4.0021	4.0809
1/27/2019	20:57:37	122.56	4.0101	4.041	4.0025	4.0795
1/27/2019	20:57:38	123.86	4.0119	4.0415	4.0031	4.0786
1/27/2019	20:57:40	125.16	4.0117	4.0424	4.0051	4.0749
1/27/2019	20:57:41	126.92	4.0154	4.042	4.0054	4.0778
1/27/2019	20:57:43	128.11	4.0133	4.043	4.0054	4.0811
1/27/2019	20:57:44	129.5	4.0151	4.0425	4.0032	4.0823
1/27/2019	20:57:46	131.33	4.012	4.0426	4.0025	4.08
1/27/2019	20:57:47	132.61	4.0145	4.0401	4.0035	4.079
1/27/2019	20:57:49	134.16	4.014	4.0421	4.0021	4.0805
1/27/2019	20:57:50	135.87	4.0154	4.0403	4.0025	4.0826
1/27/2019	20:57:52	137.31	4.0137	4.039	3.9988	4.0831
1/27/2019	20:57:53	138.53	4.0113	4.036	3.9995	4.0847
1/27/2019	20:57:55	140.45	4.0101	4.0362	4.0007	4.085
1/27/2019	20:57:56	141.84	4.0126	4.0371	4.0016	4.0858
1/27/2019	20:57:58	143.14	4.0149	4.0357	4.001	4.084
1/27/2019	20:57:59	144.53	4.0179	4.0358	4.0005	4.0822
1/27/2019	20:58:01	146.37	4.0174	4.0359	4	4.0804
1/27/2019	20:58:02	147.67	4.0181	4.0368	4.0013	4.0764
1/27/2019	20:58:04	149.17	4.0201	4.037	3.9999	4.0767
1/27/2019	20:58:05	150.81	4.0183	4.0366	4.0007	4.0779
1/27/2019	20:58:07	152.09	4.0175	4.0371	4.0014	4.0825
1/27/2019	20:58:08	153.41	4.0153	4.0381	4.0025	4.0839
