Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/28/2019	07:13:24	0	4.1093	4.1363	4.1351	4.1587
1/28/2019	07:13:26	2.53	4.1062	4.1351	4.1319	4.1587
1/28/2019	07:13:27	3.81	4.1057	4.1355	4.1308	4.1606
1/28/2019	07:13:29	5.05	4.1051	4.1356	4.1284	4.1622
1/28/2019	07:13:30	6.64	4.1078	4.1364	4.1265	4.1623
1/28/2019	07:13:32	7.91	4.1094	4.1368	4.1232	4.1624
1/28/2019	07:13:33	9.3	4.1098	4.1372	4.1238	4.1619
1/28/2019	07:13:34	10.64	4.1092	4.1374	4.1253	4.1611
1/28/2019	07:13:36	12.03	4.1105	4.1366	4.1278	4.1602
1/28/2019	07:13:37	13.41	4.1101	4.1374	4.1303	4.1573
1/28/2019	07:13:38	14.7	4.1146	4.1393	4.13	4.1575
1/28/2019	07:13:40	15.97	4.1101	4.1389	4.1283	4.1569
1/28/2019	07:13:41	17.28	4.1121	4.1382	4.1248	4.159
1/28/2019	07:13:42	18.64	4.1075	4.1383	4.1201	4.1584
1/28/2019	07:13:44	19.84	4.1066	4.1404	4.1178	4.157
1/28/2019	07:13:45	21.17	4.1017	4.1404	4.1165	4.1552
1/28/2019	07:13:46	22.59	4.1047	4.1395	4.1186	4.156
1/28/2019	07:13:48	23.92	4.1098	4.1389	4.1203	4.1571
1/28/2019	07:13:49	25.22	4.1118	4.1384	4.1236	4.1587
1/28/2019	07:13:50	26.5	4.1096	4.1364	4.1278	4.1581
1/28/2019	07:13:51	27.81	4.1075	4.1359	4.1287	4.1573
1/28/2019	07:13:53	29.2	4.1059	4.1352	4.1244	4.1555
1/28/2019	07:13:54	30.41	4.1042	4.1347	4.1162	4.1543
1/28/2019	07:13:55	31.69	4.1035	4.1331	4.1093	4.1568
1/28/2019	07:13:57	32.98	4.1042	4.1321	4.1058	4.16
1/28/2019	07:13:58	34.3	4.1017	4.1319	4.1043	4.165
1/28/2019	07:13:59	35.59	4.1002	4.1317	4.1019	4.1664
1/28/2019	07:14:01	36.92	4.0997	4.1301	4.1008	4.1654
1/28/2019	07:14:02	38.3	4.0997	4.1286	4.1012	4.1622
1/28/2019	07:14:03	39.52	4.0998	4.1271	4.1037	4.1577
1/28/2019	07:14:05	40.83	4.102	4.1254	4.1082	4.1553
1/28/2019	07:14:06	42.16	4.1056	4.1245	4.1107	4.1534
1/28/2019	07:14:07	43.5	4.1061	4.1241	4.1138	4.1536
1/28/2019	07:14:09	44.94	4.1042	4.1249	4.1112	4.1568
1/28/2019	07:14:10	46.2	4.1045	4.1249	4.11	4.1575
1/28/2019	07:14:11	47.56	4.1038	4.1235	4.1066	4.1575
1/28/2019	07:14:13	48.87	4.1006	4.1226	4.1067	4.1574
1/28/2019	07:14:14	50.2	4.0981	4.1227	4.1035	4.1564
1/28/2019	07:14:15	51.53	4.0989	4.121	4.1038	4.159
1/28/2019	07:14:17	52.86	4.1001	4.1217	4.1051	4.159
1/28/2019	07:14:18	54.17	4.0992	4.1195	4.1076	4.1616
1/28/2019	07:14:19	55.44	4.0973	4.12	4.1074	4.1595
1/28/2019	07:14:20	56.69	4.0977	4.1187	4.1056	4.1581
1/28/2019	07:14:22	58.09	4.0984	4.1178	4.1066	4.1565
1/28/2019	07:14:23	59.33	4.0981	4.1165	4.1091	4.1566
1/28/2019	07:14:24	60.67	4.1	4.1146	4.1116	4.1584
1/28/2019	07:14:26	61.97	4.1054	4.1153	4.1111	4.1618
1/28/2019	07:14:27	63.25	4.107	4.1162	4.111	4.164
1/28/2019	07:14:28	64.58	4.1058	4.1168	4.1108	4.1632
1/28/2019	07:14:30	65.95	4.1006	4.1152	4.1112	4.1595
1/28/2019	07:14:31	67.17	4.0989	4.1133	4.1122	4.1577
1/28/2019	07:14:32	68.48	4.0992	4.1146	4.1129	4.1564
1/28/2019	07:14:33	69.81	4.0988	4.1152	4.1163	4.1574
1/28/2019	07:14:35	71.22	4.0988	4.1175	4.1166	4.1575
1/28/2019	07:14:36	72.5	4.0971	4.1166	4.1176	4.1582
1/28/2019	07:14:38	73.84	4.0957	4.1179	4.116	4.1576
1/28/2019	07:14:39	75.14	4.0944	4.1177	4.1146	4.1593
1/28/2019	07:14:40	76.41	4.0941	4.1186	4.1121	4.1614
1/28/2019	07:14:41	77.75	4.0965	4.1179	4.1099	4.1622
1/28/2019	07:14:43	79.06	4.0973	4.118	4.1086	4.1617
1/28/2019	07:14:44	80.42	4.1005	4.1174	4.1085	4.1585
1/28/2019	07:14:45	81.8	4.1021	4.1171	4.1085	4.1586
1/28/2019	07:14:47	83.11	4.1043	4.1156	4.1077	4.159
1/28/2019	07:14:48	84.39	4.1044	4.1161	4.1053	4.1601
1/28/2019	07:14:49	85.69	4.1024	4.1166	4.1048	4.1609
1/28/2019	07:14:51	87.12	4.1024	4.1168	4.1067	4.1617
1/28/2019	07:14:52	88.47	4.0996	4.1151	4.1094	4.1644
1/28/2019	07:14:54	89.84	4.0988	4.1135	4.1098	4.1648
1/28/2019	07:14:55	91.08	4.0976	4.1138	4.1086	4.1613
1/28/2019	07:14:56	92.48	4.101	4.115	4.1082	4.1585
1/28/2019	07:14:57	93.77	4.1047	4.1144	4.1099	4.157
1/28/2019	07:14:59	95.14	4.1078	4.1139	4.1125	4.1573
1/28/2019	07:15:00	96.45	4.1078	4.1122	4.1158	4.1565
1/28/2019	07:15:01	97.77	4.1053	4.1113	4.1177	4.1555
1/28/2019	07:15:03	99.12	4.1042	4.1086	4.1176	4.1574
1/28/2019	07:15:04	100.45	4.1016	4.108	4.1152	4.1577
1/28/2019	07:15:06	101.84	4.0992	4.1092	4.113	4.1598
1/28/2019	07:15:07	103.09	4.0947	4.112	4.1113	4.1588
1/28/2019	07:15:08	104.42	4.0948	4.1129	4.1104	4.1586
1/28/2019	07:15:09	105.73	4.098	4.1128	4.1081	4.1569
1/28/2019	07:15:11	107.02	4.1002	4.1125	4.106	4.1574
1/28/2019	07:15:12	108.41	4.1021	4.1114	4.104	4.1571
1/28/2019	07:15:13	109.78	4.1024	4.1101	4.1039	4.1574
1/28/2019	07:15:15	111.09	4.1037	4.1088	4.1052	4.1576
1/28/2019	07:15:16	112.25	4.1017	4.1081	4.1059	4.158
1/28/2019	07:15:17	113.48	4.0989	4.1075	4.1072	4.1566
1/28/2019	07:15:18	114.75	4.0965	4.105	4.1082	4.1566
1/28/2019	07:15:20	116.12	4.0952	4.104	4.1094	4.1567
1/28/2019	07:15:21	117.44	4.0949	4.1047	4.1093	4.159
1/28/2019	07:15:22	118.78	4.0935	4.1056	4.1061	4.1586
1/28/2019	07:15:24	120.03	4.0929	4.1057	4.1007	4.1601
1/28/2019	07:15:25	121.27	4.0927	4.1042	4.0943	4.158
1/28/2019	07:15:26	122.58	4.0935	4.1047	4.0907	4.1554
1/28/2019	07:15:28	123.97	4.0951	4.1036	4.09	4.1533
1/28/2019	07:15:29	125.28	4.0992	4.1042	4.0913	4.1523
1/28/2019	07:15:30	126.69	4.1019	4.1025	4.0937	4.1526
1/28/2019	07:15:32	128.03	4.1029	4.1027	4.0956	4.1531
1/28/2019	07:15:33	129.34	4.1006	4.1015	4.0991	4.1559
1/28/2019	07:15:34	130.66	4.0997	4.1022	4.1022	4.1596
1/28/2019	07:15:36	131.83	4.0981	4.1015	4.105	4.1612
1/28/2019	07:15:37	133.16	4.0955	4.1012	4.1039	4.1611
1/28/2019	07:15:38	134.56	4.0955	4.1008	4.1025	4.1568
1/28/2019	07:15:40	135.92	4.0957	4.1017	4.1027	4.1523
1/28/2019	07:15:41	137.17	4.0989	4.1013	4.1033	4.1503
1/28/2019	07:15:42	138.5	4.0991	4.1002	4.1025	4.1539
1/28/2019	07:15:44	139.84	4.0963	4.0985	4.1003	4.1576
1/28/2019	07:15:45	141.06	4.093	4.0974	4.0969	4.1598
1/28/2019	07:15:46	142.5	4.0919	4.0949	4.0959	4.1576
1/28/2019	07:15:47	143.75	4.0938	4.0943	4.0929	4.1563
1/28/2019	07:15:49	145.14	4.0961	4.0938	4.093	4.1523
1/28/2019	07:15:50	146.42	4.0967	4.0956	4.0904	4.1521
1/28/2019	07:15:51	147.67	4.102	4.096	4.0904	4.1516
1/28/2019	07:15:53	148.89	4.1038	4.0957	4.0895	4.1536
1/28/2019	07:15:54	150.3	4.1053	4.0919	4.0919	4.1544
1/28/2019	07:15:55	151.59	4.1022	4.0906	4.0929	4.1547
1/28/2019	07:15:57	153.02	4.0984	4.0892	4.0938	4.1566
1/28/2019	07:15:58	154.44	4.096	4.0911	4.0912	4.1603
1/28/2019	07:15:59	155.72	4.0949	4.093	4.09	4.1635
1/28/2019	07:16:01	157	4.0984	4.0934	4.0908	4.1645
1/28/2019	07:16:02	158.42	4.0997	4.0937	4.0932	4.1612
1/28/2019	07:16:03	159.7	4.0984	4.0903	4.0925	4.1598
1/28/2019	07:16:05	161.3	4.0963	4.0903	4.0916	4.1568
1/28/2019	07:16:06	162.67	4.0961	4.0898	4.092	4.1559
1/28/2019	07:16:08	164.03	4.0965	4.0912	4.095	4.1545
1/28/2019	07:16:09	165.45	4.1001	4.0929	4.0958	4.1542
1/28/2019	07:16:11	167.22	4.1008	4.0928	4.0958	4.1554
1/28/2019	07:16:12	168.62	4.1033	4.0925	4.0963	4.1585
1/28/2019	07:16:14	170.02	4.1018	4.0904	4.0954	4.1602
1/28/2019	07:16:15	171.62	4.1007	4.0921	4.095	4.1589
1/28/2019	07:16:17	172.83	4.0977	4.0921	4.0926	4.1563
1/28/2019	07:16:18	174.23	4.0922	4.0921	4.093	4.1581
1/28/2019	07:16:19	175.52	4.09	4.0925	4.0941	4.1596
1/28/2019	07:16:21	177.14	4.0912	4.0943	4.0945	4.1597
1/28/2019	07:16:22	178.67	4.0957	4.0963	4.0962	4.1558
1/28/2019	07:16:24	179.98	4.0965	4.0971	4.0934	4.1554
1/28/2019	07:16:25	181.7	4.0955	4.0966	4.0918	4.1547
1/28/2019	07:16:27	182.95	4.0936	4.0952	4.0851	4.1567
1/28/2019	07:16:28	184.23	4.094	4.0948	4.0826	4.1552
1/28/2019	07:16:30	185.89	4.0933	4.0952	4.0806	4.1532
1/28/2019	07:16:31	187.37	4.0955	4.0964	4.0808	4.1517
1/28/2019	07:16:32	188.59	4.0989	4.0963	4.0821	4.153
1/28/2019	07:16:34	190.52	4.1024	4.0951	4.0808	4.1548
1/28/2019	07:16:36	191.97	4.1007	4.0945	4.0815	4.1558
1/28/2019	07:16:37	193.09	4.0964	4.0935	4.0789	4.1555
1/28/2019	07:16:38	194.27	4.0934	4.0934	4.0811	4.1555
1/28/2019	07:16:40	196.06	4.0927	4.0938	4.0805	4.156
1/28/2019	07:16:41	197.42	4.0932	4.0926	4.081	4.1561
1/28/2019	07:16:43	198.83	4.0935	4.0921	4.0791	4.1557
1/28/2019	07:16:44	200.55	4.0927	4.091	4.0797	4.1545
1/28/2019	07:16:46	202.09	4.0912	4.0925	4.0783	4.1541
1/28/2019	07:16:47	203.33	4.092	4.0913	4.0787	4.1537
1/28/2019	07:16:49	205.08	4.0926	4.0912	4.0777	4.153
1/28/2019	07:16:50	206.23	4.0952	4.0908	4.079	4.1522
