Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/28/2019	06:34:20	0	4.1003	4.2092	4.1953	4.1509
1/28/2019	06:34:22	2.58	4.1019	4.2093	4.1945	4.1533
1/28/2019	06:34:24	4.12	4.1044	4.2097	4.1936	4.1544
1/28/2019	06:34:25	5.97	4.1038	4.2081	4.1906	4.1532
1/28/2019	06:34:27	7.37	4.1021	4.2061	4.1886	4.1532
1/28/2019	06:34:28	8.78	4.1034	4.2023	4.187	4.1536
1/28/2019	06:34:30	10.12	4.104	4.1996	4.187	4.154
1/28/2019	06:34:31	11.41	4.1057	4.1991	4.1873	4.152
1/28/2019	06:34:32	12.84	4.1047	4.1996	4.1849	4.151
1/28/2019	06:34:34	14.28	4.1038	4.2	4.1842	4.1495
1/28/2019	06:34:35	15.83	4.1024	4.1984	4.183	4.1489
1/28/2019	06:34:37	17.48	4.1037	4.1975	4.1829	4.147
1/28/2019	06:34:38	18.97	4.1038	4.1972	4.1822	4.1464
1/28/2019	06:34:40	20.41	4.1043	4.1979	4.1793	4.1464
1/28/2019	06:34:41	21.87	4.1015	4.1968	4.1793	4.1455
1/28/2019	06:34:43	23.2	4.1012	4.1932	4.1787	4.144
1/28/2019	06:34:44	24.62	4.0997	4.1905	4.1777	4.1438
1/28/2019	06:34:46	26.12	4.1026	4.1895	4.1766	4.144
1/28/2019	06:34:48	28.03	4.1025	4.19	4.1764	4.1433
1/28/2019	06:34:49	29.47	4.1047	4.19	4.1772	4.1396
1/28/2019	06:34:50	30.72	4.1066	4.1894	4.1752	4.1367
1/28/2019	06:34:52	32.16	4.1088	4.1894	4.1737	4.1356
1/28/2019	06:34:53	33.55	4.111	4.1923	4.174	4.1361
1/28/2019	06:34:55	35.02	4.1106	4.1962	4.1743	4.1365
1/28/2019	06:34:56	36.48	4.111	4.2019	4.1726	4.1372
1/28/2019	06:34:57	37.87	4.1112	4.2044	4.1707	4.1371
1/28/2019	06:34:59	39.11	4.1116	4.2045	4.1712	4.1351
1/28/2019	06:35:00	40.44	4.1106	4.2022	4.1717	4.133
1/28/2019	06:35:01	41.72	4.1117	4.1991	4.1703	4.1334
1/28/2019	06:35:03	43.22	4.1116	4.1962	4.167	4.1343
1/28/2019	06:35:04	44.66	4.1134	4.1927	4.166	4.1326
1/28/2019	06:35:06	46.2	4.1113	4.1882	4.1666	4.1303
1/28/2019	06:35:07	47.61	4.11	4.1867	4.1675	4.1306
1/28/2019	06:35:09	49.05	4.11	4.1861	4.1665	4.1343
1/28/2019	06:35:10	50.31	4.1091	4.1884	4.1656	4.1349
1/28/2019	06:35:11	51.72	4.1101	4.1871	4.1656	4.1349
1/28/2019	06:35:13	53.09	4.1122	4.1882	4.1653	4.1326
1/28/2019	06:35:14	54.61	4.1125	4.19	4.1645	4.1303
1/28/2019	06:35:15	55.89	4.1135	4.1939	4.1646	4.1279
1/28/2019	06:35:17	57.31	4.1129	4.1944	4.1655	4.1248
1/28/2019	06:35:18	58.72	4.1135	4.1916	4.1666	4.1268
1/28/2019	06:35:20	60.14	4.1117	4.1875	4.1659	4.1288
1/28/2019	06:35:21	61.75	4.1115	4.1834	4.1653	4.131
1/28/2019	06:35:23	63.17	4.1122	4.1798	4.1646	4.1302
1/28/2019	06:35:24	64.41	4.1151	4.1772	4.1658	4.1291
1/28/2019	06:35:25	65.77	4.1134	4.1761	4.1647	4.1299
