Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/29/2019	21:17:18	0	3.6466	4.0454	4.0529	3.9628
1/29/2019	21:17:20	2.06	3.644	4.0464	4.0558	3.9631
1/29/2019	21:17:21	3.45	3.6435	4.0482	4.0554	3.9618
1/29/2019	21:17:23	4.95	3.6452	4.0481	4.0547	3.9606
1/29/2019	21:17:24	6.36	3.6442	4.0482	4.0506	3.9596
1/29/2019	21:17:25	7.66	3.6442	4.0462	4.0508	3.9582
1/29/2019	21:17:27	9.05	3.6426	4.0454	4.0483	3.9592
1/29/2019	21:17:28	10.42	3.6407	4.0448	4.0497	3.9591
1/29/2019	21:17:30	11.84	3.6418	4.0444	4.0485	3.9599
1/29/2019	21:17:31	13.08	3.6423	4.0444	4.0497	3.9567
1/29/2019	21:17:32	14.23	3.6424	4.0437	4.047	3.9577
1/29/2019	21:17:33	15.42	3.6418	4.0427	4.0465	3.9587
1/29/2019	21:17:34	16.58	3.6427	4.0415	4.0458	3.9592
1/29/2019	21:17:36	17.8	3.6441	4.0416	4.0467	3.9569
1/29/2019	21:17:37	18.98	3.6429	4.0436	4.0464	3.9546
1/29/2019	21:17:38	20.2	3.6415	4.045	4.0467	3.9527
1/29/2019	21:17:39	21.5	3.6396	4.0428	4.0475	3.9523
1/29/2019	21:17:41	22.95	3.64	4.0413	4.0472	3.9499
1/29/2019	21:17:42	24.27	3.6394	4.0403	4.0465	3.953
1/29/2019	21:17:43	25.67	3.6407	4.0411	4.0431	3.9516
1/29/2019	21:17:45	26.86	3.64	4.042	4.0425	3.9513
1/29/2019	21:17:46	28.14	3.6385	4.0431	4.0429	3.9473
1/29/2019	21:17:48	29.78	3.6355	4.043	4.0433	3.9465
1/29/2019	21:17:49	31.45	3.6323	4.0413	4.0429	3.9464
1/29/2019	21:17:50	32.64	3.6309	4.0401	4.0422	3.9446
1/29/2019	21:17:52	33.89	3.6291	4.0401	4.0445	3.9472
1/29/2019	21:17:53	35.08	3.6262	4.04	4.0437	3.9489
1/29/2019	21:17:54	36.41	3.6213	4.0394	4.0438	3.9512
1/29/2019	21:17:55	37.66	3.6185	4.0375	4.0447	3.9491
1/29/2019	21:17:57	38.94	3.6165	4.0365	4.0454	3.9486
