Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/29/2019	22:28:07	0	3.3451	4.101	3.4756	4.0154
1/29/2019	22:28:09	2.28	3.3433	4.1017	3.4749	4.0168
1/29/2019	22:28:11	4.33	3.342	4.1029	3.4735	4.0174
1/29/2019	22:28:12	5.42	3.3417	4.1032	3.4726	4.0152
1/29/2019	22:28:14	6.73	3.3419	4.1036	3.4693	4.0138
1/29/2019	22:28:15	8.12	3.3404	4.1019	3.4662	4.0138
1/29/2019	22:28:16	9.31	3.3397	4.1009	3.465	4.0144
1/29/2019	22:28:18	10.61	3.3374	4.0996	3.4636	4.0132
1/29/2019	22:28:19	11.81	3.3384	4.099	3.4635	4.0113
1/29/2019	22:28:20	13.14	3.3364	4.0988	3.4624	4.0091
1/29/2019	22:28:21	14.47	3.3373	4.099	3.4616	4.0103
1/29/2019	22:28:23	15.97	3.3329	4.0997	3.4595	4.0093
1/29/2019	22:28:24	17.27	3.3324	4.0988	3.4562	4.01
1/29/2019	22:28:26	18.52	3.33	4.0978	3.4543	4.0105
1/29/2019	22:28:27	19.8	3.3298	4.0981	3.4536	4.0115
1/29/2019	22:28:28	21.06	3.331	4.0988	3.4537	4.0112
1/29/2019	22:28:29	22.42	3.3319	4.0988	3.4529	4.0101
1/29/2019	22:28:31	23.64	3.3326	4.0972	3.4523	4.0103
1/29/2019	22:28:32	24.95	3.33	4.0955	3.4505	4.0117
1/29/2019	22:28:33	26.42	3.3265	4.0954	3.4494	4.0103
1/29/2019	22:28:35	27.73	3.3217	4.0959	3.4478	4.0099
1/29/2019	22:28:36	29.06	3.3187	4.0967	3.4456	4.0104
1/29/2019	22:28:37	30.37	3.316	4.0972	3.4447	4.0109
1/29/2019	22:28:39	31.64	3.315	4.0962	3.4434	4.0101
1/29/2019	22:28:40	32.92	3.3138	4.0955	3.443	4.0084
1/29/2019	22:28:41	34.19	3.3131	4.096	3.4408	4.0088
1/29/2019	22:28:43	35.5	3.3122	4.0972	3.4371	4.0096
1/29/2019	22:28:44	36.91	3.3118	4.0973	3.4329	4.0089
1/29/2019	22:28:45	38.17	3.3125	4.0967	3.4302	4.008
1/29/2019	22:28:46	39.44	3.3149	4.096	3.4296	4.0075
1/29/2019	22:28:48	40.67	3.3135	4.0958	3.4295	4.0072
1/29/2019	22:28:49	41.94	3.3123	4.0964	3.4281	4.0059
1/29/2019	22:28:50	43.19	3.3085	4.0959	3.4263	4.0035
1/29/2019	22:28:51	44.45	3.3072	4.0971	3.4247	4.004
1/29/2019	22:28:53	45.7	3.3045	4.0959	3.4245	4.0042
1/29/2019	22:28:54	47.02	3.3026	4.0953	3.4234	4.0055
1/29/2019	22:28:55	48.36	3.3021	4.0942	3.4225	4.0063
1/29/2019	22:28:57	49.72	3.3025	4.094	3.4218	4.0079
1/29/2019	22:28:58	51.12	3.3029	4.0946	3.4207	4.007
1/29/2019	22:29:00	52.61	3.2988	4.0939	3.4196	4.0044
1/29/2019	22:29:01	53.94	3.2964	4.0937	3.4173	4.0019
1/29/2019	22:29:03	55.83	3.2933	4.0939	3.4159	4.0003
1/29/2019	22:29:04	57.06	3.2914	4.0942	3.4158	4.0003
1/29/2019	22:29:05	58.37	3.2882	4.0937	3.4145	3.999
1/29/2019	22:29:07	59.59	3.2856	4.0917	3.4141	3.999
1/29/2019	22:29:08	60.87	3.2853	4.0918	3.4117	3.9974
1/29/2019	22:29:09	62.12	3.2848	4.0921	3.4104	3.9978
1/29/2019	22:29:10	63.39	3.284	4.0936	3.4071	3.9961
1/29/2019	22:29:12	64.64	3.2831	4.0921	3.4059	3.9936
1/29/2019	22:29:13	65.92	3.2822	4.0918	3.4048	3.992
1/29/2019	22:29:14	67.17	3.2824	4.0905	3.4052	3.9926
1/29/2019	22:29:15	68.42	3.2791	4.0919	3.4045	3.9945
1/29/2019	22:29:17	69.73	3.2761	4.0916	3.4026	3.9969
1/29/2019	22:29:18	70.95	3.2727	4.0922	3.4005	3.9997
1/29/2019	22:29:19	72.19	3.2719	4.0916	3.3979	4.0001
1/29/2019	22:29:21	73.53	3.2713	4.0913	3.3959	4.0002
1/29/2019	22:29:22	74.75	3.2719	4.0923	3.394	3.9982
1/29/2019	22:29:23	76.16	3.2716	4.0917	3.3922	3.9993
1/29/2019	22:29:24	77.47	3.2693	4.0922	3.3906	3.9982
1/29/2019	22:29:26	78.94	3.2666	4.0903	3.3878	3.9987
1/29/2019	22:29:27	80.41	3.2649	4.0893	3.3861	3.9979
1/29/2019	22:29:29	81.78	3.2634	4.0881	3.3839	3.9978
1/29/2019	22:29:30	83.2	3.2604	4.0884	3.3831	3.9944
1/29/2019	22:29:32	84.62	3.2584	4.0904	3.3808	3.9942
1/29/2019	22:29:33	85.87	3.2568	4.0912	3.378	3.9934
