Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/29/2019	22:26:53	0	3.7784	3.7992	3.2979	3.9415
1/29/2019	22:26:55	2.5	3.7787	3.7977	3.2961	3.9401
1/29/2019	22:26:57	4.12	3.7784	3.7966	3.2951	3.9394
1/29/2019	22:26:58	5.64	3.7794	3.7972	3.2921	3.9382
1/29/2019	22:27:00	6.83	3.7799	3.7958	3.2909	3.9375
1/29/2019	22:27:01	7.95	3.7796	3.7953	3.2899	3.9391
1/29/2019	22:27:02	9.17	3.7762	3.7947	3.2892	3.938
1/29/2019	22:27:03	10.36	3.7741	3.7937	3.2867	3.9375
1/29/2019	22:27:04	11.66	3.7757	3.7932	3.2855	3.9339
1/29/2019	22:27:06	12.81	3.7761	3.7913	3.2838	3.9366
1/29/2019	22:27:07	14.03	3.7771	3.7911	3.2827	3.9361
1/29/2019	22:27:08	15.56	3.7743	3.7906	3.2792	3.9378
1/29/2019	22:27:10	17.03	3.7736	3.791	3.2781	3.9364
1/29/2019	22:27:11	18.16	3.7754	3.7912	3.2765	3.9345
1/29/2019	22:27:12	19.78	3.7725	3.7907	3.276	3.9325
1/29/2019	22:27:14	21.2	3.7727	3.7893	3.2741	3.9323
1/29/2019	22:27:15	22.37	3.7696	3.7874	3.2729	3.9302
1/29/2019	22:27:16	23.66	3.7735	3.7862	3.2704	3.9293
1/29/2019	22:27:18	25.02	3.7727	3.786	3.2675	3.9277
1/29/2019	22:27:19	26.08	3.7727	3.7845	3.2648	3.9288
1/29/2019	22:27:20	27.42	3.7711	3.7834	3.2644	3.9273
1/29/2019	22:27:21	28.61	3.7714	3.7834	3.2642	3.9259
1/29/2019	22:27:23	30.03	3.77	3.7838	3.2633	3.9248
1/29/2019	22:27:24	31.12	3.7685	3.7828	3.2601	3.925
1/29/2019	22:27:25	32.53	3.7653	3.7798	3.257	3.9249
1/29/2019	22:27:26	33.75	3.7631	3.7787	3.253	3.9257
1/29/2019	22:27:28	35.09	3.7611	3.7788	3.2507	3.9273
1/29/2019	22:27:29	36.2	3.7603	3.7784	3.2492	3.9261
1/29/2019	22:27:30	37.73	3.7588	3.7782	3.2489	3.926
1/29/2019	22:27:32	38.92	3.7567	3.7764	3.2477	3.9224
1/29/2019	22:27:33	40.2	3.7568	3.7749	3.2462	3.9226
1/29/2019	22:27:34	41.64	3.7546	3.7744	3.2457	3.9236
1/29/2019	22:27:36	43.03	3.7548	3.7735	3.2446	3.9241
1/29/2019	22:27:37	44.12	3.7532	3.7739	3.2433	3.9255
1/29/2019	22:27:38	45.48	3.7544	3.7724	3.2414	3.9241
1/29/2019	22:27:40	46.86	3.7533	3.7721	3.2408	3.9256
1/29/2019	22:27:41	48.31	3.7515	3.7707	3.2398	3.9234
1/29/2019	22:27:42	49.37	3.7493	3.7695	3.2392	3.922
1/29/2019	22:27:43	50.78	3.7474	3.7691	3.2392	3.921
1/29/2019	22:27:45	52.28	3.7458	3.7689	3.2389	3.9201
1/29/2019	22:27:46	53.78	3.7445	3.7682	3.2364	3.9192
1/29/2019	22:27:48	55.08	3.7436	3.7657	3.2333	3.9194
1/29/2019	22:27:49	56.52	3.7439	3.7646	3.2291	3.9189
1/29/2019	22:27:51	57.86	3.7421	3.7645	3.2268	3.9175
1/29/2019	22:27:52	59.33	3.7405	3.7638	3.2245	3.9152
1/29/2019	22:27:54	60.86	3.7396	3.7626	3.2231	3.9162
1/29/2019	22:27:55	62.09	3.7399	3.7619	3.2224	3.916
1/29/2019	22:27:56	63.39	3.7404	3.762	3.2217	3.9153
1/29/2019	22:27:57	64.8	3.7385	3.761	3.2203	3.9138
1/29/2019	22:27:59	66.14	3.7382	3.7587	3.2179	3.9137
1/29/2019	22:28:00	67.34	3.7377	3.756	3.2152	3.9144
1/29/2019	22:28:01	68.58	3.7381	3.7557	3.2133	3.9143
1/29/2019	22:28:02	69.72	3.7376	3.7544	3.2113	3.9163
1/29/2019	22:28:04	70.98	3.7377	3.7548	3.2092	3.9146
1/29/2019	22:28:05	72.39	3.7367	3.7537	3.208	3.9141
1/29/2019	22:28:07	74.03	3.7349	3.7544	3.2055	3.9111
1/29/2019	22:28:08	75.75	3.7334	3.7541	3.2029	3.9111
1/29/2019	22:28:10	77.23	3.732	3.7533	3.1986	3.9093
1/29/2019	22:28:11	78.53	3.7319	3.7535	3.1937	3.9087
1/29/2019	22:28:13	80.14	3.7302	3.7533	3.1892	3.9087
1/29/2019	22:28:14	81.41	3.7313	3.753	3.186	3.9079
1/29/2019	22:28:15	82.8	3.7293	3.7495	3.1852	3.9059
1/29/2019	22:28:17	84.53	3.7297	3.7471	3.1862	3.9027
1/29/2019	22:28:19	85.83	3.7287	3.7444	3.187	3.9012
1/29/2019	22:28:20	87.28	3.7321	3.7427	3.1869	3.9003
1/29/2019	22:28:21	88.67	3.7312	3.7417	3.1851	3.9017
1/29/2019	22:28:23	90.17	3.729	3.7403	3.1845	3.9022
1/29/2019	22:28:24	91.28	3.7252	3.7398	3.1845	3.9022
1/29/2019	22:28:25	92.48	3.7224	3.7379	3.1833	3.9014
1/29/2019	22:28:27	93.87	3.7219	3.7379	3.1809	3.9031
1/29/2019	22:28:28	95.44	3.7217	3.7372	3.1787	3.9042
1/29/2019	22:28:29	96.67	3.7223	3.7377	3.1775	3.9029
1/29/2019	22:28:31	97.98	3.7211	3.7362	3.1765	3.8994
1/29/2019	22:28:32	99.16	3.7187	3.7367	3.1747	3.8984
1/29/2019	22:28:33	100.5	3.7184	3.7357	3.1708	3.8989
1/29/2019	22:28:35	101.83	3.7179	3.7359	3.1678	3.898
1/29/2019	22:28:36	103.22	3.7194	3.7356	3.1653	3.8957
1/29/2019	22:28:37	104.41	3.7184	3.7353	3.1649	3.894
1/29/2019	22:28:39	106.05	3.7175	3.7351	3.1645	3.8953
1/29/2019	22:28:40	107.64	3.7144	3.7329	3.1629	3.8934
1/29/2019	22:28:42	109.53	3.7127	3.7317	3.1616	3.8934
1/29/2019	22:28:44	110.87	3.7131	3.7306	3.1586	3.8921
1/29/2019	22:28:45	112.36	3.7142	3.7295	3.1572	3.894
1/29/2019	22:28:46	113.64	3.7142	3.729	3.1552	3.8936
1/29/2019	22:28:48	115.27	3.7135	3.7283	3.1551	3.8925
1/29/2019	22:28:50	116.91	3.7131	3.7291	3.1536	3.8924
1/29/2019	22:28:51	118.39	3.7114	3.7281	3.1517	3.8913
1/29/2019	22:28:52	119.69	3.7115	3.7277	3.1487	3.8921
1/29/2019	22:28:54	120.92	3.7108	3.7255	3.1464	3.8918
1/29/2019	22:28:55	122.12	3.7125	3.7232	3.1451	3.8913
1/29/2019	22:28:56	123.41	3.7129	3.7215	3.1452	3.8903
1/29/2019	22:28:57	124.8	3.712	3.7214	3.1453	3.8896
1/29/2019	22:28:59	126.09	3.7106	3.7214	3.145	3.8892
1/29/2019	22:29:00	127.62	3.7078	3.7213	3.1431	3.8867
1/29/2019	22:29:02	129	3.7064	3.7208	3.14	3.8858
1/29/2019	22:29:03	130.52	3.7052	3.7214	3.1369	3.8837
1/29/2019	22:29:05	131.98	3.7046	3.7199	3.1356	3.8836
1/29/2019	22:29:06	133.45	3.7044	3.7176	3.1339	3.8825
1/29/2019	22:29:08	134.84	3.7044	3.7151	3.1318	3.8834
