Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
2/1/19	20:44:51	0	4.4962	4.5749	4.4895	4.552
2/1/19	20:44:53	1.41	4.4983	4.5757	4.4883	4.5509
2/1/19	20:44:54	2.61	4.4963	4.5752	4.4887	4.5499
2/1/19	20:44:55	3.83	4.498	4.5769	4.4887	4.5509
2/1/19	20:44:56	4.87	4.4963	4.5762	4.4902	4.5488
2/1/19	20:44:57	6.02	4.4978	4.5778	4.4887	4.5498
2/1/19	20:44:59	7.61	4.4983	4.5779	4.4857	4.55
2/1/19	20:45:01	9.62	4.5005	4.5807	4.4848	4.5506
2/1/19	20:45:03	11.67	4.4993	4.5803	4.4851	4.551
2/1/19	20:45:05	13.56	4.4996	4.5807	4.4845	4.5499
2/1/19	20:45:07	15.48	4.4966	4.5788	4.4831	4.5519
2/1/19	20:45:09	17.08	4.4952	4.5781	4.483	4.5504
2/1/19	20:45:11	19.47	4.4922	4.5787	4.4856	4.5503
2/1/19	20:45:12	20.83	4.4926	4.5772	4.4854	4.548
2/1/19	20:45:14	22.05	4.4938	4.5782	4.4857	4.5504
2/1/19	20:45:15	23.41	4.4928	4.5765	4.4872	4.5493
2/1/19	20:45:16	24.8	4.4928	4.5774	4.4888	4.5492
2/1/19	20:45:18	26.08	4.4935	4.5771	4.4886	4.5453
2/1/19	20:45:19	27.69	4.4959	4.5787	4.4861	4.5466
2/1/19	20:45:21	29.05	4.4972	4.5801	4.4871	4.5491
2/1/19	20:45:22	30.45	4.4946	4.5819	4.4848	4.5511
2/1/19	20:45:23	31.67	4.494	4.5832	4.4851	4.553
2/1/19	20:45:25	33.05	4.4928	4.5841	4.486	4.5533
2/1/19	20:45:26	34.31	4.4946	4.5838	4.4893	4.5522
2/1/19	20:45:27	35.8	4.4941	4.5819	4.4916	4.5513
2/1/19	20:45:29	37.12	4.4934	4.5804	4.488	4.5492
2/1/19	20:45:30	38.47	4.4938	4.5788	4.4889	4.5484
2/1/19	20:45:31	39.8	4.494	4.5781	4.4892	4.5486
2/1/19	20:45:33	41.06	4.4955	4.5784	4.4922	4.5482
2/1/19	20:45:34	42.45	4.4949	4.5781	4.4905	4.5481
2/1/19	20:45:35	43.89	4.4913	4.5772	4.4901	4.5467
2/1/19	20:45:37	45.27	4.4897	4.5749	4.4886	4.548
2/1/19	20:45:38	46.67	4.4887	4.5743	4.4892	4.5481
2/1/19	20:45:39	47.98	4.4921	4.576	4.4882	4.5468
2/1/19	20:45:41	49.33	4.4906	4.5765	4.4887	4.5451
2/1/19	20:45:42	50.66	4.4907	4.5777	4.4883	4.5437
2/1/19	20:45:43	51.95	4.4904	4.5768	4.4893	4.5453
2/1/19	20:45:45	53.22	4.4901	4.5775	4.4877	4.5471
2/1/19	20:45:46	54.62	4.4898	4.5772	4.4884	4.5493
2/1/19	20:45:48	56.03	4.4888	4.5772	4.4883	4.5514
2/1/19	20:45:49	57.31	4.4909	4.5772	4.4886	4.5509
2/1/19	20:45:50	58.59	4.4903	4.576	4.4885	4.5508
2/1/19	20:45:51	59.95	4.4904	4.5757	4.4876	4.5503
2/1/19	20:45:53	61.34	4.4876	4.5757	4.4882	4.5506
2/1/19	20:45:54	62.64	4.4884	4.5781	4.4887	4.5509
2/1/19	20:45:56	64.03	4.4909	4.5791	4.488	4.5486
2/1/19	20:45:57	65.3	4.491	4.5816	4.4877	4.5489
2/1/19	20:45:58	66.64	4.4922	4.5803	4.4867	4.5497
2/1/19	20:45:59	67.92	4.4907	4.5785	4.4874	4.5504
2/1/19	20:46:01	69.34	4.4927	4.5762	4.4884	4.5496
2/1/19	20:46:02	70.69	4.4915	4.5765	4.4882	4.547
2/1/19	20:46:03	71.95	4.49	4.5774	4.4876	4.5475
2/1/19	20:46:05	73.44	4.4909	4.5765	4.4883	4.5475
2/1/19	20:46:06	74.8	4.4882	4.5771	4.4889	4.5503
2/1/19	20:46:08	76.08	4.4879	4.5778	4.4896	4.5507
2/1/19	20:46:09	77.23	4.4878	4.5806	4.488	4.5486
2/1/19	20:46:10	78.55	4.4903	4.581	4.4887	4.5475
2/1/19	20:46:12	80.06	4.4892	4.5812	4.4876	4.5453
2/1/19	20:46:13	81.36	4.4882	4.581	4.486	4.5481
2/1/19	20:46:14	83.02	4.4891	4.5801	4.4847	4.5481
2/1/19	20:46:16	84.31	4.4898	4.5794	4.4858	4.5499
2/1/19	20:46:17	85.83	4.4887	4.5794	4.4877	4.5511
2/1/19	20:46:19	87.44	4.4872	4.5791	4.4866	4.5529
2/1/19	20:46:20	88.84	4.4878	4.5804	4.4864	4.5525
2/1/19	20:46:22	90.11	4.4885	4.5798	4.4854	4.5508
2/1/19	20:46:23	91.59	4.493	4.5793	4.4888	4.5489
2/1/19	20:46:25	93.06	4.4916	4.5788	4.4908	4.5493
2/1/19	20:46:26	94.44	4.4913	4.5793	4.4924	4.5496
2/1/19	20:46:27	95.75	4.486	4.5796	4.4928	4.5506
2/1/19	20:46:28	97	4.487	4.5791	4.4896	4.5486
2/1/19	20:46:30	98.56	4.489	4.5787	4.4888	4.549
2/1/19	20:46:31	99.92	4.4904	4.5794	4.4874	4.5477
2/1/19	20:46:33	101.31	4.4891	4.5793	4.4879	4.5493
2/1/19	20:46:34	102.61	4.4879	4.5788	4.4886	4.5495
2/1/19	20:46:35	103.92	4.4873	4.5801	4.4892	4.5508
2/1/19	20:46:37	105.39	4.4901	4.5778	4.4902	4.5504
2/1/19	20:46:38	106.66	4.4882	4.576	4.4877	4.5508
2/1/19	20:46:40	108.28	4.4894	4.575	4.4863	4.5496
2/1/19	20:46:41	109.7	4.4889	4.576	4.4837	4.5508
2/1/19	20:46:42	111	4.4927	4.5762	4.4832	4.5482
2/1/19	20:46:44	112.28	4.49	4.5775	4.4844	4.5495
2/1/19	20:46:45	113.69	4.4894	4.5778	4.4872	4.5489
2/1/19	20:46:47	115.16	4.4836	4.579	4.4895	4.5482
2/1/19	20:46:48	116.52	4.4835	4.5763	4.4893	4.5488
2/1/19	20:46:49	117.97	4.4832	4.5778	4.4893	4.5489
2/1/19	20:46:51	119.44	4.4851	4.5774	4.4895	4.5529
2/1/19	20:46:52	120.83	4.4859	4.5779	4.4892	4.5503
2/1/19	20:46:54	122.05	4.4863	4.5768	4.4879	4.5503
2/1/19	20:46:55	123.42	4.4856	4.5777	4.4863	4.5474
2/1/19	20:46:56	124.83	4.4863	4.5784	4.4857	4.5478
2/1/19	20:46:58	126.12	4.4848	4.5803	4.4869	4.5471
2/1/19	20:46:59	127.56	4.4851	4.579	4.4883	4.5493
2/1/19	20:47:00	128.95	4.4854	4.5782	4.4877	4.5523
2/1/19	20:47:02	130.44	4.4851	4.5763	4.4883	4.5532
2/1/19	20:47:03	132	4.4848	4.5768	4.4886	4.5514
2/1/19	20:47:05	133.81	4.4854	4.5766	4.4866	4.5481
2/1/19	20:47:07	135.11	4.4879	4.5772	4.486	4.5477
2/1/19	20:47:08	136.42	4.4879	4.5781	4.4863	4.547
2/1/19	20:47:09	137.8	4.4867	4.5788	4.4895	4.549
2/1/19	20:47:11	139.2	4.486	4.5782	4.488	4.5484
2/1/19	20:47:12	140.52	4.4884	4.579	4.4873	4.5482
2/1/19	20:47:13	141.84	4.4876	4.5791	4.4854	4.5462
2/1/19	20:47:15	143.08	4.4866	4.5803	4.485	4.5453
2/1/19	20:47:16	144.53	4.4876	4.5794	4.4841	4.5466
2/1/19	20:47:17	145.78	4.4888	4.5785	4.4845	4.5478
2/1/19	20:47:18	146.98	4.4867	4.5796	4.4851	4.55
2/1/19	20:47:20	148.39	4.486	4.5793	4.4856	4.55
2/1/19	20:47:21	149.66	4.4829	4.5804	4.484	4.5489
2/1/19	20:47:22	150.97	4.4834	4.5803	4.4831	4.547
2/1/19	20:47:24	152.31	4.4822	4.5804	4.4835	4.5467
2/1/19	20:47:25	153.66	4.485	4.5807	4.4857	4.5486
2/1/19	20:47:26	154.95	4.4885	4.579	4.4854	4.5497
2/1/19	20:47:28	156.2	4.4863	4.5794	4.4857	4.55
2/1/19	20:47:29	157.62	4.487	4.5778	4.4844	4.5485
2/1/19	20:47:30	158.95	4.4841	4.5791	4.4848	4.5486
2/1/19	20:47:32	160.39	4.485	4.5785	4.484	4.5477
2/1/19	20:47:33	161.73	4.4828	4.5794	4.4848	4.5473
2/1/19	20:47:34	163	4.4813	4.579	4.4853	4.5468
2/1/19	20:47:36	164.3	4.4837	4.5782	4.4842	4.5479
2/1/19	20:47:37	165.61	4.4838	4.5781	4.4861	4.5489
2/1/19	20:47:38	166.97	4.485	4.5784	4.4873	4.5495
2/1/19	20:47:40	168.33	4.4838	4.5798	4.4879	4.5474
2/1/19	20:47:41	169.53	4.4826	4.5797	4.4873	4.5485
2/1/19	20:47:42	170.78	4.4839	4.5793	4.4856	4.5478
2/1/19	20:47:44	172.23	4.4834	4.5779	4.4869	4.551
2/1/19	20:47:45	173.47	4.4839	4.5795	4.4872	4.5497
2/1/19	20:47:46	175	4.4826	4.5804	4.489	4.5492
2/1/19	20:47:48	176.23	4.481	4.5819	4.4885	4.5488
2/1/19	20:47:49	177.66	4.4831	4.58	4.486	4.5486
2/1/19	20:47:50	178.94	4.4835	4.5809	4.4848	4.5475
2/1/19	20:47:52	180.23	4.4844	4.5806	4.4854	4.5478
2/1/19	20:47:53	181.62	4.481	4.5812	4.4863	4.5489
2/1/19	20:47:54	182.92	4.4783	4.5794	4.4873	4.5512
2/1/19	20:47:56	184.23	4.4782	4.5796	4.4863	4.5499
2/1/19	20:47:58	186.06	4.4825	4.5801	4.4856	4.5486
2/1/19	20:47:59	187.34	4.4844	4.5804	4.4841	4.5464
2/1/19	20:48:00	188.67	4.4851	4.5784	4.4859	4.5471
2/1/19	20:48:01	189.97	4.4831	4.5762	4.486	4.5473
2/1/19	20:48:03	191.28	4.4817	4.5747	4.4863	4.5506
2/1/19	20:48:05	193.12	4.4807	4.5754	4.4844	4.5496
2/1/19	20:48:06	194.53	4.481	4.5763	4.484	4.5493
2/1/19	20:48:07	195.89	4.4817	4.5762	4.483	4.5466
2/1/19	20:48:09	197.28	4.4834	4.5762	4.4827	4.5478
2/1/19	20:48:10	198.64	4.4822	4.5768	4.4834	4.5485
2/1/19	20:48:12	200.37	4.4829	4.5765	4.4836	4.5503
2/1/19	20:48:13	201.67	4.482	4.5782	4.4822	4.5486
2/1/19	20:48:15	203.33	4.4832	4.5773	4.4828	4.5485
2/1/19	20:48:16	204.87	4.4837	4.5796	4.4838	4.5479
2/1/19	20:48:18	206.41	4.4856	4.5791	4.4866	4.549
2/1/19	20:48:19	207.84	4.4832	4.5796	4.4857	4.5496
2/1/19	20:48:21	209.41	4.4831	4.579	4.4845	4.5492
2/1/19	20:48:22	210.67	4.4797	4.5777	4.4815	4.5486
2/1/19	20:48:24	212.34	4.4801	4.5756	4.4824	4.5477
2/1/19	20:48:25	213.59	4.4806	4.576	4.482	4.5474
2/1/19	20:48:26	214.83	4.4829	4.5765	4.4853	4.5474
2/1/19	20:48:28	216.3	4.4847	4.579	4.4833	4.5474
2/1/19	20:48:29	217.83	4.4843	4.5784	4.485	4.5482
2/1/19	20:48:31	219.27	4.4834	4.5782	4.485	4.5473
2/1/19	20:48:33	221.05	4.4822	4.5782	4.4853	4.5456
2/1/19	20:48:34	222.48	4.4822	4.5771	4.4837	4.5468
2/1/19	20:48:36	224.09	4.479	4.5782	4.4837	4.5475
2/1/19	20:48:37	225.69	4.477	4.5784	4.4846	4.5475
2/1/19	20:48:38	226.94	4.4788	4.5803	4.4857	4.5474
2/1/19	20:48:40	228.52	4.4824	4.5796	4.4841	4.5493
2/1/19	20:48:41	229.7	4.4859	4.579	4.4835	4.5515
2/1/19	20:48:43	231.27	4.4838	4.5785	4.4815	4.5519
2/1/19	20:48:44	232.5	4.4838	4.5782	4.4834	4.5506
2/1/19	20:48:46	234.14	4.4823	4.5772	4.4859	4.5519
2/1/19	20:48:47	235.34	4.4816	4.5787	4.4889	4.5484
2/1/19	20:48:48	236.94	4.4797	4.5794	4.4879	4.5484
2/1/19	20:48:50	238.56	4.4773	4.5806	4.4863	4.5481
2/1/19	20:48:52	240.56	4.4753	4.5787	4.4848	4.5512
2/1/19	20:48:53	241.94	4.4735	4.5785	4.4838	4.5486
2/1/19	20:48:55	243.2	4.4759	4.5791	4.4844	4.547
2/1/19	20:48:56	244.86	4.4765	4.5792	4.4841	4.5455
2/1/19	20:48:58	246.5	4.4788	4.5781	4.4863	4.5486
2/1/19	20:48:59	247.91	4.4762	4.5782	4.4848	4.5501
2/1/19	20:49:01	249.45	4.4763	4.5803	4.4857	4.5496
2/1/19	20:49:02	250.87	4.4778	4.5809	4.4811	4.5478
2/1/19	20:49:04	252.28	4.4796	4.5818	4.4825	4.547
2/1/19	20:49:05	253.75	4.4825	4.5803	4.4814	4.5466
2/1/19	20:49:07	255.78	4.4803	4.5816	4.4843	4.5464
2/1/19	20:49:09	257.2	4.4797	4.5803	4.4844	4.5441
2/1/19	20:49:10	258.5	4.4807	4.5807	4.4854	4.5449
2/1/19	20:49:11	259.97	4.4837	4.5787	4.4851	4.5481
2/1/19	20:49:13	261.23	4.484	4.5785	4.4827	4.5496
2/1/19	20:49:14	262.84	4.4802	4.5782	4.4798	4.5486
2/1/19	20:49:16	264.12	4.4747	4.5806	4.4811	4.5466
2/1/19	20:49:17	265.75	4.4749	4.5804	4.4817	4.5475
2/1/19	20:49:18	267.02	4.4741	4.5812	4.4843	4.5475
2/1/19	20:49:20	268.86	4.4746	4.5807	4.4811	4.5468
2/1/19	20:49:22	270.41	4.4746	4.5797	4.4831	4.5468
2/1/19	20:49:23	271.91	4.4743	4.5791	4.4835	4.5479
2/1/19	20:49:25	273.36	4.4765	4.5788	4.4857	4.547
2/1/19	20:49:26	274.8	4.4768	4.58	4.4838	4.5474
2/1/19	20:49:28	276.36	4.4773	4.5817	4.4848	4.546
2/1/19	20:49:29	277.78	4.4748	4.581	4.4857	4.5475
2/1/19	20:49:31	279.39	4.4744	4.5812	4.4857	4.5459
2/1/19	20:49:32	280.7	4.4743	4.5801	4.4841	4.5478
2/1/19	20:49:34	282.36	4.4753	4.5807	4.4835	4.5486
2/1/19	20:49:35	283.66	4.4747	4.5794	4.4827	4.5479
2/1/19	20:49:37	285.36	4.4735	4.5779	4.4836	4.5462
2/1/19	20:49:38	286.91	4.4763	4.5779	4.4844	4.5446
2/1/19	20:49:40	288.52	4.4774	4.5772	4.4863	4.5459
