
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	34.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/26/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/26/2019	00:50:56	0.00		3.8130	4.1105	2.9316	3.9793	34.500	34.500	34.500	34.500	1012.22	31.887	---	---	---	20.713	19.955	23.314	20.407	263.943	268.007	303.968	235.918	6.873	8.004	6.507	5.884	
1/26/2019	00:51:11	15.00		3.8155	4.1070	2.9141	3.9756	34.500	34.500	34.500	34.500	1012.26	31.849	---	---	---	20.707	19.964	23.373	20.416	263.890	268.069	304.777	236.068	6.806	8.051	6.480	5.846	
1/26/2019	00:51:26	30.00		3.8075	4.1106	2.8976	3.9756	34.500	34.500	34.500	34.500	1012.15	31.824	---	---	---	20.726	19.954	23.428	20.416	264.004	267.935	305.678	236.070	6.885	8.020	6.516	5.846	
1/26/2019	00:51:41	45.00		3.8126	4.1106	2.8785	3.9746	34.500	34.500	34.500	34.500	1012.22	31.811	---	---	---	20.714	19.954	23.493	20.419	263.964	267.867	306.578	236.079	6.882	8.034	6.486	5.875	
1/26/2019	00:51:56	60.00		3.8097	4.1098	2.8617	3.9730	34.500	34.500	34.500	34.500	1012.18	31.773	---	---	---	20.721	19.956	23.550	20.423	264.009	267.904	307.342	236.159	6.921	8.020	6.494	5.863	
1/26/2019	00:52:11	75.00		3.8125	4.1131	2.8473	3.9733	34.500	34.500	34.500	34.500	1012.20	31.773	---	---	---	20.714	19.948	23.599	20.422	263.916	267.849	308.150	236.175	6.876	8.043	6.502	5.893	
1/26/2019	00:52:26	90.00		3.8111	4.1150	2.8257	3.9720	34.500	34.500	34.500	34.500	1012.22	31.773	---	---	---	20.718	19.943	23.674	20.425	263.976	267.768	309.145	236.252	6.875	8.042	6.491	5.839	
1/26/2019	00:52:41	105.00		3.8097	4.1145	2.8086	3.9707	34.500	34.500	34.500	34.500	1012.14	31.773	---	---	---	20.721	19.944	23.733	20.429	264.043	267.805	310.056	236.221	6.870	8.010	6.496	5.853	
1/26/2019	00:52:56	120.00		3.8116	4.1106	2.7929	3.9737	34.500	34.500	34.500	34.500	1012.15	31.773	---	---	---	20.716	19.954	23.788	20.421	263.973	267.898	310.850	236.217	6.830	8.008	6.511	5.794	
1/26/2019	00:53:11	135.00		3.8089	4.1191	2.7729	3.9711	34.500	34.500	34.500	34.500	1012.15	31.773	---	---	---	20.723	19.933	23.858	20.428	263.965	267.588	311.790	236.257	6.849	8.022	6.432	5.787	
1/26/2019	00:53:26	150.00		3.8128	4.1169	2.7520	3.9715	34.500	34.500	34.500	34.500	1012.19	31.773	---	---	---	20.713	19.938	23.932	20.427	264.057	267.765	312.692	236.261	6.830	8.012	6.437	5.779	
1/26/2019	00:53:41	165.00		3.8099	4.1142	2.7370	3.9705	34.500	34.500	34.500	34.500	1012.18	31.689	---	---	---	20.720	19.945	23.985	20.429	263.965	267.716	313.644	236.239	6.849	7.977	6.510	5.750	
1/26/2019	00:53:56	180.00		3.8100	4.1193	2.7222	3.9734	34.500	34.500	34.500	34.500	1012.19	31.689	---	---	---	20.720	19.932	24.039	20.422	263.943	267.542	314.419	236.173	6.898	8.043	6.471	5.781	
1/26/2019	00:54:11	195.00		3.8077	4.1166	2.7051	3.9699	34.500	34.500	34.500	34.500	1012.15	31.689	---	---	---	20.726	19.939	24.099	20.431	264.011	267.707	315.353	236.260	6.819	8.011	6.518	5.729	
