
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/27/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/27/2019	14:35:14	0.00		4.3481	4.4336	4.3739	4.4456	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.814	20.557	20.807	20.763	200.035	270.960	254.124	249.172	4.802	3.425	4.055	3.473	
1/27/2019	14:35:17	3.45		4.3502	4.4315	4.3750	4.4451	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.809	20.562	20.805	20.764	200.038	271.023	254.129	249.252	4.871	3.398	4.074	3.485	
1/27/2019	14:35:19	5.08		4.3508	4.4309	4.3735	4.4428	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.808	20.563	20.809	20.770	200.000	271.054	254.104	249.308	4.686	3.211	4.373	3.472	
1/27/2019	14:35:20	6.41		4.3524	4.4324	4.3742	4.4407	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.804	20.559	20.807	20.775	200.019	270.992	254.105	249.317	5.254	2.965	4.488	3.495	
1/27/2019	14:35:22	7.69		4.3550	4.4324	4.3759	4.4399	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.798	20.560	20.803	20.777	200.033	270.925	254.113	249.342	5.195	3.285	4.156	3.614	
1/27/2019	14:35:23	9.02		4.3561	4.4312	4.3740	4.4402	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.795	20.563	20.807	20.777	200.040	270.866	254.130	249.362	4.949	3.871	3.777	3.480	
1/27/2019	14:35:24	10.20		4.3585	4.4317	4.3731	4.4404	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.789	20.562	20.809	20.776	200.025	270.853	254.130	249.410	4.776	4.083	4.103	3.563	
1/27/2019	14:35:26	11.66		4.3569	4.4304	4.3702	4.4406	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.793	20.565	20.816	20.776	199.990	270.876	254.117	249.428	4.613	4.120	4.429	4.380	
1/27/2019	14:35:27	12.89		4.3532	4.4317	4.3705	4.4402	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.802	20.562	20.816	20.777	199.995	270.911	254.091	249.447	4.910	3.656	4.151	4.567	
1/27/2019	14:35:28	14.27		4.3519	4.4314	4.3701	4.4368	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.805	20.562	20.817	20.785	200.013	270.945	254.080	249.417	4.628	3.492	3.791	3.795	
1/27/2019	14:35:29	15.41		4.3494	4.4319	4.3719	4.4354	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.811	20.561	20.812	20.789	200.049	270.966	254.089	249.432	4.934	3.227	3.499	2.995	
1/27/2019	14:35:31	16.89		4.3507	4.4324	4.3712	4.4372	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.808	20.559	20.814	20.784	200.044	270.977	254.089	249.466	4.653	3.055	3.555	3.283	
1/27/2019	14:35:32	18.17		4.3490	4.4340	4.3719	4.4391	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.812	20.556	20.812	20.779	200.048	270.944	254.097	249.510	4.954	3.063	3.690	3.783	
1/27/2019	14:35:34	19.50		4.3501	4.4338	4.3716	4.4410	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.809	20.556	20.813	20.775	200.044	270.931	254.099	249.513	4.682	3.368	3.963	3.749	
1/27/2019	14:35:35	20.91		4.3487	4.4330	4.3733	4.4392	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.813	20.558	20.809	20.779	200.079	270.913	254.112	249.560	4.530	3.665	3.826	3.914	
1/27/2019	14:35:37	22.67		4.3506	4.4314	4.3740	4.4382	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.808	20.562	20.807	20.782	200.117	270.932	254.120	249.559	4.207	3.782	3.619	3.806	
1/27/2019	14:35:38	24.19		4.3483	4.4314	4.3733	4.4340	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.814	20.562	20.809	20.792	200.138	270.897	254.140	249.590	4.044	3.413	3.252	3.712	
1/27/2019	14:35:40	25.77		4.3459	4.4324	4.3728	4.4338	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.819	20.560	20.810	20.793	200.157	270.831	254.176	249.552	4.521	3.079	3.284	3.235	
1/27/2019	14:35:41	27.36		4.3429	4.4321	4.3722	4.4338	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.826	20.561	20.812	20.793	200.169	270.786	254.191	249.564	5.369	3.131	3.096	2.856	
1/27/2019	14:35:43	28.86		4.3424	4.4309	4.3725	4.4336	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.827	20.564	20.811	20.793	200.186	270.836	254.194	249.571	5.153	3.875	3.209	3.331	
1/27/2019	14:35:44	30.25		4.3413	4.4289	4.3724	4.4319	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.830	20.568	20.811	20.797	200.216	270.936	254.163	249.594	5.278	4.158	3.500	3.268	
1/27/2019	14:35:46	31.70		4.3414	4.4254	4.3715	4.4311	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.830	20.577	20.813	20.799	200.194	271.042	254.159	249.612	4.298	4.438	3.727	3.287	
1/27/2019	14:35:47	33.25		4.3403	4.4254	4.3708	4.4311	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.832	20.577	20.815	20.799	200.203	271.064	254.168	249.637	4.768	4.042	4.014	2.979	
1/27/2019	14:35:49	34.78		4.3412	4.4261	4.3711	4.4319	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.830	20.575	20.814	20.797	200.201	271.052	254.176	249.657	4.321	4.045	3.970	2.904	
1/27/2019	14:35:50	36.34		4.3405	4.4289	4.3712	4.4326	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.832	20.568	20.814	20.796	200.265	270.992	254.185	249.682	5.403	4.206	3.933	3.243	
1/27/2019	14:35:52	37.89		4.3363	4.4296	4.3721	4.4339	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.842	20.567	20.812	20.792	200.315	270.960	254.191	249.707	5.888	4.408	3.881	3.494	
1/27/2019	14:35:54	39.89		4.3337	4.4317	4.3721	4.4346	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.848	20.562	20.812	20.791	200.350	270.878	254.233	249.749	6.195	4.212	4.068	4.393	
1/27/2019	14:35:56	42.31		4.3318	4.4340	4.3720	4.4331	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.852	20.556	20.812	20.794	200.346	270.844	254.264	249.746	5.199	4.186	3.768	4.122	
1/27/2019	14:35:58	44.00		4.3319	4.4352	4.3705	4.4341	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.852	20.553	20.815	20.792	200.323	270.805	254.256	249.770	5.360	3.981	3.423	4.665	
1/27/2019	14:35:59	45.44		4.3365	4.4351	4.3694	4.4295	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.841	20.553	20.818	20.803	200.274	270.848	254.218	249.740	4.870	4.534	3.332	3.922	
1/27/2019	14:36:01	46.52		4.3370	4.4326	4.3696	4.4285	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.840	20.560	20.818	20.806	200.258	270.847	254.205	249.759	5.175	4.139	3.719	3.762	
1/27/2019	14:36:02	47.72		4.3420	4.4304	4.3700	4.4262	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.828	20.565	20.817	20.812	200.272	270.865	254.208	249.744	4.179	4.168	4.055	3.284	
1/27/2019	14:36:03	48.98		4.3398	4.4286	4.3705	4.4283	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.834	20.569	20.816	20.806	200.284	270.864	254.209	249.816	4.599	3.533	3.700	3.586	
1/27/2019	14:36:04	50.36		4.3366	4.4280	4.3676	4.4299	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.841	20.570	20.823	20.802	200.298	270.892	254.211	249.826	4.688	3.271	3.650	3.585	
1/27/2019	14:36:06	51.52		4.3328	4.4289	4.3663	4.4303	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.850	20.568	20.826	20.801	200.349	270.900	254.186	249.831	5.678	2.971	3.453	3.286	
1/27/2019	14:36:07	53.02		4.3340	4.4276	4.3661	4.4305	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.847	20.571	20.826	20.801	200.423	270.898	254.188	249.821	5.202	3.559	3.815	3.283	
1/27/2019	14:36:08	54.27		4.3347	4.4272	4.3683	4.4295	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.845	20.572	20.821	20.803	200.471	270.887	254.160	249.834	4.843	4.110	4.118	3.424	
1/27/2019	14:36:09	55.41		4.3320	4.4283	4.3708	4.4300	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.852	20.570	20.815	20.802	200.469	270.854	254.194	249.877	3.916	4.786	4.469	3.681	
1/27/2019	14:36:11	56.72		4.3273	4.4313	4.3711	4.4297	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.863	20.563	20.814	20.803	200.476	270.828	254.188	249.876	4.446	4.175	4.210	3.304	
1/27/2019	14:36:12	58.22		4.3266	4.4335	4.3728	4.4282	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.865	20.557	20.810	20.807	200.507	270.772	254.175	249.903	5.157	3.633	3.676	3.944	
1/27/2019	14:36:14	59.72		4.3296	4.4334	4.3717	4.4266	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.858	20.558	20.813	20.811	200.531	270.694	254.131	249.876	4.992	2.888	3.520	3.626	
1/27/2019	14:36:15	61.27		4.3306	4.4341	4.3714	4.4268	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.855	20.556	20.814	20.810	200.519	270.651	254.125	249.906	5.247	3.193	3.545	4.125	
1/27/2019	14:36:17	62.48		4.3318	4.4342	4.3694	4.4264	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.852	20.556	20.818	20.811	200.509	270.619	254.121	249.911	4.525	3.473	3.676	3.633	
1/27/2019	14:36:18	63.83		4.3314	4.4359	4.3697	4.4268	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.853	20.552	20.818	20.810	200.472	270.614	254.118	249.922	4.667	3.800	3.677	3.951	
1/27/2019	14:36:19	65.27		4.3323	4.4368	4.3694	4.4265	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.851	20.550	20.818	20.811	200.469	270.602	254.138	249.910	4.890	3.572	4.167	3.729	
1/27/2019	14:36:21	66.56		4.3300	4.4348	4.3718	4.4265	27.000	27.000	27.000	27.000	---	---	---	26.091	---	20.857	20.554	20.813	20.811	200.479	270.645	254.143	249.909	5.117	3.962	4.000	3.895	
