
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/27/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/27/2019	22:06:59	0.00		4.0627	4.0649	4.1412	4.1619	29.500	29.500	29.500	29.500	1012.01	21.963	---	---	---	21.146	21.231	21.020	21.053	263.632	294.310	257.628	249.856	6.910	8.022	6.434	5.822	
1/27/2019	22:07:02	2.89		4.0611	4.0649	4.1405	4.1590	29.500	29.500	29.500	29.500	1011.99	21.938	---	---	---	21.150	21.231	21.022	21.060	263.656	294.343	257.661	249.924	6.857	8.045	6.447	5.785	
1/27/2019	22:07:03	4.03		4.0620	4.0668	4.1375	4.1573	29.500	29.500	29.500	29.500	1012.00	21.900	---	---	---	21.148	21.226	21.029	21.064	263.689	294.364	257.673	250.008	6.837	8.072	6.440	5.730	
1/27/2019	22:07:05	5.33		4.0607	4.0667	4.1364	4.1573	29.500	29.500	29.500	29.500	1012.02	21.875	---	---	---	21.150	21.227	21.031	21.064	263.743	294.372	257.677	250.038	6.851	8.043	6.457	5.747	
1/27/2019	22:07:06	6.69		4.0591	4.0647	4.1359	4.1577	29.500	29.500	29.500	29.500	1012.03	21.834	---	---	---	21.154	21.232	21.032	21.063	263.760	294.368	257.684	250.039	6.846	8.036	6.478	5.762	
1/27/2019	22:07:07	8.00		4.0579	4.0627	4.1371	4.1595	29.500	29.500	29.500	29.500	1012.03	21.768	---	---	---	21.157	21.237	21.030	21.058	263.772	294.392	257.680	250.042	6.872	8.008	6.465	5.775	
1/27/2019	22:07:09	9.72		4.0577	4.0614	4.1369	4.1586	29.500	29.500	29.500	29.500	1012.02	21.687	---	---	---	21.158	21.241	21.030	21.061	263.771	294.410	257.699	250.050	6.817	8.014	6.452	5.732	
1/27/2019	22:07:10	10.97		4.0590	4.0633	4.1368	4.1593	29.500	29.500	29.500	29.500	1012.00	21.608	---	---	---	21.155	21.236	21.030	21.059	263.816	294.423	257.710	250.061	6.845	8.005	6.425	5.720	
1/27/2019	22:07:12	12.25		4.0571	4.0649	4.1362	4.1583	29.500	29.500	29.500	29.500	1012.02	21.554	---	---	---	21.159	21.231	21.032	21.061	263.822	294.427	257.742	250.087	6.833	8.001	6.465	5.716	
1/27/2019	22:07:13	13.48		4.0575	4.0658	4.1364	4.1586	29.500	29.500	29.500	29.500	1012.00	21.503	---	---	---	21.158	21.229	21.031	21.061	263.848	294.447	257.761	250.104	6.845	8.002	6.460	5.717	
1/27/2019	22:07:14	14.75		4.0561	4.0638	4.1367	4.1564	29.500	29.500	29.500	29.500	1012.02	21.478	---	---	---	21.161	21.234	21.031	21.066	263.863	294.460	257.777	250.115	6.824	8.004	6.482	5.762	
1/27/2019	22:07:15	16.02		4.0578	4.0617	4.1344	4.1554	29.500	29.500	29.500	29.500	1012.04	21.437	---	---	---	21.157	21.240	21.036	21.068	263.906	294.468	257.774	250.119	6.793	7.996	6.453	5.768	
1/27/2019	22:07:17	17.45		4.0546	4.0597	4.1330	4.1550	29.500	29.500	29.500	29.500	1012.04	21.409	---	---	---	21.165	21.245	21.039	21.069	263.950	294.485	257.795	250.173	6.774	7.986	6.461	5.805	
