
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/28/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/28/2019	07:58:52	0.00		4.1858	4.1853	4.1575	4.3235	27.000	27.000	27.000	27.000	---	---	---	25.505	---	21.203	21.166	21.338	21.074	207.651	287.991	266.862	259.450	5.297	3.837	4.125	2.858	
1/28/2019	07:58:55	2.78		4.1843	4.1831	4.1569	4.3250	27.000	27.000	27.000	27.000	---	---	---	25.505	---	21.207	21.172	21.340	21.070	207.657	288.038	266.912	259.474	5.358	3.880	4.151	3.359	
1/28/2019	07:58:57	4.11		4.1827	4.1813	4.1562	4.3224	27.000	27.000	27.000	27.000	---	---	---	25.501	---	21.211	21.176	21.341	21.077	209.053	288.105	267.612	259.772	5.468	3.965	3.780	3.189	
1/28/2019	07:58:58	5.44		4.1818	4.1802	4.1548	4.3202	27.000	27.000	27.000	27.000	---	---	---	25.501	---	21.213	21.179	21.345	21.082	211.417	288.020	268.221	260.059	4.968	4.163	4.089	3.331	
1/28/2019	07:58:59	6.92		4.1807	4.1802	4.1558	4.3183	27.000	27.000	27.000	27.000	---	---	---	25.505	---	21.216	21.179	21.343	21.087	214.357	287.950	268.788	260.069	5.994	3.397	4.542	3.477	
1/28/2019	07:59:01	8.23		4.1820	4.1788	4.1547	4.3188	27.000	27.000	27.000	27.000	---	---	---	25.508	---	21.213	21.182	21.346	21.086	215.945	287.848	268.734	259.826	5.027	3.565	4.162	4.128	
1/28/2019	07:59:02	9.56		4.1820	4.1786	4.1533	4.3183	27.000	27.000	27.000	27.000	---	---	---	25.512	---	21.213	21.183	21.349	21.087	216.539	287.824	268.708	259.560	5.302	3.495	4.028	4.494	
1/28/2019	07:59:03	10.87		4.1827	4.1782	4.1517	4.3175	27.000	27.000	27.000	27.000	---	---	---	25.512	---	21.211	21.184	21.353	21.089	216.623	287.774	268.767	259.491	4.759	3.640	3.788	4.027	
1/28/2019	07:59:05	12.12		4.1797	4.1784	4.1512	4.3178	27.000	27.000	27.000	27.000	---	---	---	25.512	---	21.218	21.183	21.355	21.089	216.620	287.763	268.800	259.439	4.725	3.978	4.154	3.718	
1/28/2019	07:59:06	13.52		4.1790	4.1796	4.1512	4.3175	27.000	27.000	27.000	27.000	---	---	---	25.508	---	21.220	21.180	21.355	21.089	216.652	287.788	268.868	259.472	4.830	3.795	4.010	3.598	
1/28/2019	07:59:07	14.75		4.1783	4.1790	4.1489	4.3166	27.000	27.000	27.000	27.000	---	---	---	25.508	---	21.221	21.182	21.360	21.092	216.613	287.785	268.891	259.526	4.447	3.728	4.261	3.664	
1/28/2019	07:59:09	16.09		4.1776	4.1782	4.1483	4.3141	27.000	27.000	27.000	27.000	---	---	---	25.508	---	21.223	21.184	21.362	21.098	216.670	287.785	268.914	259.557	5.000	3.013	4.369	3.331	
1/28/2019	07:59:10	17.83		4.1797	4.1756	4.1484	4.3147	27.000	27.000	27.000	27.000	---	---	---	25.512	---	21.218	21.191	21.362	21.097	216.637	287.820	268.947	259.557	4.609	3.438	4.377	3.272	
1/28/2019	07:59:12	19.23		4.1782	4.1750	4.1483	4.3150	27.000	27.000	27.000	27.000	---	---	---	25.512	---	21.222	21.192	21.362	21.096	216.734	287.889	268.956	259.571	5.198	3.468	3.591	3.140	
