
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/28/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/28/2019	05:53:21	2.84		4.0910	4.2497	4.2095	4.2559	27.000	27.000	27.000	27.000	1015.31	22.213	---	---	---	21.631	21.379	21.431	21.419	272.405	301.405	264.992	272.524	6.896	8.154	6.562	6.078	
1/28/2019	05:53:23	5.16		4.0897	4.2488	4.2080	4.2536	27.000	27.000	27.000	27.000	1015.30	22.213	---	---	---	21.634	21.381	21.435	21.425	272.456	301.457	264.987	272.571	6.916	8.100	6.555	6.093	
1/28/2019	05:53:25	6.56		4.0882	4.2499	4.2088	4.2504	27.000	27.000	27.000	27.000	1015.29	22.226	---	---	---	21.637	21.378	21.433	21.433	272.496	301.501	265.009	272.653	6.910	8.122	6.569	6.145	
1/28/2019	05:53:26	8.19		4.0862	4.2493	4.2088	4.2483	27.000	27.000	27.000	27.000	1015.30	22.238	---	---	---	21.642	21.379	21.433	21.438	272.533	301.513	265.018	272.718	6.923	8.149	6.571	6.187	
1/28/2019	05:53:28	9.97		4.0873	4.2482	4.2098	4.2467	27.000	27.000	27.000	27.000	1015.29	22.279	---	---	---	21.639	21.383	21.431	21.441	272.548	301.499	265.020	272.717	6.939	8.120	6.581	6.162	
1/28/2019	05:53:30	12.05		4.0875	4.2492	4.2104	4.2471	27.000	27.000	27.000	27.000	1015.29	22.307	---	---	---	21.639	21.380	21.429	21.440	272.524	301.481	265.006	272.723	6.922	8.074	6.582	6.152	
1/28/2019	05:53:32	13.80		4.0887	4.2509	4.2076	4.2480	27.000	27.000	27.000	27.000	1015.31	22.335	---	---	---	21.636	21.375	21.436	21.438	272.515	301.480	265.005	272.699	6.910	8.042	6.568	6.188	
1/28/2019	05:53:34	15.77		4.0870	4.2510	4.2086	4.2509	27.000	27.000	27.000	27.000	1015.30	22.335	---	---	---	21.640	21.375	21.433	21.431	272.514	301.496	264.989	272.701	6.894	8.037	6.582	6.194	
1/28/2019	05:53:36	17.39		4.0848	4.2484	4.2076	4.2505	27.000	27.000	27.000	27.000	1015.28	22.335	---	---	---	21.645	21.382	21.436	21.432	272.554	301.518	264.987	272.682	6.936	8.046	6.587	6.213	
1/28/2019	05:53:38	19.44		4.0824	4.2466	4.2089	4.2498	27.000	27.000	27.000	27.000	1015.25	22.335	---	---	---	21.650	21.387	21.433	21.434	272.601	301.536	264.994	272.661	6.946	8.070	6.596	6.176	
1/28/2019	05:53:39	21.00		4.0802	4.2469	4.2076	4.2467	27.000	27.000	27.000	27.000	1015.27	22.335	---	---	---	21.655	21.386	21.436	21.441	272.655	301.571	265.018	272.644	6.946	8.084	6.576	6.142	
1/28/2019	05:53:41	22.77		4.0792	4.2479	4.2076	4.2477	27.000	27.000	27.000	27.000	1015.30	22.348	---	---	---	21.658	21.383	21.436	21.439	272.724	301.612	265.042	272.647	6.894	8.075	6.564	6.073	
1/28/2019	05:53:43	24.55		4.0768	4.2479	4.2072	4.2494	27.000	27.000	27.000	27.000	1015.30	22.348	---	---	---	21.663	21.383	21.437	21.435	272.754	301.646	265.022	272.655	6.861	8.043	6.563	6.090	
