
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/29/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/29/2019	20:21:24	2.61		3.2227	3.6569	3.4974	2.8458	27.000	27.000	27.000	27.000	1014.81	28.027	---	---	---	23.859	23.032	23.246	25.568	298.068	324.704	306.902	315.178	6.884	8.069	6.489	5.843	
1/29/2019	20:21:25	3.98		3.2217	3.6576	3.4974	2.8434	27.000	27.000	27.000	27.000	1014.84	28.027	---	---	---	23.862	23.030	23.246	25.577	298.105	324.718	306.967	315.279	6.851	8.036	6.472	5.832	
1/29/2019	20:21:27	5.34		3.2215	3.6566	3.4964	2.8425	27.000	27.000	27.000	27.000	1014.85	28.027	---	---	---	23.862	23.033	23.249	25.580	298.115	324.729	306.980	315.355	6.877	8.011	6.450	5.826	
1/29/2019	20:21:28	6.72		3.2198	3.6566	3.4955	2.8416	27.000	27.000	27.000	27.000	1014.84	28.027	---	---	---	23.867	23.033	23.252	25.583	298.124	324.746	307.006	315.422	6.822	7.993	6.455	5.847	
1/29/2019	20:21:29	8.16		3.2195	3.6550	3.4935	2.8413	27.000	27.000	27.000	27.000	1014.84	28.027	---	---	---	23.868	23.038	23.257	25.584	298.154	324.792	307.032	315.425	6.832	8.014	6.453	5.831	
1/29/2019	20:21:31	9.39		3.2191	3.6544	3.4931	2.8416	27.000	27.000	27.000	27.000	1014.88	28.027	---	---	---	23.869	23.040	23.258	25.583	298.183	324.825	307.047	315.434	6.849	8.033	6.470	5.797	
1/29/2019	20:21:32	10.77		3.2196	3.6536	3.4933	2.8405	27.000	27.000	27.000	27.000	1014.87	28.027	---	---	---	23.868	23.042	23.258	25.587	298.215	324.849	307.062	315.522	6.872	8.037	6.478	5.783	
1/29/2019	20:21:33	12.11		3.2183	3.6538	3.4923	2.8389	27.000	27.000	27.000	27.000	1014.86	28.027	---	---	---	23.871	23.042	23.261	25.593	298.252	324.880	307.107	315.639	6.886	8.033	6.517	5.771	
1/29/2019	20:21:35	13.39		3.2165	3.6527	3.4919	2.8378	27.000	27.000	27.000	27.000	1014.82	28.027	---	---	---	23.877	23.045	23.262	25.597	298.313	324.918	307.131	315.701	6.866	8.007	6.511	5.797	
1/29/2019	20:21:36	14.83		3.2152	3.6521	3.4914	2.8375	27.000	27.000	27.000	27.000	1014.84	28.027	---	---	---	23.880	23.047	23.263	25.598	298.374	324.954	307.130	315.722	6.875	8.019	6.513	5.783	
1/29/2019	20:21:37	16.17		3.2158	3.6510	3.4918	2.8358	27.000	27.000	27.000	27.000	1014.84	28.027	---	---	---	23.879	23.050	23.262	25.604	298.390	324.974	307.116	315.810	6.846	8.009	6.497	5.782	
1/29/2019	20:21:39	17.50		3.2167	3.6514	3.4922	2.8343	27.000	27.000	27.000	27.000	1014.83	28.027	---	---	---	23.876	23.049	23.261	25.610	298.406	324.982	307.124	315.922	6.850	8.030	6.489	5.780	
1/29/2019	20:21:40	18.78		3.2142	3.6509	3.4906	2.8324	27.000	27.000	27.000	27.000	1014.81	28.027	---	---	---	23.883	23.050	23.265	25.617	298.433	324.986	307.177	315.978	6.852	8.011	6.472	5.786	
