
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	29.500	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/29/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/29/2019	21:17:18	0.00		3.6466	4.0454	4.0529	3.9628	29.500	29.500	29.500	29.500	1014.62	28.072	---	---	---	22.154	21.283	21.229	21.550	274.731	291.335	252.568	244.890	6.883	8.016	6.460	5.737	
1/29/2019	21:17:20	2.06		3.6440	4.0464	4.0558	3.9631	29.500	29.500	29.500	29.500	1014.63	28.072	---	---	---	22.160	21.281	21.222	21.549	274.789	291.373	252.528	244.918	6.897	8.035	6.471	5.739	
1/29/2019	21:17:21	3.45		3.6435	4.0482	4.0554	3.9618	29.500	29.500	29.500	29.500	1014.62	28.072	---	---	---	22.162	21.276	21.223	21.553	274.793	291.375	252.508	244.919	6.877	8.015	6.473	5.760	
1/29/2019	21:17:23	4.95		3.6452	4.0481	4.0547	3.9606	29.500	29.500	29.500	29.500	1014.62	28.072	---	---	---	22.157	21.276	21.225	21.556	274.775	291.380	252.537	244.909	6.834	8.050	6.481	5.786	
1/29/2019	21:17:24	6.36		3.6442	4.0482	4.0506	3.9596	29.500	29.500	29.500	29.500	1014.63	28.072	---	---	---	22.160	21.276	21.235	21.558	274.797	291.389	252.562	244.895	6.829	8.071	6.482	5.818	
1/29/2019	21:17:25	7.66		3.6442	4.0462	4.0508	3.9582	29.500	29.500	29.500	29.500	1014.62	28.072	---	---	---	22.160	21.281	21.234	21.562	274.829	291.410	252.621	244.925	6.829	8.080	6.500	5.774	
1/29/2019	21:17:27	9.05		3.6426	4.0454	4.0483	3.9592	29.500	29.500	29.500	29.500	1014.60	28.072	---	---	---	22.164	21.283	21.240	21.559	274.871	291.439	252.663	244.958	6.836	8.063	6.509	5.782	
1/29/2019	21:17:28	10.42		3.6407	4.0448	4.0497	3.9591	29.500	29.500	29.500	29.500	1014.62	28.072	---	---	---	22.169	21.285	21.237	21.560	274.862	291.461	252.717	245.010	6.852	8.035	6.515	5.764	
1/29/2019	21:17:30	11.84		3.6418	4.0444	4.0485	3.9599	29.500	29.500	29.500	29.500	1014.65	28.072	---	---	---	22.166	21.286	21.240	21.558	274.844	291.498	252.731	245.040	6.848	8.017	6.510	5.787	
1/29/2019	21:17:31	13.08		3.6423	4.0444	4.0497	3.9567	29.500	29.500	29.500	29.500	1014.65	28.072	---	---	---	22.165	21.286	21.237	21.566	274.822	291.500	252.750	245.063	6.831	8.014	6.507	5.766	
1/29/2019	21:17:32	14.23		3.6424	4.0437	4.0470	3.9577	29.500	29.500	29.500	29.500	1014.66	28.072	---	---	---	22.164	21.288	21.243	21.563	274.849	291.496	252.748	245.093	6.804	8.023	6.499	5.782	
1/29/2019	21:17:33	15.42		3.6418	4.0427	4.0465	3.9587	29.500	29.500	29.500	29.500	1014.63	28.072	---	---	---	22.166	21.291	21.245	21.560	274.838	291.487	252.737	245.132	6.825	8.044	6.485	5.801	
1/29/2019	21:17:34	16.58		3.6427	4.0415	4.0458	3.9592	29.500	29.500	29.500	29.500	1014.65	28.072	---	---	---	22.164	21.294	21.246	21.559	274.822	291.488	252.712	245.189	6.853	8.038	6.482	5.804	
