
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	2/1/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2/1/2019	19:23:48	0.00		4.5092	4.4648	4.4691	4.5315	27.000	27.000	27.000	27.000	1019.74	22.353	---	---	---	20.726	20.844	20.851	20.787	255.707	293.526	274.557	247.024	6.926	8.068	6.639	6.548	
2/1/2019	19:23:50	1.77		4.5745	4.4881	4.5029	4.6091	27.000	27.000	27.000	27.000	1019.72	21.966	---	---	---	20.593	20.788	20.778	20.616	254.388	291.948	270.674	245.064	6.896	8.058	6.588	6.583	
2/1/2019	19:23:51	3.30		4.6396	4.5128	4.5358	4.6859	27.000	27.000	27.000	27.000	1019.67	21.580	---	---	---	20.459	20.729	20.707	20.446	253.014	290.380	266.792	243.175	6.930	8.075	6.562	6.729	
2/1/2019	19:23:52	4.64		4.6399	4.5132	4.5353	4.6828	27.000	27.000	27.000	27.000	1019.63	21.580	---	---	---	20.459	20.728	20.708	20.453	253.043	290.363	266.817	243.197	6.905	8.042	6.542	6.725	
2/1/2019	19:23:54	5.91		4.6382	4.5154	4.5350	4.6839	27.000	27.000	27.000	27.000	1019.61	21.567	---	---	---	20.462	20.722	20.709	20.451	253.069	290.301	266.716	243.308	6.928	8.068	6.536	6.522	
2/1/2019	19:23:55	7.14		4.6377	4.5158	4.5365	4.6826	27.000	27.000	27.000	27.000	1019.62	21.555	---	---	---	20.463	20.721	20.706	20.453	253.088	290.187	266.610	243.232	6.862	8.063	6.542	6.380	
2/1/2019	19:23:56	8.50		4.6357	4.5154	4.5359	4.6846	27.000	27.000	27.000	27.000	1019.63	21.555	---	---	---	20.467	20.722	20.707	20.449	253.108	290.183	266.535	243.073	6.892	8.096	6.552	6.370	
2/1/2019	19:23:58	9.81		4.6349	4.5137	4.5351	4.6855	27.000	27.000	27.000	27.000	1019.63	21.567	---	---	---	20.469	20.726	20.709	20.447	253.120	290.235	266.582	242.618	6.908	8.074	6.563	6.362	
2/1/2019	19:23:59	11.03		4.6331	4.5134	4.5351	4.6865	27.000	27.000	27.000	27.000	1019.64	21.580	---	---	---	20.472	20.727	20.709	20.445	253.158	290.223	266.516	242.414	6.920	8.073	6.554	6.516	
2/1/2019	19:24:00	12.36		4.6332	4.5139	4.5362	4.6845	27.000	27.000	27.000	27.000	1019.64	21.567	---	---	---	20.472	20.726	20.706	20.450	253.183	290.223	266.469	242.477	6.899	8.023	6.541	6.523	
2/1/2019	19:24:01	13.67		4.6311	4.5146	4.5374	4.6815	27.000	27.000	27.000	27.000	1019.63	21.555	---	---	---	20.476	20.724	20.704	20.456	253.236	290.191	266.421	242.824	6.907	8.029	6.539	6.522	
2/1/2019	19:24:03	14.83		4.6279	4.5153	4.5360	4.6778	27.000	27.000	27.000	27.000	1019.61	21.542	---	---	---	20.483	20.723	20.707	20.464	253.283	290.271	266.482	243.056	6.929	8.043	6.536	6.488	
2/1/2019	19:24:04	16.00		4.6262	4.5156	4.5351	4.6785	27.000	27.000	27.000	27.000	1019.62	21.542	---	---	---	20.486	20.722	20.709	20.462	253.333	290.229	266.474	243.065	6.955	8.064	6.562	6.426	
