
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	22.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	22.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	22.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	22.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/27/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/27/2019	13:09:25	0.00		4.0960	4.5577	4.5452	4.6134	22.000	22.000	22.000	22.000	---	---	---	25.755	---	22.725	21.582	21.711	21.734	223.968	284.891	262.174	254.959	4.494	3.140	4.127	3.617	
1/27/2019	13:09:28	3.00		4.0989	4.5584	4.5484	4.6123	22.000	22.000	22.000	22.000	---	---	---	25.751	---	22.718	21.581	21.704	21.737	223.900	284.894	262.177	254.946	4.280	3.173	4.157	3.409	
1/27/2019	13:09:29	4.00		4.0962	4.5600	4.5504	4.6132	22.000	22.000	22.000	22.000	---	---	---	25.751	---	22.724	21.577	21.699	21.735	223.831	284.884	262.176	254.957	5.355	3.290	4.292	3.446	
1/27/2019	13:09:30	5.02		4.0990	4.5583	4.5513	4.6117	22.000	22.000	22.000	22.000	---	---	---	25.751	---	22.717	21.581	21.697	21.738	223.820	284.909	262.196	254.966	6.350	3.212	4.436	3.302	
1/27/2019	13:09:31	6.05		4.1010	4.5579	4.5495	4.6128	22.000	22.000	22.000	22.000	---	---	---	25.755	---	22.712	21.582	21.701	21.736	223.829	284.901	262.190	254.985	6.070	3.261	4.277	3.744	
1/27/2019	13:09:32	7.17		4.1074	4.5553	4.5493	4.6120	22.000	22.000	22.000	22.000	---	---	---	25.755	---	22.696	21.588	21.702	21.738	223.826	284.918	262.208	254.985	5.191	3.743	4.265	3.981	
1/27/2019	13:09:34	9.22		4.1042	4.5559	4.5487	4.6127	22.000	22.000	22.000	22.000	---	---	---	25.755	---	22.704	21.587	21.703	21.736	223.894	284.928	262.189	255.000	4.542	3.823	3.873	4.500	
1/27/2019	13:09:35	10.33		4.0980	4.5559	4.5501	4.6123	22.000	22.000	22.000	22.000	---	---	---	25.755	---	22.720	21.587	21.700	21.737	223.993	284.938	262.198	254.999	4.426	3.818	3.993	4.690	
1/27/2019	13:09:37	11.73		4.0921	4.5566	4.5498	4.6127	22.000	22.000	22.000	22.000	---	---	---	25.751	---	22.735	21.585	21.700	21.736	224.186	284.916	262.170	254.997	4.197	3.527	3.536	4.723	
1/27/2019	13:09:44	18.62		4.0883	4.5555	4.5503	4.6132	22.000	22.000	22.000	22.000	---	---	---	25.751	---	22.745	21.588	21.699	21.735	224.280	284.924	262.186	255.005	4.242	3.540	3.492	4.452	
1/27/2019	13:09:45	19.72		4.0872	4.5552	4.5488	4.6136	22.000	22.000	22.000	22.000	---	---	---	25.748	---	22.748	21.588	21.703	21.734	224.304	284.927	262.192	255.000	4.105	3.767	3.459	4.312	
1/27/2019	13:09:46	20.81		4.0875	4.5562	4.5495	4.6128	22.000	22.000	22.000	22.000	---	---	---	25.748	---	22.747	21.586	21.701	21.736	224.200	284.953	262.203	255.016	4.569	3.441	3.473	4.132	
1/27/2019	13:09:47	22.33		4.0913	4.5565	4.5511	4.6123	22.000	22.000	22.000	22.000	---	---	---	25.748	---	22.737	21.585	21.697	21.737	224.118	284.946	262.201	255.010	4.214	3.420	3.444	4.533	
