
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-205	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-207	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-548-206	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-208	3	OFF	27.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	41.577	21.258	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	50.101	21.338	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	43.592	21.316	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	45.879	21.405	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/27/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/27/2019	23:13:24	0.00		4.0411	4.2526	4.1115	4.0623	27.000	27.000	27.000	27.000	1013.18	19.804	---	---	---	21.745	21.371	21.661	21.893	265.587	295.828	255.393	268.093	6.872	8.036	6.497	5.799	
1/27/2019	23:13:28	3.11		4.0372	4.2521	4.1097	4.0645	27.000	27.000	27.000	27.000	1013.18	19.792	---	---	---	21.754	21.372	21.666	21.888	265.689	295.883	255.438	268.023	6.885	8.090	6.485	5.786	
1/27/2019	23:13:29	4.77		4.0362	4.2512	4.1101	4.0657	27.000	27.000	27.000	27.000	1013.19	19.792	---	---	---	21.757	21.375	21.665	21.885	265.789	295.918	255.472	267.980	6.880	8.103	6.490	5.751	
1/27/2019	23:13:31	6.33		4.0352	4.2512	4.1107	4.0662	27.000	27.000	27.000	27.000	1013.19	19.804	---	---	---	21.759	21.375	21.663	21.884	265.848	295.933	255.489	267.943	6.851	8.090	6.466	5.731	
1/27/2019	23:13:32	7.69		4.0346	4.2523	4.1122	4.0654	27.000	27.000	27.000	27.000	1013.19	19.830	---	---	---	21.760	21.372	21.660	21.886	265.884	295.916	255.503	267.936	6.822	8.043	6.468	5.735	
1/27/2019	23:13:34	9.09		4.0320	4.2533	4.1111	4.0647	27.000	27.000	27.000	27.000	1013.15	19.843	---	---	---	21.766	21.369	21.662	21.887	265.943	295.911	255.500	267.939	6.827	8.059	6.461	5.739	
1/27/2019	23:13:36	11.55		4.0323	4.2540	4.1080	4.0638	27.000	27.000	27.000	27.000	1013.15	19.856	---	---	---	21.766	21.368	21.670	21.890	265.993	295.926	255.535	267.922	6.874	8.089	6.468	5.749	
1/27/2019	23:13:38	13.62		4.0308	4.2529	4.1051	4.0646	27.000	27.000	27.000	27.000	1013.11	19.856	---	---	---	21.769	21.370	21.677	21.888	266.052	295.969	255.580	267.902	6.902	8.090	6.499	5.753	
1/27/2019	23:13:40	15.75		4.0303	4.2517	4.1044	4.0670	27.000	27.000	27.000	27.000	1013.11	19.856	---	---	---	21.770	21.373	21.678	21.882	266.092	295.998	255.645	267.838	6.876	8.047	6.522	5.744	
1/27/2019	23:13:41	17.06		4.0290	4.2528	4.1062	4.0706	27.000	27.000	27.000	27.000	1013.13	19.856	---	---	---	21.773	21.371	21.674	21.873	266.139	296.010	255.701	267.774	6.833	8.036	6.522	5.748	
1/27/2019	23:13:44	19.14		4.0276	4.2524	4.1059	4.0734	27.000	27.000	27.000	27.000	1013.17	19.856	---	---	---	21.777	21.372	21.675	21.866	266.174	296.031	255.741	267.731	6.788	8.072	6.490	5.771	
1/27/2019	23:13:46	21.30		4.0270	4.2531	4.1040	4.0739	27.000	27.000	27.000	27.000	1013.20	19.869	---	---	---	21.778	21.370	21.679	21.864	266.221	296.071	255.797	267.719	6.814	8.070	6.478	5.787	
1/27/2019	23:13:48	23.30		4.0240	4.2502	4.1006	4.0742	27.000	27.000	27.000	27.000	1013.17	19.881	---	---	---	21.785	21.377	21.687	21.864	266.284	296.144	255.841	267.705	6.805	8.031	6.469	5.779	
