
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-204	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 2	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-545-206	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 3	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-544-206	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Ch 4	Robust Oxygen Probe (normal range)	ml/l	ON	XB7-546-205	3	OFF	32.000	OFF	1013	41.000	15%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	46.635	21.016	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	48.732	20.966	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	47.900	21.073	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.000	22.000	1016	100.000	20.950	52.357	21.219	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	3	
Date:	1/27/2019	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
1/27/2019	20:55:35	0.00		4.0256	4.0428	4.0100	4.0766	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.438	20.335	20.528	20.474	195.567	261.823	244.452	237.643	4.085	3.228	4.753	2.996	
1/27/2019	20:55:38	3.22		4.0240	4.0434	4.0089	4.0765	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.442	20.333	20.531	20.474	195.585	261.820	244.433	237.700	4.864	3.171	4.702	3.682	
1/27/2019	20:55:39	4.69		4.0252	4.0442	4.0067	4.0775	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.439	20.331	20.536	20.472	195.603	261.809	244.449	237.732	5.282	3.249	4.594	4.060	
1/27/2019	20:55:41	6.12		4.0225	4.0428	4.0062	4.0793	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.445	20.335	20.538	20.467	195.602	261.820	244.433	237.688	5.945	3.299	4.117	4.323	
1/27/2019	20:55:42	7.47		4.0238	4.0442	4.0059	4.0806	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.442	20.331	20.538	20.463	195.583	261.807	244.439	237.685	5.126	3.449	4.323	3.577	
1/27/2019	20:55:44	8.97		4.0234	4.0429	4.0056	4.0825	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.443	20.334	20.539	20.458	195.553	261.807	244.463	237.710	5.119	3.399	4.207	3.462	
1/27/2019	20:55:45	10.50		4.0245	4.0452	4.0075	4.0815	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.440	20.328	20.534	20.461	195.553	261.778	244.500	237.709	4.270	3.391	4.406	3.125	
1/27/2019	20:55:47	12.03		4.0213	4.0446	4.0080	4.0821	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.448	20.330	20.533	20.459	195.563	261.753	244.466	237.692	4.274	3.161	4.335	3.333	
1/27/2019	20:55:48	13.30		4.0213	4.0438	4.0099	4.0796	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.448	20.332	20.528	20.466	195.592	261.751	244.420	237.723	3.903	3.494	4.240	3.574	
1/27/2019	20:55:49	14.72		4.0196	4.0421	4.0103	4.0789	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.453	20.336	20.527	20.468	195.585	261.753	244.393	237.790	3.841	3.491	4.154	3.597	
1/27/2019	20:55:51	16.05		4.0216	4.0413	4.0105	4.0767	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.448	20.338	20.527	20.474	195.588	261.748	244.408	237.836	4.131	3.874	4.126	3.449	
1/27/2019	20:55:54	19.12		4.0197	4.0442	4.0100	4.0773	32.000	32.000	32.000	32.000	---	---	---	26.691	---	20.452	20.331	20.528	20.472	195.592	261.740	244.436	237.846	4.173	3.825	4.347	3.137	
1/27/2019	20:55:56	21.03		4.0219	4.0454	4.0080	4.0772	32.000	32.000	32.000	32.000	---	---	---	26.695	---	20.447	20.328	20.533	20.473	195.634	261.775	244.430	237.810	4.941	4.121	4.290	3.559	
