filename	resiprostart	photostart	Ch1	Ch2	Ch3	Ch4
2019-01-25-26_oxy1-4.txt	0	15	13A	13B	9A	9B
2019-01-25-26_oxy5-8.txt	0	15	14A	14B	15A	15B
2019-01-27-Fields_oxy1-4.txt	0	15	08_field	09_field	13_field	14_field
2019-01-27-Fields_oxy5-8.txt	0	15	15_field	drift	drift	drift
2019-01-27-T0_oxy1-4.txt	0	20	08_T0	09_T0	13_T0	14_T0
2019-01-27-T0_oxy5-8.txt	0	20	15_T0	drift	drift	drift
2019-01-27_27-T1_oxy1-4.txt	0	10	09|T1_27A	13|T1_27A	14|T1_27A	15|T1_27A
2019-01-27_27-T1_oxy5-8.txt	0	10	09|T1_27B	13|T1_27B	14|T1_27B	15|T1_27B
2019-01-27_29.5-T1_oxy1-4.txt	0	15	09|T1_29.5A	13|T1_29.5A	14|T1_29.5A	15|T1_29.5A
2019-01-27_29.5-T1_oxy5-8.txt	0	15	09|T1_29.5B	13|T1_29.5B	14|T1_29.5B	15|T1_29.5B
2019-01-27_32-T1_oxy1-4.txt	0	17	09|T1_32A	13|T1_32A	14|T1_32A	15|T1_32A
2019-01-27_32-T1_oxy5-8.txt	0	17	09|T1_32B	13|T1_32B	14|T1_32B	15|T1_32B
2019-01-27_32-T1_oxy5-8also.txt	0	17	09|T1_32B2	13|T1_32B2	14|T1_32B2	15|T1_32B2
2019-01-27_34.5-T1_oxy1-4.txt	0	8	09|T1_34.5A	13|T1_34.5A	14|T1_34.5A	15|T1_34.5A
2019-01-27_34.5-T1_oxy5-8.txt	0	8	09|T1_34.5B	13|T1_34.5B	14|T1_34.5B	15|T1_34.5B
2019-01-28_27_T2_oxy1-4.txt	5	15	09|T2_27A	13|T2_27A	14|T2_27A	15|T2_27A
2019-01-28_27_T2_oxy5-8.txt	5	15	09|T2_27B	13|T2_27B	14|T2_27B	15|T2_27B
2019-01-28_29.5_T2_oxy1-4.txt	0	11	09|T2_29.5A	13|T2_29.5A	14|T2_29.5A	15|T2_29.5A
2019-01-28_29.5_T2_oxy5-8.txt	0	11	09|T2_29.5B	13|T2_29.5B	14|T2_29.5B	15|T2_29.5B
2019-01-28_32_T2_oxy1-4.txt	0	8	09|T2_32A	13|T2_32A	14|T2_32A	15|T2_32A
2019-01-28_32_T2_oxy5-8.txt	0	8	09|T2_32B	13|T2_32B	14|T2_32B	15|T2_32B
2019-01-28_34.5_T2_oxy1-4.txt	0	7	09|T2_34.5A	13|T2_34.5A	14|T2_34.5A	15|T2_34.5A
2019-01-28_34.5_T2_oxy5-8.txt	0	7	09|T2_34.5B	13|T2_34.5B	14|T2_34.5B	15|T2_34.5B
2019-01-29-27-T1_oxy1-4.txt						
2019-01-29-27-T1_oxy5-8.txt						
2019-01-29-29.5-T1_oxy1-4.txt						
2019-01-29-29.5-T1_oxy5-8.txt						
2019-01-29-32-T1_oxy1-4L.txt						
2019-01-29-32-T1_oxy5-8.txt						
2019-01-29-32-T1_oxy5-8R.txt						
2019-02-01_27-T3_oxy1-4.txt						
2019-02-01_27-T3_oxy5-8.txt						
2019-02-01_29.5-T3_oxy1-4.txt						
2019-02-01_29.5-T3_oxy5-8.txt						
2019-02-01_32-T3_oxy1-4.txt						
2019-02-01_32-T3_oxy5-8.txt						
2019-02-01_34.5-T3_oxy1-4.txt						
2019-02-01_34.5-T3_oxy5-8.txt						
