Date	Time_HH:MM:SS	Time_sec	Ch1_O2_13A	Ch2_O2_13B	Ch3_O2_9A	Ch4_O2_9B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/26/2019	01:05:56	900.00	3.8424	4.1686	1.9908	3.9080	34.500	34.500	34.500	34.500
1/26/2019	01:06:11	915.00	3.8434	4.1640	1.9765	3.9095	34.500	34.500	34.500	34.500
1/26/2019	01:06:26	930.00	3.8453	4.1661	1.9661	3.9063	34.500	34.500	34.500	34.500
1/26/2019	01:06:41	945.00	3.8489	4.1649	1.9505	3.9061	34.500	34.500	34.500	34.500
1/26/2019	01:06:56	960.00	3.8465	4.1608	1.9356	3.9038	34.500	34.500	34.500	34.500
1/26/2019	01:07:11	975.00	3.8470	4.1608	1.9225	3.9047	34.500	34.500	34.500	34.500
1/26/2019	01:07:26	990.00	3.8529	4.1650	1.9091	3.9076	34.500	34.500	34.500	34.500
1/26/2019	01:07:41	1005.00	3.8564	4.1650	1.8973	3.9001	34.500	34.500	34.500	34.500
1/26/2019	01:07:56	1020.00	3.8571	4.1665	1.8828	3.8983	34.500	34.500	34.500	34.500
1/26/2019	01:08:11	1035.00	3.8621	4.1626	1.8696	3.8986	34.500	34.500	34.500	34.500
1/26/2019	01:08:26	1050.00	3.8601	4.1621	1.8576	3.8911	34.500	34.500	34.500	34.500
1/26/2019	01:08:41	1065.00	3.8548	4.1646	1.8448	3.8935	34.500	34.500	34.500	34.500
1/26/2019	01:08:56	1080.00	3.8615	4.1622	1.8304	3.8936	34.500	34.500	34.500	34.500
1/26/2019	01:09:11	1095.00	3.8586	4.1596	1.8169	3.8870	34.500	34.500	34.500	34.500
1/26/2019	01:09:26	1110.00	3.8568	4.1602	1.8065	3.8829	34.500	34.500	34.500	34.500
1/26/2019	01:09:41	1125.00	3.8603	4.1576	1.7940	3.8860	34.500	34.500	34.500	34.500
1/26/2019	01:09:56	1140.00	3.8578	4.1557	1.7809	3.8825	34.500	34.500	34.500	34.500
1/26/2019	01:10:11	1155.00	3.8595	4.1571	1.7658	3.8798	34.500	34.500	34.500	34.500
1/26/2019	01:10:26	1170.00	3.8587	4.1529	1.7530	3.8791	34.500	34.500	34.500	34.500
1/26/2019	01:10:41	1185.00	3.8597	4.1556	1.7388	3.8736	34.500	34.500	34.500	34.500
1/26/2019	01:10:56	1200.00	3.8559	4.1534	1.7281	3.8683	34.500	34.500	34.500	34.500
1/26/2019	01:11:11	1215.00	3.8546	4.1510	1.7125	3.8662	34.500	34.500	34.500	34.500
1/26/2019	01:11:26	1230.00	3.8601	4.1514	1.7022	3.8597	34.500	34.500	34.500	34.500
1/26/2019	01:11:41	1245.00	3.8601	4.1456	1.6866	3.8582	34.500	34.500	34.500	34.500
1/26/2019	01:11:56	1260.00	3.8551	4.1476	1.6741	3.8527	34.500	34.500	34.500	34.500
1/26/2019	01:12:11	1275.00	3.8609	4.1489	1.6591	3.8570	34.500	34.500	34.500	34.500
1/26/2019	01:12:26	1290.00	3.8547	4.1493	1.6475	3.8509	34.500	34.500	34.500	34.500
1/26/2019	01:12:41	1305.00	3.8643	4.1458	1.6350	3.8403	34.500	34.500	34.500	34.500
1/26/2019	01:12:56	1320.00	3.8623	4.1428	1.6223	3.8393	34.500	34.500	34.500	34.500
1/26/2019	01:13:11	1335.00	3.8562	4.1441	1.6119	3.8378	34.500	34.500	34.500	34.500
1/26/2019	01:13:26	1350.00	3.8579	4.1447	1.5986	3.8316	34.500	34.500	34.500	34.500
1/26/2019	01:13:41	1365.00	3.8558	4.1404	1.5859	3.8303	34.500	34.500	34.500	34.500
1/26/2019	01:13:56	1380.00	3.8576	4.1395	1.5741	3.8230	34.500	34.500	34.500	34.500
1/26/2019	01:14:11	1395.00	3.8539	4.1413	1.5595	3.8211	34.500	34.500	34.500	34.500
1/26/2019	01:14:26	1410.00	3.8529	4.1378	1.5460	3.8146	34.500	34.500	34.500	34.500
1/26/2019	01:14:41	1425.00	3.8487	4.1342	1.5339	3.8187	34.500	34.500	34.500	34.500
1/26/2019	01:14:56	1440.00	3.8548	4.1316	1.5232	3.8128	34.500	34.500	34.500	34.500
1/26/2019	01:15:11	1455.00	3.8533	4.1276	1.5117	3.8045	34.500	34.500	34.500	34.500
1/26/2019	01:15:26	1470.00	3.8509	4.1310	1.5009	3.8079	34.500	34.500	34.500	34.500
1/26/2019	01:15:41	1485.00	3.8508	4.1261	1.4888	3.7990	34.500	34.500	34.500	34.500
1/26/2019	01:15:56	1500.00	3.8501	4.1306	1.4771	3.7966	34.500	34.500	34.500	34.500
1/26/2019	01:16:11	1515.00	3.8472	4.1283	1.4667	3.7991	34.500	34.500	34.500	34.500
1/26/2019	01:16:26	1530.00	3.8501	4.1222	1.4556	3.7908	34.500	34.500	34.500	34.500
1/26/2019	01:16:41	1545.00	3.8470	4.1176	1.4418	3.7836	34.500	34.500	34.500	34.500
1/26/2019	01:16:56	1560.00	3.8469	4.1118	1.4295	3.7849	34.500	34.500	34.500	34.500
1/26/2019	01:17:11	1575.00	3.8434	4.1100	1.4182	3.7793	34.500	34.500	34.500	34.500
1/26/2019	01:17:26	1590.00	3.8437	4.1087	1.4077	3.7766	34.500	34.500	34.500	34.500
1/26/2019	01:17:41	1605.00	3.8379	4.1046	1.3975	3.7631	34.500	34.500	34.500	34.500
1/26/2019	01:17:56	1620.00	3.8383	4.1108	1.3843	3.7641	34.500	34.500	34.500	34.500
1/26/2019	01:18:11	1635.00	3.8396	4.1130	1.3708	3.7650	34.500	34.500	34.500	34.500
1/26/2019	01:18:26	1650.00	3.8368	4.1153	1.3609	3.7548	34.500	34.500	34.500	34.500
1/26/2019	01:18:41	1665.00	3.8321	4.1120	1.3498	3.7494	34.500	34.500	34.500	34.500
1/26/2019	01:18:56	1680.00	3.8277	4.1119	1.3400	3.7492	34.500	34.500	34.500	34.500
1/26/2019	01:19:11	1695.00	3.8386	4.1069	1.3321	3.7478	34.500	34.500	34.500	34.500
1/26/2019	01:19:26	1710.00	3.8335	4.1037	1.3195	3.7446	34.500	34.500	34.500	34.500
1/26/2019	01:19:41	1725.00	3.8302	4.0992	1.3069	3.7382	34.500	34.500	34.500	34.500
1/26/2019	01:19:56	1740.00	3.8324	4.0961	1.2933	3.7312	34.500	34.500	34.500	34.500
1/26/2019	01:20:11	1755.00	3.8343	4.0939	1.2825	3.7246	34.500	34.500	34.500	34.500
1/26/2019	01:20:26	1770.00	3.8321	4.0923	1.2717	3.7198	34.500	34.500	34.500	34.500
1/26/2019	01:20:41	1785.00	3.8298	4.0916	1.2595	3.7224	34.500	34.500	34.500	34.500
1/26/2019	01:20:56	1800.00	3.8285	4.0916	1.2503	3.7161	34.500	34.500	34.500	34.500
1/26/2019	01:21:11	1815.00	3.8190	4.0914	1.2420	3.7054	34.500	34.500	34.500	34.500
1/26/2019	01:21:26	1830.00	3.8257	4.0860	1.2335	3.7081	34.500	34.500	34.500	34.500
1/26/2019	01:21:41	1845.00	3.8212	4.0874	1.2204	3.7015	34.500	34.500	34.500	34.500
1/26/2019	01:21:56	1860.00	3.8136	4.0832	1.2080	3.6986	34.500	34.500	34.500	34.500
1/26/2019	01:22:11	1875.00	3.8137	4.0829	1.1972	3.6940	34.500	34.500	34.500	34.500
