Date	Time_HH:MM:SS	Time_sec	Ch1_O2_08_field	Ch2_O2_09_field	Ch3_O2_13_field	Ch4_O2_14_field	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	13:25:53	900.08	4.3689	4.0346	4.2474	4.3336	22.000	22.000	22.000	22.000
1/27/2019	13:25:55	901.64	4.3695	4.0349	4.2480	4.3378	22.000	22.000	22.000	22.000
1/27/2019	13:25:56	903.05	4.3693	4.0338	4.2468	4.3376	22.000	22.000	22.000	22.000
1/27/2019	13:25:58	904.95	4.3692	4.0333	4.2466	4.3348	22.000	22.000	22.000	22.000
1/27/2019	13:26:00	906.77	4.3685	4.0317	4.2457	4.3316	22.000	22.000	22.000	22.000
1/27/2019	13:26:01	908.03	4.3659	4.0299	4.2464	4.3278	22.000	22.000	22.000	22.000
1/27/2019	13:26:02	909.31	4.3650	4.0304	4.2464	4.3257	22.000	22.000	22.000	22.000
1/27/2019	13:26:04	910.84	4.3667	4.0314	4.2470	4.3251	22.000	22.000	22.000	22.000
1/27/2019	13:26:05	912.12	4.3678	4.0313	4.2458	4.3281	22.000	22.000	22.000	22.000
1/27/2019	13:26:07	913.56	4.3678	4.0287	4.2479	4.3270	22.000	22.000	22.000	22.000
1/27/2019	13:26:08	914.86	4.3648	4.0276	4.2467	4.3281	22.000	22.000	22.000	22.000
1/27/2019	13:26:09	916.44	4.3644	4.0282	4.2457	4.3257	22.000	22.000	22.000	22.000
1/27/2019	13:26:11	917.86	4.3623	4.0292	4.2428	4.3289	22.000	22.000	22.000	22.000
1/27/2019	13:26:12	919.25	4.3609	4.0291	4.2440	4.3284	22.000	22.000	22.000	22.000
1/27/2019	13:26:14	920.66	4.3636	4.0282	4.2448	4.3271	22.000	22.000	22.000	22.000
1/27/2019	13:26:15	922.00	4.3675	4.0275	4.2438	4.3235	22.000	22.000	22.000	22.000
1/27/2019	13:26:16	923.31	4.3703	4.0268	4.2430	4.3195	22.000	22.000	22.000	22.000
1/27/2019	13:26:18	924.70	4.3682	4.0259	4.2432	4.3201	22.000	22.000	22.000	22.000
1/27/2019	13:26:19	926.09	4.3664	4.0251	4.2435	4.3225	22.000	22.000	22.000	22.000
1/27/2019	13:26:21	927.61	4.3667	4.0257	4.2421	4.3259	22.000	22.000	22.000	22.000
1/27/2019	13:26:22	929.08	4.3678	4.0248	4.2399	4.3254	22.000	22.000	22.000	22.000
1/27/2019	13:26:23	930.47	4.3667	4.0238	4.2399	4.3256	22.000	22.000	22.000	22.000
1/27/2019	13:26:25	932.17	4.3657	4.0218	4.2405	4.3235	22.000	22.000	22.000	22.000
1/27/2019	13:26:27	933.80	4.3631	4.0219	4.2421	4.3256	22.000	22.000	22.000	22.000
1/27/2019	13:26:28	935.34	4.3634	4.0213	4.2437	4.3247	22.000	22.000	22.000	22.000
1/27/2019	13:26:30	937.23	4.3626	4.0207	4.2434	4.3256	22.000	22.000	22.000	22.000
1/27/2019	13:26:32	938.87	4.3640	4.0192	4.2447	4.3237	22.000	22.000	22.000	22.000
1/27/2019	13:26:34	941.34	4.3617	4.0189	4.2446	4.3228	22.000	22.000	22.000	22.000
1/27/2019	13:26:37	944.03	4.3616	4.0183	4.2437	4.3249	22.000	22.000	22.000	22.000
1/27/2019	13:26:39	946.02	4.3628	4.0169	4.2415	4.3249	22.000	22.000	22.000	22.000
1/27/2019	13:26:41	947.80	4.3640	4.0158	4.2391	4.3278	22.000	22.000	22.000	22.000
1/27/2019	13:26:43	950.02	4.3636	4.0138	4.2408	4.3280	22.000	22.000	22.000	22.000
1/27/2019	13:26:45	951.92	4.3595	4.0131	4.2395	4.3306	22.000	22.000	22.000	22.000
