Date	Time_HH:MM:SS	Time_sec	Ch1_O2_15_T0	Ch2_O2_drift	Ch3_O2_drift	Ch4_O2_drift	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	14:55:15	1200.69	3.9402	4.5091	4.4224	4.4957	27.000	27.000	27.000	27.000
1/27/2019	14:55:16	1201.95	3.9407	4.5068	4.4236	4.4987	27.000	27.000	27.000	27.000
1/27/2019	14:55:17	1203.34	3.9388	4.5070	4.4254	4.4987	27.000	27.000	27.000	27.000
1/27/2019	14:55:19	1204.59	3.9397	4.5067	4.4259	4.4983	27.000	27.000	27.000	27.000
1/27/2019	14:55:20	1205.84	3.9388	4.5052	4.4259	4.4980	27.000	27.000	27.000	27.000
1/27/2019	14:55:21	1207.05	3.9402	4.5074	4.4256	4.4972	27.000	27.000	27.000	27.000
1/27/2019	14:55:22	1208.39	3.9390	4.5083	4.4256	4.4958	27.000	27.000	27.000	27.000
1/27/2019	14:55:24	1209.62	3.9390	4.5083	4.4257	4.4953	27.000	27.000	27.000	27.000
1/27/2019	14:55:25	1210.95	3.9350	4.5048	4.4249	4.4957	27.000	27.000	27.000	27.000
1/27/2019	14:55:26	1212.20	3.9359	4.5047	4.4232	4.4964	27.000	27.000	27.000	27.000
1/27/2019	14:55:28	1213.55	3.9360	4.5070	4.4213	4.4979	27.000	27.000	27.000	27.000
1/27/2019	14:55:29	1214.84	3.9404	4.5093	4.4197	4.4977	27.000	27.000	27.000	27.000
1/27/2019	14:55:30	1216.25	3.9394	4.5085	4.4224	4.4968	27.000	27.000	27.000	27.000
1/27/2019	14:55:32	1217.70	3.9384	4.5073	4.4254	4.4961	27.000	27.000	27.000	27.000
1/27/2019	14:55:33	1219.17	3.9379	4.5068	4.4256	4.4965	27.000	27.000	27.000	27.000
1/27/2019	14:55:34	1220.39	3.9375	4.5065	4.4234	4.4987	27.000	27.000	27.000	27.000
1/27/2019	14:55:36	1221.70	3.9398	4.5047	4.4210	4.4989	27.000	27.000	27.000	27.000
1/27/2019	14:55:37	1222.98	3.9398	4.5025	4.4237	4.4985	27.000	27.000	27.000	27.000
1/27/2019	14:55:38	1224.33	3.9387	4.5026	4.4254	4.4996	27.000	27.000	27.000	27.000
1/27/2019	14:55:40	1225.58	3.9383	4.5052	4.4247	4.4989	27.000	27.000	27.000	27.000
1/27/2019	14:55:41	1226.98	3.9369	4.5071	4.4237	4.5002	27.000	27.000	27.000	27.000
1/27/2019	14:55:42	1228.20	3.9388	4.5071	4.4229	4.4992	27.000	27.000	27.000	27.000
1/27/2019	14:55:44	1229.56	3.9376	4.5070	4.4250	4.4995	27.000	27.000	27.000	27.000
1/27/2019	14:55:45	1230.86	3.9375	4.5062	4.4259	4.4989	27.000	27.000	27.000	27.000
1/27/2019	14:55:46	1232.23	3.9364	4.5070	4.4254	4.4980	27.000	27.000	27.000	27.000
1/27/2019	14:55:47	1233.41	3.9350	4.5052	4.4264	4.5007	27.000	27.000	27.000	27.000
1/27/2019	14:55:49	1234.73	3.9337	4.5047	4.4259	4.5006	27.000	27.000	27.000	27.000
1/27/2019	14:55:50	1236.02	3.9329	4.5031	4.4294	4.4992	27.000	27.000	27.000	27.000
1/27/2019	14:55:51	1237.41	3.9345	4.5028	4.4293	4.4976	27.000	27.000	27.000	27.000
1/27/2019	14:55:53	1238.72	3.9372	4.5034	4.4311	4.4957	27.000	27.000	27.000	27.000
1/27/2019	14:55:54	1240.28	3.9368	4.5035	4.4291	4.4969	27.000	27.000	27.000	27.000
1/27/2019	14:55:56	1241.62	3.9357	4.5042	4.4280	4.4970	27.000	27.000	27.000	27.000
1/27/2019	14:55:57	1242.92	3.9333	4.5050	4.4254	4.4996	27.000	27.000	27.000	27.000
1/27/2019	14:55:58	1244.17	3.9336	4.5044	4.4242	4.4998	27.000	27.000	27.000	27.000
1/27/2019	14:55:59	1245.45	3.9325	4.5054	4.4230	4.4979	27.000	27.000	27.000	27.000
1/27/2019	14:56:01	1246.87	3.9312	4.5037	4.4209	4.4960	27.000	27.000	27.000	27.000
1/27/2019	14:56:02	1248.16	3.9303	4.5048	4.4226	4.4969	27.000	27.000	27.000	27.000
1/27/2019	14:56:04	1249.50	3.9291	4.5045	4.4243	4.5002	27.000	27.000	27.000	27.000
1/27/2019	14:56:05	1250.73	3.9305	4.5053	4.4256	4.5025	27.000	27.000	27.000	27.000
1/27/2019	14:56:06	1252.09	3.9309	4.5034	4.4246	4.5019	27.000	27.000	27.000	27.000
1/27/2019	14:56:08	1253.53	3.9318	4.5012	4.4222	4.5008	27.000	27.000	27.000	27.000
1/27/2019	14:56:09	1254.62	3.9328	4.5002	4.4226	4.4998	27.000	27.000	27.000	27.000
1/27/2019	14:56:10	1255.89	3.9332	4.5004	4.4209	4.4991	27.000	27.000	27.000	27.000
1/27/2019	14:56:11	1257.25	3.9317	4.5017	4.4207	4.4983	27.000	27.000	27.000	27.000
1/27/2019	14:56:13	1258.52	3.9298	4.5018	4.4200	4.4987	27.000	27.000	27.000	27.000
1/27/2019	14:56:14	1259.86	3.9271	4.5015	4.4202	4.4995	27.000	27.000	27.000	27.000
1/27/2019	14:56:15	1261.12	3.9285	4.5002	4.4210	4.4984	27.000	27.000	27.000	27.000
1/27/2019	14:56:17	1262.67	3.9259	4.5005	4.4219	4.4987	27.000	27.000	27.000	27.000
1/27/2019	14:56:18	1263.98	3.9271	4.5031	4.4223	4.4983	27.000	27.000	27.000	27.000
1/27/2019	14:56:19	1265.31	3.9262	4.5035	4.4223	4.4996	27.000	27.000	27.000	27.000
1/27/2019	14:56:21	1266.64	3.9278	4.5040	4.4214	4.5006	27.000	27.000	27.000	27.000
1/27/2019	14:56:22	1267.91	3.9274	4.5031	4.4224	4.5004	27.000	27.000	27.000	27.000
1/27/2019	14:56:23	1269.16	3.9293	4.5048	4.4217	4.4999	27.000	27.000	27.000	27.000
1/27/2019	14:56:25	1270.55	3.9277	4.5052	4.4229	4.4983	27.000	27.000	27.000	27.000
1/27/2019	14:56:26	1271.98	3.9280	4.5048	4.4209	4.4981	27.000	27.000	27.000	27.000
1/27/2019	14:56:27	1273.30	3.9262	4.5047	4.4227	4.4999	27.000	27.000	27.000	27.000
1/27/2019	14:56:29	1274.53	3.9304	4.5025	4.4227	4.4977	27.000	27.000	27.000	27.000
1/27/2019	14:56:30	1275.97	3.9295	4.5044	4.4263	4.4977	27.000	27.000	27.000	27.000
1/27/2019	14:56:31	1277.23	3.9325	4.5031	4.4256	4.4951	27.000	27.000	27.000	27.000
1/27/2019	14:56:33	1278.58	3.9316	4.5041	4.4239	4.4969	27.000	27.000	27.000	27.000
1/27/2019	14:56:34	1279.81	3.9317	4.5019	4.4222	4.4977	27.000	27.000	27.000	27.000
1/27/2019	14:56:35	1281.20	3.9288	4.5022	4.4239	4.4992	27.000	27.000	27.000	27.000
1/27/2019	14:56:36	1282.45	3.9279	4.5038	4.4263	4.5017	27.000	27.000	27.000	27.000
1/27/2019	14:56:38	1283.80	3.9285	4.5055	4.4263	4.5015	27.000	27.000	27.000	27.000
1/27/2019	14:56:39	1285.22	3.9289	4.5048	4.4237	4.5011	27.000	27.000	27.000	27.000
1/27/2019	14:56:41	1286.53	3.9299	4.5025	4.4229	4.4987	27.000	27.000	27.000	27.000
1/27/2019	14:56:42	1287.81	3.9295	4.5022	4.4223	4.4980	27.000	27.000	27.000	27.000
1/27/2019	14:56:43	1289.08	3.9292	4.5041	4.4253	4.4985	27.000	27.000	27.000	27.000
1/27/2019	14:56:45	1290.48	3.9280	4.5052	4.4249	4.5003	27.000	27.000	27.000	27.000
1/27/2019	14:56:46	1291.72	3.9297	4.5037	4.4266	4.4997	27.000	27.000	27.000	27.000
1/27/2019	14:56:47	1292.89	3.9311	4.5025	4.4244	4.5006	27.000	27.000	27.000	27.000
1/27/2019	14:56:48	1294.17	3.9318	4.5012	4.4241	4.4991	27.000	27.000	27.000	27.000
1/27/2019	14:56:50	1295.56	3.9302	4.5017	4.4209	4.5010	27.000	27.000	27.000	27.000
1/27/2019	14:56:51	1296.98	3.9284	4.4992	4.4209	4.4996	27.000	27.000	27.000	27.000
1/27/2019	14:56:53	1298.50	3.9273	4.5011	4.4213	4.5020	27.000	27.000	27.000	27.000
1/27/2019	14:56:54	1299.69	3.9271	4.5010	4.4246	4.5012	27.000	27.000	27.000	27.000
1/27/2019	14:56:55	1300.97	3.9251	4.5034	4.4233	4.5019	27.000	27.000	27.000	27.000
1/27/2019	14:56:57	1302.62	3.9250	4.5024	4.4232	4.5002	27.000	27.000	27.000	27.000
1/27/2019	14:56:58	1304.08	3.9238	4.5034	4.4224	4.5014	27.000	27.000	27.000	27.000
1/27/2019	14:57:00	1305.53	3.9257	4.5021	4.4261	4.5008	27.000	27.000	27.000	27.000
1/27/2019	14:57:01	1306.75	3.9245	4.5009	4.4271	4.5006	27.000	27.000	27.000	27.000
1/27/2019	14:57:02	1308.22	3.9231	4.4989	4.4263	4.4984	27.000	27.000	27.000	27.000
1/27/2019	14:57:04	1309.50	3.9243	4.4999	4.4243	4.4997	27.000	27.000	27.000	27.000
1/27/2019	14:57:05	1310.86	3.9246	4.4996	4.4217	4.4991	27.000	27.000	27.000	27.000
1/27/2019	14:57:06	1312.14	3.9271	4.5002	4.4214	4.5012	27.000	27.000	27.000	27.000
1/27/2019	14:57:08	1313.53	3.9265	4.4989	4.4217	4.5000	27.000	27.000	27.000	27.000
1/27/2019	14:57:09	1314.86	3.9279	4.4999	4.4233	4.5006	27.000	27.000	27.000	27.000
1/27/2019	14:57:10	1316.09	3.9283	4.5021	4.4244	4.4988	27.000	27.000	27.000	27.000
