Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T1_32B2	Ch2_O2_13|T1_32B2	Ch3_O2_14|T1_32B2	Ch4_O2_15|T1_32B2	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	21:12:35	1020.72	3.9363	3.9959	3.9270	4.0336	32.000	32.000	32.000	32.000
1/27/2019	21:12:37	1022.09	3.9366	3.9956	3.9282	4.0351	32.000	32.000	32.000	32.000
1/27/2019	21:12:38	1023.42	3.9387	3.9946	3.9278	4.0378	32.000	32.000	32.000	32.000
1/27/2019	21:12:39	1024.83	3.9366	3.9956	3.9269	4.0416	32.000	32.000	32.000	32.000
1/27/2019	21:12:41	1026.20	3.9350	3.9956	3.9260	4.0410	32.000	32.000	32.000	32.000
1/27/2019	21:12:42	1027.58	3.9353	3.9957	3.9264	4.0410	32.000	32.000	32.000	32.000
1/27/2019	21:12:44	1029.03	3.9380	3.9952	3.9247	4.0386	32.000	32.000	32.000	32.000
1/27/2019	21:12:45	1030.44	3.9409	3.9959	3.9230	4.0379	32.000	32.000	32.000	32.000
1/27/2019	21:12:46	1031.73	3.9394	3.9967	3.9223	4.0373	32.000	32.000	32.000	32.000
1/27/2019	21:12:48	1033.12	3.9363	3.9959	3.9225	4.0369	32.000	32.000	32.000	32.000
1/27/2019	21:12:49	1034.39	3.9319	3.9970	3.9235	4.0358	32.000	32.000	32.000	32.000
1/27/2019	21:12:50	1035.64	3.9332	3.9984	3.9236	4.0356	32.000	32.000	32.000	32.000
1/27/2019	21:12:52	1037.09	3.9350	3.9987	3.9245	4.0381	32.000	32.000	32.000	32.000
1/27/2019	21:12:53	1038.59	3.9371	3.9980	3.9258	4.0383	32.000	32.000	32.000	32.000
1/27/2019	21:12:54	1039.91	3.9363	3.9972	3.9260	4.0389	32.000	32.000	32.000	32.000
1/27/2019	21:12:56	1041.11	3.9354	3.9982	3.9269	4.0372	32.000	32.000	32.000	32.000
1/27/2019	21:12:57	1042.44	3.9358	3.9980	3.9264	4.0362	32.000	32.000	32.000	32.000
1/27/2019	21:12:58	1043.67	3.9365	3.9977	3.9268	4.0354	32.000	32.000	32.000	32.000
1/27/2019	21:13:00	1045.16	3.9389	3.9961	3.9244	4.0357	32.000	32.000	32.000	32.000
1/27/2019	21:13:01	1046.44	3.9376	3.9949	3.9236	4.0367	32.000	32.000	32.000	32.000
1/27/2019	21:13:03	1048.08	3.9381	3.9951	3.9234	4.0340	32.000	32.000	32.000	32.000
1/27/2019	21:13:04	1049.50	3.9367	3.9947	3.9249	4.0340	32.000	32.000	32.000	32.000
1/27/2019	21:13:05	1050.83	3.9371	3.9957	3.9254	4.0352	32.000	32.000	32.000	32.000
