Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_27B	Ch2_O2_13|T2_27B	Ch3_O2_14|T2_27B	Ch4_O2_15|T2_27B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	08:13:53	900.27	3.7410	4.1515	4.0279	4.2038	27.000	27.000	27.000	27.000
1/28/2019	08:13:54	901.75	3.7440	4.1510	4.0260	4.2038	27.000	27.000	27.000	27.000
1/28/2019	08:13:56	903.19	3.7484	4.1528	4.0246	4.2044	27.000	27.000	27.000	27.000
1/28/2019	08:13:57	904.55	3.7490	4.1525	4.0231	4.2037	27.000	27.000	27.000	27.000
1/28/2019	08:13:58	905.98	3.7495	4.1530	4.0214	4.2039	27.000	27.000	27.000	27.000
1/28/2019	08:14:00	907.30	3.7473	4.1523	4.0212	4.2032	27.000	27.000	27.000	27.000
1/28/2019	08:14:01	908.83	3.7484	4.1531	4.0219	4.2016	27.000	27.000	27.000	27.000
1/28/2019	08:14:03	910.17	3.7490	4.1538	4.0228	4.2003	27.000	27.000	27.000	27.000
1/28/2019	08:14:04	911.80	3.7490	4.1545	4.0203	4.2003	27.000	27.000	27.000	27.000
1/28/2019	08:14:05	913.03	3.7485	4.1545	4.0207	4.2017	27.000	27.000	27.000	27.000
1/28/2019	08:14:07	914.77	3.7451	4.1543	4.0214	4.2011	27.000	27.000	27.000	27.000
1/28/2019	08:14:09	916.62	3.7451	4.1527	4.0230	4.1982	27.000	27.000	27.000	27.000
1/28/2019	08:14:11	918.37	3.7449	4.1513	4.0208	4.1977	27.000	27.000	27.000	27.000
1/28/2019	08:14:12	919.87	3.7457	4.1523	4.0184	4.1969	27.000	27.000	27.000	27.000
1/28/2019	08:14:14	921.31	3.7450	4.1540	4.0170	4.1988	27.000	27.000	27.000	27.000
1/28/2019	08:14:15	922.48	3.7439	4.1565	4.0180	4.1994	27.000	27.000	27.000	27.000
1/28/2019	08:14:16	923.84	3.7431	4.1549	4.0181	4.2002	27.000	27.000	27.000	27.000
1/28/2019	08:14:18	925.34	3.7438	4.1547	4.0181	4.1989	27.000	27.000	27.000	27.000
1/28/2019	08:14:19	926.42	3.7443	4.1531	4.0183	4.1996	27.000	27.000	27.000	27.000
1/28/2019	08:14:20	927.59	3.7451	4.1530	4.0189	4.1989	27.000	27.000	27.000	27.000
1/28/2019	08:14:21	928.89	3.7425	4.1530	4.0208	4.1997	27.000	27.000	27.000	27.000
1/28/2019	08:14:23	930.50	3.7394	4.1534	4.0199	4.1962	27.000	27.000	27.000	27.000
1/28/2019	08:14:25	932.08	3.7395	4.1544	4.0184	4.1980	27.000	27.000	27.000	27.000
1/28/2019	08:14:26	933.39	3.7414	4.1531	4.0166	4.1995	27.000	27.000	27.000	27.000
1/28/2019	08:14:27	935.02	3.7425	4.1540	4.0165	4.2018	27.000	27.000	27.000	27.000
1/28/2019	08:14:29	936.28	3.7409	4.1536	4.0170	4.2001	27.000	27.000	27.000	27.000
1/28/2019	08:14:30	937.95	3.7390	4.1542	4.0171	4.1982	27.000	27.000	27.000	27.000
1/28/2019	08:14:32	939.16	3.7386	4.1539	4.0166	4.1971	27.000	27.000	27.000	27.000
1/28/2019	08:14:33	940.78	3.7395	4.1538	4.0165	4.1965	27.000	27.000	27.000	27.000
1/28/2019	08:14:34	942.03	3.7406	4.1547	4.0166	4.1958	27.000	27.000	27.000	27.000
1/28/2019	08:14:36	943.42	3.7407	4.1552	4.0174	4.1951	27.000	27.000	27.000	27.000
1/28/2019	08:14:37	944.80	3.7393	4.1560	4.0166	4.1945	27.000	27.000	27.000	27.000
1/28/2019	08:14:38	945.95	3.7393	4.1551	4.0150	4.1942	27.000	27.000	27.000	27.000
1/28/2019	08:14:40	947.47	3.7395	4.1544	4.0137	4.1937	27.000	27.000	27.000	27.000
1/28/2019	08:14:41	948.77	3.7401	4.1538	4.0129	4.1955	27.000	27.000	27.000	27.000
1/28/2019	08:14:43	950.27	3.7402	4.1549	4.0127	4.1965	27.000	27.000	27.000	27.000
1/28/2019	08:14:44	951.52	3.7383	4.1544	4.0131	4.1973	27.000	27.000	27.000	27.000
1/28/2019	08:14:46	953.08	3.7389	4.1547	4.0129	4.1972	27.000	27.000	27.000	27.000
1/28/2019	08:14:47	954.34	3.7396	4.1532	4.0131	4.1942	27.000	27.000	27.000	27.000
1/28/2019	08:14:48	955.77	3.7402	4.1532	4.0123	4.1942	27.000	27.000	27.000	27.000
1/28/2019	08:14:50	957.20	3.7405	4.1531	4.0124	4.1935	27.000	27.000	27.000	27.000
1/28/2019	08:14:51	958.39	3.7387	4.1539	4.0113	4.1952	27.000	27.000	27.000	27.000
1/28/2019	08:14:52	959.80	3.7408	4.1537	4.0122	4.1925	27.000	27.000	27.000	27.000
1/28/2019	08:14:54	961.12	3.7388	4.1545	4.0096	4.1929	27.000	27.000	27.000	27.000
1/28/2019	08:14:55	962.66	3.7394	4.1548	4.0103	4.1936	27.000	27.000	27.000	27.000
1/28/2019	08:14:56	963.95	3.7365	4.1552	4.0084	4.1948	27.000	27.000	27.000	27.000
1/28/2019	08:14:58	965.34	3.7364	4.1548	4.0107	4.1942	27.000	27.000	27.000	27.000
1/28/2019	08:14:59	966.75	3.7364	4.1545	4.0122	4.1946	27.000	27.000	27.000	27.000
1/28/2019	08:15:01	968.20	3.7376	4.1561	4.0133	4.1953	27.000	27.000	27.000	27.000
1/28/2019	08:15:02	969.62	3.7347	4.1577	4.0135	4.1940	27.000	27.000	27.000	27.000
1/28/2019	08:15:03	970.69	3.7344	4.1590	4.0120	4.1907	27.000	27.000	27.000	27.000
1/28/2019	08:15:04	971.98	3.7341	4.1579	4.0121	4.1920	27.000	27.000	27.000	27.000
1/28/2019	08:15:06	973.17	3.7384	4.1564	4.0119	4.1924	27.000	27.000	27.000	27.000
1/28/2019	08:15:07	974.62	3.7386	4.1552	4.0124	4.1935	27.000	27.000	27.000	27.000
1/28/2019	08:15:08	975.91	3.7378	4.1551	4.0128	4.1920	27.000	27.000	27.000	27.000
1/28/2019	08:15:10	977.42	3.7361	4.1547	4.0130	4.1921	27.000	27.000	27.000	27.000
1/28/2019	08:15:11	978.62	3.7345	4.1544	4.0116	4.1921	27.000	27.000	27.000	27.000
1/28/2019	08:15:13	980.11	3.7345	4.1538	4.0108	4.1901	27.000	27.000	27.000	27.000
1/28/2019	08:15:14	981.55	3.7340	4.1527	4.0109	4.1909	27.000	27.000	27.000	27.000
1/28/2019	08:15:15	982.83	3.7314	4.1523	4.0117	4.1901	27.000	27.000	27.000	27.000
1/28/2019	08:15:16	984.02	3.7314	4.1515	4.0116	4.1912	27.000	27.000	27.000	27.000
1/28/2019	08:15:18	985.73	3.7320	4.1535	4.0104	4.1886	27.000	27.000	27.000	27.000
1/28/2019	08:15:19	987.06	3.7343	4.1548	4.0107	4.1892	27.000	27.000	27.000	27.000
1/28/2019	08:15:21	988.56	3.7343	4.1553	4.0093	4.1900	27.000	27.000	27.000	27.000
1/28/2019	08:15:22	989.97	3.7361	4.1552	4.0095	4.1925	27.000	27.000	27.000	27.000
1/28/2019	08:15:24	991.58	3.7379	4.1540	4.0090	4.1934	27.000	27.000	27.000	27.000
1/28/2019	08:15:25	992.94	3.7363	4.1536	4.0091	4.1915	27.000	27.000	27.000	27.000
1/28/2019	08:15:27	994.45	3.7344	4.1526	4.0085	4.1897	27.000	27.000	27.000	27.000
1/28/2019	08:15:28	995.83	3.7316	4.1518	4.0078	4.1884	27.000	27.000	27.000	27.000
1/28/2019	08:15:30	997.25	3.7331	4.1549	4.0088	4.1909	27.000	27.000	27.000	27.000
1/28/2019	08:15:31	998.59	3.7339	4.1551	4.0084	4.1900	27.000	27.000	27.000	27.000
1/28/2019	08:15:33	1000.08	3.7331	4.1553	4.0073	4.1916	27.000	27.000	27.000	27.000
1/28/2019	08:15:34	1001.50	3.7327	4.1536	4.0055	4.1901	27.000	27.000	27.000	27.000
1/28/2019	08:15:36	1003.08	3.7303	4.1545	4.0068	4.1914	27.000	27.000	27.000	27.000
1/28/2019	08:15:37	1004.36	3.7315	4.1558	4.0062	4.1911	27.000	27.000	27.000	27.000
1/28/2019	08:15:38	1005.75	3.7325	4.1560	4.0079	4.1925	27.000	27.000	27.000	27.000
1/28/2019	08:15:40	1007.11	3.7336	4.1562	4.0084	4.1920	27.000	27.000	27.000	27.000
1/28/2019	08:15:41	1008.66	3.7354	4.1566	4.0101	4.1906	27.000	27.000	27.000	27.000
1/28/2019	08:15:42	1009.87	3.7352	4.1578	4.0103	4.1893	27.000	27.000	27.000	27.000
1/28/2019	08:15:44	1011.42	3.7356	4.1581	4.0080	4.1884	27.000	27.000	27.000	27.000
1/28/2019	08:15:45	1012.75	3.7381	4.1595	4.0074	4.1874	27.000	27.000	27.000	27.000
1/28/2019	08:15:47	1014.25	3.7368	4.1566	4.0057	4.1861	27.000	27.000	27.000	27.000
1/28/2019	08:15:48	1015.47	3.7354	4.1553	4.0073	4.1879	27.000	27.000	27.000	27.000
1/28/2019	08:15:49	1016.86	3.7337	4.1535	4.0076	4.1874	27.000	27.000	27.000	27.000
1/28/2019	08:15:51	1018.33	3.7329	4.1569	4.0062	4.1866	27.000	27.000	27.000	27.000
1/28/2019	08:15:52	1019.75	3.7328	4.1574	4.0045	4.1865	27.000	27.000	27.000	27.000
1/28/2019	08:15:53	1020.83	3.7292	4.1577	4.0026	4.1885	27.000	27.000	27.000	27.000
1/28/2019	08:15:55	1022.44	3.7291	4.1560	4.0038	4.1894	27.000	27.000	27.000	27.000
1/28/2019	08:15:57	1024.37	3.7296	4.1565	4.0033	4.1889	27.000	27.000	27.000	27.000
1/28/2019	08:15:58	1026.03	3.7311	4.1562	4.0036	4.1861	27.000	27.000	27.000	27.000
1/28/2019	08:16:00	1027.69	3.7319	4.1570	4.0011	4.1854	27.000	27.000	27.000	27.000
1/28/2019	08:16:02	1029.12	3.7316	4.1574	3.9997	4.1863	27.000	27.000	27.000	27.000
1/28/2019	08:16:03	1030.47	3.7329	4.1565	4.0008	4.1876	27.000	27.000	27.000	27.000
1/28/2019	08:16:04	1031.86	3.7346	4.1562	4.0011	4.1868	27.000	27.000	27.000	27.000
1/28/2019	08:16:06	1033.17	3.7350	4.1553	4.0013	4.1843	27.000	27.000	27.000	27.000
1/28/2019	08:16:07	1034.64	3.7355	4.1570	4.0004	4.1828	27.000	27.000	27.000	27.000
1/28/2019	08:16:08	1035.89	3.7350	4.1558	3.9983	4.1844	27.000	27.000	27.000	27.000
1/28/2019	08:16:10	1037.14	3.7337	4.1565	3.9977	4.1839	27.000	27.000	27.000	27.000
1/28/2019	08:16:11	1038.86	3.7323	4.1554	3.9956	4.1832	27.000	27.000	27.000	27.000
1/28/2019	08:16:13	1040.22	3.7310	4.1567	3.9964	4.1821	27.000	27.000	27.000	27.000
1/28/2019	08:16:14	1041.56	3.7328	4.1566	3.9975	4.1822	27.000	27.000	27.000	27.000
1/28/2019	08:16:15	1042.92	3.7320	4.1558	3.9975	4.1845	27.000	27.000	27.000	27.000
1/28/2019	08:16:17	1044.31	3.7323	4.1565	3.9979	4.1839	27.000	27.000	27.000	27.000
1/28/2019	08:16:18	1045.87	3.7317	4.1561	3.9977	4.1833	27.000	27.000	27.000	27.000
1/28/2019	08:16:19	1046.94	3.7301	4.1578	3.9992	4.1821	27.000	27.000	27.000	27.000
1/28/2019	08:16:21	1048.62	3.7289	4.1567	3.9996	4.1831	27.000	27.000	27.000	27.000
1/28/2019	08:16:22	1049.80	3.7307	4.1566	3.9983	4.1844	27.000	27.000	27.000	27.000
1/28/2019	08:16:23	1051.03	3.7321	4.1547	3.9966	4.1865	27.000	27.000	27.000	27.000
1/28/2019	08:16:25	1052.75	3.7349	4.1536	3.9968	4.1877	27.000	27.000	27.000	27.000
1/28/2019	08:16:26	1053.87	3.7340	4.1532	3.9964	4.1874	27.000	27.000	27.000	27.000
1/28/2019	08:16:28	1055.31	3.7352	4.1540	3.9964	4.1854	27.000	27.000	27.000	27.000
1/28/2019	08:16:29	1056.61	3.7347	4.1574	3.9965	4.1848	27.000	27.000	27.000	27.000
1/28/2019	08:16:31	1058.36	3.7350	4.1581	3.9971	4.1831	27.000	27.000	27.000	27.000
1/28/2019	08:16:32	1059.70	3.7349	4.1604	3.9956	4.1839	27.000	27.000	27.000	27.000
1/28/2019	08:16:33	1060.94	3.7343	4.1592	3.9944	4.1814	27.000	27.000	27.000	27.000
1/28/2019	08:16:35	1062.53	3.7344	4.1587	3.9943	4.1819	27.000	27.000	27.000	27.000
1/28/2019	08:16:36	1063.86	3.7328	4.1575	3.9955	4.1811	27.000	27.000	27.000	27.000
1/28/2019	08:16:38	1065.58	3.7331	4.1569	3.9940	4.1821	27.000	27.000	27.000	27.000
1/28/2019	08:16:39	1066.73	3.7315	4.1568	3.9926	4.1808	27.000	27.000	27.000	27.000
1/28/2019	08:16:41	1068.14	3.7311	4.1574	3.9930	4.1805	27.000	27.000	27.000	27.000
1/28/2019	08:16:42	1069.31	3.7307	4.1574	3.9921	4.1797	27.000	27.000	27.000	27.000
1/28/2019	08:16:43	1070.77	3.7296	4.1585	3.9926	4.1803	27.000	27.000	27.000	27.000
1/28/2019	08:16:44	1071.97	3.7310	4.1566	3.9912	4.1793	27.000	27.000	27.000	27.000
1/28/2019	08:16:46	1073.64	3.7317	4.1567	3.9940	4.1782	27.000	27.000	27.000	27.000
1/28/2019	08:16:48	1075.41	3.7345	4.1575	3.9936	4.1777	27.000	27.000	27.000	27.000
1/28/2019	08:16:49	1076.80	3.7335	4.1588	3.9946	4.1780	27.000	27.000	27.000	27.000
1/28/2019	08:16:51	1078.28	3.7310	4.1590	3.9948	4.1797	27.000	27.000	27.000	27.000
1/28/2019	08:16:52	1079.70	3.7293	4.1604	3.9944	4.1790	27.000	27.000	27.000	27.000
1/28/2019	08:16:54	1081.16	3.7295	4.1607	3.9928	4.1798	27.000	27.000	27.000	27.000
1/28/2019	08:16:55	1082.69	3.7310	4.1626	3.9901	4.1805	27.000	27.000	27.000	27.000
1/28/2019	08:16:56	1084.00	3.7294	4.1599	3.9910	4.1829	27.000	27.000	27.000	27.000
1/28/2019	08:16:58	1085.64	3.7305	4.1587	3.9903	4.1827	27.000	27.000	27.000	27.000
1/28/2019	08:17:00	1087.23	3.7310	4.1560	3.9910	4.1792	27.000	27.000	27.000	27.000
1/28/2019	08:17:01	1088.53	3.7315	4.1569	3.9888	4.1793	27.000	27.000	27.000	27.000
1/28/2019	08:17:02	1089.95	3.7333	4.1575	3.9899	4.1796	27.000	27.000	27.000	27.000
1/28/2019	08:17:04	1091.28	3.7312	4.1578	3.9900	4.1805	27.000	27.000	27.000	27.000
1/28/2019	08:17:05	1092.66	3.7343	4.1579	3.9915	4.1798	27.000	27.000	27.000	27.000
1/28/2019	08:17:06	1093.86	3.7331	4.1587	3.9890	4.1802	27.000	27.000	27.000	27.000
1/28/2019	08:17:08	1095.53	3.7353	4.1574	3.9881	4.1817	27.000	27.000	27.000	27.000
1/28/2019	08:17:09	1097.00	3.7347	4.1573	3.9860	4.1812	27.000	27.000	27.000	27.000
1/28/2019	08:17:11	1098.48	3.7352	4.1561	3.9848	4.1808	27.000	27.000	27.000	27.000
1/28/2019	08:17:12	1099.70	3.7355	4.1574	3.9834	4.1816	27.000	27.000	27.000	27.000
1/28/2019	08:17:14	1101.36	3.7359	4.1571	3.9823	4.1816	27.000	27.000	27.000	27.000
1/28/2019	08:17:15	1102.95	3.7382	4.1587	3.9827	4.1798	27.000	27.000	27.000	27.000
1/28/2019	08:17:17	1104.77	3.7373	4.1596	3.9823	4.1780	27.000	27.000	27.000	27.000
1/28/2019	08:17:19	1106.31	3.7368	4.1598	3.9821	4.1777	27.000	27.000	27.000	27.000
1/28/2019	08:17:20	1107.73	3.7343	4.1577	3.9828	4.1800	27.000	27.000	27.000	27.000
1/28/2019	08:17:22	1109.27	3.7363	4.1582	3.9816	4.1820	27.000	27.000	27.000	27.000
1/28/2019	08:17:23	1110.70	3.7368	4.1580	3.9827	4.1796	27.000	27.000	27.000	27.000
1/28/2019	08:17:24	1111.98	3.7356	4.1597	3.9829	4.1772	27.000	27.000	27.000	27.000
1/28/2019	08:17:26	1113.42	3.7350	4.1591	3.9838	4.1775	27.000	27.000	27.000	27.000
1/28/2019	08:17:27	1115.00	3.7363	4.1587	3.9818	4.1797	27.000	27.000	27.000	27.000
1/28/2019	08:17:29	1116.36	3.7377	4.1594	3.9808	4.1800	27.000	27.000	27.000	27.000
1/28/2019	08:17:30	1118.06	3.7370	4.1617	3.9803	4.1798	27.000	27.000	27.000	27.000
1/28/2019	08:17:32	1119.30	3.7369	4.1641	3.9794	4.1802	27.000	27.000	27.000	27.000
1/28/2019	08:17:33	1120.69	3.7363	4.1649	3.9773	4.1805	27.000	27.000	27.000	27.000
1/28/2019	08:17:34	1121.92	3.7380	4.1629	3.9786	4.1776	27.000	27.000	27.000	27.000
1/28/2019	08:17:36	1123.33	3.7380	4.1621	3.9791	4.1775	27.000	27.000	27.000	27.000
1/28/2019	08:17:37	1124.89	3.7386	4.1613	3.9797	4.1776	27.000	27.000	27.000	27.000
1/28/2019	08:17:39	1126.34	3.7367	4.1596	3.9772	4.1775	27.000	27.000	27.000	27.000
1/28/2019	08:17:40	1127.81	3.7365	4.1600	3.9783	4.1766	27.000	27.000	27.000	27.000
1/28/2019	08:17:42	1129.17	3.7363	4.1597	3.9774	4.1761	27.000	27.000	27.000	27.000
1/28/2019	08:17:43	1130.58	3.7394	4.1622	3.9764	4.1794	27.000	27.000	27.000	27.000
1/28/2019	08:17:44	1132.00	3.7381	4.1626	3.9739	4.1782	27.000	27.000	27.000	27.000
1/28/2019	08:17:46	1133.28	3.7401	4.1635	3.9732	4.1776	27.000	27.000	27.000	27.000
1/28/2019	08:17:47	1134.72	3.7387	4.1655	3.9750	4.1758	27.000	27.000	27.000	27.000
1/28/2019	08:17:48	1135.98	3.7416	4.1648	3.9754	4.1768	27.000	27.000	27.000	27.000
1/28/2019	08:17:50	1137.44	3.7406	4.1648	3.9757	4.1774	27.000	27.000	27.000	27.000
1/28/2019	08:17:51	1138.62	3.7425	4.1618	3.9735	4.1774	27.000	27.000	27.000	27.000
1/28/2019	08:17:53	1140.27	3.7406	4.1612	3.9729	4.1786	27.000	27.000	27.000	27.000
1/28/2019	08:17:54	1141.77	3.7392	4.1612	3.9736	4.1770	27.000	27.000	27.000	27.000
1/28/2019	08:17:55	1143.03	3.7375	4.1616	3.9732	4.1786	27.000	27.000	27.000	27.000
1/28/2019	08:17:57	1144.19	3.7376	4.1613	3.9722	4.1770	27.000	27.000	27.000	27.000
1/28/2019	08:17:58	1145.91	3.7382	4.1599	3.9715	4.1776	27.000	27.000	27.000	27.000
1/28/2019	08:17:59	1147.06	3.7383	4.1608	3.9717	4.1744	27.000	27.000	27.000	27.000
1/28/2019	08:18:01	1148.69	3.7381	4.1617	3.9699	4.1748	27.000	27.000	27.000	27.000
1/28/2019	08:18:03	1150.28	3.7389	4.1634	3.9683	4.1763	27.000	27.000	27.000	27.000
1/28/2019	08:18:04	1151.89	3.7375	4.1626	3.9683	4.1791	27.000	27.000	27.000	27.000
1/28/2019	08:18:06	1153.86	3.7368	4.1630	3.9699	4.1785	27.000	27.000	27.000	27.000
1/28/2019	08:18:08	1155.22	3.7382	4.1625	3.9683	4.1770	27.000	27.000	27.000	27.000
1/28/2019	08:18:09	1156.52	3.7405	4.1628	3.9673	4.1746	27.000	27.000	27.000	27.000
1/28/2019	08:18:10	1157.92	3.7418	4.1620	3.9659	4.1758	27.000	27.000	27.000	27.000
1/28/2019	08:18:12	1159.12	3.7412	4.1605	3.9662	4.1770	27.000	27.000	27.000	27.000
1/28/2019	08:18:13	1160.58	3.7440	4.1599	3.9655	4.1774	27.000	27.000	27.000	27.000
1/28/2019	08:18:14	1162.02	3.7430	4.1601	3.9658	4.1756	27.000	27.000	27.000	27.000
1/28/2019	08:18:16	1163.41	3.7444	4.1603	3.9649	4.1735	27.000	27.000	27.000	27.000
1/28/2019	08:18:17	1164.86	3.7405	4.1599	3.9654	4.1719	27.000	27.000	27.000	27.000
1/28/2019	08:18:19	1166.08	3.7434	4.1604	3.9647	4.1728	27.000	27.000	27.000	27.000
1/28/2019	08:18:20	1167.52	3.7403	4.1631	3.9645	4.1729	27.000	27.000	27.000	27.000
1/28/2019	08:18:21	1168.72	3.7424	4.1634	3.9627	4.1732	27.000	27.000	27.000	27.000
1/28/2019	08:18:23	1170.39	3.7428	4.1613	3.9644	4.1723	27.000	27.000	27.000	27.000
1/28/2019	08:18:24	1171.62	3.7431	4.1601	3.9652	4.1720	27.000	27.000	27.000	27.000
1/28/2019	08:18:26	1173.48	3.7412	4.1607	3.9658	4.1722	27.000	27.000	27.000	27.000
1/28/2019	08:18:27	1174.81	3.7402	4.1616	3.9634	4.1718	27.000	27.000	27.000	27.000
1/28/2019	08:18:28	1175.98	3.7421	4.1608	3.9637	4.1715	27.000	27.000	27.000	27.000
1/28/2019	08:18:30	1177.48	3.7446	4.1613	3.9618	4.1720	27.000	27.000	27.000	27.000
1/28/2019	08:18:31	1178.91	3.7446	4.1618	3.9613	4.1724	27.000	27.000	27.000	27.000
1/28/2019	08:18:33	1180.44	3.7453	4.1625	3.9601	4.1738	27.000	27.000	27.000	27.000
1/28/2019	08:18:34	1181.70	3.7443	4.1633	3.9594	4.1733	27.000	27.000	27.000	27.000
1/28/2019	08:18:36	1183.22	3.7457	4.1638	3.9579	4.1726	27.000	27.000	27.000	27.000
1/28/2019	08:18:37	1184.41	3.7432	4.1642	3.9573	4.1706	27.000	27.000	27.000	27.000
1/28/2019	08:18:39	1186.30	3.7439	4.1659	3.9577	4.1696	27.000	27.000	27.000	27.000
1/28/2019	08:18:40	1187.52	3.7414	4.1677	3.9571	4.1696	27.000	27.000	27.000	27.000
1/28/2019	08:18:42	1189.42	3.7439	4.1679	3.9569	4.1698	27.000	27.000	27.000	27.000
1/28/2019	08:18:43	1190.48	3.7433	4.1658	3.9567	4.1695	27.000	27.000	27.000	27.000
1/28/2019	08:18:44	1191.87	3.7443	4.1631	3.9562	4.1698	27.000	27.000	27.000	27.000
1/28/2019	08:18:45	1192.91	3.7445	4.1635	3.9543	4.1694	27.000	27.000	27.000	27.000
1/28/2019	08:18:46	1193.91	3.7445	4.1630	3.9523	4.1702	27.000	27.000	27.000	27.000
1/28/2019	08:18:48	1195.50	3.7450	4.1642	3.9526	4.1691	27.000	27.000	27.000	27.000
1/28/2019	08:18:49	1196.84	3.7461	4.1631	3.9531	4.1691	27.000	27.000	27.000	27.000
1/28/2019	08:18:50	1197.92	3.7482	4.1639	3.9548	4.1697	27.000	27.000	27.000	27.000
1/28/2019	08:18:52	1199.56	3.7501	4.1641	3.9542	4.1690	27.000	27.000	27.000	27.000
1/28/2019	08:18:53	1200.66	3.7496	4.1643	3.9527	4.1682	27.000	27.000	27.000	27.000
