Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_34.5B	Ch2_O2_13|T2_34.5B	Ch3_O2_14|T2_34.5B	Ch4_O2_15|T2_34.5B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	06:00:44	420.36	3.9575	4.1493	4.0042	4.0478	27.000	27.000	27.000	27.000
1/28/2019	06:00:46	421.70	3.9534	4.1489	4.0041	4.0458	27.000	27.000	27.000	27.000
1/28/2019	06:00:47	423.16	3.9533	4.1478	4.0044	4.0452	27.000	27.000	27.000	27.000
1/28/2019	06:00:48	424.33	3.9533	4.1468	4.0064	4.0439	27.000	27.000	27.000	27.000
1/28/2019	06:00:50	425.64	3.9553	4.1480	4.0073	4.0439	27.000	27.000	27.000	27.000
1/28/2019	06:00:51	426.97	3.9546	4.1480	4.0070	4.0445	27.000	27.000	27.000	27.000
1/28/2019	06:00:53	428.50	3.9539	4.1509	4.0052	4.0440	27.000	27.000	27.000	27.000
1/28/2019	06:00:54	429.61	3.9532	4.1493	4.0052	4.0429	27.000	27.000	27.000	27.000
1/28/2019	06:00:55	431.19	3.9525	4.1493	4.0027	4.0423	27.000	27.000	27.000	27.000
1/28/2019	06:00:57	432.47	3.9500	4.1467	4.0039	4.0440	27.000	27.000	27.000	27.000
1/28/2019	06:00:58	433.97	3.9496	4.1482	4.0022	4.0453	27.000	27.000	27.000	27.000
1/28/2019	06:00:59	435.41	3.9504	4.1471	4.0047	4.0462	27.000	27.000	27.000	27.000
1/28/2019	06:01:01	436.87	3.9510	4.1474	4.0041	4.0464	27.000	27.000	27.000	27.000
1/28/2019	06:01:02	438.06	3.9516	4.1459	4.0059	4.0457	27.000	27.000	27.000	27.000
1/28/2019	06:01:04	439.55	3.9515	4.1475	4.0055	4.0469	27.000	27.000	27.000	27.000
1/28/2019	06:01:05	440.95	3.9544	4.1479	4.0055	4.0452	27.000	27.000	27.000	27.000
1/28/2019	06:01:07	442.55	3.9561	4.1476	4.0033	4.0447	27.000	27.000	27.000	27.000
1/28/2019	06:01:08	443.67	3.9553	4.1479	4.0031	4.0421	27.000	27.000	27.000	27.000
1/28/2019	06:01:09	445.12	3.9512	4.1467	4.0039	4.0416	27.000	27.000	27.000	27.000
1/28/2019	06:01:10	446.42	3.9488	4.1459	4.0064	4.0400	27.000	27.000	27.000	27.000
1/28/2019	06:01:12	447.81	3.9477	4.1433	4.0070	4.0395	27.000	27.000	27.000	27.000
1/28/2019	06:01:13	449.20	3.9495	4.1422	4.0044	4.0384	27.000	27.000	27.000	27.000
1/28/2019	06:01:15	450.70	3.9488	4.1422	4.0027	4.0371	27.000	27.000	27.000	27.000
1/28/2019	06:01:16	452.17	3.9500	4.1432	4.0009	4.0353	27.000	27.000	27.000	27.000
1/28/2019	06:01:18	453.66	3.9487	4.1440	4.0017	4.0357	27.000	27.000	27.000	27.000
1/28/2019	06:01:19	454.84	3.9482	4.1444	4.0001	4.0369	27.000	27.000	27.000	27.000
1/28/2019	06:01:20	456.27	3.9488	4.1443	3.9988	4.0377	27.000	27.000	27.000	27.000
1/28/2019	06:01:22	457.50	3.9491	4.1448	3.9974	4.0364	27.000	27.000	27.000	27.000
1/28/2019	06:01:23	459.06	3.9497	4.1457	3.9984	4.0363	27.000	27.000	27.000	27.000
1/28/2019	06:01:25	460.47	3.9465	4.1453	3.9979	4.0348	27.000	27.000	27.000	27.000
1/28/2019	06:01:26	462.14	3.9464	4.1451	3.9973	4.0331	27.000	27.000	27.000	27.000
1/28/2019	06:01:27	463.41	3.9450	4.1443	3.9958	4.0337	27.000	27.000	27.000	27.000
1/28/2019	06:01:29	464.83	3.9444	4.1456	3.9954	4.0338	27.000	27.000	27.000	27.000
1/28/2019	06:01:30	466.30	3.9430	4.1466	3.9950	4.0343	27.000	27.000	27.000	27.000
1/28/2019	06:01:32	468.11	3.9418	4.1452	3.9933	4.0321	27.000	27.000	27.000	27.000
1/28/2019	06:01:34	469.70	3.9440	4.1432	3.9934	4.0303	27.000	27.000	27.000	27.000
1/28/2019	06:01:35	471.09	3.9458	4.1417	3.9929	4.0304	27.000	27.000	27.000	27.000
1/28/2019	06:01:36	472.42	3.9476	4.1430	3.9950	4.0299	27.000	27.000	27.000	27.000
1/28/2019	06:01:38	473.77	3.9457	4.1451	3.9936	4.0296	27.000	27.000	27.000	27.000
1/28/2019	06:01:39	474.97	3.9469	4.1445	3.9944	4.0277	27.000	27.000	27.000	27.000
1/28/2019	06:01:40	476.23	3.9482	4.1448	3.9938	4.0273	27.000	27.000	27.000	27.000
1/28/2019	06:01:42	477.50	3.9494	4.1440	3.9926	4.0263	27.000	27.000	27.000	27.000
1/28/2019	06:01:43	478.84	3.9489	4.1451	3.9911	4.0264	27.000	27.000	27.000	27.000
1/28/2019	06:01:44	480.12	3.9474	4.1437	3.9900	4.0247	27.000	27.000	27.000	27.000
1/28/2019	06:01:45	481.42	3.9465	4.1430	3.9904	4.0227	27.000	27.000	27.000	27.000
1/28/2019	06:01:47	482.66	3.9426	4.1407	3.9904	4.0218	27.000	27.000	27.000	27.000
1/28/2019	06:01:48	483.94	3.9419	4.1396	3.9892	4.0202	27.000	27.000	27.000	27.000
1/28/2019	06:01:49	485.19	3.9413	4.1371	3.9912	4.0206	27.000	27.000	27.000	27.000
1/28/2019	06:01:51	486.53	3.9418	4.1378	3.9907	4.0200	27.000	27.000	27.000	27.000
1/28/2019	06:01:52	487.81	3.9397	4.1381	3.9919	4.0205	27.000	27.000	27.000	27.000
1/28/2019	06:01:53	489.06	3.9394	4.1385	3.9897	4.0211	27.000	27.000	27.000	27.000
1/28/2019	06:01:54	490.39	3.9381	4.1371	3.9897	4.0200	27.000	27.000	27.000	27.000
1/28/2019	06:01:56	491.72	3.9380	4.1362	3.9879	4.0210	27.000	27.000	27.000	27.000
1/28/2019	06:01:57	492.98	3.9374	4.1344	3.9883	4.0218	27.000	27.000	27.000	27.000
1/28/2019	06:01:58	494.31	3.9397	4.1342	3.9872	4.0234	27.000	27.000	27.000	27.000
1/28/2019	06:02:00	495.61	3.9394	4.1342	3.9868	4.0221	27.000	27.000	27.000	27.000
1/28/2019	06:02:01	496.86	3.9398	4.1345	3.9849	4.0225	27.000	27.000	27.000	27.000
1/28/2019	06:02:02	498.22	3.9374	4.1342	3.9842	4.0225	27.000	27.000	27.000	27.000
1/28/2019	06:02:04	499.61	3.9378	4.1339	3.9834	4.0227	27.000	27.000	27.000	27.000
1/28/2019	06:02:05	500.92	3.9371	4.1353	3.9844	4.0203	27.000	27.000	27.000	27.000
1/28/2019	06:02:06	502.28	3.9376	4.1356	3.9837	4.0176	27.000	27.000	27.000	27.000
1/28/2019	06:02:07	503.45	3.9373	4.1341	3.9841	4.0169	27.000	27.000	27.000	27.000
