Date	Time_HH:MM:SS	Time_sec	Ch1_O2_13A	Ch2_O2_13B	Ch3_O2_9A	Ch4_O2_9B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/26/2019	00:50:56	0.00	3.8130	4.1105	2.9316	3.9793	34.500	34.500	34.500	34.500
1/26/2019	00:51:11	15.00	3.8155	4.1070	2.9141	3.9756	34.500	34.500	34.500	34.500
1/26/2019	00:51:26	30.00	3.8075	4.1106	2.8976	3.9756	34.500	34.500	34.500	34.500
1/26/2019	00:51:41	45.00	3.8126	4.1106	2.8785	3.9746	34.500	34.500	34.500	34.500
1/26/2019	00:51:56	60.00	3.8097	4.1098	2.8617	3.9730	34.500	34.500	34.500	34.500
1/26/2019	00:52:11	75.00	3.8125	4.1131	2.8473	3.9733	34.500	34.500	34.500	34.500
1/26/2019	00:52:26	90.00	3.8111	4.1150	2.8257	3.9720	34.500	34.500	34.500	34.500
1/26/2019	00:52:41	105.00	3.8097	4.1145	2.8086	3.9707	34.500	34.500	34.500	34.500
1/26/2019	00:52:56	120.00	3.8116	4.1106	2.7929	3.9737	34.500	34.500	34.500	34.500
1/26/2019	00:53:11	135.00	3.8089	4.1191	2.7729	3.9711	34.500	34.500	34.500	34.500
1/26/2019	00:53:26	150.00	3.8128	4.1169	2.7520	3.9715	34.500	34.500	34.500	34.500
1/26/2019	00:53:41	165.00	3.8099	4.1142	2.7370	3.9705	34.500	34.500	34.500	34.500
1/26/2019	00:53:56	180.00	3.8100	4.1193	2.7222	3.9734	34.500	34.500	34.500	34.500
1/26/2019	00:54:11	195.00	3.8077	4.1166	2.7051	3.9699	34.500	34.500	34.500	34.500
1/26/2019	00:54:26	210.00	3.8106	4.1139	2.6815	3.9724	34.500	34.500	34.500	34.500
1/26/2019	00:54:41	225.00	3.8077	4.1097	2.6639	3.9618	34.500	34.500	34.500	34.500
1/26/2019	00:54:56	240.00	3.8097	4.1055	2.6529	3.9591	34.500	34.500	34.500	34.500
1/26/2019	00:55:11	255.00	3.8081	4.1116	2.6328	3.9610	34.500	34.500	34.500	34.500
1/26/2019	00:55:26	270.00	3.8088	4.1113	2.6167	3.9646	34.500	34.500	34.500	34.500
1/26/2019	00:55:41	285.00	3.8092	4.1122	2.5964	3.9619	34.500	34.500	34.500	34.500
1/26/2019	00:55:56	300.00	3.8070	4.1129	2.5808	3.9568	34.500	34.500	34.500	34.500
1/26/2019	00:56:11	315.00	3.8055	4.1088	2.5637	3.9549	34.500	34.500	34.500	34.500
1/26/2019	00:56:26	330.00	3.8081	4.1061	2.5495	3.9568	34.500	34.500	34.500	34.500
1/26/2019	00:56:41	345.00	3.8070	4.1090	2.5332	3.9532	34.500	34.500	34.500	34.500
1/26/2019	00:56:56	360.00	3.8053	4.1048	2.5137	3.9527	34.500	34.500	34.500	34.500
1/26/2019	00:57:11	375.00	3.8055	4.1032	2.4973	3.9507	34.500	34.500	34.500	34.500
1/26/2019	00:57:26	390.00	3.8030	4.1062	2.4771	3.9484	34.500	34.500	34.500	34.500
1/26/2019	00:57:41	405.00	3.8042	4.1012	2.4626	3.9428	34.500	34.500	34.500	34.500
1/26/2019	00:57:56	420.00	3.8015	4.1066	2.4425	3.9464	34.500	34.500	34.500	34.500
1/26/2019	00:58:11	435.00	3.8074	4.1052	2.4270	3.9417	34.500	34.500	34.500	34.500
1/26/2019	00:58:26	450.00	3.8030	4.1093	2.4126	3.9466	34.500	34.500	34.500	34.500
