Date	Time_HH:MM:SS	Time_sec	Ch1_O2_08_field	Ch2_O2_09_field	Ch3_O2_13_field	Ch4_O2_14_field	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	13:10:53	0.00	4.4917	4.4179	4.4586	4.5215	22.000	22.000	22.000	22.000
1/27/2019	13:10:56	3.47	4.4936	4.4193	4.4573	4.5230	22.000	22.000	22.000	22.000
1/27/2019	13:10:58	4.94	4.4914	4.4181	4.4574	4.5208	22.000	22.000	22.000	22.000
1/27/2019	13:10:59	6.19	4.4920	4.4180	4.4561	4.5236	22.000	22.000	22.000	22.000
1/27/2019	13:11:01	7.61	4.4887	4.4151	4.4591	4.5223	22.000	22.000	22.000	22.000
1/27/2019	13:11:02	9.30	4.4885	4.4144	4.4584	4.5214	22.000	22.000	22.000	22.000
1/27/2019	13:11:04	10.70	4.4872	4.4135	4.4574	4.5209	22.000	22.000	22.000	22.000
1/27/2019	13:11:05	12.16	4.4887	4.4137	4.4541	4.5214	22.000	22.000	22.000	22.000
1/27/2019	13:11:07	13.61	4.4903	4.4147	4.4529	4.5221	22.000	22.000	22.000	22.000
1/27/2019	13:11:08	14.94	4.4900	4.4140	4.4529	4.5187	22.000	22.000	22.000	22.000
1/27/2019	13:11:09	16.33	4.4874	4.4149	4.4530	4.5186	22.000	22.000	22.000	22.000
1/27/2019	13:11:11	17.83	4.4879	4.4154	4.4527	4.5195	22.000	22.000	22.000	22.000
1/27/2019	13:11:13	19.62	4.4893	4.4150	4.4547	4.5208	22.000	22.000	22.000	22.000
1/27/2019	13:11:14	21.30	4.4920	4.4134	4.4552	4.5196	22.000	22.000	22.000	22.000
1/27/2019	13:11:16	22.66	4.4909	4.4127	4.4549	4.5177	22.000	22.000	22.000	22.000
1/27/2019	13:11:18	24.52	4.4892	4.4142	4.4530	4.5171	22.000	22.000	22.000	22.000
1/27/2019	13:11:19	26.06	4.4885	4.4142	4.4511	4.5160	22.000	22.000	22.000	22.000
1/27/2019	13:11:20	27.42	4.4877	4.4124	4.4502	4.5155	22.000	22.000	22.000	22.000
1/27/2019	13:11:22	28.73	4.4882	4.4116	4.4515	4.5137	22.000	22.000	22.000	22.000
1/27/2019	13:11:23	30.05	4.4866	4.4104	4.4515	4.5136	22.000	22.000	22.000	22.000
1/27/2019	13:11:24	31.41	4.4864	4.4110	4.4524	4.5151	22.000	22.000	22.000	22.000
1/27/2019	13:11:26	32.80	4.4873	4.4112	4.4493	4.5155	22.000	22.000	22.000	22.000
1/27/2019	13:11:27	34.30	4.4869	4.4120	4.4481	4.5151	22.000	22.000	22.000	22.000
1/27/2019	13:11:29	36.06	4.4877	4.4099	4.4484	4.5132	22.000	22.000	22.000	22.000
1/27/2019	13:11:31	37.61	4.4863	4.4084	4.4487	4.5160	22.000	22.000	22.000	22.000
1/27/2019	13:11:33	39.59	4.4877	4.4078	4.4502	4.5169	22.000	22.000	22.000	22.000
1/27/2019	13:11:34	41.00	4.4881	4.4095	4.4497	4.5166	22.000	22.000	22.000	22.000
1/27/2019	13:11:35	42.39	4.4882	4.4095	4.4496	4.5127	22.000	22.000	22.000	22.000
1/27/2019	13:11:37	44.02	4.4861	4.4095	4.4487	4.5125	22.000	22.000	22.000	22.000
1/27/2019	13:11:39	45.69	4.4831	4.4078	4.4479	4.5127	22.000	22.000	22.000	22.000
1/27/2019	13:11:40	47.16	4.4829	4.4066	4.4475	4.5129	22.000	22.000	22.000	22.000
1/27/2019	13:11:42	48.56	4.4836	4.4050	4.4467	4.5116	22.000	22.000	22.000	22.000
1/27/2019	13:11:43	49.84	4.4858	4.4034	4.4455	4.5125	22.000	22.000	22.000	22.000
1/27/2019	13:11:44	51.27	4.4865	4.4020	4.4453	4.5145	22.000	22.000	22.000	22.000
1/27/2019	13:11:46	52.64	4.4871	4.4013	4.4450	4.5144	22.000	22.000	22.000	22.000
1/27/2019	13:11:47	53.97	4.4869	4.4022	4.4459	4.5114	22.000	22.000	22.000	22.000
1/27/2019	13:11:48	55.22	4.4860	4.4018	4.4462	4.5095	22.000	22.000	22.000	22.000
1/27/2019	13:11:50	56.50	4.4834	4.4016	4.4466	4.5100	22.000	22.000	22.000	22.000
1/27/2019	13:11:51	57.77	4.4849	4.4001	4.4437	4.5129	22.000	22.000	22.000	22.000
1/27/2019	13:11:52	59.05	4.4841	4.3989	4.4428	4.5126	22.000	22.000	22.000	22.000
1/27/2019	13:11:53	60.31	4.4842	4.3993	4.4429	4.5119	22.000	22.000	22.000	22.000
1/27/2019	13:11:55	61.97	4.4799	4.4009	4.4438	4.5098	22.000	22.000	22.000	22.000
1/27/2019	13:11:56	63.47	4.4789	4.4026	4.4443	4.5103	22.000	22.000	22.000	22.000
1/27/2019	13:11:58	64.84	4.4798	4.4010	4.4428	4.5120	22.000	22.000	22.000	22.000
1/27/2019	13:11:59	66.22	4.4821	4.3995	4.4431	4.5112	22.000	22.000	22.000	22.000
1/27/2019	13:12:01	67.55	4.4817	4.3971	4.4405	4.5104	22.000	22.000	22.000	22.000
1/27/2019	13:12:02	68.78	4.4828	4.3959	4.4389	4.5092	22.000	22.000	22.000	22.000
1/27/2019	13:12:03	70.08	4.4818	4.3944	4.4384	4.5091	22.000	22.000	22.000	22.000
1/27/2019	13:12:04	71.33	4.4822	4.3939	4.4386	4.5069	22.000	22.000	22.000	22.000
1/27/2019	13:12:06	72.95	4.4798	4.3936	4.4398	4.5053	22.000	22.000	22.000	22.000
1/27/2019	13:12:07	74.45	4.4794	4.3927	4.4402	4.5048	22.000	22.000	22.000	22.000
1/27/2019	13:12:09	75.70	4.4788	4.3923	4.4407	4.5059	22.000	22.000	22.000	22.000
1/27/2019	13:12:10	77.25	4.4775	4.3924	4.4402	4.5063	22.000	22.000	22.000	22.000
1/27/2019	13:12:12	78.62	4.4772	4.3910	4.4380	4.5066	22.000	22.000	22.000	22.000
1/27/2019	13:12:13	80.08	4.4778	4.3893	4.4380	4.5054	22.000	22.000	22.000	22.000
1/27/2019	13:12:14	81.47	4.4798	4.3871	4.4377	4.5038	22.000	22.000	22.000	22.000
1/27/2019	13:12:17	83.64	4.4795	4.3858	4.4384	4.5043	22.000	22.000	22.000	22.000
1/27/2019	13:12:18	85.17	4.4795	4.3861	4.4390	4.5060	22.000	22.000	22.000	22.000
1/27/2019	13:12:20	86.64	4.4799	4.3848	4.4392	4.5053	22.000	22.000	22.000	22.000
1/27/2019	13:12:21	88.05	4.4820	4.3848	4.4389	4.5046	22.000	22.000	22.000	22.000
1/27/2019	13:12:23	89.62	4.4828	4.3821	4.4375	4.5027	22.000	22.000	22.000	22.000
1/27/2019	13:12:24	91.09	4.4823	4.3808	4.4362	4.5022	22.000	22.000	22.000	22.000
1/27/2019	13:12:26	92.62	4.4801	4.3799	4.4359	4.5012	22.000	22.000	22.000	22.000
