Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T1_29.5B	Ch2_O2_13|T1_29.5B	Ch3_O2_14|T1_29.5B	Ch4_O2_15|T1_29.5B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	22:05:52	0.00	4.0146	4.1492	4.1115	4.1114	29.500	29.500	29.500	29.500
1/27/2019	22:05:54	2.03	4.0130	4.1499	4.1119	4.1104	29.500	29.500	29.500	29.500
1/27/2019	22:05:56	3.44	4.0165	4.1499	4.1115	4.1114	29.500	29.500	29.500	29.500
1/27/2019	22:05:58	5.37	4.0196	4.1503	4.1111	4.1112	29.500	29.500	29.500	29.500
1/27/2019	22:05:59	7.31	4.0187	4.1486	4.1112	4.1114	29.500	29.500	29.500	29.500
1/27/2019	22:06:01	8.86	4.0159	4.1479	4.1123	4.1104	29.500	29.500	29.500	29.500
1/27/2019	22:06:02	10.30	4.0133	4.1460	4.1103	4.1106	29.500	29.500	29.500	29.500
1/27/2019	22:06:04	11.53	4.0140	4.1445	4.1074	4.1088	29.500	29.500	29.500	29.500
1/27/2019	22:06:05	13.28	4.0146	4.1444	4.1067	4.1083	29.500	29.500	29.500	29.500
1/27/2019	22:06:07	14.97	4.0133	4.1437	4.1058	4.1071	29.500	29.500	29.500	29.500
1/27/2019	22:06:08	16.12	4.0111	4.1437	4.1061	4.1067	29.500	29.500	29.500	29.500
1/27/2019	22:06:10	17.45	4.0086	4.1411	4.1040	4.1045	29.500	29.500	29.500	29.500
1/27/2019	22:06:11	18.58	4.0073	4.1415	4.1040	4.1045	29.500	29.500	29.500	29.500
1/27/2019	22:06:12	20.09	4.0074	4.1400	4.1033	4.1022	29.500	29.500	29.500	29.500
1/27/2019	22:06:13	21.28	4.0085	4.1404	4.1042	4.1011	29.500	29.500	29.500	29.500
1/27/2019	22:06:15	22.64	4.0085	4.1416	4.1024	4.0985	29.500	29.500	29.500	29.500
1/27/2019	22:06:17	24.48	4.0068	4.1418	4.1024	4.0996	29.500	29.500	29.500	29.500
1/27/2019	22:06:18	26.23	4.0030	4.1419	4.1007	4.1017	29.500	29.500	29.500	29.500
1/27/2019	22:06:20	28.06	4.0017	4.1378	4.1014	4.1007	29.500	29.500	29.500	29.500
1/27/2019	22:06:22	30.31	4.0024	4.1385	4.1006	4.1003	29.500	29.500	29.500	29.500
1/27/2019	22:06:24	32.14	4.0011	4.1386	4.1010	4.0966	29.500	29.500	29.500	29.500
1/27/2019	22:06:26	33.91	4.0007	4.1390	4.1003	4.0962	29.500	29.500	29.500	29.500
1/27/2019	22:06:28	35.97	3.9958	4.1397	4.0986	4.0951	29.500	29.500	29.500	29.500
1/27/2019	22:06:30	37.55	3.9958	4.1377	4.0977	4.0965	29.500	29.500	29.500	29.500
1/27/2019	22:06:32	39.64	3.9954	4.1384	4.0957	4.0962	29.500	29.500	29.500	29.500
1/27/2019	22:06:33	41.28	3.9968	4.1356	4.0964	4.0960	29.500	29.500	29.500	29.500
1/27/2019	22:06:35	42.56	3.9987	4.1352	4.0943	4.0936	29.500	29.500	29.500	29.500
1/27/2019	22:06:37	44.72	3.9947	4.1324	4.0931	4.0944	29.500	29.500	29.500	29.500
1/27/2019	22:06:39	46.78	3.9953	4.1310	4.0909	4.0939	29.500	29.500	29.500	29.500
1/27/2019	22:06:41	48.44	3.9936	4.1324	4.0903	4.0962	29.500	29.500	29.500	29.500
1/27/2019	22:06:42	50.14	3.9975	4.1347	4.0922	4.0933	29.500	29.500	29.500	29.500
1/27/2019	22:06:44	52.27	3.9952	4.1360	4.0926	4.0935	29.500	29.500	29.500	29.500
1/27/2019	22:06:46	54.33	3.9960	4.1344	4.0927	4.0924	29.500	29.500	29.500	29.500
1/27/2019	22:06:49	56.86	3.9923	4.1334	4.0909	4.0926	29.500	29.500	29.500	29.500
1/27/2019	22:06:50	58.30	3.9926	4.1342	4.0894	4.0897	29.500	29.500	29.500	29.500
1/27/2019	22:06:52	60.17	3.9892	4.1328	4.0910	4.0885	29.500	29.500	29.500	29.500
1/27/2019	22:06:54	62.20	3.9881	4.1319	4.0891	4.0888	29.500	29.500	29.500	29.500
1/27/2019	22:06:56	64.14	3.9878	4.1303	4.0880	4.0875	29.500	29.500	29.500	29.500
1/27/2019	22:06:58	66.30	3.9884	4.1297	4.0843	4.0886	29.500	29.500	29.500	29.500
1/27/2019	22:07:00	68.05	3.9898	4.1305	4.0850	4.0895	29.500	29.500	29.500	29.500
1/27/2019	22:07:02	69.75	3.9855	4.1281	4.0847	4.0918	29.500	29.500	29.500	29.500
1/27/2019	22:07:03	71.22	3.9844	4.1277	4.0838	4.0884	29.500	29.500	29.500	29.500
1/27/2019	22:07:05	72.53	3.9809	4.1255	4.0832	4.0850	29.500	29.500	29.500	29.500
1/27/2019	22:07:06	73.80	3.9811	4.1263	4.0832	4.0839	29.500	29.500	29.500	29.500
1/27/2019	22:07:07	74.92	3.9786	4.1278	4.0819	4.0847	29.500	29.500	29.500	29.500
1/27/2019	22:07:09	76.59	3.9794	4.1268	4.0810	4.0844	29.500	29.500	29.500	29.500
1/27/2019	22:07:11	78.77	3.9806	4.1277	4.0786	4.0827	29.500	29.500	29.500	29.500
1/27/2019	22:07:12	80.20	3.9773	4.1279	4.0812	4.0828	29.500	29.500	29.500	29.500
1/27/2019	22:07:14	81.72	3.9752	4.1281	4.0797	4.0825	29.500	29.500	29.500	29.500
1/27/2019	22:07:15	83.22	3.9723	4.1246	4.0797	4.0822	29.500	29.500	29.500	29.500
1/27/2019	22:07:17	84.45	3.9734	4.1217	4.0778	4.0807	29.500	29.500	29.500	29.500
1/27/2019	22:07:18	85.77	3.9749	4.1213	4.0772	4.0803	29.500	29.500	29.500	29.500
1/27/2019	22:07:20	87.77	3.9770	4.1235	4.0773	4.0808	29.500	29.500	29.500	29.500
1/27/2019	22:07:21	89.19	3.9764	4.1241	4.0759	4.0813	29.500	29.500	29.500	29.500
1/27/2019	22:07:23	90.69	3.9734	4.1255	4.0755	4.0825	29.500	29.500	29.500	29.500
1/27/2019	22:07:24	92.08	3.9708	4.1260	4.0722	4.0814	29.500	29.500	29.500	29.500
1/27/2019	22:07:26	93.47	3.9715	4.1251	4.0710	4.0807	29.500	29.500	29.500	29.500
1/27/2019	22:07:27	95.20	3.9728	4.1238	4.0721	4.0800	29.500	29.500	29.500	29.500
1/27/2019	22:07:29	96.72	3.9715	4.1229	4.0729	4.0807	29.500	29.500	29.500	29.500
1/27/2019	22:07:30	98.02	3.9729	4.1228	4.0725	4.0786	29.500	29.500	29.500	29.500
1/27/2019	22:07:31	99.36	3.9707	4.1220	4.0714	4.0773	29.500	29.500	29.500	29.500
1/27/2019	22:07:33	101.34	3.9687	4.1213	4.0707	4.0738	29.500	29.500	29.500	29.500
1/27/2019	22:07:35	102.87	3.9645	4.1224	4.0715	4.0739	29.500	29.500	29.500	29.500
1/27/2019	22:07:37	104.72	3.9633	4.1229	4.0701	4.0727	29.500	29.500	29.500	29.500
1/27/2019	22:07:38	106.27	3.9644	4.1225	4.0686	4.0732	29.500	29.500	29.500	29.500
1/27/2019	22:07:39	107.31	3.9666	4.1211	4.0662	4.0726	29.500	29.500	29.500	29.500
1/27/2019	22:07:41	108.47	3.9678	4.1211	4.0660	4.0721	29.500	29.500	29.500	29.500
1/27/2019	22:07:42	109.81	3.9679	4.1220	4.0679	4.0723	29.500	29.500	29.500	29.500
1/27/2019	22:07:43	111.20	3.9664	4.1233	4.0688	4.0710	29.500	29.500	29.500	29.500
1/27/2019	22:07:45	112.72	3.9652	4.1234	4.0689	4.0733	29.500	29.500	29.500	29.500
1/27/2019	22:07:46	114.31	3.9647	4.1226	4.0677	4.0745	29.500	29.500	29.500	29.500
1/27/2019	22:07:48	115.61	3.9627	4.1207	4.0662	4.0765	29.500	29.500	29.500	29.500
1/27/2019	22:07:50	117.42	3.9626	4.1194	4.0647	4.0762	29.500	29.500	29.500	29.500
1/27/2019	22:07:51	118.80	3.9643	4.1177	4.0644	4.0748	29.500	29.500	29.500	29.500
1/27/2019	22:07:52	120.19	3.9648	4.1175	4.0644	4.0727	29.500	29.500	29.500	29.500
1/27/2019	22:07:54	121.81	3.9634	4.1166	4.0665	4.0707	29.500	29.500	29.500	29.500
1/27/2019	22:07:56	123.41	3.9616	4.1183	4.0660	4.0693	29.500	29.500	29.500	29.500
1/27/2019	22:07:57	124.59	3.9602	4.1177	4.0654	4.0670	29.500	29.500	29.500	29.500
1/27/2019	22:07:58	125.86	3.9608	4.1179	4.0635	4.0661	29.500	29.500	29.500	29.500
1/27/2019	22:07:59	127.16	3.9599	4.1166	4.0642	4.0651	29.500	29.500	29.500	29.500
1/27/2019	22:08:01	128.42	3.9572	4.1169	4.0635	4.0686	29.500	29.500	29.500	29.500
1/27/2019	22:08:02	129.95	3.9577	4.1172	4.0628	4.0671	29.500	29.500	29.500	29.500
1/27/2019	22:08:03	131.27	3.9580	4.1179	4.0596	4.0687	29.500	29.500	29.500	29.500
1/27/2019	22:08:05	132.56	3.9592	4.1162	4.0591	4.0666	29.500	29.500	29.500	29.500
1/27/2019	22:08:06	133.94	3.9583	4.1159	4.0585	4.0666	29.500	29.500	29.500	29.500
1/27/2019	22:08:07	135.30	3.9583	4.1159	4.0582	4.0652	29.500	29.500	29.500	29.500
1/27/2019	22:08:09	136.61	3.9590	4.1174	4.0583	4.0650	29.500	29.500	29.500	29.500
1/27/2019	22:08:10	137.95	3.9572	4.1164	4.0593	4.0653	29.500	29.500	29.500	29.500
1/27/2019	22:08:12	139.84	3.9549	4.1152	4.0602	4.0653	29.500	29.500	29.500	29.500
1/27/2019	22:08:13	141.05	3.9549	4.1139	4.0585	4.0641	29.500	29.500	29.500	29.500
1/27/2019	22:08:15	142.86	3.9567	4.1155	4.0550	4.0623	29.500	29.500	29.500	29.500
1/27/2019	22:08:17	144.70	3.9556	4.1130	4.0529	4.0616	29.500	29.500	29.500	29.500
1/27/2019	22:08:18	146.16	3.9547	4.1140	4.0550	4.0618	29.500	29.500	29.500	29.500
1/27/2019	22:08:20	148.25	3.9526	4.1123	4.0556	4.0621	29.500	29.500	29.500	29.500
1/27/2019	22:08:22	149.80	3.9532	4.1140	4.0560	4.0602	29.500	29.500	29.500	29.500
1/27/2019	22:08:23	151.11	3.9513	4.1133	4.0530	4.0581	29.500	29.500	29.500	29.500
1/27/2019	22:08:25	152.61	3.9490	4.1126	4.0512	4.0570	29.500	29.500	29.500	29.500
1/27/2019	22:08:26	154.17	3.9475	4.1126	4.0513	4.0597	29.500	29.500	29.500	29.500
1/27/2019	22:08:28	155.61	3.9493	4.1101	4.0508	4.0608	29.500	29.500	29.500	29.500
1/27/2019	22:08:30	158.23	3.9501	4.1096	4.0512	4.0606	29.500	29.500	29.500	29.500
1/27/2019	22:08:32	159.86	3.9484	4.1088	4.0495	4.0597	29.500	29.500	29.500	29.500
1/27/2019	22:08:34	162.12	3.9447	4.1120	4.0485	4.0591	29.500	29.500	29.500	29.500
1/27/2019	22:08:36	164.23	3.9423	4.1111	4.0473	4.0589	29.500	29.500	29.500	29.500
1/27/2019	22:08:38	165.84	3.9416	4.1091	4.0459	4.0591	29.500	29.500	29.500	29.500
1/27/2019	22:08:40	167.80	3.9406	4.1074	4.0455	4.0583	29.500	29.500	29.500	29.500
1/27/2019	22:08:42	169.58	3.9388	4.1086	4.0445	4.0575	29.500	29.500	29.500	29.500
1/27/2019	22:08:43	171.23	3.9361	4.1092	4.0453	4.0529	29.500	29.500	29.500	29.500
1/27/2019	22:08:45	173.33	3.9348	4.1086	4.0444	4.0518	29.500	29.500	29.500	29.500
1/27/2019	22:08:47	174.47	3.9349	4.1075	4.0457	4.0528	29.500	29.500	29.500	29.500
1/27/2019	22:08:48	176.08	3.9339	4.1078	4.0461	4.0531	29.500	29.500	29.500	29.500
1/27/2019	22:08:50	178.16	3.9316	4.1090	4.0452	4.0533	29.500	29.500	29.500	29.500
1/27/2019	22:08:52	180.08	3.9298	4.1094	4.0435	4.0506	29.500	29.500	29.500	29.500
1/27/2019	22:08:55	183.05	3.9282	4.1079	4.0413	4.0506	29.500	29.500	29.500	29.500
