Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_27A	Ch2_O2_13|T2_27A	Ch3_O2_14|T2_27A	Ch4_O2_15|T2_27A	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	08:03:36	300.00	3.9606	4.1475	4.1122	4.2630	27.000	27.000	27.000	27.000
1/28/2019	08:03:37	301.42	3.9609	4.1449	4.1118	4.2614	27.000	27.000	27.000	27.000
1/28/2019	08:03:39	302.70	3.9640	4.1436	4.1097	4.2610	27.000	27.000	27.000	27.000
1/28/2019	08:03:40	304.12	3.9626	4.1425	4.1094	4.2606	27.000	27.000	27.000	27.000
1/28/2019	08:03:42	305.61	3.9641	4.1445	4.1094	4.2578	27.000	27.000	27.000	27.000
1/28/2019	08:03:43	306.94	3.9612	4.1464	4.1104	4.2560	27.000	27.000	27.000	27.000
1/28/2019	08:03:44	308.30	3.9599	4.1490	4.1119	4.2541	27.000	27.000	27.000	27.000
1/28/2019	08:03:46	309.70	3.9568	4.1487	4.1114	4.2548	27.000	27.000	27.000	27.000
1/28/2019	08:03:47	310.98	3.9573	4.1485	4.1116	4.2536	27.000	27.000	27.000	27.000
1/28/2019	08:03:49	312.48	3.9563	4.1493	4.1094	4.2544	27.000	27.000	27.000	27.000
1/28/2019	08:03:50	313.92	3.9538	4.1507	4.1111	4.2553	27.000	27.000	27.000	27.000
1/28/2019	08:03:51	315.39	3.9538	4.1502	4.1118	4.2583	27.000	27.000	27.000	27.000
1/28/2019	08:03:53	316.91	3.9542	4.1495	4.1146	4.2576	27.000	27.000	27.000	27.000
1/28/2019	08:03:54	318.44	3.9541	4.1473	4.1122	4.2582	27.000	27.000	27.000	27.000
1/28/2019	08:03:56	319.95	3.9542	4.1471	4.1107	4.2588	27.000	27.000	27.000	27.000
1/28/2019	08:03:58	321.47	3.9533	4.1450	4.1095	4.2593	27.000	27.000	27.000	27.000
1/28/2019	08:03:59	322.81	3.9535	4.1442	4.1104	4.2596	27.000	27.000	27.000	27.000
1/28/2019	08:04:00	324.17	3.9510	4.1431	4.1108	4.2568	27.000	27.000	27.000	27.000
1/28/2019	08:04:02	325.75	3.9503	4.1417	4.1121	4.2546	27.000	27.000	27.000	27.000
1/28/2019	08:04:03	327.27	3.9497	4.1410	4.1123	4.2534	27.000	27.000	27.000	27.000
