Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_29.5A	Ch2_O2_13|T2_29.5A	Ch3_O2_14|T2_29.5A	Ch4_O2_15|T2_29.5A	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	07:12:52	0.00	4.0310	4.1593	4.2794	4.3974	27.000	27.000	27.000	27.000
1/28/2019	07:12:54	2.28	4.0316	4.1602	4.2767	4.3934	27.000	27.000	27.000	27.000
1/28/2019	07:12:56	3.62	4.0304	4.1617	4.2737	4.3853	27.000	27.000	27.000	27.000
1/28/2019	07:12:57	5.27	4.0314	4.1610	4.2706	4.3814	27.000	27.000	27.000	27.000
1/28/2019	07:12:59	6.55	4.0314	4.1608	4.2690	4.3792	27.000	27.000	27.000	27.000
1/28/2019	07:13:00	8.20	4.0303	4.1612	4.2690	4.3797	27.000	27.000	27.000	27.000
1/28/2019	07:13:02	9.58	4.0287	4.1616	4.2694	4.3778	27.000	27.000	27.000	27.000
1/28/2019	07:13:03	11.41	4.0271	4.1624	4.2681	4.3735	27.000	27.000	27.000	27.000
1/28/2019	07:13:05	13.50	4.0272	4.1613	4.2655	4.3694	27.000	27.000	27.000	27.000
1/28/2019	07:13:07	15.31	4.0288	4.1612	4.2642	4.3658	27.000	27.000	27.000	27.000
1/28/2019	07:13:09	17.30	4.0316	4.1607	4.2628	4.3634	27.000	27.000	27.000	27.000
1/28/2019	07:13:11	19.05	4.0324	4.1603	4.2621	4.3624	27.000	27.000	27.000	27.000
1/28/2019	07:13:13	20.72	4.0334	4.1602	4.2605	4.3606	27.000	27.000	27.000	27.000
1/28/2019	07:13:14	22.37	4.0316	4.1600	4.2599	4.3587	27.000	27.000	27.000	27.000
1/28/2019	07:13:16	24.27	4.0317	4.1619	4.2610	4.3567	27.000	27.000	27.000	27.000
1/28/2019	07:13:18	26.03	4.0301	4.1627	4.2591	4.3554	27.000	27.000	27.000	27.000
1/28/2019	07:13:20	27.72	4.0308	4.1631	4.2585	4.3536	27.000	27.000	27.000	27.000
1/28/2019	07:13:21	29.45	4.0294	4.1623	4.2576	4.3513	27.000	27.000	27.000	27.000
1/28/2019	07:13:23	31.44	4.0291	4.1617	4.2585	4.3498	27.000	27.000	27.000	27.000
1/28/2019	07:13:26	33.58	4.0280	4.1600	4.2576	4.3483	27.000	27.000	27.000	27.000
1/28/2019	07:13:27	35.23	4.0268	4.1596	4.2576	4.3469	27.000	27.000	27.000	27.000
1/28/2019	07:13:29	36.73	4.0255	4.1583	4.2579	4.3479	27.000	27.000	27.000	27.000
1/28/2019	07:13:30	38.20	4.0247	4.1586	4.2586	4.3477	27.000	27.000	27.000	27.000
1/28/2019	07:13:32	39.72	4.0274	4.1589	4.2566	4.3489	27.000	27.000	27.000	27.000
1/28/2019	07:13:33	41.48	4.0278	4.1599	4.2545	4.3481	27.000	27.000	27.000	27.000
1/28/2019	07:13:35	42.83	4.0277	4.1602	4.2529	4.3494	27.000	27.000	27.000	27.000
1/28/2019	07:13:36	44.45	4.0267	4.1598	4.2508	4.3460	27.000	27.000	27.000	27.000
1/28/2019	07:13:38	45.98	4.0270	4.1595	4.2499	4.3424	27.000	27.000	27.000	27.000
1/28/2019	07:13:39	47.50	4.0275	4.1609	4.2493	4.3373	27.000	27.000	27.000	27.000
1/28/2019	07:13:41	48.81	4.0270	4.1605	4.2503	4.3340	27.000	27.000	27.000	27.000
1/28/2019	07:13:42	50.42	4.0252	4.1616	4.2515	4.3273	27.000	27.000	27.000	27.000
1/28/2019	07:13:44	51.77	4.0258	4.1602	4.2515	4.3241	27.000	27.000	27.000	27.000
1/28/2019	07:13:46	53.58	4.0257	4.1604	4.2505	4.3215	27.000	27.000	27.000	27.000
1/28/2019	07:13:47	55.09	4.0284	4.1600	4.2492	4.3228	27.000	27.000	27.000	27.000
1/28/2019	07:13:49	56.70	4.0283	4.1618	4.2477	4.3214	27.000	27.000	27.000	27.000
1/28/2019	07:13:50	58.28	4.0284	4.1618	4.2489	4.3232	27.000	27.000	27.000	27.000
1/28/2019	07:13:52	59.98	4.0290	4.1630	4.2476	4.3224	27.000	27.000	27.000	27.000
1/28/2019	07:13:53	61.52	4.0274	4.1625	4.2473	4.3215	27.000	27.000	27.000	27.000
1/28/2019	07:13:55	62.98	4.0270	4.1631	4.2460	4.3171	27.000	27.000	27.000	27.000
1/28/2019	07:13:56	64.50	4.0255	4.1603	4.2445	4.3126	27.000	27.000	27.000	27.000
1/28/2019	07:13:58	65.84	4.0257	4.1598	4.2432	4.3074	27.000	27.000	27.000	27.000
1/28/2019	07:13:59	67.44	4.0255	4.1585	4.2399	4.3038	27.000	27.000	27.000	27.000
1/28/2019	07:14:01	69.48	4.0251	4.1607	4.2387	4.3012	27.000	27.000	27.000	27.000
1/28/2019	07:14:03	71.30	4.0268	4.1600	4.2390	4.2984	27.000	27.000	27.000	27.000
1/28/2019	07:14:05	72.78	4.0276	4.1609	4.2386	4.2945	27.000	27.000	27.000	27.000
1/28/2019	07:14:06	74.52	4.0270	4.1608	4.2376	4.2924	27.000	27.000	27.000	27.000
1/28/2019	07:14:08	76.06	4.0251	4.1607	4.2336	4.2902	27.000	27.000	27.000	27.000
1/28/2019	07:14:10	77.69	4.0229	4.1611	4.2322	4.2892	27.000	27.000	27.000	27.000
1/28/2019	07:14:11	79.39	4.0234	4.1608	4.2322	4.2857	27.000	27.000	27.000	27.000
1/28/2019	07:14:13	80.59	4.0248	4.1611	4.2328	4.2837	27.000	27.000	27.000	27.000
1/28/2019	07:14:14	82.17	4.0251	4.1600	4.2329	4.2805	27.000	27.000	27.000	27.000
1/28/2019	07:14:16	83.92	4.0244	4.1617	4.2312	4.2791	27.000	27.000	27.000	27.000
1/28/2019	07:14:17	85.39	4.0220	4.1619	4.2308	4.2792	27.000	27.000	27.000	27.000
1/28/2019	07:14:19	86.84	4.0218	4.1627	4.2312	4.2813	27.000	27.000	27.000	27.000
1/28/2019	07:14:20	88.27	4.0222	4.1603	4.2306	4.2810	27.000	27.000	27.000	27.000
1/28/2019	07:14:22	90.08	4.0235	4.1609	4.2297	4.2802	27.000	27.000	27.000	27.000
1/28/2019	07:14:24	91.61	4.0241	4.1608	4.2251	4.2763	27.000	27.000	27.000	27.000
1/28/2019	07:14:25	93.09	4.0235	4.1617	4.2237	4.2752	27.000	27.000	27.000	27.000
1/28/2019	07:14:27	94.58	4.0240	4.1621	4.2231	4.2732	27.000	27.000	27.000	27.000
1/28/2019	07:14:28	96.03	4.0237	4.1635	4.2242	4.2707	27.000	27.000	27.000	27.000
1/28/2019	07:14:30	97.72	4.0221	4.1623	4.2231	4.2672	27.000	27.000	27.000	27.000
1/28/2019	07:14:31	99.02	4.0191	4.1614	4.2224	4.2652	27.000	27.000	27.000	27.000
1/28/2019	07:14:33	100.56	4.0187	4.1598	4.2228	4.2652	27.000	27.000	27.000	27.000
1/28/2019	07:14:34	102.28	4.0201	4.1627	4.2234	4.2649	27.000	27.000	27.000	27.000
1/28/2019	07:14:36	103.77	4.0225	4.1625	4.2218	4.2626	27.000	27.000	27.000	27.000
1/28/2019	07:14:37	105.27	4.0248	4.1633	4.2203	4.2607	27.000	27.000	27.000	27.000
1/28/2019	07:14:39	106.81	4.0253	4.1613	4.2193	4.2599	27.000	27.000	27.000	27.000
1/28/2019	07:14:40	108.17	4.0266	4.1624	4.2192	4.2587	27.000	27.000	27.000	27.000
1/28/2019	07:14:42	109.80	4.0256	4.1635	4.2172	4.2582	27.000	27.000	27.000	27.000
1/28/2019	07:14:43	111.30	4.0256	4.1649	4.2169	4.2602	27.000	27.000	27.000	27.000
1/28/2019	07:14:45	112.87	4.0234	4.1641	4.2147	4.2627	27.000	27.000	27.000	27.000
1/28/2019	07:14:46	114.37	4.0220	4.1637	4.2138	4.2631	27.000	27.000	27.000	27.000
1/28/2019	07:14:48	115.89	4.0212	4.1630	4.2127	4.2608	27.000	27.000	27.000	27.000
1/28/2019	07:14:49	117.52	4.0211	4.1624	4.2124	4.2592	27.000	27.000	27.000	27.000
1/28/2019	07:14:51	119.11	4.0218	4.1608	4.2114	4.2592	27.000	27.000	27.000	27.000
1/28/2019	07:14:53	120.59	4.0202	4.1595	4.2095	4.2596	27.000	27.000	27.000	27.000
1/28/2019	07:14:54	121.77	4.0210	4.1599	4.2089	4.2588	27.000	27.000	27.000	27.000
1/28/2019	07:14:55	123.11	4.0210	4.1595	4.2094	4.2574	27.000	27.000	27.000	27.000
1/28/2019	07:14:57	124.81	4.0233	4.1607	4.2091	4.2545	27.000	27.000	27.000	27.000
