Date	Time_HH:MM:SS	Time_sec	Ch1_O2_09|T2_34.5B	Ch2_O2_13|T2_34.5B	Ch3_O2_14|T2_34.5B	Ch4_O2_15|T2_34.5B	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/28/2019	05:53:44	0.00	4.0811	4.2594	4.1203	4.1972	27.000	27.000	27.000	27.000
1/28/2019	05:53:46	2.23	4.0830	4.2597	4.1205	4.1984	27.000	27.000	27.000	27.000
1/28/2019	05:53:48	3.50	4.0865	4.2586	4.1203	4.1994	27.000	27.000	27.000	27.000
1/28/2019	05:53:49	4.59	4.0921	4.2575	4.1209	4.1987	27.000	27.000	27.000	27.000
1/28/2019	05:53:50	5.61	4.0893	4.2550	4.1197	4.1946	27.000	27.000	27.000	27.000
1/28/2019	05:53:51	6.62	4.0892	4.2526	4.1180	4.1929	27.000	27.000	27.000	27.000
1/28/2019	05:53:52	7.70	4.0868	4.2511	4.1167	4.1938	27.000	27.000	27.000	27.000
1/28/2019	05:53:53	8.84	4.0879	4.2520	4.1157	4.1941	27.000	27.000	27.000	27.000
1/28/2019	05:53:54	9.97	4.0862	4.2523	4.1158	4.1925	27.000	27.000	27.000	27.000
1/28/2019	05:53:55	10.97	4.0863	4.2516	4.1161	4.1924	27.000	27.000	27.000	27.000
1/28/2019	05:53:56	12.08	4.0839	4.2495	4.1166	4.1899	27.000	27.000	27.000	27.000
1/28/2019	05:53:57	13.20	4.0835	4.2477	4.1152	4.1868	27.000	27.000	27.000	27.000
1/28/2019	05:53:58	14.25	4.0823	4.2461	4.1135	4.1836	27.000	27.000	27.000	27.000
1/28/2019	05:54:00	15.55	4.0822	4.2467	4.1129	4.1842	27.000	27.000	27.000	27.000
1/28/2019	05:54:01	17.20	4.0802	4.2467	4.1127	4.1868	27.000	27.000	27.000	27.000
1/28/2019	05:54:02	18.23	4.0818	4.2466	4.1137	4.1869	27.000	27.000	27.000	27.000
1/28/2019	05:54:03	19.25	4.0835	4.2468	4.1133	4.1881	27.000	27.000	27.000	27.000
1/28/2019	05:54:04	20.27	4.0865	4.2454	4.1140	4.1868	27.000	27.000	27.000	27.000
1/28/2019	05:54:05	21.28	4.0867	4.2462	4.1124	4.1871	27.000	27.000	27.000	27.000
1/28/2019	05:54:06	22.42	4.0871	4.2443	4.1111	4.1863	27.000	27.000	27.000	27.000
1/28/2019	05:54:08	23.53	4.0871	4.2436	4.1099	4.1872	27.000	27.000	27.000	27.000
1/28/2019	05:54:09	24.70	4.0872	4.2414	4.1092	4.1880	27.000	27.000	27.000	27.000
1/28/2019	05:54:10	25.73	4.0867	4.2404	4.1076	4.1863	27.000	27.000	27.000	27.000
1/28/2019	05:54:11	26.78	4.0862	4.2388	4.1066	4.1846	27.000	27.000	27.000	27.000
1/28/2019	05:54:12	28.11	4.0835	4.2387	4.1049	4.1813	27.000	27.000	27.000	27.000
1/28/2019	05:54:13	29.27	4.0797	4.2373	4.1046	4.1836	27.000	27.000	27.000	27.000
1/28/2019	05:54:15	30.50	4.0794	4.2385	4.1057	4.1819	27.000	27.000	27.000	27.000
1/28/2019	05:54:16	32.02	4.0792	4.2383	4.1072	4.1817	27.000	27.000	27.000	27.000
1/28/2019	05:54:17	33.30	4.0804	4.2380	4.1083	4.1807	27.000	27.000	27.000	27.000
1/28/2019	05:54:19	34.67	4.0804	4.2373	4.1068	4.1828	27.000	27.000	27.000	27.000
1/28/2019	05:54:20	35.92	4.0788	4.2365	4.1070	4.1840	27.000	27.000	27.000	27.000
1/28/2019	05:54:21	37.03	4.0768	4.2363	4.1071	4.1793	27.000	27.000	27.000	27.000
1/28/2019	05:54:23	38.61	4.0732	4.2344	4.1053	4.1770	27.000	27.000	27.000	27.000
1/28/2019	05:54:24	39.72	4.0715	4.2335	4.1052	4.1751	27.000	27.000	27.000	27.000
1/28/2019	05:54:25	40.77	4.0684	4.2332	4.1037	4.1776	27.000	27.000	27.000	27.000
1/28/2019	05:54:26	41.84	4.0663	4.2344	4.1044	4.1778	27.000	27.000	27.000	27.000
1/28/2019	05:54:27	43.34	4.0655	4.2355	4.1036	4.1779	27.000	27.000	27.000	27.000
1/28/2019	05:54:29	44.59	4.0659	4.2352	4.1027	4.1773	27.000	27.000	27.000	27.000
1/28/2019	05:54:30	45.78	4.0655	4.2332	4.1029	4.1747	27.000	27.000	27.000	27.000
1/28/2019	05:54:31	47.02	4.0660	4.2308	4.1028	4.1724	27.000	27.000	27.000	27.000
1/28/2019	05:54:32	48.30	4.0663	4.2302	4.1033	4.1720	27.000	27.000	27.000	27.000
1/28/2019	05:54:34	49.62	4.0689	4.2295	4.1016	4.1720	27.000	27.000	27.000	27.000
1/28/2019	05:54:35	50.70	4.0664	4.2284	4.1011	4.1720	27.000	27.000	27.000	27.000
