4/8/2023/6:51 AM SW ver:OXY10v3_33
Header Ch-6
Description: Shall_06_Respiration 
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 98546
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 038800
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016500
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/8/2023;6:51:31 AM;0.00;97.080;26.600;7059.000;29.000
4/8/2023;6:51:37 AM;0.09;97.070;26.600;7065.000;29.000
4/8/2023;6:51:52 AM;0.35;96.640;26.650;7057.000;29.000
4/8/2023;6:52:07 AM;0.60;95.430;26.780;7039.000;29.000
4/8/2023;6:52:22 AM;0.85;94.530;26.880;7081.000;29.000
4/8/2023;6:52:37 AM;1.09;94.210;26.920;7033.000;29.000
4/8/2023;6:52:52 AM;1.35;94.850;26.840;7042.000;29.000
4/8/2023;6:53:07 AM;1.59;97.420;26.570;7043.000;29.000
4/8/2023;6:53:22 AM;1.84;94.640;26.870;7047.000;29.000
4/8/2023;6:53:37 AM;2.10;95.800;26.740;7069.000;29.000
4/8/2023;6:53:52 AM;2.34;96.090;26.710;7082.000;29.000
4/8/2023;6:54:07 AM;2.60;94.330;26.900;7065.000;29.000
4/8/2023;6:54:22 AM;2.84;96.120;26.710;7061.000;29.000
4/8/2023;6:54:37 AM;3.10;91.730;27.200;7087.000;29.000
4/8/2023;6:54:52 AM;3.35;96.430;26.670;7057.000;29.000
4/8/2023;6:55:07 AM;3.60;95.730;26.750;7087.000;29.000
4/8/2023;6:55:22 AM;3.84;93.690;26.970;7057.000;29.000
4/8/2023;6:55:37 AM;4.10;93.120;27.040;7054.000;29.000
4/8/2023;6:55:52 AM;4.35;93.140;27.040;7061.000;29.000
4/8/2023;6:56:07 AM;4.60;93.790;26.960;7022.000;29.000
4/8/2023;6:56:22 AM;4.84;93.550;26.990;7062.000;29.000
4/8/2023;6:56:37 AM;5.10;94.970;26.830;7052.000;29.000
4/8/2023;6:56:52 AM;5.35;94.440;26.890;7065.000;29.000
4/8/2023;6:57:07 AM;5.59;93.300;27.020;7028.000;29.000
4/8/2023;6:57:22 AM;5.84;95.640;26.760;7069.000;29.000
4/8/2023;6:57:37 AM;6.09;93.120;27.040;7092.000;29.000
4/8/2023;6:57:52 AM;6.34;93.910;26.950;7064.000;29.000
4/8/2023;6:58:07 AM;6.59;93.130;27.040;7077.000;29.000
4/8/2023;6:58:22 AM;6.84;92.930;27.060;7061.000;29.000
4/8/2023;6:58:37 AM;7.09;93.130;27.040;7060.000;29.000
4/8/2023;6:58:52 AM;7.34;92.380;27.120;7061.000;29.000
4/8/2023;6:59:07 AM;7.59;91.970;27.170;7046.000;29.000
4/8/2023;6:59:22 AM;7.84;91.610;27.210;7049.000;29.000
4/8/2023;6:59:37 AM;8.09;92.120;27.150;7070.000;29.000
4/8/2023;6:59:52 AM;8.34;92.810;27.070;7082.000;29.000
4/8/2023;7:00:07 AM;8.59;90.860;27.300;7059.000;29.000
4/8/2023;7:00:22 AM;8.84;90.640;27.320;7094.000;29.000
4/8/2023;7:00:37 AM;9.09;90.220;27.370;7072.000;29.000
4/8/2023;7:00:52 AM;9.34;91.440;27.230;7075.000;29.000
4/8/2023;7:01:07 AM;9.59;92.060;27.160;7104.000;29.000
4/8/2023;7:01:22 AM;9.84;92.230;27.140;7064.000;29.000
4/8/2023;7:01:37 AM;10.09;90.350;27.360;7038.000;29.000
4/8/2023;7:01:52 AM;10.34;90.940;27.290;7078.000;29.000
4/8/2023;7:02:07 AM;10.59;90.010;27.400;7068.000;29.000
4/8/2023;7:02:22 AM;10.84;91.110;27.270;7074.000;29.000
4/8/2023;7:02:37 AM;11.09;90.970;27.280;7106.000;29.000
4/8/2023;7:02:52 AM;11.34;89.940;27.400;7125.000;29.000
4/8/2023;7:03:07 AM;11.59;88.920;27.520;7075.000;29.000
4/8/2023;7:03:22 AM;11.84;88.680;27.550;7071.000;29.000
4/8/2023;7:03:37 AM;12.09;89.130;27.500;7102.000;29.000
4/8/2023;7:03:52 AM;12.34;89.200;27.490;7087.000;29.000
4/8/2023;7:04:07 AM;12.59;89.490;27.460;7110.000;29.000
4/8/2023;7:04:22 AM;12.84;88.750;27.550;7105.000;29.000
4/8/2023;7:04:37 AM;13.09;89.150;27.500;7141.000;29.000
4/8/2023;7:04:52 AM;13.34;88.040;27.630;7115.000;29.000
4/8/2023;7:05:07 AM;13.59;90.670;27.320;7125.000;29.000
4/8/2023;7:05:22 AM;13.84;87.730;27.670;7172.000;29.000
4/8/2023;7:05:37 AM;14.09;88.830;27.540;7146.000;29.000
4/8/2023;7:05:52 AM;14.34;89.380;27.470;7190.000;29.000
4/8/2023;7:06:07 AM;14.59;86.380;27.830;7168.000;29.000
4/8/2023;7:06:22 AM;14.84;88.140;27.620;7182.000;29.000
4/8/2023;7:06:37 AM;15.09;87.360;27.710;7160.000;29.000
4/8/2023;7:06:52 AM;15.34;87.830;27.660;7121.000;29.000
4/8/2023;7:07:07 AM;15.59;87.110;27.740;7161.000;29.000
4/8/2023;7:07:22 AM;15.84;87.190;27.730;7157.000;29.000
4/8/2023;7:07:37 AM;16.09;87.430;27.700;7186.000;29.000
4/8/2023;7:07:52 AM;16.34;88.320;27.600;7187.000;29.000
4/8/2023;7:08:07 AM;16.59;85.860;27.900;7206.000;29.000
4/8/2023;7:08:22 AM;16.84;84.830;28.030;7203.000;29.000
4/8/2023;7:08:37 AM;17.09;86.430;27.830;7194.000;29.000
4/8/2023;7:08:52 AM;17.34;86.190;27.860;7172.000;29.000
4/8/2023;7:09:07 AM;17.59;84.040;28.130;7196.000;29.000
4/8/2023;7:09:22 AM;17.84;86.570;27.810;7191.000;29.000
4/8/2023;7:09:37 AM;18.09;83.950;28.140;7216.000;29.000
4/8/2023;7:09:52 AM;18.34;85.690;27.920;7219.000;29.000
4/8/2023;7:10:07 AM;18.59;85.750;27.910;7210.000;29.000
4/8/2023;7:10:22 AM;18.84;83.930;28.140;7229.000;29.000
4/8/2023;7:10:37 AM;19.09;83.410;28.210;7218.000;29.000
4/8/2023;7:10:52 AM;19.34;84.570;28.060;7237.000;29.000
