4/8/2023/10:13 AM SW ver:OXY10v3_33
Header Ch-3
Description: Shall_03_400
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 96458
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.55 at 029.0°C amp 039300
100.00%a.s.phase 2: 26.16 at 029.0°C amp 016200
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/8/2023;10:13:50 AM;0.00;64.160;30.960;17662.000;29.000
4/8/2023;10:13:57 AM;0.12;63.690;31.040;17684.000;29.000
4/8/2023;10:14:12 AM;0.37;63.640;31.050;17669.000;29.000
4/8/2023;10:14:27 AM;0.62;64.620;30.880;17626.000;29.000
4/8/2023;10:14:42 AM;0.87;64.770;30.850;17633.000;29.000
4/8/2023;10:14:57 AM;1.12;64.090;30.970;17602.000;29.000
4/8/2023;10:15:12 AM;1.37;63.640;31.050;17608.000;29.000
4/8/2023;10:15:27 AM;1.62;65.190;30.780;17618.000;29.000
4/8/2023;10:15:42 AM;1.87;64.170;30.950;17600.000;29.000
4/8/2023;10:15:57 AM;2.12;64.420;30.910;17563.000;29.000
4/8/2023;10:16:12 AM;2.37;64.420;30.910;17627.000;29.000
4/8/2023;10:16:27 AM;2.62;64.400;30.910;17558.000;29.000
4/8/2023;10:16:42 AM;2.87;64.930;30.820;17553.000;29.000
4/8/2023;10:16:57 AM;3.12;63.840;31.010;17483.000;29.000
4/8/2023;10:17:12 AM;3.37;64.850;30.840;17511.000;29.000
4/8/2023;10:17:27 AM;3.62;65.050;30.800;17508.000;29.000
4/8/2023;10:17:42 AM;3.87;64.980;30.810;17457.000;29.000
4/8/2023;10:17:57 AM;4.12;65.940;30.650;17451.000;29.000
4/8/2023;10:18:12 AM;4.37;65.080;30.800;17482.000;29.000
4/8/2023;10:18:27 AM;4.62;65.320;30.750;17438.000;29.000
4/8/2023;10:18:42 AM;4.87;66.220;30.600;17481.000;29.000
4/8/2023;10:18:57 AM;5.12;65.610;30.700;17388.000;29.000
4/8/2023;10:19:12 AM;5.37;66.500;30.550;17404.000;29.000
4/8/2023;10:19:27 AM;5.62;66.070;30.630;17402.000;29.000
4/8/2023;10:19:42 AM;5.87;65.140;30.790;17407.000;29.000
4/8/2023;10:19:57 AM;6.12;65.900;30.660;17403.000;29.000
4/8/2023;10:20:12 AM;6.37;66.170;30.610;17345.000;29.000
4/8/2023;10:20:27 AM;6.62;66.320;30.580;17383.000;29.000
4/8/2023;10:20:42 AM;6.87;66.110;30.620;17325.000;29.000
4/8/2023;10:20:57 AM;7.12;66.320;30.580;17288.000;29.000
4/8/2023;10:21:12 AM;7.37;66.750;30.510;17254.000;29.000
4/8/2023;10:21:27 AM;7.62;67.730;30.350;17298.000;29.000
4/8/2023;10:21:42 AM;7.87;66.550;30.540;17264.000;29.000
4/8/2023;10:21:57 AM;8.12;67.290;30.420;17237.000;29.000
4/8/2023;10:22:12 AM;8.37;66.880;30.490;17257.000;29.000
4/8/2023;10:22:27 AM;8.62;66.920;30.480;17178.000;29.000
4/8/2023;10:22:42 AM;8.87;68.090;30.290;17201.000;29.000
4/8/2023;10:22:57 AM;9.12;67.230;30.430;17193.000;29.000
4/8/2023;10:23:12 AM;9.37;68.220;30.270;17116.000;29.000
4/8/2023;10:23:27 AM;9.62;67.800;30.340;17143.000;29.000
4/8/2023;10:23:42 AM;9.87;67.440;30.400;17124.000;29.000
4/8/2023;10:23:57 AM;10.12;67.990;30.310;17155.000;29.000
4/8/2023;10:24:12 AM;10.37;67.690;30.350;17094.000;29.000
4/8/2023;10:24:27 AM;10.62;68.410;30.240;17108.000;29.000
4/8/2023;10:24:42 AM;10.87;67.970;30.310;17065.000;29.000
4/8/2023;10:24:57 AM;11.12;68.760;30.180;17052.000;29.000
4/8/2023;10:25:12 AM;11.37;69.340;30.090;17041.000;29.000
4/8/2023;10:25:27 AM;11.62;68.910;30.160;17026.000;29.000
4/8/2023;10:25:42 AM;11.87;69.670;30.030;17031.000;29.000
4/8/2023;10:25:57 AM;12.12;69.880;30.000;17013.000;29.000
4/8/2023;10:26:12 AM;12.37;68.670;30.190;16962.000;29.000
4/8/2023;10:26:27 AM;12.62;69.240;30.100;16974.000;29.000
4/8/2023;10:26:42 AM;12.87;69.790;30.010;16956.000;29.000
4/8/2023;10:26:57 AM;13.12;68.770;30.180;16971.000;29.000
4/8/2023;10:27:12 AM;13.37;68.840;30.170;16928.000;29.000
4/8/2023;10:27:27 AM;13.62;70.360;29.920;16917.000;29.000
4/8/2023;10:27:42 AM;13.87;70.580;29.890;16892.000;29.000
4/8/2023;10:27:57 AM;14.12;69.190;30.110;16887.000;29.000
4/8/2023;10:28:12 AM;14.37;69.870;30.000;16811.000;29.000
4/8/2023;10:28:27 AM;14.62;70.450;29.910;16840.000;29.000
4/8/2023;10:28:42 AM;14.87;69.750;30.020;16769.000;29.000
4/8/2023;10:28:57 AM;15.12;71.650;29.720;16780.000;29.000
4/8/2023;10:29:12 AM;15.37;71.350;29.770;16771.000;29.000
4/8/2023;10:29:27 AM;15.62;70.610;29.880;16686.000;29.000
4/8/2023;10:29:42 AM;15.87;71.370;29.760;16665.000;29.000
4/8/2023;10:29:57 AM;16.12;71.300;29.780;16711.000;29.000
4/8/2023;10:30:12 AM;16.37;70.940;29.830;16691.000;29.000
4/8/2023;10:30:27 AM;16.62;71.610;29.730;16682.000;29.000
4/8/2023;10:30:42 AM;16.87;71.920;29.680;16732.000;29.000
4/8/2023;10:30:57 AM;17.12;71.190;29.790;16702.000;29.000
4/8/2023;10:31:12 AM;17.37;71.480;29.750;16677.000;29.000
4/8/2023;10:31:27 AM;17.62;70.880;29.840;16694.000;29.000
4/8/2023;10:31:42 AM;17.87;71.330;29.770;16698.000;29.000
4/8/2023;10:31:57 AM;18.12;71.370;29.770;16736.000;29.000
4/8/2023;10:32:12 AM;18.37;71.330;29.770;16701.000;29.000
4/8/2023;10:32:27 AM;18.62;71.500;29.740;16706.000;29.000
4/8/2023;10:32:42 AM;18.87;71.140;29.800;16742.000;29.000
4/8/2023;10:32:57 AM;19.12;71.130;29.800;16799.000;29.000
4/8/2023;10:33:12 AM;19.37;71.090;29.810;16780.000;29.000
4/8/2023;10:33:27 AM;19.62;70.160;29.950;16789.000;29.000
4/8/2023;10:33:42 AM;19.87;70.560;29.890;16784.000;29.000
4/8/2023;10:33:57 AM;20.12;70.620;29.880;16850.000;29.000
4/8/2023;10:34:12 AM;20.37;69.930;29.990;16835.000;29.000
4/8/2023;10:34:27 AM;20.62;70.220;29.950;16846.000;29.000
4/8/2023;10:34:42 AM;20.87;69.700;30.030;16863.000;29.000
4/8/2023;10:34:57 AM;21.12;70.490;29.900;16843.000;29.000
4/8/2023;10:35:12 AM;21.37;69.880;30.000;16892.000;29.000
4/8/2023;10:35:27 AM;21.62;69.720;30.030;16938.000;29.000
4/8/2023;10:35:42 AM;21.87;69.570;30.050;16940.000;29.000
4/8/2023;10:35:57 AM;22.12;69.210;30.110;16966.000;29.000
4/8/2023;10:36:12 AM;22.37;68.650;30.200;16986.000;29.000
4/8/2023;10:36:27 AM;22.62;69.020;30.140;16996.000;29.000
4/8/2023;10:36:42 AM;22.87;68.450;30.230;16997.000;29.000
4/8/2023;10:36:57 AM;23.12;68.400;30.240;17047.000;29.000
4/8/2023;10:37:12 AM;23.37;68.660;30.200;17053.000;29.000
4/8/2023;10:37:27 AM;23.62;68.690;30.190;17064.000;29.000
4/8/2023;10:37:42 AM;23.87;68.670;30.190;17111.000;29.000
4/8/2023;10:37:57 AM;24.12;68.550;30.210;17112.000;29.000
4/8/2023;10:38:12 AM;24.37;68.000;30.300;17130.000;29.000
4/8/2023;10:38:27 AM;24.62;68.220;30.270;17168.000;29.000
4/8/2023;10:38:42 AM;24.87;67.500;30.390;17178.000;29.000
4/8/2023;10:38:57 AM;25.12;67.390;30.400;17212.000;29.000
4/8/2023;10:39:12 AM;25.37;67.610;30.370;17199.000;29.000
4/8/2023;10:39:27 AM;25.62;66.790;30.500;17202.000;29.000
4/8/2023;10:39:42 AM;25.87;67.030;30.460;17268.000;29.000
4/8/2023;10:39:57 AM;26.12;66.290;30.590;17255.000;29.000
4/8/2023;10:40:12 AM;26.37;67.130;30.450;17286.000;29.000
4/8/2023;10:40:27 AM;26.62;65.570;30.710;17314.000;29.000
4/8/2023;10:40:42 AM;26.87;66.870;30.490;17319.000;29.000
4/8/2023;10:40:57 AM;27.12;66.090;30.620;17341.000;29.000
4/8/2023;10:41:12 AM;27.37;65.320;30.750;17366.000;29.000
4/8/2023;10:41:27 AM;27.62;65.790;30.670;17365.000;29.000
4/8/2023;10:41:42 AM;27.87;66.020;30.630;17411.000;29.000
4/8/2023;10:41:57 AM;28.12;65.510;30.720;17434.000;29.000
4/8/2023;10:42:12 AM;28.37;65.330;30.750;17458.000;29.000
4/8/2023;10:42:27 AM;28.62;65.050;30.800;17438.000;29.000
4/8/2023;10:42:42 AM;28.87;65.020;30.810;17484.000;29.000
4/8/2023;10:42:57 AM;29.12;65.090;30.790;17540.000;29.000
4/8/2023;10:43:12 AM;29.37;65.230;30.770;17556.000;29.000
4/8/2023;10:43:27 AM;29.62;63.830;31.010;17572.000;29.000
4/8/2023;10:43:42 AM;29.87;64.550;30.890;17595.000;29.000
4/8/2023;10:43:57 AM;30.12;63.670;31.040;17586.000;29.000
4/8/2023;10:44:12 AM;30.37;63.710;31.040;17621.000;29.000
4/8/2023;10:44:27 AM;30.62;63.590;31.060;17590.000;29.000
4/8/2023;10:44:42 AM;30.87;63.630;31.050;17652.000;29.000
4/8/2023;10:44:57 AM;31.12;63.510;31.070;17653.000;29.000
4/8/2023;10:45:12 AM;31.37;63.570;31.060;17672.000;29.000
4/8/2023;10:45:27 AM;31.62;63.110;31.140;17705.000;29.000
4/8/2023;10:45:42 AM;31.87;63.360;31.100;17716.000;29.000
4/8/2023;10:45:57 AM;32.12;62.870;31.190;17742.000;29.000
4/8/2023;10:46:12 AM;32.37;62.830;31.190;17766.000;29.000
4/8/2023;10:46:27 AM;32.62;62.320;31.280;17796.000;29.000
4/8/2023;10:46:42 AM;32.87;61.880;31.370;17783.000;29.000
