4/8/2023/12:21 PM SW ver:OXY10v3_33
Header Ch-6
Description: Shall_06_800
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 98546
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.49 at 029.0°C amp 038800
100.00%a.s.phase 2: 26.30 at 029.0°C amp 016500
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/8/2023;12:21:14 PM;0.00;79.260;28.760;16693.000;29.000
4/8/2023;12:21:16 PM;0.03;81.710;28.430;16628.000;29.000
4/8/2023;12:21:22 PM;0.12;80.110;28.650;16628.000;29.000
4/8/2023;12:21:37 PM;0.37;80.650;28.570;16604.000;29.000
4/8/2023;12:21:52 PM;0.63;80.270;28.620;16633.000;29.000
4/8/2023;12:22:07 PM;0.88;80.880;28.540;16710.000;29.000
4/8/2023;12:22:22 PM;1.13;80.160;28.640;16608.000;29.000
4/8/2023;12:22:37 PM;1.38;80.930;28.530;16605.000;29.000
4/8/2023;12:22:52 PM;1.62;79.980;28.660;16593.000;29.000
4/8/2023;12:23:07 PM;1.87;80.440;28.600;16607.000;29.000
4/8/2023;12:23:22 PM;2.12;81.020;28.520;16544.000;29.000
4/8/2023;12:23:37 PM;2.37;81.320;28.480;16533.000;29.000
4/8/2023;12:23:52 PM;2.62;81.470;28.460;16515.000;29.000
4/8/2023;12:24:07 PM;2.87;81.460;28.460;16451.000;29.000
4/8/2023;12:24:22 PM;3.12;81.790;28.420;16525.000;29.000
4/8/2023;12:24:37 PM;3.37;82.390;28.340;16439.000;29.000
4/8/2023;12:24:52 PM;3.62;81.790;28.420;16399.000;29.000
4/8/2023;12:25:07 PM;3.87;81.530;28.450;16386.000;29.000
4/8/2023;12:25:22 PM;4.12;82.800;28.290;16389.000;29.000
4/8/2023;12:25:37 PM;4.37;84.360;28.090;16372.000;29.000
4/8/2023;12:25:52 PM;4.62;81.870;28.410;16313.000;29.000
4/8/2023;12:26:07 PM;4.88;83.210;28.230;16215.000;29.000
4/8/2023;12:26:22 PM;5.12;85.560;27.940;16245.000;29.000
4/8/2023;12:26:37 PM;5.37;83.330;28.220;16273.000;29.000
4/8/2023;12:26:52 PM;5.62;85.360;27.960;16195.000;29.000
4/8/2023;12:27:07 PM;5.87;85.560;27.940;16210.000;29.000
4/8/2023;12:27:22 PM;6.12;86.900;27.770;16168.000;29.000
4/8/2023;12:27:37 PM;6.37;84.370;28.090;16126.000;29.000
4/8/2023;12:27:52 PM;6.62;85.580;27.930;16045.000;29.000
4/8/2023;12:28:07 PM;6.87;88.160;27.620;16005.000;29.000
4/8/2023;12:28:22 PM;7.12;86.110;27.870;16069.000;29.000
4/8/2023;12:28:37 PM;7.37;85.000;28.010;16071.000;29.000
4/8/2023;12:28:52 PM;7.62;86.090;27.870;15971.000;29.000
4/8/2023;12:29:07 PM;7.87;86.960;27.760;15977.000;29.000
4/8/2023;12:29:22 PM;8.12;86.400;27.830;15971.000;29.000
4/8/2023;12:29:37 PM;8.37;86.870;27.770;15935.000;29.000
4/8/2023;12:29:52 PM;8.62;86.790;27.780;15910.000;29.000
4/8/2023;12:30:07 PM;8.87;86.870;27.770;15860.000;29.000
4/8/2023;12:30:22 PM;9.12;88.910;27.530;15896.000;29.000
4/8/2023;12:30:37 PM;9.38;88.460;27.580;15807.000;29.000
4/8/2023;12:30:52 PM;9.62;88.610;27.560;15857.000;29.000
4/8/2023;12:31:07 PM;9.87;89.260;27.480;15835.000;29.000
4/8/2023;12:31:22 PM;10.12;91.580;27.210;15697.000;29.000
4/8/2023;12:31:37 PM;10.37;87.630;27.680;15678.000;29.000
4/8/2023;12:31:52 PM;10.63;89.820;27.420;15760.000;29.000
4/8/2023;12:32:07 PM;10.87;89.040;27.510;15588.000;29.000
4/8/2023;12:32:22 PM;11.13;91.510;27.220;15647.000;29.000
4/8/2023;12:32:37 PM;11.38;90.690;27.320;15550.000;29.000
4/8/2023;12:32:52 PM;11.63;91.910;27.170;15500.000;29.000
4/8/2023;12:33:07 PM;11.87;92.340;27.130;15594.000;29.000
4/8/2023;12:33:22 PM;12.12;90.910;27.290;15609.000;29.000
4/8/2023;12:33:37 PM;12.37;91.820;27.190;15461.000;29.000
4/8/2023;12:33:52 PM;12.62;92.570;27.100;15481.000;29.000
4/8/2023;12:34:07 PM;12.87;91.870;27.180;15459.000;29.000
4/8/2023;12:34:22 PM;13.12;93.660;26.980;15398.000;29.000
