4/8/2023/6:51 AM SW ver:OXY10v3_33
Header Ch-4
Description: Shall_04_Respiration 
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 86032
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 58.25 at 029.0°C amp 024900
100.00%a.s.phase 2: 26.13 at 029.0°C amp 011100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
4/8/2023;6:51:29 AM;0.00;96.070;26.540;3772.000;29.000
4/8/2023;6:51:30 AM;0.02;96.580;26.480;3773.000;29.000
4/8/2023;6:51:46 AM;0.27;99.390;26.190;3762.000;29.000
4/8/2023;6:52:01 AM;0.53;96.380;26.510;3769.000;29.000
4/8/2023;6:52:16 AM;0.78;96.440;26.500;3785.000;29.000
4/8/2023;6:52:31 AM;1.03;96.560;26.490;3789.000;29.000
4/8/2023;6:52:46 AM;1.28;96.390;26.500;3737.000;29.000
4/8/2023;6:53:01 AM;1.53;96.710;26.470;3716.000;29.000
4/8/2023;6:53:16 AM;1.78;97.760;26.360;3698.000;29.000
4/8/2023;6:53:31 AM;2.03;95.590;26.590;3627.000;29.000
4/8/2023;6:53:46 AM;2.28;96.700;26.470;3587.000;29.000
4/8/2023;6:54:01 AM;2.53;96.200;26.520;3471.000;29.000
4/8/2023;6:54:16 AM;2.78;97.030;26.440;3412.000;29.000
4/8/2023;6:54:31 AM;3.03;95.830;26.560;3394.000;29.000
4/8/2023;6:54:46 AM;3.28;97.020;26.440;3368.000;29.000
4/8/2023;6:55:01 AM;3.53;97.970;26.340;3368.000;29.000
4/8/2023;6:55:16 AM;3.78;94.390;26.720;3375.000;29.000
4/8/2023;6:55:31 AM;4.03;95.810;26.570;3386.000;29.000
4/8/2023;6:55:46 AM;4.28;96.090;26.540;3395.000;29.000
4/8/2023;6:56:01 AM;4.52;95.010;26.650;3400.000;29.000
4/8/2023;6:56:16 AM;4.78;96.470;26.500;3406.000;29.000
4/8/2023;6:56:31 AM;5.03;94.770;26.680;3409.000;29.000
4/8/2023;6:56:46 AM;5.28;95.240;26.630;3405.000;29.000
4/8/2023;6:57:01 AM;5.52;96.770;26.460;3404.000;29.000
4/8/2023;6:57:16 AM;5.77;94.330;26.730;3393.000;29.000
4/8/2023;6:57:30 AM;6.02;93.300;26.840;3417.000;29.000
4/8/2023;6:57:45 AM;6.27;93.840;26.780;3417.000;29.000
4/8/2023;6:58:00 AM;6.52;95.300;26.620;3402.000;29.000
4/8/2023;6:58:15 AM;6.77;93.880;26.780;3414.000;29.000
4/8/2023;6:58:30 AM;7.02;94.350;26.730;3422.000;29.000
4/8/2023;6:58:46 AM;7.28;94.340;26.730;3404.000;29.000
4/8/2023;6:59:01 AM;7.53;94.150;26.750;3427.000;29.000
4/8/2023;6:59:16 AM;7.77;94.500;26.710;3417.000;29.000
4/8/2023;6:59:30 AM;8.02;92.980;26.880;3419.000;29.000
4/8/2023;6:59:46 AM;8.28;92.850;26.890;3417.000;29.000
4/8/2023;7:00:01 AM;8.52;92.570;26.930;3432.000;29.000
4/8/2023;7:00:16 AM;8.78;92.180;26.970;3449.000;29.000
4/8/2023;7:00:31 AM;9.03;93.040;26.870;3446.000;29.000
4/8/2023;7:00:46 AM;9.28;94.160;26.750;3447.000;29.000
4/8/2023;7:01:01 AM;9.52;92.570;26.930;3449.000;29.000
4/8/2023;7:01:16 AM;9.78;92.380;26.950;3451.000;29.000
4/8/2023;7:01:30 AM;10.02;92.130;26.980;3447.000;29.000
4/8/2023;7:01:46 AM;10.27;91.980;26.990;3453.000;29.000
4/8/2023;7:02:00 AM;10.52;90.280;27.190;3457.000;29.000
4/8/2023;7:02:16 AM;10.78;92.490;26.930;3461.000;29.000
4/8/2023;7:02:30 AM;11.02;90.440;27.170;3460.000;29.000
4/8/2023;7:02:46 AM;11.27;91.830;27.010;3457.000;29.000
4/8/2023;7:03:01 AM;11.53;92.450;26.940;3457.000;29.000
4/8/2023;7:03:15 AM;11.77;90.490;27.160;3467.000;29.000
4/8/2023;7:03:31 AM;12.02;89.470;27.280;3474.000;29.000
4/8/2023;7:03:46 AM;12.28;90.400;27.170;3473.000;29.000
4/8/2023;7:04:01 AM;12.52;91.580;27.040;3490.000;29.000
4/8/2023;7:04:16 AM;12.77;90.050;27.220;3479.000;29.000
4/8/2023;7:04:31 AM;13.03;91.220;27.080;3480.000;29.000
4/8/2023;7:04:46 AM;13.28;90.430;27.170;3479.000;29.000
4/8/2023;7:05:00 AM;13.52;90.380;27.180;3491.000;29.000
4/8/2023;7:05:15 AM;13.77;90.930;27.110;3488.000;29.000
4/8/2023;7:05:30 AM;14.02;89.570;27.270;3497.000;29.000
4/8/2023;7:05:46 AM;14.28;89.170;27.320;3500.000;29.000
4/8/2023;7:06:00 AM;14.52;90.230;27.190;3521.000;29.000
4/8/2023;7:06:16 AM;14.77;89.540;27.280;3494.000;29.000
4/8/2023;7:06:31 AM;15.03;90.400;27.180;3496.000;29.000
4/8/2023;7:06:45 AM;15.27;87.370;27.540;3510.000;29.000
4/8/2023;7:07:00 AM;15.52;88.440;27.410;3499.000;29.000
4/8/2023;7:07:16 AM;15.77;86.810;27.600;3505.000;29.000
4/8/2023;7:07:31 AM;16.03;89.760;27.250;3518.000;29.000
4/8/2023;7:07:46 AM;16.27;89.070;27.330;3514.000;29.000
4/8/2023;7:08:00 AM;16.52;87.700;27.500;3517.000;29.000
4/8/2023;7:08:15 AM;16.77;88.110;27.450;3524.000;29.000
4/8/2023;7:08:31 AM;17.02;86.580;27.630;3529.000;29.000
4/8/2023;7:08:46 AM;17.27;88.730;27.370;3537.000;29.000
4/8/2023;7:09:00 AM;17.52;88.450;27.410;3518.000;29.000
4/8/2023;7:09:16 AM;17.77;86.710;27.620;3536.000;29.000
4/8/2023;7:09:30 AM;18.02;86.800;27.610;3526.000;29.000
4/8/2023;7:09:46 AM;18.28;88.900;27.350;3533.000;29.000
4/8/2023;7:10:01 AM;18.53;88.450;27.410;3551.000;29.000
4/8/2023;7:10:16 AM;18.78;87.680;27.500;3550.000;29.000
4/8/2023;7:10:30 AM;19.02;85.400;27.780;3535.000;29.000
4/8/2023;7:10:45 AM;19.27;86.570;27.630;3550.000;29.000
4/8/2023;7:11:01 AM;19.53;87.920;27.470;3560.000;29.000
4/8/2023;7:11:16 AM;19.77;85.160;27.810;3550.000;29.000
4/8/2023;7:11:30 AM;20.02;84.920;27.840;3548.000;29.000
4/8/2023;7:11:45 AM;20.27;86.980;27.580;3548.000;29.000
4/8/2023;7:12:00 AM;20.52;84.030;27.950;3565.000;29.000
4/8/2023;7:12:15 AM;20.77;86.360;27.660;3564.000;29.000
4/8/2023;7:12:31 AM;21.03;86.710;27.620;3567.000;29.000
4/8/2023;7:12:46 AM;21.27;85.010;27.830;3569.000;29.000
4/8/2023;7:13:00 AM;21.52;85.310;27.790;3575.000;29.000
4/8/2023;7:13:16 AM;21.77;85.660;27.750;3573.000;29.000
4/8/2023;7:13:30 AM;22.02;84.590;27.880;3586.000;29.000
4/8/2023;7:13:46 AM;22.28;85.720;27.740;3578.000;29.000
4/8/2023;7:14:01 AM;22.52;85.900;27.720;3582.000;29.000
4/8/2023;7:14:15 AM;22.77;85.560;27.760;3584.000;29.000
4/8/2023;7:14:31 AM;23.03;84.700;27.870;3580.000;29.000
4/8/2023;7:14:46 AM;23.28;84.640;27.870;3538.000;29.000
4/8/2023;7:15:01 AM;23.53;84.100;27.940;3440.000;29.000
