Sample_name,rep,rank,intercept_b0,slope_b1,rsq,density,row,endrow,time,endtime,oxy,endoxy,rate,adjustment,rate.adjusted,rate.input,oxy.unit,time.unit,volume,mass,area,S,t,P,rate.abs,rate.m.spec,rate.a.spec,output.unit,rate.output,o2,light
Gen01,NA,1,198.2236779128918,-1.5211076891986002,0.965,NA,81,121,20,30,167.008558,150.996241,-1.5211076891986002,0.06604867941603228,-1.5871563686146324,-1.5871563686146324,umol/L,min,0.14500487804878048,NA,2.448603057459146e-4,NA,NA,NA,-0.23014541567531008,NA,-939.9049591734407,umolO2/min/m2,-939.9049591734407,Respiration,200
Gen02,NA,1,197.07108844269464,-1.5499234550522671,0.967,NA,82,122,20.033333333333335,30.033333333333335,165.920068,149.895725,-1.5499234550522671,0.06604867941603228,-1.6159721344682993,-1.6159721344682993,umol/L,min,0.14924878048780488,NA,1.4889738183096118e-4,NA,NA,NA,-0.24118187037166874,NA,-1619.7858377756797,umolO2/min/m2,-1619.7858377756797,Respiration,200
Gen03,NA,1,178.37715332195114,-1.2777378536585347,0.961,NA,82,122,20.1,30.1,152.805342,140.663504,-1.2777378536585347,0.06604867941603228,-1.3437865330745669,-1.3437865330745669,umol/L,min,0.1469268292682927,NA,2.2228079423651384e-4,NA,NA,NA,-0.19743829451807787,NA,-888.2382087765857,umolO2/min/m2,-888.2382087765857,Respiration,200
Gen04,NA,1,225.27239994202097,-1.6812355623693402,0.941,NA,81,121,19.900000000000002,29.900000000000002,191.114223,174.878177,-1.6812355623693402,0.06604867941603228,-1.7472842417853724,-1.7472842417853724,umol/L,min,0.14189268292682927,NA,2.529432437181515e-4,NA,NA,NA,-0.24792684890269714,NA,-980.1679035118092,umolO2/min/m2,-980.1679035118092,Respiration,200
Gen05,NA,1,214.57845598650422,-0.883018836933802,0.836,NA,81,121,19.96666666666667,29.96666666666667,196.557112,186.036178,-0.883018836933802,0.06604867941603228,-0.9490675163498343,-0.9490675163498343,umol/L,min,0.1446439024390244,NA,1.8516078017923038e-4,NA,NA,NA,-0.13727682924295262,NA,-741.3925838402308,umolO2/min/m2,-741.3925838402308,Respiration,200
Gen06,NA,1,205.88552072331635,-1.4383189738568252,0.899,NA,81,121,20.01666666666667,30.01666666666667,174.054572,162.85748,-1.4383189738568252,0.06604867941603228,-1.5043676532728574,-1.5043676532728574,umol/L,min,0.1429268292682927,NA,3.2322966086803734e-4,NA,NA,NA,-0.21501449873607184,NA,-665.206584564819,umolO2/min/m2,-665.206584564819,Respiration,200
Gen07,NA,1,185.3606719212081,0.04972168710800848,0.0167,NA,82,122,20.06666666666667,30.06666666666667,185.67992,186.214626,0.04972168710800848,0.06604867941603228,-0.0163269923080238,-0.0163269923080238,umol/L,min,0.1544,NA,0,NA,NA,NA,-0.002520887612358875,NA,-Inf,umolO2/min/m2,-Inf,Respiration,200
Gen01,NA,1,144.74085815270854,1.3711461416686286,0.98,NA,1,61,0.03333333333333333,15,144.797435,165.920068,1.3711461416686286,0.10090229356505694,1.2702438481035716,1.2702438481035716,umol/L,min,0.14500487804878048,NA,2.448603057459146e-4,NA,NA,NA,0.18419155428647208,NA,752.2311700353875,umolO2/min/m2,752.2311700353875,Photosynthesis,200
Gen02,NA,1,141.45648818513246,1.6166885682119225,0.984,NA,1,62,0,15.033333333333333,141.427858,166.075035,1.6166885682119225,0.10090229356505694,1.5157862746468656,1.5157862746468656,umol/L,min,0.14924878048780488,NA,1.4889738183096118e-4,NA,NA,NA,0.22622925297119756,NA,1519.3635387627498,umolO2/min/m2,1519.3635387627498,Photosynthesis,200
Gen03,NA,1,142.79879725441302,0.7343275777707955,0.92,NA,1,62,0.06666666666666667,15.1,142.454654,154.073078,0.7343275777707955,0.10090229356505694,0.6334252842057385,0.6334252842057385,umol/L,min,0.1469268292682927,NA,2.2228079423651384e-4,NA,NA,NA,0.09306716858671635,NA,418.69190231383607,umolO2/min/m2,418.69190231383607,Photosynthesis,200
Gen04,NA,1,165.97766545622076,1.5532598741597177,0.953,NA,1,61,0.1,14.9,165.610665,185.67992,1.5532598741597177,0.10090229356505694,1.4523575805946607,1.4523575805946607,umol/L,min,0.14189268292682927,NA,2.529432437181515e-4,NA,NA,NA,0.2060789136796951,NA,814.7239303585583,umolO2/min/m2,814.7239303585583,Photosynthesis,200
Gen05,NA,1,170.82781799054055,1.4669923742408362,0.942,NA,1,61,0.11666666666666667,14.966666666666667,169.847918,195.605001,1.4669923742408362,0.10090229356505694,1.3660900806757792,1.3660900806757792,umol/L,min,0.1446439024390244,NA,1.8516078017923038e-4,NA,NA,NA,0.19759660035218637,NA,1067.162280051523,umolO2/min/m2,1067.162280051523,Photosynthesis,200
Gen06,NA,1,149.0209487892968,1.581364899908181,0.937,NA,1,61,0.13333333333333333,15.016666666666666,147.454482,173.562702,1.581364899908181,0.10090229356505694,1.480462606343124,1.480462606343124,umol/L,min,0.1429268292682927,NA,3.2322966086803734e-4,NA,NA,NA,0.2115978261748953,NA,654.6361667634296,umolO2/min/m2,654.6361667634296,Photosynthesis,200
Gen07,NA,1,185.1524206035022,0.1013730511736975,0.106,NA,1,62,0.15,15.066666666666666,185.32451,186.751246,0.1013730511736975,0.10090229356505694,4.707576086405707e-4,4.707576086405707e-4,umol/L,min,0.1544,NA,0,NA,NA,NA,7.268497477410412e-5,NA,Inf,umolO2/min/m2,Inf,Photosynthesis,200
